time,open,high,low,close,volume
2022-01-18 19:54:00,5.46,5.46,5.46,5.46,172
2022-01-18 19:49:00,5.46,5.46,5.46,5.46,681
2022-01-18 19:46:00,5.45,5.45,5.45,5.45,304
2022-01-18 19:03:00,5.45,5.45,5.45,5.45,100
2022-01-18 19:00:00,5.45,5.45,5.45,5.45,500
2022-01-18 18:57:00,5.45,5.45,5.45,5.45,1000
2022-01-18 18:47:00,5.45,5.45,5.45,5.45,112
2022-01-18 18:18:00,5.46,5.46,5.46,5.46,150
2022-01-18 18:05:00,5.5,5.5,5.5,5.5,894
2022-01-18 17:55:00,5.51,5.51,5.51,5.51,310
2022-01-18 17:43:00,5.51,5.51,5.51,5.51,3000
2022-01-18 17:28:00,5.5,5.5,5.5,5.5,100
2022-01-18 17:20:00,5.5,5.5,5.5,5.5,150
2022-01-18 17:16:00,5.5,5.5,5.5,5.5,100
2022-01-18 17:10:00,5.5,5.5,5.5,5.5,500
2022-01-18 16:50:00,5.5001,5.5001,5.5001,5.5001,1958
2022-01-18 16:49:00,5.51,5.51,5.51,5.51,195
2022-01-18 16:39:00,5.51,5.51,5.51,5.51,100
2022-01-18 16:36:00,5.56,5.56,5.56,5.56,1035
2022-01-18 16:35:00,5.51,5.51,5.51,5.51,3887
2022-01-18 16:21:00,5.52,5.52,5.52,5.52,225
2022-01-18 16:19:00,5.52,5.52,5.52,5.52,253
2022-01-18 16:16:00,5.53,5.53,5.53,5.53,181
2022-01-18 16:15:00,5.53,5.53,5.53,5.53,500
2022-01-18 16:04:00,5.57,5.57,5.57,5.57,240
2022-01-18 16:01:00,5.5,5.5,5.5,5.5,1022
2022-01-18 16:00:00,5.52,5.555,5.49,5.54,86296
2022-01-18 15:59:00,5.55,5.56,5.52,5.53,43663
2022-01-18 15:58:00,5.5,5.55,5.49,5.54,182729
2022-01-18 15:57:00,5.5,5.51,5.48,5.5,63101
2022-01-18 15:56:00,5.465,5.51,5.44,5.5011,61335
2022-01-18 15:55:00,5.505,5.505,5.47,5.4701,43429
2022-01-18 15:54:00,5.42,5.52,5.41,5.5,82741
2022-01-18 15:53:00,5.42,5.43,5.41,5.42,21510
2022-01-18 15:52:00,5.41,5.42,5.41,5.42,5401
2022-01-18 15:51:00,5.425,5.425,5.4,5.4101,27290
2022-01-18 15:50:00,5.42,5.43,5.41,5.43,11716
2022-01-18 15:49:00,5.426,5.426,5.405,5.41,14124
2022-01-18 15:48:00,5.435,5.44,5.42,5.425,18711
2022-01-18 15:47:00,5.43,5.44,5.41,5.43,26089
2022-01-18 15:46:00,5.345,5.43,5.345,5.42,45562
2022-01-18 15:45:00,5.345,5.35,5.3347,5.35,8798
2022-01-18 15:44:00,5.375,5.38,5.335,5.34,11218
2022-01-18 15:43:00,5.405,5.405,5.365,5.375,11503
2022-01-18 15:42:00,5.405,5.41,5.4,5.4,12367
2022-01-18 15:41:00,5.365,5.41,5.365,5.405,5887
2022-01-18 15:40:00,5.36,5.37,5.3514,5.3603,8610
2022-01-18 15:39:00,5.3711,5.375,5.36,5.36,5911
2022-01-18 15:38:00,5.375,5.38,5.37,5.38,5365
2022-01-18 15:37:00,5.395,5.4,5.37,5.37,8681
2022-01-18 15:36:00,5.405,5.41,5.4,5.4,3227
2022-01-18 15:35:00,5.41,5.42,5.405,5.405,6747
2022-01-18 15:34:00,5.397,5.41,5.397,5.41,2187
2022-01-18 15:33:00,5.4,5.405,5.4,5.4,1207
