time,open,high,low,close,volume
2022-04-19 17:36:00,3.21,3.21,3.21,3.21,265
2022-04-19 17:32:00,3.2,3.2,3.2,3.2,202
2022-04-19 17:06:00,3.25,3.25,3.25,3.25,110
2022-04-19 17:01:00,3.21,3.21,3.21,3.21,503
2022-04-19 16:23:00,3.25,3.25,3.25,3.25,1391
2022-04-19 16:05:00,3.2001,3.2001,3.2001,3.2001,500
2022-04-19 16:00:00,3.245,3.25,3.24,3.25,20755
2022-04-19 15:59:00,3.25,3.25,3.24,3.24,14206
2022-04-19 15:58:00,3.24,3.25,3.24,3.241,7910
2022-04-19 15:57:00,3.24,3.25,3.24,3.24,4672
2022-04-19 15:56:00,3.26,3.26,3.24,3.24,4387
2022-04-19 15:55:00,3.26,3.265,3.25,3.255,6927
2022-04-19 15:54:00,3.265,3.27,3.26,3.26,2658
2022-04-19 15:53:00,3.26,3.265,3.26,3.265,1169
2022-04-19 15:52:00,3.25,3.27,3.25,3.265,27725
2022-04-19 15:51:00,3.25,3.255,3.25,3.255,4184
2022-04-19 15:50:00,3.25,3.255,3.25,3.255,1234
2022-04-19 15:49:00,3.25,3.26,3.25,3.255,1985
2022-04-19 15:48:00,3.255,3.26,3.25,3.255,13000
2022-04-19 15:47:00,3.26,3.26,3.2521,3.255,525
2022-04-19 15:46:00,3.25,3.26,3.25,3.255,2738
2022-04-19 15:45:00,3.26,3.26,3.2511,3.26,7316
2022-04-19 15:44:00,3.26,3.26,3.25,3.255,1735
2022-04-19 15:43:00,3.255,3.2574,3.25,3.255,11429
2022-04-19 15:42:00,3.255,3.255,3.25,3.25,440
2022-04-19 15:41:00,3.255,3.255,3.25,3.25,6305
2022-04-19 15:40:00,3.255,3.2586,3.255,3.255,879
2022-04-19 15:39:00,3.255,3.26,3.255,3.255,9511
2022-04-19 15:38:00,3.255,3.255,3.255,3.255,124
2022-04-19 15:37:00,3.2501,3.255,3.2501,3.255,2692
2022-04-19 15:36:00,3.255,3.255,3.255,3.255,221
2022-04-19 15:35:00,3.255,3.255,3.255,3.255,618
2022-04-19 15:34:00,3.255,3.255,3.255,3.255,433
2022-04-19 15:32:00,3.25,3.255,3.25,3.255,282
2022-04-19 15:31:00,3.255,3.255,3.255,3.255,225
2022-04-19 15:30:00,3.2588,3.2588,3.255,3.255,567
2022-04-19 15:29:00,3.255,3.2588,3.255,3.2588,1646
2022-04-19 15:28:00,3.265,3.27,3.26,3.26,17593
2022-04-19 15:27:00,3.25,3.265,3.25,3.265,5575
2022-04-19 15:25:00,3.245,3.25,3.245,3.245,1073
2022-04-19 15:24:00,3.245,3.245,3.245,3.245,250
2022-04-19 15:23:00,3.245,3.25,3.245,3.245,763
2022-04-19 15:22:00,3.25,3.25,3.24,3.245,605
2022-04-19 15:21:00,3.245,3.245,3.245,3.245,470
2022-04-19 15:20:00,3.25,3.25,3.245,3.245,255
2022-04-19 15:19:00,3.24,3.25,3.24,3.245,13865
2022-04-19 15:18:00,3.235,3.235,3.235,3.235,239
2022-04-19 15:16:00,3.235,3.235,3.235,3.235,2305
2022-04-19 15:15:00,3.235,3.24,3.235,3.24,699
2022-04-19 15:14:00,3.24,3.24,3.235,3.235,812
2022-04-19 15:13:00,3.22,3.24,3.22,3.24,6125
2022-04-19 15:12:00,3.22,3.22,3.215,3.215,1200
2022-04-19 15:11:00,3.2175,3.2175,3.2175,3.2175,121
2022-04-19 15:10:00,3.215,3.215,3.215,3.215,241
2022-04-19 15:09:00,3.2,3.21,3.2,3.21,2945
2022-04-19 15:08:00,3.21,3.21,3.205,3.205,1374
2022-04-19 15:07:00,3.22,3.22,3.215,3.215,520
2022-04-19 15:06:00,3.21,3.215,3.21,3.21,718
2022-04-19 15:05:00,3.21,3.21,3.21,3.21,533
2022-04-19 15:04:00,3.21,3.2175,3.21,3.2175,630
2022-04-19 15:03:00,3.2199,3.2199,3.21,3.21,650
2022-04-19 15:02:00,3.21,3.2175,3.21,3.21,1027
2022-04-19 15:01:00,3.21,3.22,3.21,3.215,732
2022-04-19 15:00:00,3.21,3.215,3.21,3.21,351
2022-04-19 14:59:00,3.215,3.215,3.21,3.21,1489
2022-04-19 14:58:00,3.215,3.22,3.21,3.21,430
2022-04-19 14:57:00,3.21,3.21,3.21,3.21,647
2022-04-19 14:56:00,3.21,3.2175,3.21,3.21,523
2022-04-19 14:55:00,3.21,3.215,3.21,3.21,390
2022-04-19 14:54:00,3.2175,3.2195,3.21,3.2195,3123
2022-04-19 14:53:00,3.21,3.21,3.21,3.21,579
2022-04-19 14:52:00,3.21,3.215,3.21,3.21,1586
2022-04-19 14:51:00,3.22,3.22,3.21,3.215,2021
2022-04-19 14:50:00,3.22,3.23,3.22,3.23,820
2022-04-19 14:49:00,3.22,3.2275,3.22,3.22,952
2022-04-19 14:48:00,3.225,3.225,3.225,3.225,228
2022-04-19 14:47:00,3.225,3.2275,3.22,3.22,1164
2022-04-19 14:46:00,3.225,3.225,3.22,3.22,383
2022-04-19 14:45:00,3.2299,3.2299,3.225,3.2296,3536
2022-04-19 14:44:00,3.23,3.23,3.225,3.225,1974
2022-04-19 14:43:00,3.225,3.23,3.225,3.23,4006
2022-04-19 14:42:00,3.22,3.2275,3.22,3.2275,1720
2022-04-19 14:41:00,3.22,3.225,3.22,3.225,744
2022-04-19 14:40:00,3.22,3.2201,3.22,3.22,2100
2022-04-19 14:39:00,3.22,3.225,3.22,3.22,674
2022-04-19 14:38:00,3.22,3.225,3.22,3.22,785
2022-04-19 14:36:00,3.235,3.235,3.23,3.23,2187
2022-04-19 14:35:00,3.24,3.245,3.23,3.23,3853
2022-04-19 14:33:00,3.245,3.25,3.245,3.25,646
2022-04-19 14:32:00,3.245,3.245,3.245,3.245,273
2022-04-19 14:31:00,3.25,3.25,3.24,3.245,1000
2022-04-19 14:29:00,3.245,3.25,3.24,3.245,18265
2022-04-19 14:28:00,3.24,3.245,3.24,3.245,214
2022-04-19 14:26:00,3.2401,3.2401,3.2401,3.2401,318
2022-04-19 14:25:00,3.245,3.245,3.245,3.245,100
2022-04-19 14:24:00,3.25,3.25,3.241,3.241,225
2022-04-19 14:23:00,3.235,3.245,3.235,3.245,7987
2022-04-19 14:22:00,3.235,3.235,3.23,3.23,700
2022-04-19 14:21:00,3.23,3.23,3.23,3.23,310
2022-04-19 14:20:00,3.23,3.23,3.23,3.23,441
2022-04-19 14:19:00,3.235,3.235,3.23,3.23,579
2022-04-19 14:18:00,3.23,3.235,3.23,3.23,1346
2022-04-19 14:17:00,3.24,3.24,3.24,3.24,2128
