time,open,high,low,close,volume
2022-04-19 19:34:00,2.37,2.37,2.37,2.37,267
2022-04-19 17:49:00,2.36,2.36,2.36,2.36,500
2022-04-19 17:44:00,2.39,2.39,2.39,2.39,6533
2022-04-19 17:37:00,2.38,2.38,2.38,2.38,626
2022-04-19 17:35:00,2.37,2.37,2.37,2.37,130
2022-04-19 17:23:00,2.37,2.37,2.37,2.37,1415
2022-04-19 16:47:00,2.35,2.35,2.35,2.35,500
2022-04-19 16:22:00,2.3501,2.3501,2.35,2.35,200
2022-04-19 16:06:00,2.37,2.37,2.37,2.37,100
2022-04-19 16:02:00,2.36,2.36,2.36,2.36,1879
2022-04-19 16:01:00,2.38,2.38,2.38,2.38,112
2022-04-19 16:00:00,2.36,2.37,2.35,2.37,34290
2022-04-19 15:59:00,2.36,2.37,2.355,2.37,13163
2022-04-19 15:58:00,2.36,2.37,2.36,2.365,2474
2022-04-19 15:57:00,2.36,2.37,2.36,2.36,3643
2022-04-19 15:56:00,2.36,2.37,2.35,2.365,9224
2022-04-19 15:55:00,2.365,2.365,2.36,2.36,1940
2022-04-19 15:54:00,2.365,2.37,2.36,2.37,5147
2022-04-19 15:53:00,2.37,2.37,2.37,2.37,1929
2022-04-19 15:52:00,2.375,2.375,2.375,2.375,1848
2022-04-19 15:51:00,2.36,2.37,2.36,2.37,6869
2022-04-19 15:50:00,2.3601,2.3601,2.3601,2.3601,664
2022-04-19 15:49:00,2.36,2.365,2.355,2.365,8181
2022-04-19 15:48:00,2.365,2.365,2.355,2.355,2093
2022-04-19 15:47:00,2.3601,2.3601,2.36,2.36,3655
2022-04-19 15:46:00,2.365,2.365,2.36,2.365,1480
2022-04-19 15:45:00,2.365,2.37,2.365,2.37,610
2022-04-19 15:44:00,2.3669,2.37,2.365,2.37,1410
2022-04-19 15:43:00,2.37,2.37,2.3693,2.37,5332
2022-04-19 15:42:00,2.3799,2.3799,2.365,2.37,811
2022-04-19 15:41:00,2.38,2.38,2.37,2.3787,14096
2022-04-19 15:40:00,2.38,2.38,2.38,2.38,400
2022-04-19 15:39:00,2.385,2.395,2.38,2.39,17704
2022-04-19 15:38:00,2.395,2.398,2.39,2.39,2421
2022-04-19 15:37:00,2.3901,2.395,2.39,2.39,1717
2022-04-19 15:36:00,2.4024,2.4024,2.39,2.4,3053
2022-04-19 15:34:00,2.4096,2.41,2.4001,2.4001,1200
2022-04-19 15:33:00,2.4098,2.41,2.4,2.4098,8144
2022-04-19 15:32:00,2.39,2.43,2.39,2.405,17794
2022-04-19 15:31:00,2.395,2.397,2.39,2.397,2121
2022-04-19 15:30:00,2.3915,2.395,2.3915,2.395,586
2022-04-19 15:29:00,2.36,2.4,2.36,2.4,22100
2022-04-19 15:28:00,2.36,2.36,2.36,2.36,450
2022-04-19 15:27:00,2.36,2.36,2.36,2.36,471
2022-04-19 15:25:00,2.3654,2.3654,2.3601,2.3601,1245
2022-04-19 15:23:00,2.365,2.365,2.365,2.365,102
2022-04-19 15:22:00,2.365,2.365,2.365,2.365,121
2022-04-19 15:21:00,2.358,2.375,2.355,2.3685,10900
2022-04-19 15:20:00,2.355,2.355,2.355,2.355,501
2022-04-19 15:19:00,2.35,2.355,2.35,2.355,700
2022-04-19 15:18:00,2.35,2.3599,2.35,2.3599,200
2022-04-19 15:17:00,2.3599,2.3599,2.3599,2.3599,2100
2022-04-19 15:16:00,2.35,2.35,2.35,2.35,1486
2022-04-19 15:14:00,2.355,2.355,2.355,2.355,201
2022-04-19 15:13:00,2.3594,2.3594,2.3594,2.3594,2002
2022-04-19 15:12:00,2.345,2.35,2.345,2.35,2345
2022-04-19 15:11:00,2.345,2.345,2.345,2.345,105
2022-04-19 15:09:00,2.33,2.345,2.33,2.345,8056
2022-04-19 15:08:00,2.33,2.335,2.33,2.335,500
2022-04-19 15:07:00,2.34,2.34,2.335,2.335,4858
2022-04-19 15:06:00,2.345,2.35,2.34,2.34,1900
2022-04-19 15:05:00,2.345,2.345,2.345,2.345,100
2022-04-19 15:04:00,2.34,2.345,2.34,2.345,300
2022-04-19 15:03:00,2.35,2.35,2.345,2.345,2588
2022-04-19 15:02:00,2.3513,2.3513,2.35,2.35,6268
2022-04-19 15:01:00,2.35,2.35,2.35,2.35,100
2022-04-19 15:00:00,2.35,2.35,2.35,2.35,400
2022-04-19 14:59:00,2.35,2.35,2.35,2.35,938
2022-04-19 14:58:00,2.35,2.36,2.35,2.36,667
2022-04-19 14:57:00,2.35,2.35,2.35,2.35,300
2022-04-19 14:56:00,2.35,2.35,2.35,2.35,1150
2022-04-19 14:55:00,2.35,2.35,2.345,2.35,2305
