time,open,high,low,close,volume
2022-03-18 19:57:00,3.57,3.57,3.57,3.57,254
2022-03-18 19:54:00,3.57,3.57,3.57,3.57,390
2022-03-18 19:48:00,3.57,3.57,3.57,3.57,800
2022-03-18 19:47:00,3.57,3.57,3.57,3.57,2246
2022-03-18 19:42:00,3.57,3.57,3.57,3.57,250
2022-03-18 19:33:00,3.6,3.6,3.6,3.6,3277
2022-03-18 19:31:00,3.57,3.57,3.57,3.57,100
2022-03-18 19:27:00,3.57,3.57,3.57,3.57,250
2022-03-18 19:21:00,3.55,3.55,3.55,3.55,3304
2022-03-18 19:07:00,3.55,3.55,3.55,3.55,200
2022-03-18 19:03:00,3.51,3.51,3.51,3.51,502
2022-03-18 18:51:00,3.55,3.55,3.55,3.55,505
2022-03-18 18:50:00,3.5,3.5,3.5,3.5,10000
2022-03-18 18:49:00,3.4999,3.4999,3.4999,3.4999,500
2022-03-18 18:48:00,3.46,3.4999,3.46,3.4999,1402
2022-03-18 18:47:00,3.45,3.45,3.45,3.45,3360
2022-03-18 18:46:00,3.49,3.49,3.49,3.49,140
2022-03-18 18:44:00,3.49,3.49,3.49,3.49,100
2022-03-18 18:33:00,3.54,3.54,3.54,3.54,100
2022-03-18 18:32:00,3.5101,3.5101,3.51,3.51,898
2022-03-18 18:31:00,3.52,3.52,3.52,3.52,171
2022-03-18 18:00:00,3.5496,3.5496,3.5496,3.5496,855
2022-03-18 17:59:00,3.52,3.52,3.52,3.52,121
2022-03-18 17:48:00,3.52,3.52,3.52,3.52,1500
2022-03-18 17:46:00,3.52,3.52,3.52,3.52,443
2022-03-18 17:37:00,3.52,3.52,3.52,3.52,1050
2022-03-18 17:26:00,3.5101,3.5101,3.5101,3.5101,1000
2022-03-18 17:15:00,3.55,3.55,3.55,3.55,515
2022-03-18 17:02:00,3.51,3.51,3.51,3.51,100
2022-03-18 16:58:00,3.5301,3.5301,3.52,3.52,1194
2022-03-18 16:55:00,3.51,3.51,3.51,3.51,300
2022-03-18 16:53:00,3.5101,3.5101,3.5101,3.5101,251
2022-03-18 16:52:00,3.51,3.51,3.51,3.51,3508
2022-03-18 16:50:00,3.51,3.51,3.51,3.51,810
