time,open,high,low,close,volume
2022-02-17 18:35:00,2.6,2.6,2.6,2.6,2000
2022-02-17 16:16:00,2.62,2.62,2.62,2.62,385
2022-02-17 16:00:00,2.62,2.63,2.62,2.63,224
2022-02-17 15:59:00,2.62,2.62,2.62,2.62,2295
2022-02-17 15:58:00,2.62,2.62,2.62,2.62,2048
2022-02-17 15:57:00,2.62,2.62,2.5892,2.6108,14590
2022-02-17 15:56:00,2.6001,2.6001,2.6001,2.6001,15000
2022-02-17 15:54:00,2.62,2.62,2.62,2.62,100
2022-02-17 15:53:00,2.6263,2.6263,2.6001,2.6001,5814
2022-02-17 15:52:00,2.63,2.63,2.615,2.615,892
2022-02-17 15:51:00,2.62,2.62,2.62,2.62,5700
2022-02-17 15:50:00,2.6299,2.6299,2.6299,2.6299,2500
2022-02-17 15:47:00,2.6298,2.6298,2.6298,2.6298,1500
2022-02-17 15:46:00,2.62,2.62,2.62,2.62,3358
2022-02-17 15:45:00,2.62,2.62,2.62,2.62,1970
2022-02-17 15:44:00,2.62,2.62,2.62,2.62,862
2022-02-17 15:43:00,2.62,2.62,2.61,2.62,3326
2022-02-17 15:42:00,2.62,2.62,2.62,2.62,2020
2022-02-17 15:41:00,2.62,2.62,2.62,2.62,650
2022-02-17 15:40:00,2.62,2.62,2.62,2.62,1090
2022-02-17 15:39:00,2.62,2.62,2.62,2.62,690
2022-02-17 15:38:00,2.62,2.62,2.615,2.6199,2331
2022-02-17 15:37:00,2.62,2.62,2.62,2.62,656
2022-02-17 15:36:00,2.62,2.62,2.62,2.62,1301
2022-02-17 15:35:00,2.615,2.62,2.615,2.62,1469
2022-02-17 15:34:00,2.62,2.62,2.62,2.62,2845
2022-02-17 15:32:00,2.62,2.62,2.62,2.62,661
2022-02-17 15:31:00,2.62,2.63,2.62,2.6202,5220
2022-02-17 15:30:00,2.62,2.63,2.62,2.62,8326
2022-02-17 15:29:00,2.62,2.62,2.62,2.62,652
2022-02-17 15:28:00,2.62,2.62,2.62,2.62,645
2022-02-17 15:27:00,2.61,2.62,2.6,2.62,3438
2022-02-17 15:26:00,2.62,2.62,2.62,2.62,670
2022-02-17 15:24:00,2.62,2.62,2.62,2.62,100
2022-02-17 15:23:00,2.63,2.63,2.62,2.62,760
2022-02-17 15:22:00,2.63,2.63,2.63,2.63,100
2022-02-17 15:21:00,2.62,2.63,2.62,2.63,3583
2022-02-17 15:20:00,2.62,2.62,2.62,2.62,696
2022-02-17 15:19:00,2.62,2.62,2.62,2.62,662
2022-02-17 15:18:00,2.62,2.62,2.62,2.62,1425
2022-02-17 15:17:00,2.62,2.62,2.62,2.62,2022
2022-02-17 15:16:00,2.62,2.62,2.62,2.62,1326
2022-02-17 15:15:00,2.62,2.62,2.61,2.61,2213
2022-02-17 15:14:00,2.62,2.62,2.62,2.62,6528
2022-02-17 15:13:00,2.63,2.63,2.6298,2.6298,2851
2022-02-17 15:07:00,2.62,2.6223,2.62,2.6223,900
2022-02-17 15:05:00,2.63,2.63,2.63,2.63,3120
2022-02-17 15:02:00,2.62,2.62,2.62,2.62,227
2022-02-17 15:01:00,2.62,2.62,2.62,2.62,689
2022-02-17 14:58:00,2.62,2.62,2.62,2.62,284
2022-02-17 14:56:00,2.6,2.62,2.6,2.62,1827
2022-02-17 14:55:00,2.62,2.62,2.6,2.6,1671
2022-02-17 14:53:00,2.62,2.62,2.62,2.62,400
2022-02-17 14:48:00,2.6,2.62,2.6,2.62,681
2022-02-17 14:47:00,2.6,2.62,2.6,2.61,2110
2022-02-17 14:44:00,2.6,2.6,2.6,2.6,657
2022-02-17 14:43:00,2.6,2.6,2.6,2.6,1328
2022-02-17 14:42:00,2.59,2.59,2.59,2.59,1024
2022-02-17 14:41:00,2.6,2.6,2.5865,2.59,1319
2022-02-17 14:40:00,2.62,2.62,2.62,2.62,100
2022-02-17 14:39:00,2.62,2.62,2.61,2.62,1586
2022-02-17 14:37:00,2.62,2.63,2.61,2.63,2186
2022-02-17 14:31:00,2.62,2.62,2.62,2.62,600
2022-02-17 14:25:00,2.62,2.62,2.61,2.62,1139
2022-02-17 14:24:00,2.62,2.62,2.62,2.62,645
2022-02-17 14:23:00,2.62,2.62,2.61,2.61,200
2022-02-17 14:22:00,2.62,2.62,2.62,2.62,772
2022-02-17 14:20:00,2.62,2.62,2.62,2.62,651
2022-02-17 14:15:00,2.62,2.62,2.62,2.62,1371
2022-02-17 14:12:00,2.61,2.62,2.61,2.62,795
2022-02-17 14:08:00,2.61,2.61,2.61,2.61,319
2022-02-17 14:05:00,2.6024,2.6024,2.6024,2.6024,200
2022-02-17 14:03:00,2.615,2.615,2.615,2.615,400
2022-02-17 13:58:00,2.62,2.62,2.62,2.62,230
2022-02-17 13:52:00,2.62,2.62,2.62,2.62,1242
2022-02-17 13:51:00,2.62,2.62,2.62,2.62,100
2022-02-17 13:50:00,2.62,2.62,2.62,2.62,643
2022-02-17 13:43:00,2.62,2.62,2.62,2.62,643
2022-02-17 13:42:00,2.62,2.62,2.62,2.62,631
2022-02-17 13:38:00,2.62,2.62,2.62,2.62,682
2022-02-17 13:36:00,2.62,2.62,2.62,2.62,639
2022-02-17 13:33:00,2.62,2.62,2.62,2.62,688
2022-02-17 13:30:00,2.63,2.63,2.62,2.62,280
2022-02-17 13:28:00,2.62,2.64,2.62,2.64,5417
2022-02-17 13:27:00,2.62,2.62,2.62,2.62,7741
2022-02-17 13:26:00,2.62,2.62,2.62,2.62,675
2022-02-17 13:25:00,2.61,2.61,2.61,2.61,200
2022-02-17 13:22:00,2.62,2.62,2.62,2.62,658
2022-02-17 13:18:00,2.61,2.62,2.61,2.61,1618
2022-02-17 13:16:00,2.61,2.61,2.61,2.61,669
2022-02-17 13:12:00,2.6,2.6,2.6,2.6,800
2022-02-17 13:11:00,2.6,2.6,2.6,2.6,900
2022-02-17 13:10:00,2.6,2.62,2.6,2.61,1443
2022-02-17 13:08:00,2.6,2.62,2.6,2.62,678
2022-02-17 13:06:00,2.6,2.6,2.6,2.6,659
2022-02-17 13:05:00,2.6,2.6,2.6,2.6,105
2022-02-17 13:04:00,2.59,2.59,2.59,2.59,100
2022-02-17 12:56:00,2.6,2.62,2.6,2.62,1304
