time,open,high,low,close,volume
2022-02-17 17:49:00,1.8,1.8,1.8,1.8,100
2022-02-17 17:33:00,1.8,1.8,1.8,1.8,580
2022-02-17 17:01:00,1.85,1.85,1.85,1.85,100
2022-02-17 16:00:00,1.8215,1.8215,1.82,1.82,919
2022-02-17 15:52:00,1.82,1.82,1.82,1.82,201
2022-02-17 15:51:00,1.815,1.82,1.815,1.82,322
2022-02-17 15:50:00,1.82,1.82,1.82,1.82,100
2022-02-17 15:49:00,1.81,1.82,1.81,1.82,686
2022-02-17 15:35:00,1.82,1.85,1.815,1.84,21152
2022-02-17 15:34:00,1.85,1.85,1.835,1.84,2386
2022-02-17 15:33:00,1.86,1.86,1.85,1.85,3422
2022-02-17 15:16:00,1.87,1.87,1.87,1.87,1368
2022-02-17 15:05:00,1.8712,1.8712,1.8712,1.8712,825
2022-02-17 14:49:00,1.88,1.88,1.85,1.865,7571
2022-02-17 14:38:00,1.8891,1.8891,1.889,1.889,458
2022-02-17 14:23:00,1.88,1.885,1.88,1.88,903
2022-02-17 14:22:00,1.87,1.87,1.87,1.87,863
2022-02-17 14:16:00,1.88,1.88,1.88,1.88,300
2022-02-17 14:12:00,1.9,1.9,1.88,1.88,281
2022-02-17 14:07:00,1.9002,1.9002,1.9002,1.9002,500
2022-02-17 14:06:00,1.9094,1.91,1.9066,1.91,1663
2022-02-17 14:03:00,1.905,1.91,1.905,1.905,304
2022-02-17 13:55:00,1.94,1.94,1.94,1.94,100
2022-02-17 13:48:00,1.92,1.92,1.92,1.92,100
2022-02-17 13:46:00,1.94,1.94,1.93,1.93,1601
2022-02-17 13:45:00,1.94,1.94,1.94,1.94,104
2022-02-17 13:44:00,1.93,1.95,1.93,1.93,2000
2022-02-17 13:43:00,1.9102,1.9102,1.9102,1.9102,1000
2022-02-17 13:36:00,1.93,1.93,1.93,1.93,2001
2022-02-17 13:35:00,1.95,1.95,1.95,1.95,2000
2022-02-17 13:34:00,1.9179,1.9179,1.9179,1.9179,103
2022-02-17 13:33:00,1.96,1.96,1.94,1.94,5901
2022-02-17 13:32:00,1.96,1.96,1.96,1.96,1600
2022-02-17 13:31:00,1.965,1.97,1.93,1.96,3639
2022-02-17 13:30:00,1.96,1.97,1.96,1.97,501
2022-02-17 13:22:00,1.96,1.96,1.96,1.96,300
2022-02-17 13:21:00,1.915,1.95,1.915,1.95,3439
2022-02-17 13:19:00,1.92,1.9219,1.92,1.9203,2000
2022-02-17 13:15:00,1.945,1.945,1.945,1.945,500
2022-02-17 13:12:00,1.99,1.9901,1.92,1.95,13816
2022-02-17 13:05:00,2.0,2.0,1.995,1.995,200
2022-02-17 13:04:00,1.995,1.995,1.995,1.995,213
2022-02-17 12:59:00,2.0,2.0,2.0,2.0,2503
2022-02-17 12:57:00,2.0,2.0,2.0,2.0,2100
2022-02-17 12:49:00,2.02,2.02,2.02,2.02,985
2022-02-17 12:44:00,2.02,2.02,2.02,2.02,500
2022-02-17 12:43:00,2.02,2.02,2.02,2.02,208
2022-02-17 12:38:00,2.03,2.03,2.03,2.03,105
2022-02-17 12:27:00,2.0,2.04,2.0,2.04,275
2022-02-17 12:02:00,2.0,2.0,2.0,2.0,106
2022-02-17 11:40:00,2.0043,2.0043,2.0043,2.0043,304
2022-02-17 11:36:00,2.02,2.02,2.02,2.02,532
2022-02-17 11:31:00,2.02,2.02,2.02,2.02,303
2022-02-17 11:29:00,2.0,2.0,2.0,2.0,214
2022-02-17 11:23:00,2.0152,2.0152,2.0152,2.0152,805
2022-02-17 11:03:00,2.0,2.0,2.0,2.0,100
2022-02-17 11:02:00,2.02,2.0265,2.0,2.0,3999
2022-02-17 10:33:00,2.0364,2.04,2.0364,2.04,722
2022-02-17 10:19:00,2.02,2.02,2.02,2.02,767
2022-02-17 10:05:00,2.0252,2.0252,2.0252,2.0252,187
2022-02-17 10:00:00,2.0214,2.0214,2.0214,2.0214,931
2022-02-17 09:55:00,2.026,2.045,2.026,2.045,600
2022-02-17 09:43:00,2.015,2.02,2.015,2.02,872
2022-02-17 09:37:00,2.0094,2.0094,2.0094,2.0094,600
2022-02-17 09:35:00,2.015,2.015,2.015,2.015,500
2022-02-17 09:34:00,2.0,2.0264,2.0,2.0264,290
2022-02-17 09:32:00,2.0,2.0,2.0,2.0,177
2022-02-17 09:31:00,1.99,1.99,1.99,1.99,1670
2022-02-16 18:26:00,2.03,2.03,2.02,2.03,400
2022-02-16 16:00:00,2.03,2.03,2.03,2.03,202
2022-02-16 15:28:00,2.05,2.05,2.035,2.05,11145
2022-02-16 15:19:00,2.0603,2.0603,2.0603,2.0603,100
2022-02-16 15:18:00,2.065,2.065,2.065,2.065,270
2022-02-16 14:47:00,2.0401,2.0401,2.0401,2.0401,212
2022-02-16 14:42:00,2.04,2.04,2.04,2.04,100
2022-02-16 14:23:00,2.03,2.03,2.03,2.03,100
2022-02-16 14:10:00,2.1,2.1,2.1,2.1,100
2022-02-16 14:08:00,2.041,2.041,2.041,2.041,200
2022-02-16 14:03:00,2.08,2.08,2.08,2.08,1965
2022-02-16 14:02:00,2.11,2.11,2.08,2.08,7836
2022-02-16 14:01:00,2.1,2.1175,2.1,2.1175,1700
2022-02-16 14:00:00,2.13,2.13,2.09,2.09,645
2022-02-16 13:59:00,2.11,2.12,2.08,2.08,17323
2022-02-16 13:58:00,2.07,2.11,2.07,2.11,8511
2022-02-16 13:57:00,2.07,2.09,2.06,2.07,2800
2022-02-16 13:56:00,2.06,2.06,2.06,2.06,400
2022-02-16 13:53:00,2.07,2.07,2.07,2.07,2416
2022-02-16 13:45:00,2.0396,2.04,2.02,2.02,4779
2022-02-16 13:40:00,2.03,2.03,2.03,2.03,100
2022-02-16 13:39:00,2.03,2.03,2.03,2.03,1045
2022-02-16 13:38:00,2.02,2.02,2.02,2.02,100
