time,open,high,low,close,volume
2022-03-18 19:50:00,1.47,1.47,1.47,1.47,200
2022-03-18 19:40:00,1.48,1.48,1.48,1.48,1847
2022-03-18 19:24:00,1.48,1.48,1.48,1.48,169
2022-03-18 19:18:00,1.48,1.48,1.48,1.48,523
2022-03-18 18:04:00,1.48,1.48,1.48,1.48,100
2022-03-18 17:58:00,1.48,1.48,1.48,1.48,266
2022-03-18 17:57:00,1.48,1.48,1.48,1.48,2094
2022-03-18 17:50:00,1.48,1.48,1.48,1.48,126
2022-03-18 17:47:00,1.48,1.48,1.48,1.48,1830
2022-03-18 17:05:00,1.45,1.45,1.45,1.45,389
2022-03-18 17:03:00,1.45,1.45,1.45,1.45,200
2022-03-18 16:58:00,1.48,1.48,1.48,1.48,100
2022-03-18 16:50:00,1.48,1.48,1.48,1.48,570
2022-03-18 16:41:00,1.47,1.47,1.47,1.47,350
2022-03-18 16:20:00,1.49,1.49,1.49,1.49,342
2022-03-18 16:19:00,1.48,1.48,1.48,1.48,144
2022-03-18 16:13:00,1.45,1.45,1.45,1.45,505
2022-03-18 16:12:00,1.45,1.45,1.45,1.45,509
2022-03-18 16:03:00,1.44,1.44,1.44,1.44,162
2022-03-18 16:00:00,1.458,1.46,1.45,1.45,18911
2022-03-18 15:59:00,1.455,1.465,1.455,1.46,8928
2022-03-18 15:58:00,1.46,1.46,1.45,1.4591,7243
2022-03-18 15:57:00,1.455,1.4595,1.455,1.455,956
2022-03-18 15:56:00,1.455,1.455,1.455,1.455,652
2022-03-18 15:55:00,1.455,1.46,1.455,1.4599,2597
2022-03-18 15:54:00,1.455,1.4599,1.455,1.459,856
2022-03-18 15:53:00,1.46,1.46,1.45,1.455,5693
2022-03-18 15:52:00,1.48,1.48,1.45,1.4588,17577
2022-03-18 15:51:00,1.48,1.48,1.48,1.48,1000
2022-03-18 15:50:00,1.48,1.485,1.48,1.485,704
2022-03-18 15:49:00,1.49,1.49,1.48,1.48,7307
2022-03-18 15:48:00,1.5,1.5,1.5,1.5,183
2022-03-18 15:47:00,1.5001,1.51,1.5001,1.51,471
2022-03-18 15:42:00,1.5,1.5,1.49,1.49,1377
2022-03-18 15:41:00,1.5,1.51,1.5,1.51,2900
2022-03-18 15:40:00,1.5,1.5,1.5,1.5,330
2022-03-18 15:38:00,1.5,1.5,1.5,1.5,173
2022-03-18 15:37:00,1.4899,1.5,1.485,1.5,13200
2022-03-18 15:35:00,1.485,1.49,1.485,1.489,1412
2022-03-18 15:34:00,1.4812,1.49,1.4812,1.485,4130
2022-03-18 15:33:00,1.4899,1.4899,1.4899,1.4899,1550
2022-03-18 15:32:00,1.5053,1.5062,1.48,1.48,15589
2022-03-18 15:30:00,1.51,1.51,1.5,1.5,5431
2022-03-18 15:29:00,1.5001,1.51,1.5,1.5001,11976
2022-03-18 15:27:00,1.505,1.514,1.5,1.514,3286
2022-03-18 15:26:00,1.5097,1.5097,1.5097,1.5097,100
2022-03-18 15:25:00,1.525,1.5299,1.5,1.5,3710
2022-03-18 15:20:00,1.52,1.5201,1.52,1.5201,1660
2022-03-18 15:19:00,1.53,1.53,1.53,1.53,211
2022-03-18 15:14:00,1.5283,1.5283,1.5283,1.5283,200
2022-03-18 15:13:00,1.53,1.53,1.53,1.53,562
2022-03-18 15:11:00,1.5295,1.5299,1.525,1.525,5300
2022-03-18 15:09:00,1.51,1.51,1.51,1.51,110
2022-03-18 15:07:00,1.5008,1.509,1.5008,1.505,4600
2022-03-18 15:06:00,1.5,1.5,1.5,1.5,529
2022-03-18 15:04:00,1.5,1.5046,1.5,1.5046,1511
2022-03-18 15:02:00,1.5001,1.5038,1.5,1.5038,5387
2022-03-18 15:01:00,1.5094,1.5094,1.505,1.505,1201
2022-03-18 14:58:00,1.51,1.51,1.51,1.51,2497
2022-03-18 14:55:00,1.515,1.5192,1.515,1.5192,800
2022-03-18 14:50:00,1.5106,1.5106,1.51,1.51,456
2022-03-18 14:48:00,1.5023,1.5023,1.5023,1.5023,300
2022-03-18 14:47:00,1.51,1.51,1.51,1.51,314
2022-03-18 14:46:00,1.51,1.51,1.51,1.51,10022
2022-03-18 14:45:00,1.52,1.52,1.5,1.5,14583
2022-03-18 14:44:00,1.5289,1.5289,1.5289,1.5289,200
2022-03-18 14:43:00,1.52,1.525,1.52,1.525,3101
2022-03-18 14:42:00,1.523,1.523,1.523,1.523,200
2022-03-18 14:41:00,1.525,1.525,1.525,1.525,211
2022-03-18 14:40:00,1.53,1.53,1.52,1.52,2200
2022-03-18 14:39:00,1.53,1.53,1.53,1.53,3568
2022-03-18 14:36:00,1.5304,1.5304,1.5304,1.5304,1000
2022-03-18 14:34:00,1.53,1.5302,1.53,1.5302,9000
2022-03-18 14:33:00,1.54,1.54,1.53,1.5301,2203
2022-03-18 14:30:00,1.53,1.5302,1.53,1.5302,681
2022-03-18 14:26:00,1.5317,1.5317,1.5317,1.5317,502
2022-03-18 14:25:00,1.5311,1.5311,1.5311,1.5311,125
2022-03-18 14:23:00,1.5301,1.5301,1.5301,1.5301,301
2022-03-18 14:16:00,1.54,1.54,1.53,1.53,633
2022-03-18 14:15:00,1.5401,1.5401,1.5401,1.5401,100
2022-03-18 14:13:00,1.54,1.54,1.54,1.54,176
2022-03-18 14:12:00,1.55,1.55,1.55,1.55,2200
2022-03-18 14:11:00,1.5599,1.5599,1.5599,1.5599,500
2022-03-18 14:06:00,1.5583,1.5583,1.5583,1.5583,155
2022-03-18 14:05:00,1.5408,1.5408,1.5408,1.5408,227
2022-03-18 14:04:00,1.55,1.55,1.53,1.5406,5489
2022-03-18 14:03:00,1.55,1.5501,1.55,1.55,2001
2022-03-18 14:02:00,1.55,1.5599,1.55,1.555,8000
2022-03-18 14:01:00,1.55,1.55,1.55,1.55,1536
2022-03-18 13:57:00,1.555,1.555,1.55,1.55,5287
2022-03-18 13:56:00,1.555,1.555,1.555,1.555,101
2022-03-18 13:55:00,1.555,1.5591,1.555,1.5591,1500
2022-03-18 13:53:00,1.5592,1.5592,1.555,1.555,420
2022-03-18 13:52:00,1.55,1.5592,1.55,1.5592,556
2022-03-18 13:48:00,1.53,1.53,1.53,1.53,559
2022-03-18 13:47:00,1.535,1.54,1.535,1.54,3700
2022-03-18 13:45:00,1.5327,1.5327,1.5327,1.5327,700
2022-03-18 13:44:00,1.53,1.53,1.53,1.53,1000
2022-03-18 13:36:00,1.5499,1.5499,1.53,1.53,1976
2022-03-18 13:34:00,1.54,1.54,1.54,1.54,1330
2022-03-18 13:32:00,1.5392,1.5392,1.5392,1.5392,400
2022-03-18 13:31:00,1.5392,1.5392,1.5392,1.5392,574
2022-03-18 13:27:00,1.5205,1.53,1.5205,1.53,6100
2022-03-18 13:25:00,1.53,1.53,1.53,1.53,156
2022-03-18 13:23:00,1.53,1.53,1.52,1.52,2000
2022-03-18 13:22:00,1.52,1.53,1.52,1.53,1396
2022-03-18 13:21:00,1.53,1.53,1.53,1.53,3647
2022-03-18 13:20:00,1.53,1.53,1.53,1.53,339
2022-03-18 13:19:00,1.535,1.535,1.52,1.5301,7700
2022-03-18 13:17:00,1.5378,1.5378,1.5378,1.5378,100
2022-03-18 13:15:00,1.5398,1.5398,1.5398,1.5398,2000
2022-03-18 13:11:00,1.53,1.53,1.52,1.52,380
2022-03-18 13:04:00,1.5399,1.5399,1.5399,1.5399,5018
2022-03-18 13:03:00,1.53,1.53,1.52,1.52,1100
2022-03-18 12:59:00,1.53,1.53,1.53,1.53,398
2022-03-18 12:58:00,1.54,1.54,1.54,1.54,150
2022-03-18 12:56:00,1.535,1.535,1.53,1.53,300
