time,open,high,low,close,volume
2022-04-19 20:00:00,40.67,40.67,40.67,40.67,100
2022-04-19 19:59:00,40.95,40.95,40.95,40.95,374
2022-04-19 19:58:00,40.92,40.92,40.92,40.92,521
2022-04-19 19:55:00,40.92,40.92,40.92,40.92,1007
2022-04-19 19:45:00,40.85,40.92,40.85,40.92,511
2022-04-19 19:38:00,40.86,40.86,40.86,40.86,100
2022-04-19 19:36:00,40.85,40.85,40.85,40.85,211
2022-04-19 19:32:00,40.85,40.85,40.85,40.85,1500
2022-04-19 19:24:00,40.66,40.66,40.66,40.66,501
2022-04-19 18:45:00,40.85,40.85,40.85,40.85,195
2022-04-19 18:44:00,40.85,40.85,40.85,40.85,100
2022-04-19 18:43:00,40.85,40.85,40.85,40.85,992
2022-04-19 18:38:00,40.77,40.78,40.77,40.78,799
2022-04-19 18:32:00,40.68,40.68,40.64,40.64,1000
2022-04-19 18:02:00,40.85,40.85,40.85,40.85,100
2022-04-19 17:42:00,40.64,40.64,40.64,40.64,138
2022-04-19 17:39:00,40.8,40.8,40.66,40.66,780
2022-04-19 17:28:00,40.86,40.89,40.86,40.89,1726
2022-04-19 17:22:00,40.65,40.65,40.64,40.64,750
2022-04-19 17:20:00,40.65,40.65,40.65,40.65,500
2022-04-19 17:13:00,40.65,40.65,40.65,40.65,200
2022-04-19 17:04:00,40.65,40.65,40.65,40.65,600
2022-04-19 17:03:00,40.65,40.65,40.65,40.65,200
2022-04-19 17:02:00,40.72,40.72,40.72,40.72,204
2022-04-19 16:52:00,40.66,40.66,40.66,40.66,405
2022-04-19 16:46:00,40.79,40.79,40.79,40.79,1003
2022-04-19 16:45:00,40.79,40.79,40.79,40.79,131
2022-04-19 16:38:00,40.64,40.64,40.64,40.64,3150
2022-04-19 16:37:00,40.6401,40.6401,40.6401,40.6401,100
2022-04-19 16:36:00,40.7499,40.7499,40.7499,40.7499,800
2022-04-19 16:33:00,40.79,40.79,40.79,40.79,283
2022-04-19 16:27:00,40.76,40.77,40.76,40.77,390
2022-04-19 16:25:00,40.8,40.8,40.8,40.8,180
2022-04-19 16:21:00,40.8101,40.92,40.81,40.81,1063
2022-04-19 16:16:00,40.83,40.83,40.83,40.83,530
2022-04-19 16:13:00,40.81,40.81,40.81,40.81,706
2022-04-19 16:01:00,40.92,41.19,40.92,41.19,1076
2022-04-19 16:00:00,40.775,40.95,40.7701,40.92,58081
2022-04-19 15:59:00,40.88,40.9173,40.71,40.7785,43018
2022-04-19 15:58:00,40.685,41.05,40.67,40.88,51490
2022-04-19 15:57:00,40.71,40.7853,40.67,40.68,16657
2022-04-19 15:56:00,40.7264,40.79,40.69,40.74,20150
2022-04-19 15:55:00,40.95,40.95,40.7105,40.73,24241
2022-04-19 15:54:00,41.08,41.08,40.9,40.95,7008
2022-04-19 15:53:00,41.085,41.085,41.0065,41.0477,14183
2022-04-19 15:52:00,40.895,41.1,40.8787,41.1,16233
2022-04-19 15:51:00,40.915,41.05,40.86,40.8915,16112
2022-04-19 15:50:00,40.7601,40.93,40.76,40.93,11212
2022-04-19 15:49:00,40.7,40.81,40.7,40.76,4571
2022-04-19 15:48:00,40.95,40.96,40.66,40.7,28304
2022-04-19 15:47:00,41.0,41.12,40.94,40.9406,27090
2022-04-19 15:46:00,40.72,41.0,40.7111,40.96,25235
2022-04-19 15:45:00,40.61,40.74,40.54,40.74,12676
2022-04-19 15:44:00,40.74,40.74,40.46,40.64,15686
2022-04-19 15:43:00,40.75,40.76,40.72,40.745,5782
2022-04-19 15:42:00,40.66,40.73,40.63,40.69,13808
2022-04-19 15:41:00,40.91,40.91,40.72,40.76,14557
2022-04-19 15:40:00,41.0317,41.0446,40.91,40.91,10298
2022-04-19 15:39:00,40.93,41.13,40.89,41.1,23792
2022-04-19 15:38:00,40.92,40.9999,40.88,40.935,15950
2022-04-19 15:37:00,40.815,40.92,40.78,40.9,13337
2022-04-19 15:36:00,40.86,40.9,40.82,40.82,5241
2022-04-19 15:35:00,40.7901,40.9,40.75,40.9,5391
2022-04-19 15:34:00,40.8,40.93,40.7901,40.8574,10728
2022-04-19 15:33:00,40.7183,40.8199,40.71,40.81,10819
2022-04-19 15:32:00,40.6028,40.7,40.6,40.6992,16442
2022-04-19 15:31:00,40.51,40.597,40.5,40.597,6089
2022-04-19 15:30:00,40.545,40.545,40.4504,40.49,6827
2022-04-19 15:29:00,40.51,40.6,40.51,40.6,7999
2022-04-19 15:28:00,40.42,40.51,40.42,40.51,3972
2022-04-19 15:27:00,40.42,40.4572,40.3801,40.4572,4799
2022-04-19 15:26:00,40.31,40.43,40.31,40.4294,8383
2022-04-19 15:25:00,40.425,40.4263,40.31,40.31,2951
2022-04-19 15:24:00,40.5299,40.545,40.3601,40.3601,4283
2022-04-19 15:23:00,40.355,40.48,40.32,40.48,10156
2022-04-19 15:22:00,40.44,40.545,40.32,40.325,2714
2022-04-19 15:21:00,40.57,40.57,40.5,40.5107,1139
2022-04-19 15:20:00,40.61,40.625,40.61,40.625,2241
2022-04-19 15:19:00,40.72,40.73,40.58,40.58,5078
2022-04-19 15:18:00,40.82,40.92,40.6,40.7799,18406
2022-04-19 15:17:00,40.61,41.0,40.61,40.82,26694
2022-04-19 15:16:00,40.64,40.7599,40.6,40.675,2570
2022-04-19 15:15:00,40.92,40.92,40.6,40.7,8999
2022-04-19 15:14:00,40.6796,41.0,40.64,40.91,44282
2022-04-19 15:13:00,40.6,40.65,40.56,40.65,4000
2022-04-19 15:12:00,40.3624,40.56,40.35,40.555,7969
2022-04-19 15:11:00,40.23,40.36,40.23,40.36,1938
2022-04-19 15:10:00,40.32,40.34,40.26,40.2601,2707
2022-04-19 15:09:00,40.1,40.34,40.1,40.34,5423
2022-04-19 15:08:00,40.2,40.2,40.0401,40.09,4951
2022-04-19 15:07:00,40.185,40.2,40.185,40.2,2093
2022-04-19 15:06:00,40.25,40.25,40.22,40.22,1212
2022-04-19 15:05:00,40.32,40.3284,40.2514,40.28,4130
2022-04-19 15:04:00,40.1839,40.37,40.1839,40.37,5419
2022-04-19 15:03:00,40.18,40.2,40.18,40.2,706
2022-04-19 15:02:00,40.1397,40.195,40.12,40.1401,13298
2022-04-19 15:01:00,40.27,40.295,40.06,40.1483,9479
2022-04-19 15:00:00,40.205,40.27,40.1116,40.27,11429
2022-04-19 14:59:00,40.301,40.31,40.2011,40.2056,5393
2022-04-19 14:58:00,40.46,40.4924,40.345,40.345,5937
2022-04-19 14:57:00,40.415,40.4594,40.39,40.4594,2954
2022-04-19 14:56:00,40.415,40.42,40.3895,40.415,1114
2022-04-19 14:55:00,40.43,40.45,40.39,40.4,2157
2022-04-19 14:54:00,40.33,40.45,40.28,40.45,4038
2022-04-19 14:53:00,40.4,40.4,40.2,40.29,11988
2022-04-19 14:52:00,40.42,40.48,40.405,40.405,2856
2022-04-19 14:51:00,40.71,40.729,40.4065,40.42,9508
2022-04-19 14:50:00,40.7085,40.73,40.66,40.73,3442
2022-04-19 14:49:00,40.693,40.72,40.6601,40.72,1086
2022-04-19 14:48:00,40.6527,40.74,40.6527,40.7,6968
2022-04-19 14:47:00,40.665,40.67,40.665,40.67,539
2022-04-19 14:46:00,40.74,40.74,40.6501,40.6501,1716
2022-04-19 14:45:00,40.73,40.815,40.73,40.73,2754
2022-04-19 14:44:00,40.67,40.72,40.6498,40.71,3933
2022-04-19 14:43:00,40.61,40.68,40.6,40.68,4077
2022-04-19 14:42:00,40.6699,40.69,40.5701,40.69,4691
2022-04-19 14:41:00,40.595,40.66,40.58,40.64,2134
2022-04-19 14:40:00,40.52,40.7288,40.52,40.595,9141
2022-04-19 14:39:00,40.48,40.5594,40.4018,40.49,4042
2022-04-19 14:38:00,40.18,40.5,40.18,40.4906,29284
2022-04-19 14:37:00,40.3,40.3345,40.18,40.185,9035
2022-04-19 14:36:00,40.315,40.39,40.3,40.355,13561
2022-04-19 14:35:00,40.47,40.51,40.31,40.325,5205
2022-04-19 14:34:00,40.57,40.57,40.43,40.48,5790
2022-04-19 14:33:00,40.7599,40.7599,40.51,40.635,6830
2022-04-19 14:32:00,40.815,40.815,40.78,40.79,5289
2022-04-19 14:31:00,40.892,40.9642,40.815,40.815,6509
2022-04-19 14:30:00,40.76,40.98,40.76,40.915,34325
2022-04-19 14:29:00,40.7384,40.92,40.7169,40.755,24257
2022-04-19 14:28:00,40.655,40.74,40.655,40.6801,8032
2022-04-19 14:27:00,40.66,40.68,40.6101,40.65,28161
2022-04-19 14:26:00,40.63,40.6899,40.52,40.6899,4839
2022-04-19 14:25:00,40.58,40.64,40.5295,40.635,4950
2022-04-19 14:24:00,40.6239,40.7094,40.61,40.7,5712
2022-04-19 14:23:00,40.5799,40.74,40.55,40.65,21044
2022-04-19 14:22:00,40.45,40.53,40.45,40.53,2022
2022-04-19 14:21:00,40.365,40.42,40.365,40.42,1935
2022-04-19 14:20:00,40.405,40.43,40.32,40.36,9454
2022-04-19 14:19:00,40.44,40.5174,40.39,40.39,4868
2022-04-19 14:18:00,40.5,40.545,40.3991,40.4,5037
2022-04-19 14:17:00,40.6485,40.6485,40.485,40.55,8286
2022-04-19 14:16:00,40.445,40.6,40.4425,40.5701,6992
2022-04-19 14:15:00,40.3,40.46,40.3,40.43,4751
2022-04-19 14:14:00,40.3,40.34,40.2855,40.3392,1991
2022-04-19 14:13:00,40.3124,40.3124,40.27,40.31,3475
2022-04-19 14:12:00,40.4,40.41,40.29,40.36,11776
2022-04-19 14:11:00,40.3965,40.405,40.36,40.4,3256
2022-04-19 14:10:00,40.4755,40.4755,40.3215,40.35,8710
2022-04-19 14:09:00,40.32,40.47,40.311,40.4562,4271
2022-04-19 14:08:00,40.335,40.34,40.29,40.34,2657
2022-04-19 14:07:00,40.3774,40.4088,40.29,40.29,2368
2022-04-19 14:06:00,40.22,40.34,40.22,40.34,5040
2022-04-19 14:05:00,40.35,40.419,40.2191,40.22,9564
2022-04-19 14:04:00,40.265,40.35,40.265,40.35,6926
2022-04-19 14:03:00,40.341,40.3838,40.25,40.27,7263
2022-04-19 14:02:00,40.3893,40.475,40.36,40.36,4447
2022-04-19 14:01:00,40.2986,40.5,40.2986,40.45,14384
2022-04-19 14:00:00,40.2563,40.3783,40.23,40.3085,7953
2022-04-19 13:59:00,40.1199,40.23,40.1,40.23,10582
2022-04-19 13:58:00,40.07,40.1,40.06,40.1,4403
2022-04-19 13:57:00,40.0601,40.1299,40.0601,40.09,3086
2022-04-19 13:56:00,40.14,40.14,40.0601,40.1,7570
2022-04-19 13:55:00,40.07,40.17,40.07,40.14,7003
2022-04-19 13:54:00,40.08,40.0883,40.03,40.075,3048
2022-04-19 13:53:00,40.08,40.13,40.05,40.1,4559
2022-04-19 13:52:00,40.22,40.2235,40.15,40.15,5325
2022-04-19 13:51:00,40.235,40.34,40.22,40.25,12166
2022-04-19 13:50:00,40.1496,40.18,40.125,40.18,2650
2022-04-19 13:49:00,40.04,40.1213,40.04,40.115,2013
2022-04-19 13:48:00,40.16,40.16,40.03,40.03,2528
2022-04-19 13:47:00,40.22,40.22,40.1612,40.18,5585
2022-04-19 13:46:00,40.24,40.28,40.2368,40.2368,1714
2022-04-19 13:45:00,40.1146,40.25,40.1146,40.25,4297
2022-04-19 13:44:00,40.11,40.1799,40.11,40.1203,3378
2022-04-19 13:43:00,40.02,40.1,40.0,40.1,5967
2022-04-19 13:42:00,40.055,40.11,40.0,40.0326,3306
2022-04-19 13:41:00,40.0925,40.0925,40.02,40.03,4419
2022-04-19 13:40:00,40.06,40.1066,40.03,40.1,3265
2022-04-19 13:39:00,40.3,40.31,40.0,40.1,21467
2022-04-19 13:38:00,40.31,40.375,40.31,40.31,1997
2022-04-19 13:37:00,40.2201,40.3,40.22,40.28,13509
2022-04-19 13:36:00,40.446,40.4819,40.22,40.22,8028
2022-04-19 13:35:00,40.4201,40.4956,40.4201,40.45,1148
2022-04-19 13:34:00,40.4,40.62,40.3999,40.5631,4197
2022-04-19 13:33:00,40.4,40.4,40.3575,40.37,5923
2022-04-19 13:32:00,40.455,40.47,40.35,40.3607,13354
2022-04-19 13:31:00,40.4936,40.535,40.46,40.4601,3423
2022-04-19 13:30:00,40.47,40.5368,40.4,40.5,5617
2022-04-19 13:29:00,40.5621,40.5652,40.41,40.41,10821
2022-04-19 13:28:00,40.61,40.675,40.57,40.57,47295
2022-04-19 13:27:00,40.8445,40.86,40.6581,40.6581,14964
2022-04-19 13:26:00,40.98,40.98,40.7803,40.81,5466
2022-04-19 13:25:00,40.8601,40.99,40.8601,40.94,3031
2022-04-19 13:24:00,41.04,41.1522,41.0,41.0,8666
2022-04-19 13:23:00,40.8651,41.16,40.8651,40.97,25320
2022-04-19 13:22:00,40.64,40.8699,40.64,40.865,5642
2022-04-19 13:21:00,40.71,40.7587,40.48,40.618,22136
2022-04-19 13:20:00,40.65,40.8,40.65,40.7985,8848
2022-04-19 13:19:00,40.5625,40.7,40.5625,40.7,12284
2022-04-19 13:18:00,40.855,40.855,40.53,40.5662,20920
2022-04-19 13:17:00,40.8944,40.8944,40.81,40.855,2424
2022-04-19 13:16:00,40.81,40.9464,40.79,40.9464,2068
2022-04-19 13:15:00,40.999,40.999,40.8801,40.925,4943
2022-04-19 13:14:00,40.8205,41.0477,40.6901,40.98,10803
2022-04-19 13:13:00,40.7821,40.79,40.6,40.7564,13706
2022-04-19 13:12:00,41.0529,41.11,40.7,40.758,25761
2022-04-19 13:11:00,41.03,41.13,40.9501,41.1089,7697
2022-04-19 13:10:00,41.0,41.14,40.71,41.03,29192
2022-04-19 13:09:00,41.12,41.1468,41.0,41.0,13622
2022-04-19 13:08:00,41.111,41.21,41.0001,41.17,25680
2022-04-19 13:07:00,41.365,41.4288,41.04,41.2463,21331
2022-04-19 13:06:00,41.4799,41.61,41.26,41.36,56584
2022-04-19 13:05:00,41.3,41.48,41.14,41.48,38401
