time,open,high,low,close,volume
2022-02-17 20:00:00,3.29,3.3,3.29,3.2901,6323
2022-02-17 19:59:00,3.27,3.2801,3.27,3.2801,14936
2022-02-17 19:58:00,3.27,3.27,3.27,3.27,505
2022-02-17 19:57:00,3.28,3.28,3.27,3.27,2925
2022-02-17 19:56:00,3.27,3.28,3.27,3.28,2571
2022-02-17 19:55:00,3.27,3.28,3.27,3.28,11516
2022-02-17 19:54:00,3.27,3.27,3.27,3.27,112
2022-02-17 19:53:00,3.27,3.27,3.27,3.27,9724
2022-02-17 19:51:00,3.25,3.26,3.25,3.26,1162
2022-02-17 19:50:00,3.25,3.25,3.25,3.25,208
2022-02-17 19:48:00,3.27,3.27,3.27,3.27,165
2022-02-17 19:46:00,3.27,3.27,3.27,3.27,1366
2022-02-17 19:44:00,3.27,3.28,3.27,3.27,11380
2022-02-17 19:43:00,3.27,3.27,3.27,3.27,700
2022-02-17 19:42:00,3.26,3.2701,3.26,3.2701,4516
2022-02-17 19:41:00,3.27,3.27,3.27,3.27,12855
2022-02-17 19:39:00,3.27,3.27,3.27,3.27,11992
2022-02-17 19:38:00,3.26,3.26,3.26,3.26,3015
2022-02-17 19:37:00,3.27,3.27,3.27,3.27,208
2022-02-17 19:36:00,3.25,3.27,3.25,3.27,13205
2022-02-17 19:34:00,3.25,3.25,3.25,3.25,14665
2022-02-17 19:33:00,3.25,3.25,3.25,3.25,351
2022-02-17 19:32:00,3.26,3.26,3.26,3.26,858
2022-02-17 19:31:00,3.27,3.27,3.27,3.27,1615
2022-02-17 19:30:00,3.27,3.27,3.27,3.27,3705
2022-02-17 19:29:00,3.27,3.27,3.27,3.27,16069
2022-02-17 19:28:00,3.27,3.27,3.27,3.27,25301
2022-02-17 19:26:00,3.28,3.28,3.28,3.28,2059
2022-02-17 19:25:00,3.27,3.2701,3.27,3.2701,7766
2022-02-17 19:23:00,3.27,3.27,3.27,3.27,429
2022-02-17 19:21:00,3.26,3.26,3.26,3.26,112
2022-02-17 19:20:00,3.27,3.27,3.27,3.27,101
2022-02-17 19:18:00,3.25,3.25,3.25,3.25,1794
2022-02-17 19:17:00,3.25,3.25,3.25,3.25,903
2022-02-17 19:16:00,3.25,3.25,3.25,3.25,470
2022-02-17 19:15:00,3.24,3.25,3.24,3.25,2150
2022-02-17 19:14:00,3.25,3.25,3.24,3.24,310
2022-02-17 19:13:00,3.25,3.25,3.25,3.25,142
2022-02-17 19:12:00,3.25,3.25,3.25,3.25,144
2022-02-17 19:11:00,3.24,3.24,3.23,3.23,13976
2022-02-17 19:10:00,3.2499,3.2499,3.2499,3.2499,2003
2022-02-17 19:09:00,3.25,3.25,3.25,3.25,167
2022-02-17 19:08:00,3.25,3.25,3.25,3.25,1964
2022-02-17 19:06:00,3.26,3.26,3.25,3.25,2548
2022-02-17 19:04:00,3.26,3.26,3.26,3.26,100
2022-02-17 19:03:00,3.26,3.26,3.26,3.26,717
2022-02-17 19:01:00,3.26,3.27,3.26,3.26,5155
2022-02-17 19:00:00,3.261,3.261,3.26,3.26,3025
2022-02-17 18:59:00,3.2601,3.2601,3.2601,3.2601,3004
2022-02-17 18:58:00,3.2699,3.2699,3.2699,3.2699,681
2022-02-17 18:55:00,3.27,3.27,3.27,3.27,200
2022-02-17 18:53:00,3.25,3.25,3.25,3.25,200
2022-02-17 18:52:00,3.26,3.26,3.26,3.26,139
2022-02-17 18:51:00,3.26,3.26,3.2599,3.26,2650
2022-02-17 18:48:00,3.25,3.25,3.25,3.25,8095
2022-02-17 18:47:00,3.25,3.25,3.24,3.24,2917
2022-02-17 18:46:00,3.26,3.2601,3.26,3.2601,3369
2022-02-17 18:45:00,3.27,3.27,3.27,3.27,200
2022-02-17 18:41:00,3.27,3.28,3.27,3.28,4403
2022-02-17 18:40:00,3.27,3.2701,3.27,3.2701,7101
2022-02-17 18:39:00,3.27,3.28,3.27,3.28,3141
2022-02-17 18:38:00,3.28,3.28,3.28,3.28,462
2022-02-17 18:37:00,3.2701,3.2701,3.2701,3.2701,125
2022-02-17 18:36:00,3.28,3.28,3.28,3.28,1125
2022-02-17 18:35:00,3.27,3.28,3.27,3.28,2968
2022-02-17 18:34:00,3.26,3.26,3.26,3.26,415
2022-02-17 18:33:00,3.27,3.27,3.27,3.27,401
2022-02-17 18:31:00,3.27,3.27,3.27,3.27,250
2022-02-17 18:30:00,3.26,3.27,3.26,3.26,3211
2022-02-17 18:29:00,3.26,3.28,3.26,3.26,1634
2022-02-17 18:28:00,3.28,3.28,3.28,3.28,219
2022-02-17 18:26:00,3.271,3.28,3.27,3.28,10469
2022-02-17 18:25:00,3.27,3.271,3.27,3.27,86069
2022-02-17 18:24:00,3.27,3.28,3.27,3.28,34025
2022-02-17 18:23:00,3.27,3.28,3.26,3.26,7922
2022-02-17 18:22:00,3.26,3.27,3.26,3.27,10104
2022-02-17 18:20:00,3.26,3.26,3.26,3.26,11302
2022-02-17 18:19:00,3.25,3.25,3.25,3.25,1000
2022-02-17 18:18:00,3.25,3.25,3.25,3.25,3000
2022-02-17 18:17:00,3.26,3.26,3.26,3.26,100
2022-02-17 18:14:00,3.25,3.25,3.25,3.25,7900
2022-02-17 18:13:00,3.24,3.25,3.2399,3.25,69454
2022-02-17 18:12:00,3.23,3.23,3.23,3.23,602
2022-02-17 18:10:00,3.24,3.24,3.24,3.24,1368
2022-02-17 18:06:00,3.23,3.23,3.23,3.23,930
2022-02-17 18:03:00,3.24,3.24,3.24,3.24,200
2022-02-17 18:02:00,3.24,3.24,3.24,3.24,666
2022-02-17 18:01:00,3.24,3.24,3.24,3.24,391
2022-02-17 18:00:00,3.23,3.24,3.23,3.24,5762
2022-02-17 17:59:00,3.24,3.24,3.23,3.23,10354
2022-02-17 17:58:00,3.24,3.24,3.24,3.24,1944
2022-02-17 17:57:00,3.24,3.24,3.24,3.24,255
2022-02-17 17:56:00,3.24,3.24,3.24,3.24,200
2022-02-17 17:55:00,3.23,3.23,3.23,3.23,1026
2022-02-17 17:54:00,3.24,3.24,3.23,3.24,4801
2022-02-17 17:53:00,3.24,3.24,3.24,3.24,339
2022-02-17 17:51:00,3.24,3.24,3.23,3.23,625
2022-02-17 17:50:00,3.23,3.23,3.23,3.23,216
2022-02-17 17:49:00,3.24,3.24,3.2399,3.2399,3592
2022-02-17 17:46:00,3.24,3.24,3.24,3.24,115
2022-02-17 17:45:00,3.24,3.24,3.24,3.24,910
2022-02-17 17:44:00,3.24,3.24,3.24,3.24,1867
2022-02-17 17:43:00,3.24,3.24,3.24,3.24,195
2022-02-17 17:41:00,3.24,3.24,3.23,3.23,320
2022-02-17 17:40:00,3.235,3.24,3.235,3.24,3955
2022-02-17 17:38:00,3.23,3.235,3.23,3.235,1577
2022-02-17 17:37:00,3.24,3.24,3.24,3.24,5715
2022-02-17 17:35:00,3.23,3.23,3.23,3.23,498
2022-02-17 17:34:00,3.235,3.235,3.235,3.235,1025
2022-02-17 17:32:00,3.24,3.24,3.24,3.24,2510
2022-02-17 17:31:00,3.235,3.235,3.23,3.23,2927
2022-02-17 17:30:00,3.23,3.24,3.23,3.24,968
2022-02-17 17:29:00,3.23,3.23,3.23,3.23,3313
2022-02-17 17:28:00,3.23,3.24,3.23,3.24,1243
2022-02-17 17:27:00,3.24,3.24,3.24,3.24,953
2022-02-17 17:26:00,3.24,3.24,3.23,3.23,688
2022-02-17 17:25:00,3.24,3.24,3.24,3.24,297
2022-02-17 17:24:00,3.24,3.24,3.24,3.24,113
2022-02-17 17:20:00,3.23,3.23,3.23,3.23,524
2022-02-17 17:19:00,3.24,3.24,3.23,3.23,2135
2022-02-17 17:18:00,3.24,3.24,3.24,3.24,1110
2022-02-17 17:15:00,3.24,3.24,3.24,3.24,1356
2022-02-17 17:14:00,3.23,3.23,3.23,3.23,7051
2022-02-17 17:13:00,3.24,3.24,3.24,3.24,197
2022-02-17 17:12:00,3.24,3.24,3.23,3.24,37462
