time,open,high,low,close,volume
2022-04-19 19:15:00,7.8001,7.8001,7.8001,7.8001,100
2022-04-19 19:01:00,7.8,7.8,7.8,7.8,254
2022-04-19 18:51:00,7.6901,7.6901,7.6901,7.6901,500
2022-04-19 18:04:00,7.69,7.69,7.69,7.69,340
2022-04-19 18:03:00,7.71,7.71,7.7,7.7,2263
2022-04-19 17:59:00,7.89,7.89,7.89,7.89,100
2022-04-19 17:36:00,7.7,7.7,7.7,7.7,935
2022-04-19 16:07:00,7.82,7.82,7.82,7.82,100
2022-04-19 16:06:00,7.82,7.82,7.82,7.82,455
2022-04-19 16:00:00,7.88,7.88,7.86,7.86,14002
2022-04-19 15:59:00,7.875,7.885,7.875,7.88,3548
2022-04-19 15:58:00,7.88,7.88,7.88,7.88,624
2022-04-19 15:57:00,7.88,7.8899,7.88,7.8899,1347
2022-04-19 15:56:00,7.8787,7.88,7.8713,7.8713,753
2022-04-19 15:55:00,7.885,7.8899,7.88,7.8899,610
2022-04-19 15:54:00,7.9,7.9,7.9,7.9,356
2022-04-19 15:53:00,7.91,7.91,7.91,7.91,215
2022-04-19 15:51:00,7.92,7.9275,7.92,7.9275,332
2022-04-19 15:50:00,7.92,7.92,7.91,7.91,500
2022-04-19 15:49:00,7.94,7.9499,7.93,7.93,2283
2022-04-19 15:46:00,7.94,7.94,7.94,7.94,129
2022-04-19 15:45:00,7.95,7.95,7.9399,7.9399,357
2022-04-19 15:42:00,7.95,7.95,7.95,7.95,231
2022-04-19 15:41:00,7.9384,7.9384,7.93,7.93,285
2022-04-19 15:38:00,7.93,7.95,7.93,7.95,1150
2022-04-19 15:37:00,7.95,7.95,7.95,7.95,961
2022-04-19 15:35:00,7.9401,7.9401,7.9401,7.9401,270
2022-04-19 15:34:00,7.9501,7.9501,7.9501,7.9501,332
2022-04-19 15:33:00,7.96,7.96,7.96,7.96,257
2022-04-19 15:30:00,7.955,7.955,7.95,7.95,420
2022-04-19 15:29:00,7.975,7.975,7.95,7.95,1568
2022-04-19 15:25:00,7.98,7.98,7.98,7.98,385
2022-04-19 15:24:00,7.9452,7.9452,7.9452,7.9452,300
2022-04-19 15:23:00,7.975,7.975,7.95,7.9699,971
2022-04-19 15:22:00,7.98,7.98,7.98,7.98,275
2022-04-19 15:20:00,7.99,7.99,7.99,7.99,100
2022-04-19 15:18:00,7.97,7.97,7.97,7.97,100
2022-04-19 15:16:00,7.9517,7.9517,7.9517,7.9517,474
2022-04-19 15:15:00,7.97,7.97,7.97,7.97,120
2022-04-19 15:14:00,7.97,7.97,7.9401,7.9401,240
2022-04-19 15:13:00,7.97,7.97,7.9666,7.9666,700
2022-04-19 15:12:00,7.94,7.94,7.94,7.94,1000
2022-04-19 15:11:00,7.95,7.95,7.95,7.95,313
2022-04-19 15:08:00,7.95,7.95,7.95,7.95,132
2022-04-19 15:06:00,7.9474,7.9474,7.9474,7.9474,202
2022-04-19 15:02:00,7.95,7.95,7.95,7.95,610
2022-04-19 15:01:00,7.9459,7.96,7.9459,7.96,400
2022-04-19 14:59:00,7.9289,7.95,7.9289,7.95,6818
2022-04-19 14:55:00,7.914,7.914,7.914,7.914,223
2022-04-19 14:54:00,7.91,7.91,7.91,7.91,108
2022-04-19 14:53:00,7.895,7.895,7.8804,7.8804,200
2022-04-19 14:52:00,7.88,7.9,7.88,7.9,216
2022-04-19 14:51:00,7.8899,7.8899,7.8601,7.8601,675
2022-04-19 14:47:00,7.8852,7.8852,7.875,7.875,386
2022-04-19 14:46:00,7.8839,7.8839,7.8839,7.8839,100
2022-04-19 14:43:00,7.8895,7.8895,7.8895,7.8895,1024
2022-04-19 14:42:00,7.87,7.87,7.87,7.87,1000
2022-04-19 14:40:00,7.86,7.86,7.85,7.85,1838
2022-04-19 14:39:00,7.88,7.88,7.87,7.88,2186
2022-04-19 14:37:00,7.88,7.88,7.88,7.88,210
2022-04-19 14:36:00,7.8899,7.8899,7.8873,7.8873,550
2022-04-19 14:35:00,7.8899,7.8899,7.8701,7.8701,408
2022-04-19 14:31:00,7.8899,7.8899,7.88,7.88,544
2022-04-19 14:30:00,7.89,7.89,7.8701,7.8701,656
2022-04-19 14:29:00,7.8999,7.8999,7.8701,7.8873,2486
2022-04-19 14:28:00,7.88,7.8999,7.8701,7.899,1926
2022-04-19 14:27:00,7.88,7.8952,7.88,7.8952,617
2022-04-19 14:26:00,7.862,7.87,7.862,7.87,356
2022-04-19 14:25:00,7.86,7.86,7.86,7.86,1305
2022-04-19 14:24:00,7.87,7.87,7.87,7.87,259
2022-04-19 14:21:00,7.86,7.86,7.86,7.86,360
2022-04-19 14:20:00,7.87,7.89,7.87,7.87,595
2022-04-19 14:19:00,7.9,7.9,7.9,7.9,837
2022-04-19 14:17:00,7.87,7.91,7.86,7.91,1161
2022-04-19 14:16:00,7.86,7.87,7.85,7.85,2009
2022-04-19 14:15:00,7.8629,7.87,7.86,7.86,802
2022-04-19 14:14:00,7.84,7.84,7.84,7.84,596
2022-04-19 14:13:00,7.845,7.845,7.84,7.8406,1720
2022-04-19 14:12:00,7.89,7.89,7.8401,7.8401,3933
2022-04-19 14:10:00,7.91,7.91,7.895,7.8958,2041
2022-04-19 14:09:00,7.9299,7.9299,7.9299,7.9299,502
2022-04-19 14:05:00,7.95,7.95,7.9206,7.93,1450
2022-04-19 14:04:00,7.94,7.94,7.94,7.94,326
2022-04-19 14:03:00,7.93,7.94,7.93,7.94,318
2022-04-19 14:00:00,8.0,8.0,7.9403,7.9403,2002
2022-04-19 13:59:00,8.0085,8.01,8.0,8.0,14102
2022-04-19 13:58:00,8.03,8.03,8.0001,8.0001,400
2022-04-19 13:57:00,8.0001,8.0001,8.0001,8.0001,100
2022-04-19 13:56:00,8.02,8.02,8.02,8.02,1200
2022-04-19 13:55:00,8.035,8.035,8.01,8.0101,1941
2022-04-19 13:54:00,8.035,8.035,8.035,8.035,202
2022-04-19 13:53:00,8.035,8.035,8.035,8.035,200
2022-04-19 13:52:00,8.055,8.055,8.03,8.03,553
2022-04-19 13:50:00,8.045,8.045,8.045,8.045,155
2022-04-19 13:48:00,8.07,8.07,8.07,8.07,244
2022-04-19 13:47:00,8.02,8.02,8.02,8.02,126
2022-04-19 13:46:00,8.06,8.06,8.06,8.06,210
2022-04-19 13:39:00,8.05,8.05,8.05,8.05,335
2022-04-19 13:38:00,8.03,8.0499,8.03,8.0499,2420
2022-04-19 13:37:00,8.045,8.0522,8.045,8.045,2698
2022-04-19 13:36:00,8.04,8.0599,8.04,8.0599,3252
2022-04-19 13:35:00,8.13,8.13,8.0446,8.0446,6696
2022-04-19 13:31:00,8.16,8.16,8.15,8.15,678
2022-04-19 13:29:00,8.17,8.17,8.1624,8.1624,813
2022-04-19 13:28:00,8.1701,8.19,8.1701,8.1701,603
2022-04-19 13:27:00,8.23,8.23,8.2,8.2,1441
2022-04-19 13:25:00,8.23,8.23,8.23,8.23,462
2022-04-19 13:23:00,8.2552,8.2552,8.2552,8.2552,125
2022-04-19 13:22:00,8.26,8.26,8.26,8.26,100
2022-04-19 13:20:00,8.25,8.25,8.24,8.24,800
