time,open,high,low,close,volume
2022-01-18 17:05:00,4.08,4.08,4.08,4.08,100
2022-01-18 16:53:00,4.08,4.08,4.08,4.08,300
2022-01-18 16:01:00,4.09,4.09,4.09,4.09,1540
2022-01-18 16:00:00,4.1,4.11,4.09,4.11,5785
2022-01-18 15:59:00,4.1,4.1,4.09,4.09,1519
2022-01-18 15:58:00,4.09,4.1,4.08,4.1,4915
2022-01-18 15:57:00,4.09,4.1,4.085,4.1,727
2022-01-18 15:56:00,4.09,4.095,4.085,4.09,2339
2022-01-18 15:55:00,4.105,4.105,4.09,4.09,1105
2022-01-18 15:54:00,4.12,4.12,4.1,4.1,957
2022-01-18 15:53:00,4.11,4.11,4.11,4.11,678
2022-01-18 15:52:00,4.13,4.13,4.12,4.125,615
2022-01-18 15:51:00,4.135,4.14,4.12,4.13,1726
2022-01-18 15:50:00,4.12,4.12,4.12,4.12,557
2022-01-18 15:49:00,4.115,4.115,4.115,4.115,365
2022-01-18 15:48:00,4.11,4.12,4.1,4.11,1590
2022-01-18 15:47:00,4.105,4.11,4.1,4.1001,2583
2022-01-18 15:46:00,4.1,4.1,4.1,4.1,100
2022-01-18 15:45:00,4.1,4.1,4.1,4.1,206
2022-01-18 15:44:00,4.1,4.105,4.1,4.105,734
2022-01-18 15:42:00,4.1,4.1,4.1,4.1,399
2022-01-18 15:41:00,4.1,4.1,4.1,4.1,2522
2022-01-18 15:38:00,4.105,4.105,4.1,4.1,1300
2022-01-18 15:37:00,4.1,4.105,4.1,4.105,722
2022-01-18 15:36:00,4.1,4.105,4.1,4.105,1301
2022-01-18 15:35:00,4.1,4.105,4.1,4.105,584
2022-01-18 15:33:00,4.1,4.1,4.1,4.1,657
2022-01-18 15:32:00,4.115,4.115,4.1,4.1,754
2022-01-18 15:31:00,4.12,4.12,4.11,4.11,505
2022-01-18 15:27:00,4.13,4.13,4.13,4.13,1926
2022-01-18 15:26:00,4.12,4.13,4.11,4.13,2125
2022-01-18 15:23:00,4.1,4.1,4.1,4.1,720
2022-01-18 15:22:00,4.11,4.11,4.11,4.11,198
2022-01-18 15:21:00,4.12,4.12,4.11,4.11,700
2022-01-18 15:16:00,4.16,4.16,4.15,4.15,320
2022-01-18 15:15:00,4.17,4.17,4.17,4.17,200
2022-01-18 15:11:00,4.175,4.175,4.175,4.175,265
2022-01-18 15:10:00,4.18,4.18,4.18,4.18,750
2022-01-18 15:09:00,4.185,4.185,4.17,4.17,1200
2022-01-18 15:08:00,4.18,4.18,4.18,4.18,100
2022-01-18 15:05:00,4.2,4.2,4.195,4.195,304
2022-01-18 15:04:00,4.21,4.21,4.1948,4.1948,570
2022-01-18 15:03:00,4.21,4.21,4.205,4.21,450
2022-01-18 15:02:00,4.2001,4.2001,4.2001,4.2001,800
2022-01-18 15:01:00,4.2189,4.2189,4.2189,4.2189,535
2022-01-18 15:00:00,4.21,4.21,4.21,4.21,141
2022-01-18 14:58:00,4.22,4.22,4.22,4.22,307
2022-01-18 14:55:00,4.23,4.23,4.23,4.23,503
2022-01-18 14:54:00,4.235,4.235,4.235,4.235,121
2022-01-18 14:52:00,4.225,4.2261,4.225,4.2261,486
2022-01-18 14:50:00,4.23,4.23,4.23,4.23,929
2022-01-18 14:48:00,4.2001,4.2001,4.2001,4.2001,256
2022-01-18 14:47:00,4.2244,4.2244,4.2244,4.2244,200
2022-01-18 14:44:00,4.22,4.23,4.21,4.23,407
