time,open,high,low,close,volume
2022-04-19 19:57:00,4.01,4.01,4.01,4.01,522
2022-04-19 19:18:00,4.0,4.0,4.0,4.0,150
2022-04-19 18:45:00,4.0,4.0,4.0,4.0,368
2022-04-19 18:14:00,4.0001,4.0001,4.0001,4.0001,900
2022-04-19 18:13:00,4.0001,4.0001,4.0001,4.0001,800
2022-04-19 18:12:00,4.0001,4.0001,4.0001,4.0001,800
2022-04-19 17:09:00,4.01,4.01,4.01,4.01,229
2022-04-19 17:03:00,3.93,3.93,3.93,3.93,100
2022-04-19 16:55:00,3.92,3.92,3.92,3.92,245
2022-04-19 16:54:00,3.93,3.93,3.93,3.93,300
2022-04-19 16:39:00,4.01,4.01,4.01,4.01,200
2022-04-19 16:34:00,3.92,3.92,3.92,3.92,500
2022-04-19 16:29:00,3.93,3.93,3.93,3.93,501
2022-04-19 16:28:00,3.93,3.93,3.93,3.93,200
2022-04-19 16:25:00,3.93,3.93,3.93,3.93,201
2022-04-19 16:24:00,3.92,3.92,3.92,3.92,400
2022-04-19 16:23:00,3.93,3.93,3.93,3.93,401
2022-04-19 16:22:00,3.93,3.93,3.93,3.93,276
2022-04-19 16:21:00,3.93,3.93,3.93,3.93,1500
2022-04-19 16:20:00,3.93,3.93,3.93,3.93,1200
2022-04-19 16:19:00,3.93,3.93,3.93,3.93,300
2022-04-19 16:18:00,3.93,3.93,3.93,3.93,400
2022-04-19 16:08:00,3.91,3.91,3.91,3.91,100
2022-04-19 16:06:00,3.92,3.92,3.92,3.92,200
2022-04-19 16:05:00,3.92,3.92,3.92,3.92,407
2022-04-19 16:01:00,3.97,3.97,3.97,3.97,100
2022-04-19 16:00:00,4.0,4.0,3.98,3.985,7923
2022-04-19 15:59:00,4.0,4.0,3.99,4.0,2569
2022-04-19 15:58:00,4.0,4.0,3.9901,3.995,3572
2022-04-19 15:57:00,3.99,4.0,3.99,4.0,4023
2022-04-19 15:56:00,4.0,4.0,3.9718,3.99,2830
2022-04-19 15:55:00,4.005,4.01,4.0,4.0007,7493
2022-04-19 15:54:00,4.0099,4.0099,4.0099,4.0099,101
2022-04-19 15:53:00,4.005,4.005,4.005,4.005,200
2022-04-19 15:52:00,3.995,4.01,3.9934,3.9934,1539
2022-04-19 15:51:00,3.985,4.0,3.985,3.995,2340
2022-04-19 15:50:00,3.98,3.99,3.98,3.99,315
2022-04-19 15:49:00,3.985,3.99,3.9801,3.985,637
2022-04-19 15:48:00,4.0,4.0,3.97,3.9801,12791
2022-04-19 15:47:00,4.0,4.0,4.0,4.0,446
2022-04-19 15:46:00,4.0,4.0,4.0,4.0,505
2022-04-19 15:45:00,4.0,4.0,4.0,4.0,100
2022-04-19 15:44:00,3.992,3.992,3.9901,3.9901,1140
2022-04-19 15:43:00,4.008,4.008,4.0071,4.0071,210
2022-04-19 15:42:00,4.0,4.0,4.0,4.0,131
2022-04-19 15:40:00,4.0064,4.0064,4.0064,4.0064,464
2022-04-19 15:39:00,4.0031,4.0031,4.0031,4.0031,412
2022-04-19 15:35:00,4.03,4.03,4.01,4.01,1452
2022-04-19 15:33:00,4.0309,4.0309,4.0301,4.0301,1765
2022-04-19 15:28:00,4.0387,4.0387,4.0387,4.0387,578
2022-04-19 15:25:00,4.0427,4.05,4.04,4.04,1001
2022-04-19 15:24:00,4.0378,4.0378,4.03,4.03,400
2022-04-19 15:21:00,4.025,4.03,4.025,4.03,900
2022-04-19 15:20:00,4.0208,4.0208,4.0208,4.0208,311
2022-04-19 15:19:00,4.0299,4.0299,4.0299,4.0299,100
2022-04-19 15:17:00,4.03,4.03,4.03,4.03,1000
2022-04-19 15:16:00,4.0032,4.0032,4.0032,4.0032,100
2022-04-19 15:15:00,4.022,4.022,4.0,4.0,242
2022-04-19 15:13:00,3.985,4.03,3.985,4.03,1575
2022-04-19 15:11:00,3.9836,3.9836,3.9836,3.9836,1740
2022-04-19 15:09:00,3.975,3.99,3.975,3.98,950
2022-04-19 15:06:00,3.96,3.961,3.96,3.961,1010
2022-04-19 15:04:00,3.98,3.98,3.97,3.98,3704
2022-04-19 15:02:00,3.9801,3.9801,3.98,3.98,4000
2022-04-19 15:01:00,3.98,3.98,3.98,3.98,1207
2022-04-19 15:00:00,3.975,3.98,3.975,3.98,510
2022-04-19 14:57:00,4.01,4.01,3.981,3.981,740
2022-04-19 14:55:00,4.0,4.015,4.0,4.015,2950
2022-04-19 14:54:00,3.97,3.99,3.97,3.99,2192
2022-04-19 14:53:00,3.99,3.99,3.985,3.985,200
2022-04-19 14:52:00,3.9899,3.99,3.98,3.99,495
2022-04-19 14:50:00,4.0,4.0,3.98,3.98,3044
2022-04-19 14:49:00,4.01,4.02,3.99,4.0,3097
2022-04-19 14:48:00,3.99,3.9999,3.9831,3.9999,4481
2022-04-19 14:47:00,4.0096,4.0096,4.0,4.0,1900
2022-04-19 14:46:00,3.9919,4.01,3.99,3.99,2474
2022-04-19 14:45:00,4.0151,4.025,4.011,4.011,2234
2022-04-19 14:42:00,3.99,3.99,3.9702,3.99,1500
2022-04-19 14:41:00,3.99,3.99,3.99,3.99,447
2022-04-19 14:40:00,4.0,4.01,4.0,4.01,313
2022-04-19 14:39:00,3.9905,4.01,3.99,4.008,14048
2022-04-19 14:37:00,4.02,4.02,4.02,4.02,192
2022-04-19 14:36:00,4.0331,4.04,4.0331,4.04,3024
2022-04-19 14:32:00,4.06,4.06,4.045,4.05,539
2022-04-19 14:31:00,4.0354,4.04,4.03,4.03,2700
2022-04-19 14:29:00,4.0201,4.0301,4.0201,4.0301,4988
2022-04-19 14:28:00,4.065,4.065,4.05,4.0501,2152
2022-04-19 14:27:00,4.07,4.07,4.0601,4.0601,6691
2022-04-19 14:26:00,4.07,4.07,4.0536,4.07,3614
2022-04-19 14:25:00,4.05,4.06,4.05,4.06,2500
2022-04-19 14:24:00,4.05,4.05,4.05,4.05,445
2022-04-19 14:23:00,4.05,4.0693,4.04,4.06,4177
2022-04-19 14:22:00,4.07,4.075,4.03,4.05,17270
2022-04-19 14:21:00,4.04,4.06,4.0301,4.06,1618
2022-04-19 14:20:00,4.04,4.04,4.03,4.0341,1094
2022-04-19 14:19:00,4.005,4.03,4.0,4.03,10483
2022-04-19 14:18:00,4.0,4.0011,4.0,4.0,6371
2022-04-19 14:17:00,4.01,4.01,4.0,4.0,907
2022-04-19 14:16:00,4.0201,4.0201,4.0,4.01,8913
2022-04-19 14:15:00,4.025,4.03,4.01,4.01,621
2022-04-19 14:14:00,4.01,4.02,4.01,4.0154,400
2022-04-19 14:13:00,4.0208,4.03,4.01,4.02,1760
2022-04-19 14:12:00,4.0256,4.0256,4.0256,4.0256,900
2022-04-19 14:11:00,4.03,4.03,4.03,4.03,100
2022-04-19 14:10:00,4.02,4.02,4.01,4.01,309
