time,open,high,low,close,volume
2022-02-17 19:22:00,5.06,5.06,5.06,5.06,451
2022-02-17 18:54:00,5.06,5.06,5.06,5.06,555
2022-02-17 16:13:00,5.06,5.06,5.06,5.06,150
2022-02-17 15:43:00,5.0602,5.0602,5.0602,5.0602,500
2022-02-17 15:33:00,5.145,5.145,5.145,5.145,505
2022-02-17 15:23:00,5.07,5.07,5.07,5.07,427
2022-02-17 15:19:00,5.15,5.15,5.15,5.15,100
2022-02-17 15:18:00,5.15,5.15,5.15,5.15,456
2022-02-17 15:17:00,5.15,5.23,5.15,5.23,429
2022-02-17 14:54:00,5.15,5.15,5.07,5.07,600
2022-02-17 14:49:00,5.0701,5.0701,5.0701,5.0701,528
2022-02-17 13:18:00,5.155,5.155,5.155,5.155,500
2022-02-17 13:05:00,5.155,5.155,5.07,5.07,600
2022-02-17 13:01:00,5.155,5.155,5.155,5.155,104
2022-02-17 12:29:00,5.24,5.24,5.24,5.24,1046
2022-02-17 11:28:00,5.1,5.1,5.1,5.1,500
2022-02-17 11:12:00,5.09,5.09,5.07,5.07,628
2022-02-17 11:09:00,5.155,5.155,5.07,5.07,500
2022-02-17 10:49:00,5.155,5.155,5.0715,5.0715,490
2022-02-17 10:03:00,5.11,5.2508,5.06,5.2508,1171
2022-02-17 10:02:00,5.33,5.33,5.33,5.33,227
2022-02-17 09:55:00,5.06,5.27,5.0566,5.0566,2498
2022-02-17 09:54:00,5.11,5.11,5.11,5.11,204
2022-02-17 09:32:00,5.3294,5.3294,5.3294,5.3294,200
2022-02-16 15:01:00,5.43,5.43,5.43,5.43,700
2022-02-16 14:46:00,5.55,5.55,5.55,5.55,200
2022-02-16 14:42:00,5.55,5.55,5.55,5.55,100
2022-02-16 14:36:00,5.55,5.55,5.55,5.55,200
2022-02-16 14:32:00,5.55,5.55,5.55,5.55,204
2022-02-16 14:15:00,5.52,5.64,5.52,5.64,678
2022-02-16 13:53:00,5.52,5.52,5.52,5.52,222
2022-02-16 12:18:00,5.29,5.32,5.29,5.32,300
2022-02-16 12:05:00,5.33,5.33,5.33,5.33,270
2022-02-16 12:04:00,5.33,5.33,5.322,5.322,500
2022-02-16 11:00:00,5.3147,5.3147,5.3147,5.3147,1000
2022-02-16 10:56:00,5.37,5.37,5.37,5.37,230
2022-02-16 10:45:00,5.33,5.33,5.3,5.3156,2264
2022-02-16 09:59:00,5.5,5.5,5.5,5.5,320
2022-02-16 09:31:00,5.28,5.28,5.28,5.28,104
2022-02-15 15:50:00,5.35,5.35,5.35,5.35,208
2022-02-15 15:49:00,5.35,5.35,5.35,5.35,200
2022-02-15 15:48:00,5.35,5.35,5.35,5.35,200
2022-02-15 15:47:00,5.35,5.47,5.35,5.47,901
2022-02-15 15:46:00,5.35,5.35,5.35,5.35,200
2022-02-15 15:44:00,5.47,5.59,5.43,5.59,600
2022-02-15 15:41:00,5.47,5.47,5.47,5.47,101
2022-02-15 15:29:00,5.35,5.35,5.35,5.35,100
2022-02-15 15:27:00,5.35,5.35,5.35,5.35,905
2022-02-15 15:21:00,5.38,5.38,5.35,5.35,700
2022-02-15 11:51:00,5.59,5.59,5.59,5.59,319
2022-02-15 11:27:00,5.59,5.59,5.59,5.59,1138
2022-02-15 10:53:00,5.2801,5.2801,5.2801,5.2801,410
2022-02-15 10:30:00,5.55,5.55,5.55,5.55,603
2022-02-15 10:21:00,5.55,5.55,5.55,5.55,400
2022-02-15 09:31:00,5.29,5.29,5.29,5.29,218
2022-02-14 15:59:00,5.27,5.27,5.27,5.27,301
2022-02-14 15:55:00,5.27,5.27,5.27,5.27,109
2022-02-14 14:07:00,5.44,5.44,5.44,5.44,109
2022-02-14 13:52:00,5.2701,5.2701,5.2701,5.2701,200
2022-02-14 13:40:00,5.31,5.31,5.28,5.28,401
2022-02-14 12:05:00,5.28,5.28,5.27,5.27,500
2022-02-14 11:51:00,5.3,5.34,5.3,5.3,2630
2022-02-14 11:11:00,5.36,5.53,5.36,5.53,540
2022-02-14 10:39:00,5.35,5.35,5.31,5.318,800
2022-02-14 10:28:00,5.3,5.3,5.3,5.3,1200
2022-02-14 09:53:00,5.33,5.35,5.301,5.3023,1000
