time,open,high,low,close,volume
2022-02-17 17:59:00,1.83,1.83,1.83,1.83,1500
2022-02-17 16:38:00,1.79,1.79,1.79,1.79,300
2022-02-17 16:21:00,1.79,1.79,1.79,1.79,300
2022-02-17 16:00:00,1.825,1.83,1.81,1.81,2671
2022-02-17 15:59:00,1.825,1.83,1.825,1.83,3742
2022-02-17 15:58:00,1.825,1.825,1.825,1.825,1081
2022-02-17 15:57:00,1.83,1.83,1.82,1.83,2135
2022-02-17 15:56:00,1.8101,1.8292,1.8101,1.8292,1514
2022-02-17 15:55:00,1.805,1.81,1.805,1.81,1100
2022-02-17 15:54:00,1.81,1.81,1.81,1.81,1000
2022-02-17 15:52:00,1.795,1.8,1.795,1.8,6330
2022-02-17 15:51:00,1.82,1.82,1.79,1.79,3127
2022-02-17 15:49:00,1.82,1.82,1.82,1.82,170
2022-02-17 15:45:00,1.84,1.84,1.832,1.832,791
2022-02-17 15:44:00,1.8399,1.8399,1.8399,1.8399,125
2022-02-17 15:42:00,1.825,1.825,1.82,1.82,1343
2022-02-17 15:41:00,1.82,1.83,1.82,1.83,2000
2022-02-17 15:37:00,1.83,1.8471,1.83,1.8471,1013
2022-02-17 15:32:00,1.8587,1.8587,1.8587,1.8587,248
2022-02-17 15:31:00,1.86,1.86,1.86,1.86,500
2022-02-17 15:28:00,1.851,1.851,1.82,1.82,5791
2022-02-17 15:19:00,1.865,1.865,1.86,1.86,1200
2022-02-17 15:13:00,1.86,1.86,1.86,1.86,152
2022-02-17 15:12:00,1.86,1.86,1.85,1.86,300
2022-02-17 15:09:00,1.855,1.86,1.85,1.86,1100
2022-02-17 15:08:00,1.86,1.87,1.85,1.85,2800
2022-02-17 15:05:00,1.86,1.86,1.85,1.85,1400
2022-02-17 15:01:00,1.8799,1.8799,1.87,1.87,1066
2022-02-17 14:59:00,1.8784,1.8784,1.8784,1.8784,400
2022-02-17 14:56:00,1.8701,1.871,1.87,1.871,1592
2022-02-17 14:53:00,1.8702,1.8702,1.8702,1.8702,2000
2022-02-17 14:42:00,1.86,1.87,1.86,1.87,200
2022-02-17 14:39:00,1.87,1.87,1.87,1.87,307
2022-02-17 14:34:00,1.89,1.89,1.875,1.875,1389
2022-02-17 14:32:00,1.88,1.8805,1.85,1.85,900
2022-02-17 14:22:00,1.88,1.88,1.88,1.88,333
2022-02-17 14:07:00,1.865,1.87,1.865,1.87,600
2022-02-17 14:06:00,1.865,1.865,1.865,1.865,300
2022-02-17 13:56:00,1.87,1.87,1.87,1.87,400
2022-02-17 13:54:00,1.87,1.87,1.87,1.87,100
2022-02-17 13:51:00,1.862,1.862,1.862,1.862,138
2022-02-17 13:48:00,1.88,1.88,1.88,1.88,525
2022-02-17 13:44:00,1.8592,1.8592,1.8592,1.8592,1000
2022-02-17 13:43:00,1.86,1.86,1.85,1.85,2851
2022-02-17 13:40:00,1.86,1.87,1.86,1.87,3220
2022-02-17 13:34:00,1.87,1.87,1.87,1.87,486
2022-02-17 13:18:00,1.89,1.89,1.88,1.88,1736
2022-02-17 13:17:00,1.898,1.898,1.898,1.898,4400
2022-02-17 12:54:00,1.9,1.9,1.89,1.89,650
2022-02-17 12:50:00,1.9,1.9,1.9,1.9,608
2022-02-17 12:47:00,1.91,1.91,1.9,1.9,1233
2022-02-17 12:45:00,1.922,1.93,1.9,1.91,3245
2022-02-17 12:41:00,1.92,1.92,1.9,1.9,1400
2022-02-17 12:35:00,1.91,1.915,1.9,1.9,13831
2022-02-17 12:30:00,1.9,1.9,1.9,1.9,105
2022-02-17 12:27:00,1.91,1.91,1.91,1.91,600
2022-02-17 12:23:00,1.91,1.91,1.91,1.91,500
2022-02-17 12:22:00,1.9,1.9,1.9,1.9,900
2022-02-17 12:16:00,1.89,1.9,1.89,1.89,2703
2022-02-17 12:01:00,1.88,1.88,1.88,1.88,775
2022-02-17 11:46:00,1.88,1.88,1.87,1.87,900
2022-02-17 11:45:00,1.88,1.88,1.87,1.88,3741
2022-02-17 11:44:00,1.88,1.88,1.88,1.88,110
2022-02-17 11:40:00,1.895,1.895,1.895,1.895,499
2022-02-17 11:32:00,1.9099,1.9099,1.9099,1.9099,1650
2022-02-17 11:28:00,1.89,1.91,1.89,1.91,600
2022-02-17 11:19:00,1.89,1.89,1.89,1.89,555
2022-02-17 11:10:00,1.9,1.9,1.89,1.9,1522
2022-02-17 11:09:00,1.9001,1.9001,1.9001,1.9001,201
2022-02-17 11:03:00,1.9099,1.9099,1.9099,1.9099,100
2022-02-17 11:01:00,1.9,1.9,1.9,1.9,1500
2022-02-17 11:00:00,1.9001,1.9001,1.9001,1.9001,201
