time,open,high,low,close,volume
2022-04-19 16:00:00,1.52,1.52,1.5,1.5,2581
2022-04-19 15:56:00,1.5076,1.5076,1.5076,1.5076,513
2022-04-19 15:38:00,1.51,1.51,1.51,1.51,300
2022-04-19 15:37:00,1.51,1.51,1.51,1.51,1260
2022-04-19 15:31:00,1.51,1.51,1.51,1.51,210
2022-04-19 15:28:00,1.5155,1.5155,1.5155,1.5155,400
2022-04-19 15:27:00,1.5077,1.5077,1.5077,1.5077,7025
2022-04-19 15:23:00,1.51,1.51,1.51,1.51,100
2022-04-19 15:22:00,1.52,1.52,1.515,1.52,20568
2022-04-19 15:08:00,1.5,1.51,1.5,1.51,670
2022-04-19 15:04:00,1.5101,1.5101,1.5101,1.5101,5000
2022-04-19 15:00:00,1.53,1.53,1.53,1.53,100
2022-04-19 14:58:00,1.52,1.52,1.52,1.52,313
2022-04-19 14:57:00,1.52,1.52,1.52,1.52,523
2022-04-19 14:56:00,1.52,1.52,1.52,1.52,1700
2022-04-19 14:55:00,1.52,1.52,1.52,1.52,202
2022-04-19 14:52:00,1.53,1.53,1.53,1.53,4000
2022-04-19 14:51:00,1.53,1.53,1.53,1.53,468
2022-04-19 14:50:00,1.54,1.54,1.54,1.54,600
2022-04-19 14:49:00,1.54,1.54,1.54,1.54,100
2022-04-19 14:48:00,1.5319,1.5319,1.5319,1.5319,100
2022-04-19 14:41:00,1.54,1.54,1.54,1.54,393
2022-04-19 14:40:00,1.533,1.533,1.533,1.533,500
2022-04-19 14:32:00,1.54,1.54,1.535,1.54,650
2022-04-19 14:19:00,1.53,1.54,1.53,1.54,2300
2022-04-19 14:17:00,1.54,1.5402,1.54,1.54,1585
2022-04-19 14:13:00,1.54,1.54,1.54,1.54,100
2022-04-19 14:11:00,1.545,1.545,1.545,1.545,771
2022-04-19 13:53:00,1.55,1.55,1.55,1.55,1100
2022-04-19 13:52:00,1.55,1.55,1.55,1.55,1100
2022-04-19 13:51:00,1.55,1.55,1.55,1.55,1300
2022-04-19 13:49:00,1.55,1.55,1.55,1.55,700
2022-04-19 13:45:00,1.545,1.55,1.545,1.55,2871
2022-04-19 13:15:00,1.54,1.54,1.54,1.54,110
2022-04-19 13:10:00,1.55,1.55,1.55,1.55,100
2022-04-19 13:08:00,1.54,1.54,1.54,1.54,100
2022-04-19 13:07:00,1.545,1.545,1.545,1.545,800
2022-04-19 13:05:00,1.5485,1.5485,1.5485,1.5485,3000
2022-04-19 12:57:00,1.543,1.543,1.54,1.54,1312
2022-04-19 12:46:00,1.54,1.54,1.54,1.54,111
2022-04-19 12:44:00,1.54,1.54,1.53,1.53,700
2022-04-19 12:42:00,1.54,1.54,1.54,1.54,500
2022-04-19 12:39:00,1.54,1.54,1.54,1.54,500
2022-04-19 12:38:00,1.55,1.55,1.55,1.55,100
2022-04-19 12:35:00,1.54,1.54,1.54,1.54,500
2022-04-19 12:32:00,1.54,1.54,1.54,1.54,581
2022-04-19 12:17:00,1.55,1.55,1.55,1.55,201
2022-04-19 11:58:00,1.55,1.55,1.55,1.55,300
2022-04-19 11:54:00,1.54,1.54,1.53,1.53,7303
2022-04-19 11:53:00,1.55,1.55,1.55,1.55,1100
2022-04-19 11:52:00,1.55,1.5509,1.55,1.5509,3296
2022-04-19 11:48:00,1.55,1.55,1.55,1.55,100
2022-04-19 11:39:00,1.55,1.55,1.55,1.55,200
2022-04-19 11:37:00,1.5495,1.55,1.5495,1.55,400
2022-04-19 11:36:00,1.5462,1.5462,1.5462,1.5462,100
2022-04-19 11:33:00,1.54,1.54,1.54,1.54,550
2022-04-19 11:22:00,1.54,1.54,1.54,1.54,500
2022-04-19 11:21:00,1.5201,1.5201,1.5201,1.5201,500
2022-04-19 11:19:00,1.5387,1.5387,1.5387,1.5387,100
2022-04-19 11:18:00,1.523,1.523,1.523,1.523,400
2022-04-19 11:07:00,1.52,1.53,1.52,1.53,5493
2022-04-19 11:06:00,1.52,1.5203,1.52,1.52,4565
2022-04-19 11:04:00,1.53,1.5301,1.53,1.5301,1988
2022-04-19 11:03:00,1.54,1.54,1.535,1.535,445
2022-04-19 10:59:00,1.5404,1.5404,1.5404,1.5404,500
2022-04-19 10:55:00,1.5499,1.5499,1.5499,1.5499,1000
2022-04-19 10:53:00,1.55,1.55,1.55,1.55,100
2022-04-19 10:52:00,1.55,1.55,1.55,1.55,400
2022-04-19 10:51:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:49:00,1.56,1.56,1.56,1.56,200
2022-04-19 10:47:00,1.56,1.56,1.56,1.56,200
2022-04-19 10:46:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:44:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:43:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:41:00,1.57,1.57,1.55,1.55,632
2022-04-19 10:40:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:38:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:37:00,1.55,1.55,1.55,1.55,200
2022-04-19 10:36:00,1.56,1.56,1.56,1.56,400
2022-04-19 10:35:00,1.5701,1.5701,1.57,1.57,7794
2022-04-19 10:34:00,1.57,1.57,1.57,1.57,300
2022-04-19 10:33:00,1.56,1.575,1.56,1.575,600
2022-04-19 10:32:00,1.5852,1.5852,1.5852,1.5852,1200
2022-04-19 10:29:00,1.5652,1.57,1.5652,1.57,288
2022-04-19 10:28:00,1.55,1.55,1.55,1.55,3320
2022-04-19 10:23:00,1.54,1.54,1.54,1.54,400
2022-04-19 10:21:00,1.53,1.53,1.53,1.53,720
2022-04-19 10:19:00,1.5257,1.5257,1.5257,1.5257,2000
2022-04-19 10:17:00,1.525,1.525,1.52,1.52,211
2022-04-19 10:14:00,1.52,1.52,1.52,1.52,100
2022-04-19 10:11:00,1.53,1.53,1.53,1.53,500
2022-04-19 10:03:00,1.53,1.535,1.53,1.535,412
2022-04-19 10:01:00,1.55,1.55,1.55,1.55,102
2022-04-19 09:55:00,1.5485,1.55,1.5348,1.5348,2800
2022-04-19 09:54:00,1.5413,1.5413,1.54,1.54,2650
2022-04-19 09:49:00,1.54,1.54,1.54,1.54,166
2022-04-19 09:47:00,1.53,1.53,1.53,1.53,1100
2022-04-19 09:44:00,1.54,1.54,1.54,1.54,165
2022-04-19 09:39:00,1.55,1.5501,1.5324,1.5324,4386
2022-04-19 09:38:00,1.5501,1.5507,1.55,1.55,5600
2022-04-19 09:37:00,1.57,1.57,1.5501,1.5501,5965
2022-04-19 09:36:00,1.585,1.585,1.585,1.585,100
2022-04-19 09:31:00,1.55,1.55,1.55,1.55,2690
2022-04-19 09:21:00,1.52,1.52,1.52,1.52,200
2022-04-19 09:16:00,1.49,1.49,1.49,1.49,250
2022-04-19 09:15:00,1.5,1.5,1.5,1.5,800
2022-04-19 09:14:00,1.5,1.5,1.5,1.5,100
2022-04-19 09:11:00,1.51,1.51,1.5,1.5,392
2022-04-19 08:58:00,1.5,1.5,1.5,1.5,844
2022-04-19 08:57:00,1.56,1.56,1.5,1.5,7029
2022-04-19 08:56:00,1.5,1.5,1.5,1.5,5000
2022-04-19 08:40:00,1.57,1.57,1.57,1.57,4689
2022-04-19 08:35:00,1.59,1.59,1.58,1.58,2922
2022-04-18 16:07:00,1.61,1.61,1.61,1.61,100
2022-04-18 16:00:00,1.59,1.6,1.59,1.59,8058
2022-04-18 15:59:00,1.59,1.6,1.59,1.59,400
2022-04-18 15:58:00,1.59,1.59,1.59,1.59,990
2022-04-18 15:57:00,1.59,1.59,1.59,1.59,300
2022-04-18 15:56:00,1.59,1.59,1.59,1.59,1366
2022-04-18 15:55:00,1.59,1.6,1.59,1.6,1000
2022-04-18 15:54:00,1.6,1.6,1.6,1.6,100
2022-04-18 15:53:00,1.59,1.59,1.59,1.59,105
2022-04-18 15:52:00,1.5801,1.5801,1.5801,1.5801,100
2022-04-18 15:50:00,1.59,1.59,1.59,1.59,314
2022-04-18 15:46:00,1.58,1.58,1.58,1.58,300
2022-04-18 15:31:00,1.59,1.6,1.59,1.6,470
2022-04-18 15:28:00,1.605,1.605,1.59,1.59,1302
2022-04-18 15:10:00,1.59,1.59,1.59,1.59,250
2022-04-18 15:08:00,1.61,1.61,1.61,1.61,2425
2022-04-18 15:05:00,1.61,1.6131,1.61,1.6131,750
2022-04-18 14:44:00,1.62,1.62,1.62,1.62,100
2022-04-18 14:41:00,1.5933,1.5933,1.5933,1.5933,100
2022-04-18 14:34:00,1.5809,1.5809,1.5809,1.5809,100
2022-04-18 14:14:00,1.639,1.639,1.639,1.639,1858
2022-04-18 13:59:00,1.615,1.615,1.615,1.615,105
2022-04-18 13:58:00,1.6,1.6,1.6,1.6,600
2022-04-18 13:55:00,1.6,1.6,1.6,1.6,500
2022-04-18 13:49:00,1.6,1.6,1.6,1.6,1150
2022-04-18 13:46:00,1.6232,1.6232,1.59,1.59,200
2022-04-18 13:42:00,1.61,1.61,1.61,1.61,100
2022-04-18 13:41:00,1.61,1.61,1.61,1.61,100
2022-04-18 13:40:00,1.585,1.59,1.585,1.59,935
2022-04-18 13:36:00,1.5899,1.5899,1.5899,1.5899,500
2022-04-18 13:31:00,1.5832,1.5832,1.5832,1.5832,100
2022-04-18 13:28:00,1.5715,1.5715,1.5715,1.5715,300
2022-04-18 13:26:00,1.58,1.58,1.58,1.58,100
2022-04-18 13:14:00,1.58,1.58,1.58,1.58,125
2022-04-18 13:02:00,1.5886,1.5886,1.5886,1.5886,400
2022-04-18 13:01:00,1.59,1.59,1.59,1.59,510
2022-04-18 12:58:00,1.58,1.58,1.58,1.58,500
2022-04-18 12:57:00,1.571,1.571,1.571,1.571,100
2022-04-18 12:56:00,1.5701,1.5701,1.5701,1.5701,900
2022-04-18 12:30:00,1.572,1.572,1.572,1.572,375
2022-04-18 12:22:00,1.59,1.59,1.59,1.59,189
2022-04-18 12:11:00,1.57,1.5701,1.57,1.5701,1800
2022-04-18 11:46:00,1.5617,1.5617,1.5617,1.5617,438
2022-04-18 11:25:00,1.57,1.57,1.57,1.57,1023
2022-04-18 11:14:00,1.59,1.59,1.59,1.59,750
2022-04-18 11:02:00,1.5602,1.5602,1.5602,1.5602,871
2022-04-18 10:37:00,1.57,1.57,1.57,1.57,1762
2022-04-18 10:24:00,1.57,1.57,1.57,1.57,600
2022-04-18 10:21:00,1.57,1.57,1.57,1.57,600
2022-04-18 10:05:00,1.6266,1.6266,1.6266,1.6266,500
2022-04-18 10:01:00,1.58,1.58,1.58,1.58,100
2022-04-18 09:53:00,1.56,1.56,1.56,1.56,1986
2022-04-18 09:50:00,1.5697,1.5697,1.5697,1.5697,200
2022-04-18 09:49:00,1.575,1.575,1.575,1.575,100
2022-04-18 09:48:00,1.59,1.59,1.59,1.59,100
2022-04-18 09:45:00,1.589,1.589,1.589,1.589,100
2022-04-18 09:44:00,1.58,1.58,1.563,1.563,2945
2022-04-18 09:41:00,1.58,1.58,1.58,1.58,2010
2022-04-18 09:40:00,1.59,1.59,1.58,1.58,305
2022-04-18 09:39:00,1.6,1.6,1.59,1.59,2000
2022-04-18 09:31:00,1.61,1.62,1.61,1.62,1498
2022-04-14 18:35:00,1.66,1.66,1.66,1.66,300
2022-04-14 16:20:00,1.5872,1.5872,1.5872,1.5872,500
2022-04-14 16:00:00,1.5909,1.6,1.59,1.59,5648
2022-04-14 15:58:00,1.62,1.62,1.62,1.62,300
2022-04-14 15:53:00,1.5901,1.605,1.5901,1.605,700
2022-04-14 15:52:00,1.605,1.605,1.605,1.605,200
2022-04-14 15:51:00,1.611,1.611,1.605,1.605,338
2022-04-14 15:49:00,1.5958,1.5958,1.5958,1.5958,100
2022-04-14 15:48:00,1.5921,1.5958,1.5921,1.5958,600
2022-04-14 15:42:00,1.605,1.605,1.605,1.605,101
2022-04-14 15:41:00,1.5901,1.5901,1.5901,1.5901,884
2022-04-14 15:22:00,1.6,1.6,1.6,1.6,500
2022-04-14 15:20:00,1.6199,1.6199,1.6199,1.6199,300
2022-04-14 15:16:00,1.6,1.6,1.6,1.6,827
2022-04-14 14:53:00,1.6,1.6,1.6,1.6,380
2022-04-14 14:46:00,1.6,1.6,1.6,1.6,300
2022-04-14 14:42:00,1.6067,1.6067,1.6067,1.6067,600
2022-04-14 14:32:00,1.605,1.605,1.605,1.605,100
2022-04-14 14:17:00,1.5919,1.5919,1.5919,1.5919,120
2022-04-14 14:01:00,1.6,1.6,1.6,1.6,215
2022-04-14 13:55:00,1.6,1.6,1.595,1.595,912
2022-04-14 13:46:00,1.5975,1.5975,1.59,1.5909,3800
2022-04-14 13:12:00,1.6071,1.6199,1.6071,1.6199,3000
2022-04-14 13:11:00,1.591,1.591,1.59,1.59,15463
2022-04-14 13:07:00,1.6,1.6,1.6,1.6,150
2022-04-14 12:58:00,1.6,1.6,1.6,1.6,110
2022-04-14 12:56:00,1.595,1.595,1.595,1.595,100
2022-04-14 12:37:00,1.6079,1.6079,1.6079,1.6079,5000
2022-04-14 12:32:00,1.61,1.61,1.61,1.61,116
2022-04-14 12:11:00,1.61,1.61,1.595,1.61,900
2022-04-14 12:07:00,1.6,1.6,1.6,1.6,2500
2022-04-14 12:03:00,1.605,1.605,1.605,1.605,2092
2022-04-14 12:02:00,1.6,1.6,1.6,1.6,2200
2022-04-14 12:01:00,1.61,1.61,1.61,1.61,300
2022-04-14 11:56:00,1.61,1.62,1.61,1.61,400
2022-04-14 11:35:00,1.6,1.6,1.595,1.595,9909
2022-04-14 11:33:00,1.595,1.6,1.59,1.6,2207
2022-04-14 11:31:00,1.595,1.598,1.59,1.598,575
2022-04-14 11:26:00,1.6,1.6,1.6,1.6,1800
2022-04-14 11:18:00,1.6,1.6,1.6,1.6,200
2022-04-14 11:05:00,1.5839,1.5839,1.5839,1.5839,200
2022-04-14 10:50:00,1.6086,1.6086,1.6086,1.6086,406
2022-04-14 10:45:00,1.5919,1.5919,1.5919,1.5919,127
2022-04-14 10:41:00,1.5904,1.5904,1.5902,1.5902,1700
2022-04-14 10:40:00,1.6,1.6,1.6,1.6,625
2022-04-14 10:25:00,1.617,1.617,1.617,1.617,1000
2022-04-14 10:03:00,1.59,1.6,1.59,1.6,395
2022-04-14 09:45:00,1.5942,1.5942,1.5942,1.5942,145
2022-04-14 09:44:00,1.611,1.611,1.605,1.605,1800
2022-04-14 09:39:00,1.5981,1.5981,1.5981,1.5981,400
2022-04-14 09:32:00,1.57,1.57,1.57,1.57,250
2022-04-14 09:31:00,1.59,1.59,1.5842,1.5842,348
2022-04-14 09:20:00,1.63,1.63,1.61,1.61,725
2022-04-13 16:41:00,1.58,1.58,1.58,1.58,8000
2022-04-13 16:27:00,1.58,1.58,1.58,1.58,100
2022-04-13 16:00:00,1.595,1.61,1.595,1.61,19529
2022-04-13 15:58:00,1.595,1.595,1.595,1.595,267
2022-04-13 15:51:00,1.59,1.59,1.59,1.59,212
2022-04-13 15:48:00,1.59,1.59,1.59,1.59,1001
2022-04-13 15:47:00,1.595,1.595,1.595,1.595,500
2022-04-13 15:46:00,1.59,1.59,1.59,1.59,100
2022-04-13 15:45:00,1.598,1.598,1.598,1.598,100
2022-04-13 15:44:00,1.58,1.58,1.58,1.58,570
2022-04-13 15:43:00,1.61,1.61,1.61,1.61,4601
2022-04-13 15:36:00,1.615,1.615,1.615,1.615,100
2022-04-13 15:34:00,1.615,1.615,1.615,1.615,102
2022-04-13 15:33:00,1.6141,1.6141,1.6141,1.6141,100
2022-04-13 15:30:00,1.61,1.61,1.61,1.61,200
2022-04-13 15:28:00,1.61,1.61,1.61,1.61,300
2022-04-13 15:19:00,1.62,1.62,1.62,1.62,400
2022-04-13 15:18:00,1.62,1.62,1.6187,1.6187,392
2022-04-13 15:15:00,1.6101,1.6101,1.6101,1.6101,150
2022-04-13 15:13:00,1.61,1.61,1.61,1.61,1027
2022-04-13 14:58:00,1.6085,1.6085,1.6085,1.6085,1000
2022-04-13 14:52:00,1.6179,1.6179,1.6179,1.6179,500
2022-04-13 14:51:00,1.629,1.629,1.629,1.629,2000
2022-04-13 14:50:00,1.6249,1.6249,1.615,1.615,200
2022-04-13 14:45:00,1.6093,1.61,1.6093,1.61,400
2022-04-13 14:10:00,1.6,1.6,1.6,1.6,100
2022-04-13 14:03:00,1.594,1.594,1.594,1.594,150
2022-04-13 13:51:00,1.6014,1.6014,1.6014,1.6014,100
2022-04-13 13:47:00,1.6,1.6,1.6,1.6,200
2022-04-13 13:45:00,1.6001,1.6001,1.6001,1.6001,118
2022-04-13 13:40:00,1.61,1.61,1.6,1.6,300
2022-04-13 13:38:00,1.63,1.63,1.61,1.61,700
2022-04-13 13:37:00,1.62,1.62,1.62,1.62,500
2022-04-13 13:32:00,1.6216,1.6216,1.6216,1.6216,250
2022-04-13 13:28:00,1.62,1.62,1.62,1.62,3801
2022-04-13 13:23:00,1.62,1.62,1.62,1.62,250
2022-04-13 13:14:00,1.63,1.63,1.63,1.63,100
2022-04-13 13:08:00,1.62,1.62,1.62,1.62,465
2022-04-13 12:48:00,1.6,1.6,1.6,1.6,1130
2022-04-13 12:45:00,1.595,1.595,1.59,1.59,200
2022-04-13 12:44:00,1.5916,1.5933,1.5916,1.5933,1100
2022-04-13 12:32:00,1.5916,1.5927,1.5916,1.5927,530
2022-04-13 11:55:00,1.5989,1.5989,1.5989,1.5989,1000
2022-04-13 11:41:00,1.58,1.58,1.58,1.58,381
2022-04-13 11:30:00,1.59,1.59,1.59,1.59,246
2022-04-13 11:29:00,1.59,1.59,1.59,1.59,150
2022-04-13 11:27:00,1.5885,1.5885,1.5885,1.5885,1000
2022-04-13 11:19:00,1.58,1.58,1.58,1.58,151
2022-04-13 11:16:00,1.58,1.58,1.58,1.58,101
2022-04-13 11:11:00,1.58,1.58,1.58,1.58,100
2022-04-13 10:59:00,1.5884,1.5884,1.5884,1.5884,307
2022-04-13 10:55:00,1.59,1.59,1.59,1.59,1006
2022-04-13 10:53:00,1.5881,1.5881,1.5881,1.5881,410
2022-04-13 10:36:00,1.58,1.58,1.58,1.58,561
2022-04-13 10:33:00,1.59,1.59,1.59,1.59,100
2022-04-13 10:17:00,1.5743,1.5743,1.5743,1.5743,109
2022-04-13 10:10:00,1.6098,1.6098,1.6098,1.6098,1000
2022-04-13 10:05:00,1.5647,1.5647,1.5647,1.5647,250
2022-04-13 10:01:00,1.56,1.56,1.56,1.56,278
2022-04-13 09:49:00,1.6299,1.6299,1.6299,1.6299,100
2022-04-13 09:41:00,1.59,1.59,1.59,1.59,180
2022-04-13 09:39:00,1.59,1.59,1.59,1.59,348
2022-04-13 09:31:00,1.62,1.62,1.55,1.57,5046
2022-04-13 09:26:00,1.5406,1.5406,1.5406,1.5406,207
2022-04-12 19:28:00,1.53,1.53,1.53,1.53,200
2022-04-12 17:27:00,1.57,1.57,1.57,1.57,510
2022-04-12 16:01:00,1.57,1.57,1.57,1.57,800
2022-04-12 16:00:00,1.59,1.59,1.59,1.59,2580
2022-04-12 15:58:00,1.59,1.59,1.59,1.59,300
2022-04-12 15:56:00,1.575,1.58,1.575,1.58,614
2022-04-12 15:55:00,1.575,1.58,1.575,1.58,295
2022-04-12 15:54:00,1.57,1.5799,1.57,1.575,5800
2022-04-12 15:53:00,1.58,1.58,1.58,1.58,306
2022-04-12 15:52:00,1.59,1.59,1.58,1.585,1278
2022-04-12 15:51:00,1.58,1.58,1.58,1.58,2506
2022-04-12 15:50:00,1.59,1.59,1.59,1.59,304
2022-04-12 15:47:00,1.5999,1.5999,1.59,1.59,281
2022-04-12 15:46:00,1.59,1.59,1.59,1.59,360
2022-04-12 15:45:00,1.58,1.59,1.58,1.59,1320
2022-04-12 15:41:00,1.5839,1.5839,1.5839,1.5839,105
2022-04-12 15:39:00,1.5817,1.5817,1.5817,1.5817,500
2022-04-12 15:38:00,1.6094,1.61,1.6094,1.61,6000
2022-04-12 15:37:00,1.6,1.6,1.6,1.6,1146
2022-04-12 15:34:00,1.59,1.59,1.59,1.59,204
2022-04-12 15:31:00,1.6,1.6,1.58,1.58,4782
2022-04-12 15:27:00,1.615,1.615,1.61,1.61,18489
2022-04-12 15:26:00,1.62,1.62,1.615,1.615,499
2022-04-12 15:05:00,1.61,1.61,1.61,1.61,1100
2022-04-12 15:03:00,1.61,1.61,1.61,1.61,500
2022-04-12 15:02:00,1.61,1.61,1.61,1.61,1000
2022-04-12 15:01:00,1.61,1.61,1.61,1.61,1683
2022-04-12 14:59:00,1.615,1.615,1.615,1.615,197
2022-04-12 14:58:00,1.61,1.61,1.61,1.61,1820
2022-04-12 14:55:00,1.615,1.62,1.61,1.62,1701
2022-04-12 14:54:00,1.6199,1.6199,1.615,1.615,433
2022-04-12 14:52:00,1.61,1.61,1.61,1.61,1500
2022-04-12 14:51:00,1.615,1.615,1.615,1.615,100
2022-04-12 14:50:00,1.6147,1.6147,1.6147,1.6147,200
2022-04-12 14:49:00,1.61,1.62,1.61,1.62,4100
2022-04-12 14:48:00,1.615,1.615,1.615,1.615,200
2022-04-12 14:47:00,1.615,1.615,1.615,1.615,100
2022-04-12 14:46:00,1.6165,1.6165,1.6165,1.6165,100
2022-04-12 14:45:00,1.62,1.62,1.615,1.615,3064
2022-04-12 14:43:00,1.625,1.625,1.625,1.625,400
2022-04-12 14:42:00,1.625,1.63,1.625,1.63,5900
2022-04-12 14:35:00,1.6102,1.63,1.61,1.63,2639
2022-04-12 14:33:00,1.6185,1.6185,1.6185,1.6185,4095
2022-04-12 14:12:00,1.62,1.63,1.62,1.63,300
2022-04-12 14:11:00,1.6287,1.6287,1.6287,1.6287,900
2022-04-12 14:09:00,1.62,1.62,1.62,1.62,100
2022-04-12 13:57:00,1.62,1.62,1.62,1.62,200
2022-04-12 13:54:00,1.63,1.63,1.63,1.63,1005
2022-04-12 13:50:00,1.62,1.62,1.62,1.62,1500
2022-04-12 13:48:00,1.6208,1.6208,1.6208,1.6208,100
2022-04-12 13:42:00,1.6106,1.6106,1.6106,1.6106,1750
2022-04-12 13:39:00,1.62,1.62,1.62,1.62,100
2022-04-12 13:37:00,1.63,1.63,1.63,1.63,2500
2022-04-12 13:33:00,1.6101,1.6101,1.6101,1.6101,15001
2022-04-12 13:26:00,1.62,1.62,1.62,1.62,840
2022-04-12 13:25:00,1.62,1.62,1.62,1.62,100
2022-04-12 13:24:00,1.635,1.635,1.63,1.63,5556
2022-04-12 13:22:00,1.63,1.63,1.63,1.63,125
2022-04-12 13:18:00,1.63,1.63,1.63,1.63,400
2022-04-12 13:12:00,1.64,1.64,1.64,1.64,2700
2022-04-12 13:11:00,1.655,1.655,1.655,1.655,103
2022-04-12 13:08:00,1.62,1.63,1.62,1.63,3555
2022-04-12 13:07:00,1.62,1.62,1.62,1.62,150
2022-04-12 13:06:00,1.63,1.63,1.61,1.62,2020
2022-04-12 13:04:00,1.66,1.66,1.63,1.63,5455
2022-04-12 12:53:00,1.67,1.6799,1.67,1.6799,275
2022-04-12 12:40:00,1.66,1.66,1.66,1.66,104
2022-04-12 12:39:00,1.67,1.67,1.67,1.67,111
2022-04-12 12:25:00,1.66,1.66,1.66,1.66,5339
2022-04-12 12:24:00,1.67,1.67,1.67,1.67,400
