time,open,high,low,close,volume
2022-04-19 19:54:00,6.05,6.05,6.05,6.05,233
2022-04-19 19:52:00,6.1,6.1,6.05,6.05,408
2022-04-19 19:46:00,6.11,6.11,6.11,6.11,100
2022-04-19 18:59:00,6.1499,6.1499,6.1499,6.1499,100
2022-04-19 18:43:00,6.05,6.05,6.05,6.05,280
2022-04-19 18:34:00,6.07,6.07,6.06,6.06,299
2022-04-19 18:20:00,6.15,6.15,6.15,6.15,245
2022-04-19 18:00:00,6.15,6.15,6.15,6.15,100
2022-04-19 17:03:00,6.13,6.13,6.13,6.13,196
2022-04-19 16:57:00,6.06,6.06,6.06,6.06,800
2022-04-19 16:50:00,6.04,6.04,6.04,6.04,300
2022-04-19 16:48:00,6.05,6.05,6.05,6.05,411
2022-04-19 16:47:00,6.06,6.13,6.06,6.13,398
2022-04-19 16:31:00,6.05,6.05,6.05,6.05,130
2022-04-19 16:25:00,6.05,6.05,6.05,6.05,166
2022-04-19 16:20:00,6.03,6.03,6.03,6.03,199
2022-04-19 16:19:00,6.07,6.07,6.07,6.07,535
2022-04-19 16:18:00,6.07,6.07,6.07,6.07,344
2022-04-19 16:17:00,6.03,6.03,6.03,6.03,114
2022-04-19 16:14:00,6.03,6.03,6.03,6.03,1000
2022-04-19 16:04:00,6.03,6.03,6.03,6.03,1000
2022-04-19 16:00:00,6.08,6.08,6.03,6.03,986
2022-04-19 15:59:00,6.125,6.13,6.11,6.13,1368
2022-04-19 15:58:00,6.1384,6.139,6.0301,6.1,5029
2022-04-19 15:57:00,6.09,6.1214,6.08,6.12,6203
2022-04-19 15:56:00,6.08,6.09,6.08,6.09,1117
2022-04-19 15:55:00,6.04,6.09,6.04,6.09,4915
2022-04-19 15:54:00,6.06,6.06,6.06,6.06,336
2022-04-19 15:51:00,6.02,6.02,6.019,6.02,1574
2022-04-19 15:50:00,6.01,6.0361,6.01,6.0361,1202
2022-04-19 15:49:00,6.05,6.05,6.02,6.02,1863
2022-04-19 15:48:00,6.079,6.079,6.06,6.06,1715
2022-04-19 15:46:00,6.08,6.08,6.06,6.065,468
2022-04-19 15:45:00,6.04,6.08,6.04,6.06,7836
2022-04-19 15:44:00,6.0958,6.12,6.04,6.04,1991
2022-04-19 15:43:00,6.08,6.08,6.05,6.06,2750
2022-04-19 15:42:00,6.08,6.08,6.08,6.08,1000
2022-04-19 15:41:00,6.07,6.1777,6.07,6.1104,3522
2022-04-19 15:40:00,6.07,6.12,6.07,6.07,6627
2022-04-19 15:39:00,6.12,6.12,6.08,6.11,704
2022-04-19 15:38:00,6.08,6.1796,6.08,6.1796,2602
