time,open,high,low,close,volume
2022-04-18 20:00:00,6.5,6.55,6.49,6.52,25403
2022-04-18 19:59:00,6.56,6.56,6.5,6.5,30328
2022-04-18 19:58:00,6.55,6.56,6.54,6.55,9035
2022-04-18 19:57:00,6.53,6.55,6.52,6.55,8610
2022-04-18 19:56:00,6.53,6.56,6.51,6.53,6260
2022-04-18 19:55:00,6.55,6.56,6.53,6.53,4664
2022-04-18 19:54:00,6.55,6.56,6.54,6.54,8007
2022-04-18 19:53:00,6.55,6.56,6.53,6.53,8960
2022-04-18 19:52:00,6.55,6.57,6.53,6.55,12401
2022-04-18 19:51:00,6.54,6.59,6.54,6.57,19307
2022-04-18 19:49:00,6.55,6.55,6.53,6.55,5630
2022-04-18 19:48:00,6.52,6.55,6.52,6.5499,13576
2022-04-18 19:47:00,6.54,6.54,6.54,6.54,973
2022-04-18 19:46:00,6.53,6.53,6.53,6.53,4402
2022-04-18 19:45:00,6.52,6.54,6.52,6.54,5563
2022-04-18 19:44:00,6.51,6.53,6.51,6.52,4746
2022-04-18 19:43:00,6.55,6.55,6.5,6.54,20921
2022-04-18 19:42:00,6.54,6.55,6.52,6.52,2708
2022-04-18 19:41:00,6.54,6.54,6.51,6.54,8209
2022-04-18 19:40:00,6.52,6.54,6.52,6.54,4712
2022-04-18 19:39:00,6.5299,6.55,6.51,6.51,14338
2022-04-18 19:38:00,6.54,6.54,6.5,6.52,19401
2022-04-18 19:37:00,6.55,6.55,6.53,6.54,3232
2022-04-18 19:36:00,6.56,6.56,6.54,6.54,5229
2022-04-18 19:35:00,6.58,6.58,6.54,6.57,28595
2022-04-18 19:34:00,6.59,6.59,6.58,6.58,11428
2022-04-18 19:33:00,6.59,6.59,6.58,6.58,2760
2022-04-18 19:32:00,6.58,6.6,6.58,6.58,2625
2022-04-18 19:31:00,6.59,6.6,6.58,6.59,3822
2022-04-18 19:30:00,6.59,6.6,6.59,6.59,2400
2022-04-18 19:29:00,6.59,6.6,6.59,6.6,10217
2022-04-18 19:28:00,6.59,6.6,6.58,6.6,4380
2022-04-18 19:27:00,6.6,6.6,6.58,6.59,8044
2022-04-18 19:26:00,6.6,6.6,6.6,6.6,305
2022-04-18 19:25:00,6.58,6.6,6.58,6.6,3966
2022-04-18 19:24:00,6.61,6.61,6.59,6.59,1250
2022-04-18 19:23:00,6.61,6.61,6.6,6.6,12441
2022-04-18 19:22:00,6.6,6.61,6.58,6.58,3723
2022-04-18 19:21:00,6.58,6.61,6.58,6.6,8477
2022-04-18 19:20:00,6.62,6.62,6.58,6.58,13025
2022-04-18 19:19:00,6.64,6.64,6.6,6.62,14782
2022-04-18 19:18:00,6.65,6.66,6.65,6.65,4570
2022-04-18 19:17:00,6.64,6.65,6.64,6.65,1207
2022-04-18 19:16:00,6.65,6.66,6.65,6.65,1630
2022-04-18 19:15:00,6.65,6.65,6.65,6.65,1355
2022-04-18 19:14:00,6.65,6.65,6.65,6.65,313
2022-04-18 19:13:00,6.69,6.69,6.69,6.69,170
2022-04-18 19:12:00,6.63,6.65,6.63,6.65,3630
2022-04-18 19:11:00,6.66,6.66,6.64,6.64,5194
2022-04-18 19:10:00,6.65,6.65,6.65,6.65,1921
2022-04-18 19:09:00,6.67,6.67,6.66,6.66,1687
2022-04-18 19:07:00,6.69,6.7,6.69,6.7,1700
2022-04-18 19:06:00,6.67,6.7,6.65,6.66,3025
2022-04-18 19:05:00,6.68,6.68,6.68,6.68,119
2022-04-18 19:04:00,6.7,6.7,6.7,6.7,300
2022-04-18 19:03:00,6.71,6.71,6.7,6.7,920
2022-04-18 19:02:00,6.67,6.7,6.67,6.7,2104
2022-04-18 19:01:00,6.66,6.66,6.66,6.66,1473
2022-04-18 19:00:00,6.66,6.66,6.65,6.66,3978
2022-04-18 18:59:00,6.68,6.68,6.68,6.68,196
2022-04-18 18:58:00,6.67,6.67,6.67,6.67,679
2022-04-18 18:57:00,6.67,6.67,6.65,6.66,2190
2022-04-18 18:56:00,6.68,6.69,6.68,6.69,1200
2022-04-18 18:55:00,6.67,6.69,6.67,6.67,1088
2022-04-18 18:53:00,6.6799,6.68,6.67,6.67,5138
2022-04-18 18:52:00,6.68,6.68,6.64,6.6401,7059
2022-04-18 18:51:00,6.71,6.71,6.65,6.6799,16433
2022-04-18 18:50:00,6.7,6.7099,6.7,6.7099,1701
2022-04-18 18:49:00,6.72,6.72,6.7,6.7,4950
2022-04-18 18:48:00,6.69,6.7,6.69,6.7,1627
2022-04-18 18:47:00,6.7199,6.7199,6.7,6.7,1900
2022-04-18 18:46:00,6.71,6.71,6.71,6.71,301
2022-04-18 18:45:00,6.71,6.71,6.7,6.7,1567
