time,open,high,low,close,volume
2022-02-18 19:50:00,1.98,1.98,1.98,1.98,4000
2022-02-18 19:47:00,1.98,1.98,1.98,1.98,126
2022-02-18 19:41:00,2.0,2.0,2.0,2.0,200
2022-02-18 16:02:00,2.02,2.02,2.02,2.02,200
2022-02-18 16:00:00,1.998,2.0,1.98,2.0,1045
2022-02-18 15:57:00,1.99,1.99,1.98,1.98,625
2022-02-18 15:55:00,1.994,1.994,1.994,1.994,1665
2022-02-18 15:54:00,1.98,1.98,1.98,1.98,235
2022-02-18 15:53:00,1.99,2.0,1.98,1.98,2800
2022-02-18 15:48:00,1.995,1.995,1.995,1.995,220
2022-02-18 15:35:00,1.9999,1.9999,1.9999,1.9999,128
2022-02-18 15:28:00,2.0,2.0,1.98,1.98,1200
2022-02-18 15:26:00,2.0,2.0,1.98,1.98,525
2022-02-18 15:25:00,1.98,1.98,1.98,1.98,100
2022-02-18 15:22:00,1.9836,1.995,1.98,1.995,1100
2022-02-18 15:21:00,1.99,1.99,1.98,1.98,813
2022-02-18 15:19:00,1.985,1.985,1.985,1.985,101
2022-02-18 15:18:00,1.98,1.99,1.98,1.985,460
2022-02-18 15:16:00,1.97,1.97,1.97,1.97,100
2022-02-18 15:13:00,1.97,1.97,1.97,1.97,200
2022-02-18 15:10:00,1.99,1.99,1.99,1.99,100
2022-02-18 15:07:00,1.97,1.97,1.97,1.97,100
2022-02-18 15:03:00,1.98,1.98,1.97,1.97,1200
2022-02-18 15:01:00,1.98,1.98,1.97,1.97,201
2022-02-18 15:00:00,1.97,1.97,1.97,1.97,350
2022-02-18 14:58:00,1.98,1.98,1.98,1.98,100
2022-02-18 14:57:00,1.98,1.98,1.98,1.98,100
2022-02-18 14:55:00,1.97,1.97,1.97,1.97,110
2022-02-18 14:54:00,1.9833,1.9833,1.9833,1.9833,1100
2022-02-18 14:53:00,1.98,1.98,1.98,1.98,700
2022-02-18 14:47:00,1.97,1.97,1.97,1.97,101
2022-02-18 14:42:00,1.97,1.97,1.97,1.97,200
2022-02-18 14:41:00,1.97,1.97,1.97,1.97,206
2022-02-18 14:39:00,1.97,1.99,1.97,1.99,801
2022-02-18 14:37:00,1.97,1.97,1.97,1.97,100
2022-02-18 14:36:00,1.96,1.96,1.96,1.96,111
