time,open,high,low,close,volume
2022-02-18 19:58:00,1.76,1.76,1.76,1.76,3868
2022-02-18 19:52:00,1.76,1.76,1.76,1.76,760
2022-02-18 19:51:00,1.76,1.76,1.76,1.76,1232
2022-02-18 19:50:00,1.76,1.76,1.75,1.75,613
2022-02-18 19:43:00,1.76,1.76,1.76,1.76,160
2022-02-18 19:41:00,1.76,1.76,1.76,1.76,150
2022-02-18 19:34:00,1.77,1.77,1.77,1.77,499
2022-02-18 19:30:00,1.77,1.77,1.77,1.77,1100
2022-02-18 19:16:00,1.76,1.76,1.76,1.76,150
2022-02-18 19:11:00,1.76,1.76,1.76,1.76,2772
2022-02-18 19:10:00,1.77,1.77,1.77,1.77,1584
2022-02-18 19:07:00,1.77,1.77,1.77,1.77,1103
2022-02-18 18:58:00,1.77,1.77,1.77,1.77,133
2022-02-18 18:55:00,1.76,1.76,1.76,1.76,391
2022-02-18 18:50:00,1.77,1.77,1.77,1.77,500
2022-02-18 18:36:00,1.77,1.77,1.77,1.77,163
2022-02-18 18:29:00,1.8,1.8,1.8,1.8,210
2022-02-18 18:21:00,1.8,1.81,1.8,1.81,489
2022-02-18 18:20:00,1.77,1.77,1.77,1.77,600
2022-02-18 18:14:00,1.77,1.77,1.77,1.77,650
2022-02-18 18:08:00,1.77,1.77,1.77,1.77,189
2022-02-18 17:59:00,1.76,1.76,1.76,1.76,400
2022-02-18 17:57:00,1.76,1.76,1.76,1.76,123
2022-02-18 17:48:00,1.76,1.76,1.76,1.76,420
2022-02-18 17:39:00,1.76,1.76,1.76,1.76,548
2022-02-18 17:38:00,1.77,1.77,1.77,1.77,902
2022-02-18 17:34:00,1.79,1.79,1.79,1.79,150
2022-02-18 17:32:00,1.77,1.77,1.77,1.77,193
2022-02-18 17:31:00,1.77,1.77,1.77,1.77,100
2022-02-18 17:30:00,1.77,1.77,1.77,1.77,231
2022-02-18 17:28:00,1.77,1.77,1.77,1.77,100
2022-02-18 17:24:00,1.79,1.79,1.79,1.79,100
2022-02-18 17:23:00,1.79,1.79,1.79,1.79,878
2022-02-18 17:21:00,1.8,1.8,1.8,1.8,2977
2022-02-18 17:15:00,1.82,1.82,1.82,1.82,102
2022-02-18 17:11:00,1.83,1.83,1.83,1.83,153
2022-02-18 16:59:00,1.83,1.83,1.83,1.83,659
2022-02-18 16:58:00,1.82,1.83,1.82,1.83,4003
2022-02-18 16:56:00,1.8,1.81,1.8,1.81,2150
2022-02-18 16:55:00,1.81,1.81,1.8,1.8,1225
2022-02-18 16:54:00,1.8,1.8,1.8,1.8,300
2022-02-18 16:53:00,1.8,1.8,1.8,1.8,160
2022-02-18 16:52:00,1.8,1.8,1.8,1.8,705
2022-02-18 16:51:00,1.8,1.8,1.8,1.8,200
2022-02-18 16:50:00,1.79,1.79,1.79,1.79,100
2022-02-18 16:49:00,1.79,1.79,1.79,1.79,332
2022-02-18 16:46:00,1.82,1.82,1.82,1.82,605
2022-02-18 16:42:00,1.79,1.79,1.79,1.79,997
2022-02-18 16:41:00,1.79,1.79,1.79,1.79,319
2022-02-18 16:40:00,1.79,1.79,1.79,1.79,551
2022-02-18 16:39:00,1.79,1.79,1.79,1.79,160
2022-02-18 16:33:00,1.79,1.79,1.79,1.79,801
2022-02-18 16:30:00,1.79,1.79,1.79,1.79,239
2022-02-18 16:28:00,1.78,1.78,1.78,1.78,185
2022-02-18 16:27:00,1.78,1.78,1.78,1.78,100
2022-02-18 16:26:00,1.78,1.78,1.78,1.78,1700
2022-02-18 16:25:00,1.78,1.78,1.78,1.78,355
2022-02-18 16:24:00,1.7801,1.7801,1.7801,1.7801,1167
2022-02-18 16:23:00,1.79,1.79,1.79,1.79,160
2022-02-18 16:20:00,1.8,1.8,1.78,1.78,516
2022-02-18 16:19:00,1.8,1.8,1.8,1.8,475
2022-02-18 16:17:00,1.8101,1.8101,1.81,1.81,2009
2022-02-18 16:16:00,1.8001,1.81,1.8,1.8,2000
2022-02-18 16:15:00,1.8,1.8001,1.8,1.8001,2253
2022-02-18 16:13:00,1.8,1.81,1.8,1.81,3599
2022-02-18 16:10:00,1.8,1.8,1.8,1.8,6211
2022-02-18 16:09:00,1.8,1.8,1.8,1.8,2503
2022-02-18 16:07:00,1.78,1.78,1.77,1.77,583
2022-02-18 16:05:00,1.81,1.82,1.7601,1.82,4238
2022-02-18 16:04:00,1.78,1.82,1.78,1.82,3350
2022-02-18 16:02:00,1.82,1.82,1.82,1.82,939
2022-02-18 16:01:00,1.83,1.83,1.82,1.82,987
2022-02-18 16:00:00,1.8138,1.83,1.76,1.83,141561
2022-02-18 15:59:00,1.815,1.82,1.8101,1.82,24354
2022-02-18 15:58:00,1.815,1.83,1.81,1.8199,45331
2022-02-18 15:57:00,1.81,1.82,1.81,1.82,12263
2022-02-18 15:56:00,1.83,1.83,1.8,1.81,10236
2022-02-18 15:55:00,1.825,1.83,1.82,1.82,10975
2022-02-18 15:54:00,1.83,1.83,1.81,1.825,25501
2022-02-18 15:53:00,1.8209,1.83,1.8209,1.83,5444
2022-02-18 15:52:00,1.81,1.83,1.8,1.82,22220
2022-02-18 15:51:00,1.835,1.84,1.8,1.81,33150
2022-02-18 15:50:00,1.84,1.84,1.8301,1.84,4182
2022-02-18 15:49:00,1.8315,1.84,1.83,1.83,13495
2022-02-18 15:48:00,1.83,1.84,1.83,1.84,13111
2022-02-18 15:47:00,1.825,1.83,1.8201,1.83,11990
2022-02-18 15:46:00,1.83,1.8399,1.82,1.825,22726
2022-02-18 15:45:00,1.8313,1.8386,1.83,1.835,12233
2022-02-18 15:44:00,1.835,1.84,1.83,1.831,25019
2022-02-18 15:43:00,1.795,1.84,1.795,1.84,45765
2022-02-18 15:42:00,1.8,1.8,1.7901,1.795,24681
2022-02-18 15:41:00,1.795,1.8,1.79,1.8,13883
2022-02-18 15:40:00,1.8,1.8,1.7901,1.8,18356
2022-02-18 15:39:00,1.78,1.8,1.78,1.795,27093
2022-02-18 15:38:00,1.7701,1.78,1.7701,1.78,2683
2022-02-18 15:37:00,1.78,1.78,1.7703,1.78,7477
2022-02-18 15:36:00,1.78,1.79,1.7785,1.78,13487
2022-02-18 15:35:00,1.775,1.78,1.77,1.78,8871
2022-02-18 15:34:00,1.765,1.785,1.765,1.775,26079
2022-02-18 15:33:00,1.75,1.77,1.75,1.765,19825
2022-02-18 15:32:00,1.75,1.75,1.75,1.75,4106
2022-02-18 15:31:00,1.7415,1.75,1.74,1.75,8735
2022-02-18 15:30:00,1.75,1.75,1.745,1.745,2328
2022-02-18 15:29:00,1.755,1.755,1.75,1.75,1900
2022-02-18 15:28:00,1.75,1.755,1.7447,1.755,7650
2022-02-18 15:27:00,1.76,1.76,1.74,1.74,17041
2022-02-18 15:26:00,1.769,1.77,1.765,1.77,12668
2022-02-18 15:25:00,1.76,1.7608,1.76,1.76,7016
2022-02-18 15:24:00,1.76,1.762,1.76,1.762,670
2022-02-18 15:23:00,1.755,1.77,1.755,1.76,34157
2022-02-18 15:22:00,1.76,1.76,1.755,1.755,3046
2022-02-18 15:21:00,1.755,1.755,1.75,1.75,3361
2022-02-18 15:20:00,1.7554,1.76,1.75,1.76,5307
2022-02-18 15:18:00,1.769,1.77,1.76,1.76,11480
2022-02-18 15:17:00,1.765,1.77,1.76,1.77,6637
2022-02-18 15:16:00,1.77,1.77,1.77,1.77,2069
2022-02-18 15:14:00,1.7635,1.77,1.7601,1.7601,13375
2022-02-18 15:13:00,1.765,1.765,1.765,1.765,102
2022-02-18 15:12:00,1.7699,1.7699,1.7699,1.7699,5083
2022-02-18 15:11:00,1.755,1.77,1.755,1.77,13790
2022-02-18 15:09:00,1.765,1.77,1.7562,1.76,5044
2022-02-18 15:08:00,1.7613,1.7613,1.76,1.76,1406
2022-02-18 15:07:00,1.765,1.77,1.76,1.76,1313
2022-02-18 15:06:00,1.75,1.77,1.75,1.7616,11004
2022-02-18 15:05:00,1.7502,1.7502,1.7501,1.7501,331
2022-02-18 15:04:00,1.755,1.755,1.7513,1.755,842
2022-02-18 15:03:00,1.7691,1.7691,1.7501,1.755,1734
2022-02-18 15:02:00,1.76,1.7601,1.76,1.76,1590
2022-02-18 15:01:00,1.74,1.77,1.735,1.7603,45911
2022-02-18 15:00:00,1.74,1.74,1.735,1.735,1891
2022-02-18 14:59:00,1.74,1.7401,1.7346,1.7346,7676
