time,open,high,low,close,volume
2022-03-18 19:52:00,5.75,5.75,5.75,5.75,1489
2022-03-18 19:41:00,5.8,5.8,5.8,5.8,101
2022-03-18 19:35:00,5.95,5.95,5.95,5.95,1010
2022-03-18 19:32:00,5.97,5.97,5.97,5.97,501
2022-03-18 18:16:00,6.1,6.1,6.1,6.1,310
2022-03-18 17:49:00,6.1,6.1,6.1,6.1,100
2022-03-18 17:41:00,6.1,6.1,6.1,6.1,160
2022-03-18 17:39:00,6.1,6.1,6.1,6.1,306
2022-03-18 17:37:00,6.1,6.1,6.1,6.1,299
2022-03-18 17:33:00,6.1,6.1,6.1,6.1,202
2022-03-18 16:35:00,6.0999,6.0999,6.0999,6.0999,1500
2022-03-18 16:31:00,6.0,6.0,6.0,6.0,1000
2022-03-18 16:26:00,6.0,6.1,5.9,6.1,4500
2022-03-18 16:21:00,5.95,5.95,5.95,5.95,580
2022-03-18 16:11:00,6.0,6.0,6.0,6.0,100
2022-03-18 16:08:00,6.1,6.1,6.1,6.1,100
2022-03-18 16:06:00,5.94,5.94,5.94,5.94,6752
2022-03-18 16:02:00,5.93,5.93,5.93,5.93,242095
2022-03-18 16:00:00,5.98,6.0,5.98,5.98,4089
2022-03-18 15:59:00,6.0,6.0003,5.96,5.9988,5121
2022-03-18 15:58:00,6.08,6.0857,5.9712,5.99,5332
2022-03-18 15:57:00,6.06,6.07,6.04,6.065,1372
2022-03-18 15:56:00,6.0113,6.0832,6.0001,6.0578,6840
2022-03-18 15:55:00,6.03,6.08,5.95,5.97,13375
2022-03-18 15:54:00,6.03,6.07,6.03,6.05,1568
2022-03-18 15:53:00,6.04,6.08,6.03,6.05,10341
2022-03-18 15:52:00,6.09,6.11,6.0,6.0,27475
2022-03-18 15:51:00,6.1,6.15,5.99,6.09,25895
2022-03-18 15:50:00,6.55,6.6,6.1153,6.15,67392
2022-03-18 15:49:00,6.18,6.55,6.155,6.5276,57141
2022-03-18 15:48:00,6.11,6.18,6.03,6.18,36511
2022-03-18 15:47:00,6.0,6.11,5.94,6.11,20131
2022-03-18 15:46:00,5.935,6.05,5.935,6.05,7697
2022-03-18 15:45:00,5.96,5.98,5.91,5.98,2195
2022-03-18 15:44:00,5.95,5.96,5.91,5.96,2775
2022-03-18 15:43:00,5.95,5.96,5.91,5.96,6754
2022-03-18 15:42:00,5.95,5.96,5.95,5.96,1330
2022-03-18 15:41:00,5.95,5.95,5.9443,5.95,1704
2022-03-18 15:40:00,5.95,5.95,5.91,5.935,1952
2022-03-18 15:39:00,5.94,5.94,5.94,5.94,236
2022-03-18 15:37:00,5.98,5.9999,5.93,5.93,7007
2022-03-18 15:36:00,6.0,6.0,5.96,5.96,7274
2022-03-18 15:35:00,6.0,6.0,5.96,5.96,1469
2022-03-18 15:34:00,5.975,6.0,5.95,6.0,7057
2022-03-18 15:33:00,5.97,6.0,5.96,6.0,4816
2022-03-18 15:32:00,5.9954,6.0,5.95,6.0,6760
2022-03-18 15:31:00,6.0,6.0,5.9454,6.0,1471
2022-03-18 15:30:00,5.95,5.98,5.95,5.98,2920
2022-03-18 15:29:00,5.9197,5.93,5.9197,5.93,1349
2022-03-18 15:28:00,5.91,5.95,5.91,5.91,1600
2022-03-18 15:27:00,5.91,5.95,5.91,5.91,4094
2022-03-18 15:26:00,5.9436,5.95,5.91,5.91,2748
2022-03-18 15:25:00,5.93,5.93,5.93,5.93,342
2022-03-18 15:24:00,5.93,5.93,5.9,5.91,3165
2022-03-18 15:23:00,5.95,5.97,5.91,5.9137,6401
2022-03-18 15:22:00,5.91,5.95,5.91,5.95,5753
2022-03-18 15:21:00,5.88,5.9,5.88,5.9,4800
2022-03-18 15:20:00,5.87,5.89,5.87,5.885,1210
2022-03-18 15:19:00,5.86,5.87,5.85,5.87,1140
2022-03-18 15:18:00,5.865,5.865,5.81,5.84,2049
2022-03-18 15:17:00,5.865,5.865,5.8608,5.865,618
2022-03-18 15:16:00,5.855,5.87,5.8,5.8,7517
2022-03-18 15:15:00,5.85,5.88,5.84,5.88,1902
2022-03-18 15:14:00,5.79,5.82,5.7856,5.82,7406
2022-03-18 15:13:00,5.76,5.79,5.76,5.79,3326
2022-03-18 15:12:00,5.7015,5.76,5.7015,5.76,1713
2022-03-18 15:11:00,5.77,5.775,5.76,5.76,1532
