time,open,high,low,close,volume
2022-04-19 19:51:00,1.7,1.7,1.7,1.7,142
2022-04-19 19:47:00,1.7,1.7,1.7,1.7,1000
2022-04-19 19:41:00,1.7,1.7,1.7,1.7,303
2022-04-19 19:38:00,1.7,1.7,1.7,1.7,100
2022-04-19 19:33:00,1.7,1.7,1.7,1.7,200
2022-04-19 19:32:00,1.6999,1.6999,1.6999,1.6999,124
2022-04-19 19:31:00,1.7,1.7,1.7,1.7,3000
2022-04-19 19:29:00,1.7,1.7,1.7,1.7,246
2022-04-19 19:22:00,1.7,1.7,1.7,1.7,103
2022-04-19 19:14:00,1.7,1.7,1.7,1.7,1200
2022-04-19 19:07:00,1.72,1.72,1.72,1.72,280
2022-04-19 19:06:00,1.71,1.71,1.71,1.71,521
2022-04-19 19:02:00,1.69,1.69,1.69,1.69,150
2022-04-19 19:00:00,1.69,1.69,1.69,1.69,103
2022-04-19 18:38:00,1.68,1.68,1.68,1.68,200
2022-04-19 18:01:00,1.67,1.67,1.67,1.67,1070
2022-04-19 18:00:00,1.68,1.71,1.68,1.71,3000
2022-04-19 17:58:00,1.68,1.68,1.68,1.68,100
2022-04-19 17:21:00,1.71,1.71,1.71,1.71,600
2022-04-19 16:23:00,1.67,1.67,1.67,1.67,100
2022-04-19 16:22:00,1.71,1.71,1.71,1.71,875
2022-04-19 16:08:00,1.67,1.67,1.67,1.67,1000
2022-04-19 16:07:00,1.67,1.67,1.67,1.67,675
2022-04-19 16:06:00,1.67,1.67,1.67,1.67,12357
2022-04-19 16:05:00,1.68,1.68,1.68,1.68,415
2022-04-19 16:00:00,1.715,1.72,1.7,1.7,20928
2022-04-19 15:59:00,1.7188,1.7199,1.71,1.71,6654
2022-04-19 15:58:00,1.7011,1.72,1.7011,1.715,11245
2022-04-19 15:57:00,1.69,1.71,1.685,1.7099,18173
2022-04-19 15:56:00,1.715,1.7189,1.68,1.685,27423
2022-04-19 15:55:00,1.7189,1.72,1.71,1.715,20108
2022-04-19 15:54:00,1.705,1.72,1.7,1.7199,51602
2022-04-19 15:53:00,1.695,1.705,1.695,1.701,13480
2022-04-19 15:52:00,1.695,1.7,1.695,1.695,8309
2022-04-19 15:51:00,1.69,1.7,1.69,1.6997,5713
2022-04-19 15:49:00,1.665,1.6812,1.665,1.6812,2679
2022-04-19 15:48:00,1.66,1.6664,1.655,1.6664,7749
2022-04-19 15:47:00,1.675,1.675,1.66,1.66,6498
2022-04-19 15:46:00,1.6711,1.6799,1.6711,1.6799,1250
2022-04-19 15:45:00,1.675,1.6754,1.6706,1.6706,6601
2022-04-19 15:44:00,1.68,1.68,1.67,1.68,5965
2022-04-19 15:43:00,1.6886,1.6886,1.6848,1.6848,2500
2022-04-19 15:42:00,1.6873,1.69,1.685,1.6896,4009
2022-04-19 15:41:00,1.6885,1.6885,1.6811,1.685,1737
2022-04-19 15:40:00,1.68,1.685,1.68,1.685,1508
2022-04-19 15:39:00,1.685,1.6883,1.685,1.6883,663
2022-04-19 15:38:00,1.6801,1.6801,1.68,1.68,1742
2022-04-19 15:37:00,1.68,1.6812,1.68,1.6812,2749
2022-04-19 15:36:00,1.6712,1.6799,1.6712,1.6799,681
2022-04-19 15:35:00,1.6788,1.68,1.6773,1.68,2152
2022-04-19 15:34:00,1.6601,1.67,1.66,1.67,6672
2022-04-19 15:33:00,1.67,1.67,1.6652,1.6652,6034
2022-04-19 15:31:00,1.6676,1.67,1.6676,1.67,3906
2022-04-19 15:30:00,1.6641,1.6641,1.6641,1.6641,380
2022-04-19 15:29:00,1.66,1.66,1.66,1.66,879
2022-04-19 15:28:00,1.655,1.655,1.655,1.655,555
2022-04-19 15:27:00,1.65,1.65,1.645,1.65,2621
2022-04-19 15:26:00,1.66,1.66,1.66,1.66,172
2022-04-19 15:25:00,1.655,1.655,1.655,1.655,1000
2022-04-19 15:24:00,1.655,1.655,1.655,1.655,1003
2022-04-19 15:23:00,1.65,1.66,1.65,1.6515,1398
2022-04-19 15:22:00,1.65,1.65,1.6394,1.65,5641
2022-04-19 15:20:00,1.65,1.65,1.65,1.65,551
2022-04-19 15:18:00,1.65,1.655,1.65,1.655,908
2022-04-19 15:17:00,1.655,1.66,1.655,1.655,445
2022-04-19 15:16:00,1.6626,1.6626,1.6599,1.6599,1519
2022-04-19 15:15:00,1.6635,1.6635,1.66,1.66,500
2022-04-19 15:14:00,1.664,1.664,1.66,1.66,5474
2022-04-19 15:12:00,1.655,1.665,1.655,1.66,6489
2022-04-19 15:11:00,1.655,1.66,1.65,1.66,5426
2022-04-19 15:10:00,1.66,1.66,1.66,1.66,379
2022-04-19 15:09:00,1.65,1.66,1.65,1.6501,5680
2022-04-19 15:06:00,1.64,1.65,1.64,1.65,2804
2022-04-19 15:05:00,1.63,1.63,1.63,1.63,2500
2022-04-19 15:04:00,1.66,1.66,1.63,1.63,6914
2022-04-19 15:03:00,1.67,1.67,1.66,1.66,5839
2022-04-19 15:02:00,1.661,1.661,1.661,1.661,7464
2022-04-19 15:01:00,1.67,1.67,1.6609,1.67,1181
2022-04-19 15:00:00,1.67,1.67,1.6601,1.6673,4897
2022-04-19 14:59:00,1.6787,1.6787,1.6701,1.6701,2738
2022-04-19 14:57:00,1.6612,1.67,1.6612,1.67,1272
2022-04-19 14:55:00,1.67,1.67,1.67,1.67,200
2022-04-19 14:54:00,1.6693,1.6693,1.6693,1.6693,300
2022-04-19 14:53:00,1.675,1.675,1.665,1.665,2684
2022-04-19 14:52:00,1.68,1.68,1.6773,1.6784,2559
2022-04-19 14:51:00,1.6742,1.68,1.67,1.67,9308
2022-04-19 14:49:00,1.6827,1.6827,1.6827,1.6827,418
2022-04-19 14:47:00,1.68,1.68,1.665,1.68,19814
2022-04-19 14:46:00,1.681,1.6895,1.681,1.6895,705
2022-04-19 14:45:00,1.6801,1.6801,1.6801,1.6801,660
2022-04-19 14:44:00,1.6893,1.69,1.6843,1.6843,2902
2022-04-19 14:43:00,1.67,1.6875,1.6698,1.6875,2872
2022-04-19 14:42:00,1.6819,1.6899,1.65,1.665,23878
2022-04-19 14:41:00,1.68,1.71,1.67,1.681,67828
2022-04-19 14:40:00,1.669,1.6805,1.66,1.6702,52925
2022-04-19 14:39:00,1.64,1.65,1.6301,1.6498,43013
2022-04-19 14:37:00,1.6301,1.635,1.6301,1.635,4168
2022-04-19 14:33:00,1.65,1.65,1.6499,1.65,8563
2022-04-19 14:32:00,1.65,1.65,1.65,1.65,704
2022-04-19 14:30:00,1.6499,1.65,1.6499,1.65,450
2022-04-19 14:29:00,1.64,1.64,1.6316,1.6316,6927
2022-04-19 14:25:00,1.62,1.62,1.62,1.62,4008
2022-04-19 14:24:00,1.6192,1.6192,1.61,1.61,3445
2022-04-19 14:22:00,1.63,1.63,1.6,1.61,43764
2022-04-19 14:21:00,1.64,1.64,1.6301,1.6301,603
2022-04-19 14:20:00,1.645,1.645,1.64,1.64,615
2022-04-19 14:17:00,1.64,1.64,1.64,1.64,100
2022-04-19 14:15:00,1.6481,1.6481,1.6481,1.6481,173
2022-04-19 14:14:00,1.645,1.65,1.645,1.6481,6600
2022-04-19 14:13:00,1.645,1.65,1.64,1.645,4375
2022-04-19 14:12:00,1.64,1.64,1.64,1.64,622
2022-04-19 14:11:00,1.63,1.64,1.63,1.64,362
2022-04-19 14:06:00,1.625,1.63,1.625,1.63,1453
2022-04-19 14:05:00,1.6201,1.6201,1.6201,1.6201,115
2022-04-19 14:04:00,1.6201,1.6289,1.6201,1.6289,1700
2022-04-19 14:02:00,1.62,1.63,1.62,1.63,231
2022-04-19 14:01:00,1.62,1.62,1.615,1.62,4365
2022-04-19 14:00:00,1.615,1.62,1.615,1.62,4842
2022-04-19 13:59:00,1.611,1.6199,1.611,1.6199,420
2022-04-19 13:58:00,1.6108,1.6108,1.6108,1.6108,243
2022-04-19 13:55:00,1.615,1.615,1.615,1.615,100
2022-04-19 13:53:00,1.61,1.61,1.61,1.61,100
2022-04-19 13:52:00,1.6199,1.6199,1.6199,1.6199,525
2022-04-19 13:51:00,1.615,1.615,1.615,1.615,400
2022-04-19 13:50:00,1.61,1.61,1.61,1.61,4020
2022-04-19 13:48:00,1.61,1.615,1.61,1.615,1246
2022-04-19 13:47:00,1.6111,1.6111,1.61,1.61,588
2022-04-19 13:46:00,1.6101,1.6101,1.61,1.6101,400
2022-04-19 13:41:00,1.615,1.615,1.6111,1.6111,1002
2022-04-19 13:38:00,1.61,1.61,1.61,1.61,14148
2022-04-19 13:37:00,1.61,1.62,1.61,1.62,6622
2022-04-19 13:36:00,1.61,1.61,1.61,1.61,2989
2022-04-19 13:35:00,1.61,1.61,1.61,1.61,2037
2022-04-19 13:34:00,1.6276,1.6281,1.61,1.61,45211
2022-04-19 13:33:00,1.605,1.6101,1.6001,1.6101,4693
2022-04-19 13:32:00,1.6019,1.61,1.6,1.605,4991
2022-04-19 13:30:00,1.635,1.635,1.62,1.62,20070
2022-04-19 13:29:00,1.6231,1.63,1.62,1.63,12154
2022-04-19 13:28:00,1.63,1.6324,1.625,1.6284,15587
2022-04-19 13:27:00,1.66,1.66,1.63,1.635,38361
2022-04-19 13:25:00,1.67,1.67,1.666,1.666,435
2022-04-19 13:23:00,1.67,1.67,1.66,1.66,4875
2022-04-19 13:22:00,1.665,1.665,1.665,1.665,211
2022-04-19 13:21:00,1.661,1.661,1.661,1.661,237
2022-04-19 13:20:00,1.6682,1.6682,1.6682,1.6682,250
2022-04-19 13:19:00,1.6689,1.6689,1.66,1.66,6863
2022-04-19 13:18:00,1.665,1.665,1.66,1.66,2291
2022-04-19 13:17:00,1.668,1.668,1.668,1.668,205
2022-04-19 13:16:00,1.67,1.67,1.665,1.665,3241
2022-04-19 13:15:00,1.6611,1.6611,1.6611,1.6611,347
2022-04-19 13:14:00,1.67,1.67,1.6608,1.6608,5279
2022-04-19 13:13:00,1.67,1.67,1.66,1.67,20968
2022-04-19 13:12:00,1.67,1.675,1.67,1.6738,3950
2022-04-19 13:11:00,1.6792,1.68,1.675,1.68,7618
2022-04-19 13:10:00,1.6783,1.6783,1.675,1.675,355
2022-04-19 13:09:00,1.6791,1.6791,1.6791,1.6791,168
2022-04-19 13:08:00,1.675,1.679,1.675,1.679,450
2022-04-19 13:07:00,1.68,1.68,1.675,1.675,1833
2022-04-19 13:06:00,1.68,1.68,1.6773,1.68,550
2022-04-19 13:05:00,1.6753,1.6753,1.6753,1.6753,1106
2022-04-19 13:04:00,1.6714,1.68,1.6714,1.675,7920
2022-04-19 13:03:00,1.6704,1.68,1.6704,1.673,1638
2022-04-19 13:02:00,1.6787,1.6787,1.6714,1.6716,1203
2022-04-19 13:01:00,1.6701,1.6701,1.6701,1.6701,6030
2022-04-19 13:00:00,1.6715,1.675,1.67,1.6711,5009
2022-04-19 12:59:00,1.671,1.671,1.671,1.671,214
2022-04-19 12:58:00,1.675,1.675,1.67,1.6707,2073
2022-04-19 12:57:00,1.67,1.6799,1.67,1.6701,1687
2022-04-19 12:56:00,1.685,1.6891,1.67,1.675,40226
2022-04-19 12:55:00,1.7001,1.7001,1.68,1.6804,10550
2022-04-19 12:54:00,1.7003,1.7008,1.7001,1.7001,4794
2022-04-19 12:53:00,1.7011,1.71,1.7,1.705,8469
2022-04-19 12:52:00,1.7009,1.705,1.7001,1.7001,5501
2022-04-19 12:51:00,1.7033,1.7033,1.7033,1.7033,2528
2022-04-19 12:50:00,1.7011,1.7088,1.7011,1.7088,411
2022-04-19 12:49:00,1.7001,1.705,1.7001,1.7014,3618
2022-04-19 12:48:00,1.705,1.7099,1.705,1.7099,720
2022-04-19 12:47:00,1.7084,1.7089,1.705,1.705,1880
2022-04-19 12:46:00,1.705,1.705,1.7,1.705,4389
2022-04-19 12:45:00,1.7088,1.71,1.7001,1.71,6447
2022-04-19 12:44:00,1.715,1.715,1.705,1.71,22000
2022-04-19 12:43:00,1.715,1.72,1.71,1.71,10472
2022-04-19 12:42:00,1.7144,1.715,1.71,1.7109,13757
2022-04-19 12:41:00,1.7168,1.7168,1.7159,1.7159,1193
2022-04-19 12:40:00,1.715,1.72,1.7101,1.7101,14391
2022-04-19 12:39:00,1.7165,1.72,1.715,1.72,1852
2022-04-19 12:38:00,1.72,1.72,1.71,1.72,8101
2022-04-19 12:37:00,1.7116,1.7199,1.7116,1.7191,5001
2022-04-19 12:36:00,1.7199,1.7199,1.715,1.715,1152
2022-04-19 12:35:00,1.7101,1.7181,1.7101,1.7101,1155
2022-04-19 12:34:00,1.7184,1.72,1.71,1.7103,12018
2022-04-19 12:33:00,1.7092,1.718,1.7092,1.7141,17402
2022-04-19 12:32:00,1.71,1.71,1.7001,1.7099,11862
2022-04-19 12:31:00,1.7,1.71,1.7,1.7001,4887
2022-04-19 12:30:00,1.71,1.71,1.699,1.699,21656
2022-04-19 12:29:00,1.713,1.72,1.7,1.7,4751
2022-04-19 12:28:00,1.69,1.71,1.685,1.71,21842
2022-04-19 12:27:00,1.685,1.6899,1.6801,1.6832,7566
2022-04-19 12:26:00,1.6887,1.69,1.6801,1.69,3068
2022-04-19 12:25:00,1.68,1.68,1.68,1.68,5331
2022-04-19 12:24:00,1.6794,1.68,1.6704,1.675,12496
2022-04-19 12:23:00,1.6779,1.6783,1.6779,1.6783,482
2022-04-19 12:22:00,1.6899,1.6899,1.6714,1.6714,10290
2022-04-19 12:21:00,1.6714,1.69,1.6714,1.685,27698
2022-04-19 12:20:00,1.6784,1.6784,1.675,1.675,1886
2022-04-19 12:19:00,1.679,1.679,1.6702,1.6709,2507
2022-04-19 12:18:00,1.6799,1.68,1.6701,1.68,1901
2022-04-19 12:17:00,1.67,1.68,1.67,1.68,46858
2022-04-19 12:16:00,1.68,1.68,1.67,1.67,25481
2022-04-19 12:15:00,1.682,1.69,1.68,1.685,7938
2022-04-19 12:14:00,1.68,1.69,1.68,1.685,7237
2022-04-19 12:13:00,1.655,1.6891,1.655,1.6891,22476
2022-04-19 12:12:00,1.66,1.66,1.655,1.6599,9927
2022-04-19 12:11:00,1.6401,1.66,1.6401,1.645,47331
2022-04-19 12:10:00,1.6406,1.6406,1.6406,1.6406,1560
2022-04-19 12:09:00,1.64,1.64,1.64,1.64,1104
2022-04-19 12:08:00,1.64,1.64,1.64,1.64,10025
2022-04-19 12:06:00,1.6401,1.6401,1.6401,1.6401,258
2022-04-19 12:05:00,1.64,1.6492,1.64,1.6492,1581
2022-04-19 12:04:00,1.6408,1.645,1.6408,1.645,1104
2022-04-19 12:03:00,1.645,1.65,1.645,1.65,11061
2022-04-19 12:02:00,1.64,1.645,1.64,1.645,2337
2022-04-19 12:01:00,1.64,1.64,1.64,1.64,133
2022-04-19 12:00:00,1.6421,1.65,1.6411,1.6411,21442
2022-04-19 11:58:00,1.645,1.645,1.645,1.645,259
2022-04-19 11:57:00,1.6409,1.6409,1.6409,1.6409,431
2022-04-19 11:56:00,1.6405,1.6446,1.64,1.64,3033
2022-04-19 11:54:00,1.645,1.645,1.645,1.645,1694
2022-04-19 11:53:00,1.6401,1.6491,1.6401,1.6491,3046
2022-04-19 11:52:00,1.645,1.645,1.6407,1.6407,1387
2022-04-19 11:51:00,1.641,1.645,1.64,1.645,3566
2022-04-19 11:50:00,1.65,1.65,1.6437,1.6437,1702
2022-04-19 11:49:00,1.6441,1.65,1.6401,1.6486,24254
2022-04-19 11:48:00,1.6259,1.65,1.6259,1.65,30405
2022-04-19 11:47:00,1.637,1.637,1.637,1.637,268
2022-04-19 11:46:00,1.63,1.6366,1.6229,1.6229,1465
2022-04-19 11:45:00,1.63,1.63,1.63,1.63,404
2022-04-19 11:44:00,1.62,1.63,1.615,1.6211,10591
2022-04-19 11:43:00,1.6101,1.62,1.6101,1.6199,1478
2022-04-19 11:42:00,1.6164,1.6175,1.6164,1.6175,6464
2022-04-19 11:41:00,1.62,1.62,1.61,1.61,10371
2022-04-19 11:39:00,1.6043,1.6043,1.6043,1.6043,3120
2022-04-19 11:38:00,1.61,1.61,1.6071,1.6071,7716
2022-04-19 11:37:00,1.595,1.605,1.595,1.605,6386
2022-04-19 11:36:00,1.6,1.6,1.595,1.595,16580
2022-04-19 11:35:00,1.595,1.598,1.595,1.598,504
2022-04-19 11:33:00,1.6,1.6,1.5901,1.5901,4020
2022-04-19 11:32:00,1.595,1.6,1.595,1.6,1322
2022-04-19 11:29:00,1.58,1.59,1.58,1.59,3134
2022-04-19 11:27:00,1.5999,1.6,1.5978,1.5983,953
2022-04-19 11:26:00,1.59,1.59,1.59,1.59,162
2022-04-19 11:25:00,1.575,1.59,1.57,1.59,4424
2022-04-19 11:21:00,1.5799,1.5799,1.5799,1.5799,500
2022-04-19 11:20:00,1.58,1.58,1.575,1.575,20207
2022-04-19 11:19:00,1.585,1.585,1.585,1.585,140
2022-04-19 11:18:00,1.585,1.585,1.5804,1.5804,1661
2022-04-19 11:17:00,1.585,1.585,1.585,1.585,100
2022-04-19 11:16:00,1.5885,1.5885,1.585,1.585,7037
2022-04-19 11:15:00,1.58,1.58,1.58,1.58,500
2022-04-19 11:14:00,1.58,1.585,1.58,1.58,16519
2022-04-19 11:13:00,1.585,1.585,1.585,1.585,106
2022-04-19 11:12:00,1.585,1.585,1.585,1.585,1201
2022-04-19 11:11:00,1.5892,1.5892,1.5892,1.5892,300
2022-04-19 11:09:00,1.5805,1.5805,1.5805,1.5805,1000
2022-04-19 11:05:00,1.585,1.585,1.585,1.585,1337
2022-04-19 11:04:00,1.5899,1.5899,1.5899,1.5899,3007
2022-04-19 11:03:00,1.5879,1.5879,1.5879,1.5879,221
2022-04-19 11:02:00,1.5801,1.5893,1.5801,1.5893,2770
