time,open,high,low,close,volume
2022-04-19 20:00:00,1.1099,1.1099,1.1099,1.1099,3000
2022-04-19 19:59:00,1.11,1.11,1.11,1.11,100
2022-04-19 19:55:00,1.1,1.1,1.1,1.1,147
2022-04-19 19:28:00,1.1,1.1,1.1,1.1,1894
2022-04-19 19:24:00,1.1,1.1,1.1,1.1,640
2022-04-19 19:02:00,1.12,1.13,1.12,1.12,1438
2022-04-19 18:15:00,1.08,1.08,1.08,1.08,3702
2022-04-19 18:12:00,1.08,1.08,1.08,1.08,267
2022-04-19 18:10:00,1.09,1.09,1.09,1.09,1102
2022-04-19 18:02:00,1.1,1.1,1.1,1.1,2525
2022-04-19 18:01:00,1.11,1.11,1.11,1.11,1888
2022-04-19 17:53:00,1.1101,1.1101,1.1101,1.1101,132
2022-04-19 17:43:00,1.14,1.14,1.14,1.14,1000
2022-04-19 17:04:00,1.11,1.11,1.11,1.11,390
2022-04-19 16:16:00,1.11,1.12,1.11,1.12,600
2022-04-19 16:05:00,1.1,1.1,1.1,1.1,190
2022-04-19 16:02:00,1.11,1.11,1.11,1.11,100
2022-04-19 16:00:00,1.105,1.11,1.1,1.11,7725
2022-04-19 15:59:00,1.105,1.105,1.1001,1.1001,3876
2022-04-19 15:58:00,1.1094,1.1094,1.1001,1.105,2834
2022-04-19 15:57:00,1.1099,1.1099,1.1,1.1092,3386
2022-04-19 15:56:00,1.1092,1.1099,1.1044,1.1099,766
2022-04-19 15:55:00,1.1027,1.1099,1.102,1.1099,1254
2022-04-19 15:54:00,1.105,1.105,1.105,1.105,101
2022-04-19 15:52:00,1.105,1.105,1.105,1.105,152
2022-04-19 15:51:00,1.105,1.105,1.105,1.105,480
2022-04-19 15:50:00,1.1099,1.11,1.1099,1.11,1200
2022-04-19 15:49:00,1.105,1.105,1.105,1.105,186
2022-04-19 15:48:00,1.105,1.105,1.105,1.105,1000
2022-04-19 15:47:00,1.11,1.11,1.11,1.11,342
2022-04-19 15:46:00,1.1095,1.1095,1.1095,1.1095,1811
