time,open,high,low,close,volume
2022-04-19 19:17:00,4.38,4.38,4.38,4.38,182
2022-04-19 18:51:00,4.38,4.38,4.38,4.38,400
2022-04-19 17:08:00,4.32,4.32,4.32,4.32,500
2022-04-19 17:01:00,4.33,4.33,4.33,4.33,1004
2022-04-19 16:56:00,4.35,4.35,4.35,4.35,243
2022-04-19 16:01:00,4.32,4.32,4.32,4.32,2046
2022-04-19 16:00:00,4.325,4.33,4.29,4.32,19787
2022-04-19 15:59:00,4.325,4.33,4.32,4.32,4170
2022-04-19 15:58:00,4.32,4.325,4.32,4.325,2162
2022-04-19 15:57:00,4.32,4.325,4.32,4.32,2550
2022-04-19 15:56:00,4.335,4.335,4.32,4.32,3934
2022-04-19 15:55:00,4.34,4.345,4.335,4.335,6472
2022-04-19 15:54:00,4.345,4.35,4.345,4.345,831
2022-04-19 15:53:00,4.345,4.345,4.345,4.345,1267
2022-04-19 15:52:00,4.345,4.35,4.345,4.345,1374
2022-04-19 15:51:00,4.3,4.35,4.295,4.345,12920
2022-04-19 15:50:00,4.29,4.295,4.29,4.29,3183
2022-04-19 15:49:00,4.29,4.295,4.29,4.295,821
2022-04-19 15:48:00,4.295,4.295,4.29,4.2915,1298
2022-04-19 15:47:00,4.295,4.295,4.29,4.29,5717
2022-04-19 15:46:00,4.295,4.295,4.29,4.29,2725
2022-04-19 15:45:00,4.29,4.295,4.29,4.295,1048
2022-04-19 15:44:00,4.295,4.295,4.295,4.295,896
2022-04-19 15:43:00,4.295,4.295,4.295,4.295,539
2022-04-19 15:42:00,4.295,4.295,4.295,4.295,463
2022-04-19 15:41:00,4.29,4.295,4.29,4.295,1556
2022-04-19 15:40:00,4.295,4.295,4.29,4.295,957
2022-04-19 15:39:00,4.29,4.3,4.29,4.295,4257
2022-04-19 15:38:00,4.29,4.29,4.29,4.29,400
2022-04-19 15:37:00,4.275,4.29,4.275,4.29,2842
2022-04-19 15:36:00,4.27,4.29,4.27,4.275,7923
2022-04-19 15:35:00,4.28,4.2831,4.27,4.27,1520
2022-04-19 15:34:00,4.28,4.2829,4.27,4.28,1914
2022-04-19 15:33:00,4.28,4.28,4.27,4.27,1506
2022-04-19 15:32:00,4.25,4.28,4.25,4.28,10751
2022-04-19 15:31:00,4.26,4.26,4.24,4.25,23226
2022-04-19 15:30:00,4.265,4.2675,4.26,4.2673,2530
2022-04-19 15:27:00,4.26,4.27,4.26,4.265,6879
2022-04-19 15:26:00,4.26,4.265,4.26,4.26,738
2022-04-19 15:25:00,4.26,4.2699,4.26,4.26,1701
2022-04-19 15:24:00,4.265,4.27,4.26,4.26,4532
2022-04-19 15:23:00,4.26,4.265,4.26,4.26,2195
2022-04-19 15:22:00,4.2699,4.2699,4.265,4.265,1880
2022-04-19 15:20:00,4.26,4.26,4.26,4.26,247
2022-04-19 15:18:00,4.26,4.2628,4.26,4.2628,266
2022-04-19 15:17:00,4.27,4.27,4.26,4.2609,4898
2022-04-19 15:16:00,4.26,4.26,4.26,4.26,614
2022-04-19 15:15:00,4.27,4.27,4.26,4.26,3008
2022-04-19 15:14:00,4.24,4.26,4.24,4.26,9324
2022-04-19 15:13:00,4.225,4.25,4.21,4.24,5523
2022-04-19 15:12:00,4.25,4.27,4.19,4.21,25780
2022-04-19 15:11:00,4.26,4.26,4.25,4.25,365
2022-04-19 15:10:00,4.25,4.25,4.25,4.25,668
2022-04-19 15:09:00,4.265,4.27,4.25,4.25,7420
2022-04-19 15:08:00,4.26,4.26,4.26,4.26,402
2022-04-19 15:07:00,4.26,4.26,4.26,4.26,301
2022-04-19 15:06:00,4.27,4.27,4.26,4.26,1491
2022-04-19 15:05:00,4.27,4.27,4.27,4.27,700
2022-04-19 15:04:00,4.28,4.28,4.27,4.27,3014
2022-04-19 15:03:00,4.28,4.29,4.28,4.28,1161
2022-04-19 15:02:00,4.31,4.31,4.28,4.28,6921
2022-04-19 15:01:00,4.3,4.32,4.3,4.32,300
2022-04-19 14:59:00,4.3,4.3,4.3,4.3,177
2022-04-19 14:58:00,4.32,4.32,4.32,4.32,211
2022-04-19 14:57:00,4.31,4.31,4.31,4.31,235
2022-04-19 14:56:00,4.32,4.32,4.3,4.3,226
2022-04-19 14:54:00,4.31,4.31,4.31,4.31,250
2022-04-19 14:52:00,4.32,4.32,4.32,4.32,341
2022-04-19 14:51:00,4.32,4.32,4.32,4.32,209
2022-04-19 14:50:00,4.33,4.33,4.33,4.33,629
2022-04-19 14:49:00,4.33,4.33,4.33,4.33,100
2022-04-19 14:47:00,4.33,4.33,4.33,4.33,192
2022-04-19 14:46:00,4.33,4.33,4.33,4.33,300
2022-04-19 14:45:00,4.33,4.34,4.33,4.34,959
2022-04-19 14:44:00,4.32,4.3385,4.32,4.3385,335
2022-04-19 14:43:00,4.33,4.33,4.33,4.33,306
2022-04-19 14:42:00,4.315,4.33,4.315,4.33,2660
2022-04-19 14:41:00,4.31,4.31,4.31,4.31,305
2022-04-19 14:40:00,4.31,4.31,4.31,4.31,214
2022-04-19 14:39:00,4.33,4.3379,4.31,4.32,1546
2022-04-19 14:38:00,4.34,4.34,4.33,4.33,23393
2022-04-19 14:37:00,4.34,4.34,4.34,4.34,107
2022-04-19 14:36:00,4.345,4.345,4.345,4.345,502
2022-04-19 14:35:00,4.34,4.34,4.34,4.34,262
2022-04-19 14:34:00,4.36,4.36,4.35,4.35,4025
2022-04-19 14:33:00,4.3699,4.3699,4.3699,4.3699,100
2022-04-19 14:31:00,4.365,4.365,4.365,4.365,231
2022-04-19 14:30:00,4.36,4.36,4.36,4.36,464
2022-04-19 14:29:00,4.36,4.36,4.35,4.35,669
2022-04-19 14:26:00,4.35,4.36,4.35,4.36,420
2022-04-19 14:24:00,4.36,4.36,4.36,4.36,940
2022-04-19 14:20:00,4.36,4.36,4.355,4.355,1835
2022-04-19 14:19:00,4.35,4.35,4.35,4.35,304
2022-04-19 14:18:00,4.35,4.355,4.35,4.355,503
2022-04-19 14:17:00,4.35,4.35,4.35,4.35,2221
2022-04-19 14:16:00,4.34,4.35,4.34,4.35,3391
2022-04-19 14:15:00,4.34,4.34,4.34,4.34,453
2022-04-19 14:14:00,4.345,4.345,4.33,4.34,842
2022-04-19 14:13:00,4.34,4.34,4.33,4.34,905
2022-04-19 14:12:00,4.36,4.36,4.35,4.35,24897
2022-04-19 14:10:00,4.37,4.37,4.36,4.36,229
2022-04-19 14:09:00,4.36,4.37,4.36,4.365,553
2022-04-19 14:08:00,4.36,4.36,4.36,4.36,218
2022-04-19 14:07:00,4.36,4.36,4.36,4.36,300
2022-04-19 14:06:00,4.36,4.37,4.36,4.37,363
2022-04-19 14:05:00,4.36,4.38,4.36,4.37,325
2022-04-19 14:04:00,4.36,4.37,4.36,4.37,371
2022-04-19 14:02:00,4.36,4.36,4.36,4.36,102
2022-04-19 14:01:00,4.37,4.38,4.36,4.38,510
2022-04-19 14:00:00,4.37,4.37,4.37,4.37,461
2022-04-19 13:59:00,4.36,4.36,4.36,4.36,230
2022-04-19 13:58:00,4.36,4.36,4.36,4.36,122
2022-04-19 13:56:00,4.36,4.36,4.36,4.36,101
2022-04-19 13:54:00,4.36,4.36,4.36,4.36,100
2022-04-19 13:53:00,4.36,4.36,4.36,4.36,1441
2022-04-19 13:52:00,4.35,4.3594,4.345,4.3594,2986
2022-04-19 13:51:00,4.34,4.34,4.34,4.34,339
2022-04-19 13:50:00,4.33,4.33,4.33,4.33,205
2022-04-19 13:49:00,4.33,4.33,4.33,4.33,107
2022-04-19 13:47:00,4.33,4.33,4.33,4.33,727
2022-04-19 13:46:00,4.33,4.33,4.33,4.33,103
2022-04-19 13:45:00,4.33,4.33,4.33,4.33,612
2022-04-19 13:44:00,4.33,4.33,4.33,4.33,102
2022-04-19 13:43:00,4.32,4.34,4.32,4.33,896
2022-04-19 13:42:00,4.32,4.32,4.32,4.32,111
2022-04-19 13:41:00,4.34,4.34,4.32,4.32,517
2022-04-19 13:40:00,4.34,4.34,4.34,4.34,202
2022-04-19 13:39:00,4.34,4.34,4.34,4.34,1000
2022-04-19 13:38:00,4.34,4.3483,4.34,4.345,1786
2022-04-19 13:37:00,4.34,4.34,4.34,4.34,271
2022-04-19 13:36:00,4.35,4.35,4.35,4.35,214
2022-04-19 13:35:00,4.34,4.35,4.34,4.35,434
2022-04-19 13:34:00,4.35,4.35,4.34,4.34,553
2022-04-19 13:32:00,4.33,4.3499,4.33,4.3499,285
2022-04-19 13:31:00,4.34,4.3414,4.34,4.3414,964
2022-04-19 13:30:00,4.33,4.33,4.33,4.33,263
2022-04-19 13:28:00,4.34,4.34,4.33,4.34,1523
2022-04-19 13:27:00,4.34,4.34,4.34,4.34,254
2022-04-19 13:26:00,4.34,4.34,4.34,4.34,310
2022-04-19 13:23:00,4.34,4.34,4.34,4.34,208
