time,open,high,low,close,volume
2022-04-19 20:00:00,3.3,3.3,3.3,3.3,100
2022-04-19 19:59:00,3.29,3.3,3.29,3.3,998
2022-04-19 19:25:00,3.23,3.3,3.21,3.3,793
2022-04-19 19:11:00,3.31,3.31,3.31,3.31,500
2022-04-19 18:52:00,3.3,3.3,3.3,3.3,1000
2022-04-19 18:14:00,3.24,3.24,3.24,3.24,500
2022-04-19 18:03:00,3.25,3.25,3.25,3.25,216
2022-04-19 17:37:00,3.25,3.25,3.25,3.25,300
2022-04-19 17:36:00,3.25,3.25,3.25,3.25,258
2022-04-19 17:21:00,3.25,3.25,3.25,3.25,7500
2022-04-19 17:17:00,3.25,3.25,3.25,3.25,6000
2022-04-19 17:16:00,3.25,3.25,3.25,3.25,5001
2022-04-19 16:57:00,3.34,3.34,3.34,3.34,500
2022-04-19 16:45:00,3.25,3.25,3.25,3.25,1050
2022-04-19 16:37:00,3.25,3.25,3.25,3.25,303
2022-04-19 16:36:00,3.25,3.25,3.25,3.25,1057
2022-04-19 16:30:00,3.35,3.35,3.35,3.35,3900
2022-04-19 16:28:00,3.23,3.23,3.23,3.23,125
2022-04-19 16:27:00,3.25,3.25,3.25,3.25,300
2022-04-19 16:25:00,3.25,3.25,3.25,3.25,269
2022-04-19 16:13:00,3.29,3.29,3.29,3.29,750
2022-04-19 16:10:00,3.23,3.23,3.23,3.23,550
2022-04-19 16:09:00,3.25,3.26,3.25,3.26,800
2022-04-19 16:08:00,3.23,3.23,3.23,3.23,300
2022-04-19 16:05:00,3.26,3.26,3.26,3.26,300
2022-04-19 16:01:00,3.26,3.26,3.26,3.26,3500
2022-04-19 16:00:00,3.235,3.24,3.22,3.22,19844
2022-04-19 15:59:00,3.24,3.24,3.23,3.2383,17685
2022-04-19 15:58:00,3.25,3.255,3.24,3.24,13370
2022-04-19 15:57:00,3.255,3.26,3.25,3.255,6204
2022-04-19 15:56:00,3.2549,3.26,3.25,3.25,12721
2022-04-19 15:55:00,3.25,3.26,3.25,3.25,3723
2022-04-19 15:54:00,3.26,3.26,3.25,3.25,4507
2022-04-19 15:53:00,3.2501,3.285,3.2501,3.26,15599
2022-04-19 15:52:00,3.27,3.27,3.2501,3.26,11544
2022-04-19 15:51:00,3.28,3.29,3.27,3.27,19798
2022-04-19 15:50:00,3.28,3.3,3.275,3.285,19790
2022-04-19 15:49:00,3.28,3.28,3.27,3.28,15718
2022-04-19 15:48:00,3.27,3.28,3.2549,3.28,19633
2022-04-19 15:47:00,3.28,3.28,3.27,3.27,27016
2022-04-19 15:46:00,3.29,3.29,3.28,3.28,6899
2022-04-19 15:45:00,3.315,3.315,3.3,3.3,2122
2022-04-19 15:44:00,3.32,3.325,3.3107,3.315,7466
2022-04-19 15:43:00,3.315,3.33,3.29,3.32,29980
2022-04-19 15:42:00,3.3099,3.31,3.299,3.31,9039
2022-04-19 15:41:00,3.325,3.325,3.29,3.3026,23336
2022-04-19 15:40:00,3.31,3.33,3.29,3.325,14879
2022-04-19 15:39:00,3.31,3.315,3.31,3.315,3566
2022-04-19 15:38:00,3.315,3.316,3.31,3.315,4901
2022-04-19 15:37:00,3.33,3.33,3.31,3.31,15298
2022-04-19 15:36:00,3.32,3.33,3.32,3.325,2742
2022-04-19 15:35:00,3.31,3.3169,3.3,3.315,3650
