time,open,high,low,close,volume
2022-04-19 19:35:00,2.09,2.09,2.09,2.09,349
2022-04-19 19:16:00,2.02,2.02,2.02,2.02,151
2022-04-19 17:00:00,2.01,2.01,2.01,2.01,150
2022-04-19 16:46:00,2.02,2.02,2.02,2.02,100
2022-04-19 16:00:00,2.04,2.04,2.04,2.04,402
2022-04-19 15:57:00,2.03,2.03,2.03,2.03,102
2022-04-19 15:56:00,2.035,2.04,2.03,2.04,462
2022-04-19 15:55:00,2.03,2.03,2.03,2.03,677
2022-04-19 15:51:00,2.04,2.04,2.04,2.04,646
2022-04-19 15:50:00,2.0315,2.04,2.0315,2.035,1523
2022-04-19 15:49:00,2.0308,2.04,2.03,2.04,1588
2022-04-19 15:48:00,2.04,2.04,2.04,2.04,100
2022-04-19 15:37:00,2.03,2.03,2.03,2.03,100
2022-04-19 15:35:00,2.04,2.04,2.03,2.03,201
2022-04-19 15:19:00,2.04,2.04,2.04,2.04,105
2022-04-19 15:17:00,2.04,2.04,2.04,2.04,300
2022-04-19 15:16:00,2.03,2.03,2.0258,2.03,1081
2022-04-19 14:58:00,2.02,2.02,2.02,2.02,206
2022-04-19 14:57:00,2.025,2.025,2.025,2.025,200
2022-04-19 14:54:00,2.025,2.025,2.025,2.025,100
2022-04-19 14:47:00,2.03,2.03,2.03,2.03,200
2022-04-19 14:21:00,2.025,2.025,2.025,2.025,853
2022-04-19 14:20:00,2.03,2.03,2.03,2.03,234
2022-04-19 14:13:00,2.03,2.03,2.01,2.01,346
2022-04-19 13:59:00,2.04,2.04,2.04,2.04,100
2022-04-19 13:43:00,2.035,2.035,2.035,2.035,100
2022-04-19 13:38:00,2.035,2.0385,2.035,2.0385,900
2022-04-19 13:35:00,2.04,2.04,2.04,2.04,202
2022-04-19 13:34:00,2.04,2.04,2.04,2.04,100
2022-04-19 13:20:00,2.035,2.035,2.035,2.035,100
2022-04-19 13:03:00,2.04,2.04,2.035,2.04,1000
2022-04-19 12:58:00,2.04,2.04,2.04,2.04,101
2022-04-19 12:56:00,2.04,2.04,2.04,2.04,100
2022-04-19 12:55:00,2.04,2.04,2.04,2.04,101
2022-04-19 12:37:00,2.04,2.04,2.04,2.04,100
2022-04-19 12:28:00,2.012,2.02,2.01,2.01,1761
2022-04-19 12:20:00,2.05,2.06,2.05,2.06,670
2022-04-19 12:13:00,2.05,2.06,2.05,2.06,661
2022-04-19 12:12:00,2.045,2.045,2.045,2.045,133
2022-04-19 12:04:00,2.0499,2.0499,2.0499,2.0499,1000
2022-04-19 12:01:00,2.05,2.05,2.05,2.05,277
2022-04-19 12:00:00,2.0499,2.0499,2.0499,2.0499,4878
2022-04-19 11:52:00,2.05,2.05,2.05,2.05,501
2022-04-19 11:50:00,2.05,2.05,2.05,2.05,200
2022-04-19 11:26:00,2.0462,2.0462,2.0462,2.0462,400
2022-04-19 11:24:00,2.0459,2.0459,2.0459,2.0459,650
2022-04-19 11:23:00,2.05,2.05,2.05,2.05,100
2022-04-19 11:17:00,2.0197,2.0197,2.0197,2.0197,132
2022-04-19 11:10:00,2.06,2.06,2.06,2.06,100
2022-04-19 11:07:00,2.06,2.06,2.06,2.06,501
2022-04-19 10:59:00,2.0677,2.0677,2.0677,2.0677,500
2022-04-19 10:53:00,2.07,2.07,2.07,2.07,100
2022-04-19 10:45:00,2.0598,2.0598,2.0598,2.0598,100
2022-04-19 10:40:00,2.07,2.07,2.07,2.07,100
2022-04-19 10:30:00,2.07,2.07,2.07,2.07,170
2022-04-19 10:24:00,2.07,2.07,2.07,2.07,101
2022-04-19 10:17:00,2.0501,2.0501,2.0501,2.0501,450
2022-04-19 10:14:00,2.07,2.07,2.07,2.07,200
2022-04-19 10:12:00,2.01,2.01,2.01,2.01,1628
2022-04-19 10:03:00,2.06,2.06,2.06,2.06,490
2022-04-19 10:01:00,2.02,2.02,2.01,2.01,1000
2022-04-19 10:00:00,2.0401,2.0401,2.0401,2.0401,100
2022-04-19 09:59:00,2.05,2.0802,2.05,2.0802,340
2022-04-19 09:54:00,2.06,2.06,2.06,2.06,382
2022-04-19 09:53:00,2.08,2.08,2.07,2.07,200
2022-04-19 09:50:00,2.0624,2.0624,2.02,2.02,400
2022-04-19 09:49:00,2.04,2.1,2.01,2.04,2375
2022-04-19 09:48:00,2.01,2.01,2.01,2.01,806
2022-04-19 09:44:00,2.01,2.01,2.01,2.01,100
2022-04-19 09:43:00,2.05,2.05,2.05,2.05,100
2022-04-19 09:40:00,1.94,1.94,1.94,1.94,150
2022-04-19 09:39:00,1.9315,1.945,1.9315,1.945,6477
2022-04-19 09:38:00,2.0747,2.0747,2.0747,2.0747,171
2022-04-19 09:37:00,2.09,2.09,2.09,2.09,132
2022-04-19 09:36:00,2.05,2.05,2.05,2.05,107
2022-04-19 09:35:00,1.96,1.96,1.91,1.91,838
2022-04-19 09:31:00,1.94,2.04,1.94,2.04,1239
2022-04-19 09:10:00,1.91,1.91,1.91,1.91,500
2022-04-19 09:03:00,1.91,1.91,1.91,1.91,100
2022-04-18 19:43:00,1.98,1.98,1.98,1.98,500
2022-04-18 17:48:00,2.0,2.0,2.0,2.0,100
2022-04-18 16:35:00,1.99,1.99,1.99,1.99,176
2022-04-18 16:00:00,1.9983,2.0083,1.99,2.0083,1948
2022-04-18 15:59:00,1.9943,1.9943,1.9943,1.9943,500
2022-04-18 15:58:00,2.0,2.0,2.0,2.0,516
2022-04-18 15:57:00,1.99,2.0,1.99,2.0,999
2022-04-18 15:54:00,2.0,2.0,2.0,2.0,100
2022-04-18 15:51:00,2.0,2.0,2.0,2.0,755
2022-04-18 15:50:00,2.002,2.002,2.002,2.002,530
2022-04-18 15:48:00,2.0084,2.0084,2.0084,2.0084,880
2022-04-18 15:45:00,2.01,2.01,2.01,2.01,112
2022-04-18 15:44:00,2.01,2.01,2.0,2.01,1270
2022-04-18 15:43:00,2.01,2.01,2.01,2.01,101
2022-04-18 15:39:00,2.0001,2.0001,2.0001,2.0001,2076
2022-04-18 15:37:00,2.0,2.01,2.0,2.01,705
2022-04-18 15:26:00,2.0099,2.0099,2.0099,2.0099,1525
2022-04-18 15:07:00,2.01,2.01,2.01,2.01,100
2022-04-18 14:58:00,2.01,2.01,2.01,2.01,102
