time,open,high,low,close,volume
2022-03-18 19:57:00,6.25,6.25,6.25,6.25,1900
2022-03-18 19:52:00,6.23,6.29,6.23,6.29,200
2022-03-18 19:47:00,6.21,6.21,6.21,6.21,500
2022-03-18 19:46:00,6.21,6.21,6.21,6.21,212
2022-03-18 19:45:00,6.16,6.16,6.16,6.16,257
2022-03-18 19:44:00,6.21,6.21,6.21,6.21,563
2022-03-18 19:15:00,6.24,6.24,6.24,6.24,192
2022-03-18 18:43:00,6.22,6.22,6.22,6.22,151
2022-03-18 18:42:00,6.21,6.25,6.21,6.25,1255
2022-03-18 18:41:00,6.21,6.21,6.21,6.21,200
2022-03-18 18:40:00,6.23,6.23,6.23,6.23,211
2022-03-18 18:39:00,6.24,6.24,6.24,6.24,201
2022-03-18 18:30:00,6.21,6.21,6.21,6.21,243
2022-03-18 18:25:00,6.3,6.32,6.3,6.32,200
2022-03-18 17:58:00,6.2101,6.2101,6.2101,6.2101,1000
2022-03-18 17:57:00,6.27,6.27,6.27,6.27,1000
2022-03-18 17:48:00,6.27,6.27,6.27,6.27,511
2022-03-18 17:42:00,6.24,6.24,6.24,6.24,150
2022-03-18 17:40:00,6.24,6.24,6.24,6.24,100
2022-03-18 17:37:00,6.3,6.3,6.3,6.3,1000
2022-03-18 17:34:00,6.25,6.25,6.25,6.25,150
2022-03-18 17:33:00,6.32,6.32,6.28,6.28,245
2022-03-18 17:17:00,6.27,6.27,6.27,6.27,110
2022-03-18 17:16:00,6.231,6.231,6.231,6.231,136
2022-03-18 17:13:00,6.4,6.4,6.4,6.4,510
2022-03-18 17:09:00,6.3999,6.3999,6.3999,6.3999,1000
2022-03-18 17:02:00,6.4,6.4,6.4,6.4,200
2022-03-18 17:01:00,6.395,6.395,6.395,6.395,100
2022-03-18 16:46:00,6.3,6.3,6.3,6.3,500
2022-03-18 16:42:00,6.25,6.4,6.25,6.4,2000
2022-03-18 16:28:00,6.23,6.23,6.23,6.23,500
2022-03-18 16:27:00,6.23,6.23,6.23,6.23,1492
2022-03-18 16:22:00,6.21,6.21,6.21,6.21,302
