time,open,high,low,close,volume
2022-03-18 19:37:00,0.97,0.97,0.97,0.97,200
2022-03-18 18:39:00,0.91,0.91,0.91,0.91,200
2022-03-18 17:43:00,0.9019,0.9019,0.9019,0.9019,100
2022-03-18 17:23:00,0.98,0.98,0.98,0.98,895
2022-03-18 16:53:00,0.9778,0.9778,0.9778,0.9778,140
2022-03-18 16:00:00,0.92,0.947,0.92,0.92,2106
2022-03-18 15:59:00,0.91,0.947,0.91,0.947,701
2022-03-18 15:58:00,0.93,0.93,0.93,0.93,1171
2022-03-18 15:57:00,0.93,0.93,0.92,0.92,1458
2022-03-18 15:56:00,0.91,0.9278,0.91,0.92,2701
2022-03-18 15:55:00,0.9199,0.92,0.9148,0.9199,2147
2022-03-18 15:54:00,0.9199,0.92,0.9199,0.92,1864
2022-03-18 15:53:00,0.92,0.92,0.9199,0.9199,211
2022-03-18 15:52:00,0.9139,0.92,0.9139,0.92,2660
2022-03-18 15:51:00,0.9077,0.9078,0.9075,0.9077,2949
2022-03-18 15:49:00,0.9029,0.9029,0.9029,0.9029,100
2022-03-18 15:48:00,0.8999,0.8999,0.8999,0.8999,1669
2022-03-18 15:45:00,0.9057,0.9057,0.8977,0.8977,5068
2022-03-18 15:43:00,0.908626,0.91285,0.908626,0.91285,900
2022-03-18 15:39:00,0.91285,0.91285,0.91285,0.91285,200
2022-03-18 15:38:00,0.91,0.91,0.91,0.91,601
2022-03-18 15:37:00,0.9199,0.9199,0.9197,0.9197,1300
2022-03-18 15:36:00,0.92,0.92,0.9176,0.9176,4491
2022-03-18 15:33:00,0.92,0.92,0.92,0.92,100
2022-03-18 15:24:00,0.92,0.92,0.92,0.92,108
2022-03-18 15:22:00,0.915099,0.915099,0.915099,0.915099,500
2022-03-18 15:18:00,0.92,0.92,0.92,0.92,100
2022-03-18 15:17:00,0.92,0.92,0.92,0.92,1555
2022-03-18 15:15:00,0.915,0.915,0.915,0.915,250
2022-03-18 15:13:00,0.91,0.91,0.91,0.91,1006
2022-03-18 15:12:00,0.91,0.91,0.91,0.91,1101
2022-03-18 14:59:00,0.91,0.91,0.91,0.91,647
2022-03-18 14:55:00,0.91,0.91,0.91,0.91,100
2022-03-18 14:54:00,0.91,0.91,0.91,0.91,100
2022-03-18 14:51:00,0.92,0.92,0.92,0.92,100
2022-03-18 14:43:00,0.92,0.92,0.92,0.92,100
2022-03-18 14:35:00,0.9088,0.9088,0.9088,0.9088,200
2022-03-18 14:19:00,0.92,0.92,0.92,0.92,100
2022-03-18 14:18:00,0.92,0.92,0.92,0.92,407
2022-03-18 14:17:00,0.9199,0.9199,0.9199,0.9199,100
2022-03-18 13:59:00,0.897,0.897573,0.897,0.897573,2092
2022-03-18 13:56:00,0.897101,0.9051,0.897,0.9051,3208
2022-03-18 13:54:00,0.9,0.9,0.9,0.9,1100
2022-03-18 13:51:00,0.905,0.905,0.905,0.905,185
2022-03-18 13:48:00,0.8939,0.8939,0.8939,0.8939,600
2022-03-18 13:47:00,0.9199,0.9199,0.9199,0.9199,100
2022-03-18 13:36:00,0.92,0.92,0.92,0.92,150
2022-03-18 13:35:00,0.92,0.92,0.92,0.92,100
2022-03-18 13:27:00,0.92,0.92,0.92,0.92,300
2022-03-18 13:23:00,0.92,0.92,0.92,0.92,100
2022-03-18 13:12:00,0.91,0.91,0.91,0.91,1968
2022-03-18 13:00:00,0.898,0.91,0.898,0.91,840
2022-03-18 12:59:00,0.898,0.898,0.898,0.898,215
2022-03-18 12:57:00,0.895,0.895,0.8801,0.8801,3911
2022-03-18 12:56:00,0.895101,0.895101,0.895101,0.895101,5846
2022-03-18 12:48:00,0.909999,0.91,0.909999,0.91,2210
2022-03-18 12:43:00,0.902499,0.902499,0.902499,0.902499,824
2022-03-18 12:40:00,0.91,0.91,0.91,0.91,2100
2022-03-18 12:35:00,0.906,0.906,0.906,0.906,1000
2022-03-18 12:34:00,0.88011,0.893051,0.88011,0.893051,1358
2022-03-18 12:17:00,0.8836,0.8836,0.8836,0.8836,290
2022-03-18 12:15:00,0.88,0.88,0.88,0.88,1000
2022-03-18 12:13:00,0.9044,0.9044,0.895,0.895,2350
2022-03-18 12:02:00,0.91,0.91,0.91,0.91,300
2022-03-18 11:56:00,0.9,0.9001,0.9,0.9,1247
2022-03-18 11:55:00,0.91,0.91,0.91,0.91,100
2022-03-18 11:54:00,0.92,0.92,0.92,0.92,300
2022-03-18 11:52:00,0.8782,0.9006,0.8782,0.8944,10203
2022-03-18 11:51:00,0.88,0.88,0.88,0.88,42590
2022-03-18 11:50:00,0.891,0.891,0.8782,0.88,36042
2022-03-18 11:49:00,0.8901,0.89745,0.8821,0.8821,71768
2022-03-18 11:48:00,0.915,0.915,0.895,0.895,79108
2022-03-18 11:47:00,0.9001,0.9291,0.8999,0.91,23954
2022-03-18 11:46:00,0.9025,0.91,0.8999,0.90505,22300
2022-03-18 11:45:00,0.9,0.90505,0.9,0.90505,26400
2022-03-18 11:44:00,0.9,0.9073,0.9,0.9,11346
2022-03-18 11:43:00,0.899899,0.91,0.899899,0.8999,15964
2022-03-18 11:42:00,0.9093,0.9093,0.89,0.89,20001
2022-03-18 11:41:00,0.9282,0.9282,0.92,0.92,56479
2022-03-18 11:40:00,0.93,0.9399,0.928,0.934,36579
2022-03-18 11:39:00,0.935,0.939899,0.93,0.93,24398
2022-03-18 11:38:00,0.95,0.95,0.94,0.9473,36846
2022-03-18 11:37:00,0.95,0.98,0.9499,0.95,65443
2022-03-18 11:36:00,0.965,0.9651,0.949701,0.95,104403
2022-03-18 11:35:00,0.9434,0.975,0.937601,0.975,7667
2022-03-18 11:34:00,0.98,0.99,0.9451,0.9451,83971
2022-03-18 11:33:00,0.9524,0.98,0.9524,0.98,26687
2022-03-18 11:32:00,0.9699,0.98,0.96,0.96,61935
2022-03-18 11:31:00,0.95,0.97,0.95,0.97,13075
2022-03-18 11:30:00,0.92,0.95,0.92,0.9475,35416
2022-03-18 11:29:00,0.91,0.92,0.91,0.92,21600
2022-03-18 11:28:00,0.8913,0.91,0.8913,0.91,4559
2022-03-18 11:25:00,0.8913,0.8913,0.8822,0.8822,2322
2022-03-18 11:24:00,0.8828,0.8828,0.8828,0.8828,502
2022-03-18 11:14:00,0.8911,0.8911,0.8911,0.8911,8020
2022-03-18 11:13:00,0.8824,0.8911,0.8824,0.8911,600
2022-03-18 11:02:00,0.896051,0.896051,0.896051,0.896051,500
2022-03-18 10:56:00,0.89605,0.896051,0.89605,0.89605,800
2022-03-18 10:54:00,0.89605,0.89605,0.89605,0.89605,265
2022-03-18 10:53:00,0.89605,0.89605,0.89605,0.89605,281
2022-03-18 10:49:00,0.91,0.91,0.91,0.91,200
2022-03-18 10:44:00,0.882,0.8899,0.882,0.8899,1039
2022-03-18 10:41:00,0.8899,0.8899,0.882,0.882,1279
2022-03-18 10:38:00,0.8899,0.8899,0.8825,0.8825,200
2022-03-18 10:35:00,0.896251,0.91,0.896251,0.91,700
2022-03-18 10:34:00,0.896249,0.896249,0.896249,0.896249,100
2022-03-18 10:27:00,0.91,0.91,0.91,0.91,558
2022-03-18 10:25:00,0.882601,0.882601,0.882601,0.882601,5937
2022-03-18 10:23:00,0.9,0.9,0.9,0.9,520
2022-03-18 10:20:00,0.890001,0.890101,0.890001,0.890101,950
2022-03-18 10:18:00,0.905001,0.905001,0.905001,0.905001,188
2022-03-18 10:04:00,0.9185,0.9185,0.9185,0.9185,250
2022-03-18 10:02:00,0.9,0.9,0.882,0.8827,830
2022-03-18 09:48:00,0.8904,0.9052,0.8904,0.9052,1100
2022-03-18 09:47:00,0.890401,0.890401,0.890401,0.890401,475
2022-03-18 09:44:00,0.9106,0.9106,0.9106,0.9106,100
2022-03-18 09:42:00,0.9111,0.9111,0.9111,0.9111,101
2022-03-18 09:41:00,0.90495,0.90495,0.90495,0.90495,100
2022-03-18 09:40:00,0.90095,0.90095,0.90095,0.90095,100
2022-03-18 09:39:00,0.900751,0.900751,0.889201,0.90075,873
2022-03-18 09:37:00,0.882,0.929899,0.882,0.90575,9500
2022-03-18 09:36:00,0.86,0.929899,0.86,0.929899,8270
2022-03-18 09:35:00,0.8613,0.8613,0.8613,0.8613,205
2022-03-18 09:34:00,0.8613,0.8613,0.8613,0.8613,102
2022-03-18 09:33:00,0.8613,0.8613,0.8613,0.8613,530
2022-03-18 09:32:00,0.8613,0.8613,0.8613,0.8613,1432
2022-03-18 09:31:00,0.9155,0.9155,0.8613,0.8613,2098
2022-03-18 04:49:00,0.91,0.91,0.91,0.91,378
2022-03-18 04:44:00,0.91,0.91,0.91,0.91,108
2022-03-17 16:46:00,0.9,0.9,0.9,0.9,500
2022-03-17 16:00:00,0.8854,0.91,0.88,0.91,7426
2022-03-17 15:59:00,0.895,0.91,0.8852,0.8852,1919
2022-03-17 15:58:00,0.90745,0.90745,0.895,0.895,2453
2022-03-17 15:57:00,0.90495,0.9099,0.9,0.9,6153
2022-03-17 15:54:00,0.91,0.91,0.91,0.91,100
2022-03-17 15:48:00,0.91,0.91,0.91,0.91,109
2022-03-17 15:43:00,0.9,0.9,0.9,0.9,500
2022-03-17 15:42:00,0.905,0.905,0.905,0.905,606
2022-03-17 15:41:00,0.91,0.91,0.9064,0.9064,2537
2022-03-17 15:37:00,0.900101,0.91,0.900101,0.91,2153
2022-03-17 15:36:00,0.8999,0.8999,0.8999,0.8999,300
2022-03-17 15:35:00,0.89,0.89,0.89,0.89,126
2022-03-17 15:28:00,0.905,0.92,0.8999,0.92,780
2022-03-17 15:21:00,0.914629,0.914629,0.914629,0.914629,100
2022-03-17 15:19:00,0.89,0.92,0.89,0.89,4470
2022-03-17 15:17:00,0.9,0.9,0.9,0.9,2130
2022-03-17 15:10:00,0.904156,0.904156,0.904156,0.904156,240
2022-03-17 15:05:00,0.909949,0.909949,0.909949,0.909949,270
2022-03-17 14:58:00,0.91,0.91,0.91,0.91,100
2022-03-17 14:55:00,0.91,0.92,0.91,0.92,400
2022-03-17 14:54:00,0.91,0.91,0.9,0.9,3500
2022-03-17 14:32:00,0.91,0.91,0.91,0.91,226
2022-03-17 14:29:00,0.9002,0.9002,0.9,0.9,785
2022-03-17 14:26:00,0.9002,0.9002,0.9002,0.9002,1000
2022-03-17 14:25:00,0.9,0.9,0.9,0.9,540
2022-03-17 14:16:00,0.905,0.905,0.9,0.9,1155
2022-03-17 14:14:00,0.905101,0.905101,0.905,0.905,500
2022-03-17 14:13:00,0.9051,0.9051,0.905,0.905,3467
2022-03-17 14:12:00,0.900001,0.900001,0.900001,0.900001,510
2022-03-17 14:11:00,0.91,0.91,0.91,0.91,690
2022-03-17 14:07:00,0.9201,0.9225,0.9164,0.9164,3383
