time,open,high,low,close,volume
2022-02-17 18:32:00,2.16,2.16,2.16,2.16,600
2022-02-17 17:52:00,2.16,2.16,2.16,2.16,1200
2022-02-17 17:36:00,2.16,2.16,2.16,2.16,733
2022-02-17 17:18:00,2.1985,2.1985,2.1985,2.1985,682
2022-02-17 16:44:00,2.16,2.16,2.16,2.16,246
2022-02-17 16:28:00,2.15,2.15,2.15,2.15,1490
2022-02-17 16:27:00,2.15,2.15,2.15,2.15,500
2022-02-17 16:26:00,2.15,2.15,2.15,2.15,250
2022-02-17 16:16:00,2.16,2.16,2.16,2.16,1010
2022-02-17 16:11:00,2.18,2.18,2.18,2.18,100
2022-02-17 16:00:00,2.185,2.19,2.16,2.16,11454
2022-02-17 15:59:00,2.1853,2.19,2.185,2.19,1446
2022-02-17 15:58:00,2.19,2.19,2.185,2.19,3616
2022-02-17 15:56:00,2.19,2.19,2.1894,2.1894,1956
2022-02-17 15:55:00,2.185,2.1888,2.185,2.1888,352
2022-02-17 15:54:00,2.1801,2.185,2.1801,2.185,204
2022-02-17 15:53:00,2.182,2.185,2.18,2.18,1191
2022-02-17 15:52:00,2.18,2.18,2.18,2.18,196
2022-02-17 15:51:00,2.1888,2.1888,2.18,2.18,400
2022-02-17 15:50:00,2.185,2.185,2.1801,2.185,3801
2022-02-17 15:48:00,2.19,2.195,2.19,2.19,5678
2022-02-17 15:47:00,2.185,2.185,2.18,2.18,2933
2022-02-17 15:46:00,2.18,2.19,2.18,2.1899,5550
2022-02-17 15:41:00,2.1701,2.1701,2.1701,2.1701,100
2022-02-17 15:40:00,2.1712,2.1712,2.1712,2.1712,172
2022-02-17 15:38:00,2.17,2.175,2.17,2.175,4740
2022-02-17 15:37:00,2.1789,2.18,2.1701,2.18,640
2022-02-17 15:36:00,2.165,2.175,2.165,2.175,1924
2022-02-17 15:33:00,2.16,2.165,2.16,2.165,1316
2022-02-17 15:32:00,2.17,2.17,2.17,2.17,720
2022-02-17 15:31:00,2.1601,2.17,2.1601,2.17,600
2022-02-17 15:30:00,2.165,2.165,2.165,2.165,233
2022-02-17 15:29:00,2.1601,2.165,2.16,2.165,2620
2022-02-17 15:27:00,2.165,2.165,2.16,2.165,1297
2022-02-17 15:26:00,2.17,2.17,2.17,2.17,2085
2022-02-17 15:24:00,2.161,2.161,2.16,2.16,563
2022-02-17 15:21:00,2.15,2.155,2.15,2.155,450
2022-02-17 15:19:00,2.145,2.145,2.14,2.14,200
2022-02-17 15:18:00,2.1487,2.1487,2.14,2.14,200
2022-02-17 15:17:00,2.145,2.145,2.14,2.14,2471
2022-02-17 15:15:00,2.145,2.145,2.145,2.145,500
2022-02-17 15:14:00,2.1467,2.1467,2.14,2.145,1308
2022-02-17 15:13:00,2.155,2.155,2.145,2.15,30379
2022-02-17 15:12:00,2.15,2.16,2.15,2.16,1900
2022-02-17 15:10:00,2.155,2.155,2.155,2.155,100
2022-02-17 15:09:00,2.155,2.155,2.155,2.155,100
2022-02-17 15:07:00,2.155,2.155,2.15,2.15,11230
2022-02-17 15:04:00,2.155,2.155,2.155,2.155,111
2022-02-17 15:03:00,2.1588,2.1588,2.1588,2.1588,131
2022-02-17 15:02:00,2.16,2.16,2.16,2.16,200
2022-02-17 15:01:00,2.1547,2.1547,2.1547,2.1547,320
2022-02-17 15:00:00,2.15,2.155,2.15,2.155,1773
2022-02-17 14:58:00,2.15,2.1501,2.15,2.15,1002
2022-02-17 14:57:00,2.15,2.15,2.15,2.15,1150
2022-02-17 14:54:00,2.16,2.16,2.16,2.16,1555
2022-02-17 14:53:00,2.165,2.165,2.165,2.165,300
2022-02-17 14:52:00,2.1611,2.165,2.16,2.165,400
2022-02-17 14:51:00,2.165,2.165,2.165,2.165,350
2022-02-17 14:50:00,2.165,2.165,2.165,2.165,205
2022-02-17 14:49:00,2.165,2.1662,2.165,2.165,1301
2022-02-17 14:48:00,2.1601,2.1601,2.1601,2.1601,2200
2022-02-17 14:47:00,2.165,2.165,2.16,2.165,3609
2022-02-17 14:46:00,2.165,2.165,2.165,2.165,464
2022-02-17 14:44:00,2.165,2.165,2.165,2.165,200
2022-02-17 14:43:00,2.165,2.165,2.165,2.165,100
2022-02-17 14:42:00,2.1694,2.1694,2.1694,2.1694,300
2022-02-17 14:41:00,2.1689,2.1689,2.165,2.165,401
2022-02-17 14:40:00,2.161,2.161,2.161,2.161,218
2022-02-17 14:39:00,2.1605,2.1605,2.1605,2.1605,3053
2022-02-17 14:35:00,2.1601,2.1601,2.1601,2.1601,1000
2022-02-17 14:34:00,2.1691,2.1691,2.1691,2.1691,900
2022-02-17 14:33:00,2.1695,2.1695,2.1695,2.1695,2340
2022-02-17 14:31:00,2.16,2.169,2.16,2.165,1737
2022-02-17 14:30:00,2.1509,2.1591,2.1509,2.1591,1133
2022-02-17 14:29:00,2.155,2.155,2.155,2.155,257
2022-02-17 14:27:00,2.15,2.155,2.15,2.155,850
2022-02-17 14:26:00,2.15,2.155,2.15,2.155,11684
2022-02-17 14:25:00,2.155,2.155,2.15,2.155,12789
2022-02-17 14:24:00,2.165,2.165,2.15,2.161,35698
2022-02-17 14:22:00,2.1611,2.1611,2.1611,2.1611,152
2022-02-17 14:21:00,2.1622,2.1698,2.1622,2.1698,4232
2022-02-17 14:18:00,2.159,2.17,2.159,2.17,809
2022-02-17 14:17:00,2.175,2.175,2.15,2.155,15365
2022-02-17 14:16:00,2.17,2.1799,2.17,2.1771,1537
2022-02-17 14:15:00,2.1601,2.17,2.16,2.17,12629
2022-02-17 14:14:00,2.16,2.17,2.16,2.17,784
2022-02-17 14:13:00,2.145,2.16,2.145,2.1599,14346
2022-02-17 14:11:00,2.149,2.149,2.149,2.149,300
2022-02-17 14:10:00,2.1462,2.1462,2.1462,2.1462,580
2022-02-17 14:09:00,2.15,2.15,2.14,2.14,600
2022-02-17 14:08:00,2.1492,2.15,2.145,2.145,1212
2022-02-17 14:07:00,2.145,2.15,2.14,2.14,1544
2022-02-17 14:06:00,2.145,2.145,2.14,2.145,750
2022-02-17 14:05:00,2.1594,2.1594,2.14,2.14,16259
2022-02-17 14:04:00,2.1675,2.1675,2.15,2.16,9001
2022-02-17 14:01:00,2.16,2.16,2.16,2.16,201
2022-02-17 14:00:00,2.165,2.165,2.165,2.165,835
2022-02-17 13:59:00,2.1635,2.1669,2.1635,2.1669,300
2022-02-17 13:56:00,2.17,2.17,2.17,2.17,100
2022-02-17 13:54:00,2.165,2.165,2.165,2.165,259
2022-02-17 13:47:00,2.1601,2.1601,2.16,2.16,3479
2022-02-17 13:46:00,2.165,2.1689,2.165,2.1689,400
2022-02-17 13:45:00,2.16,2.16,2.16,2.16,1206
2022-02-17 13:44:00,2.155,2.155,2.155,2.155,546
2022-02-17 13:43:00,2.155,2.155,2.155,2.155,110
2022-02-17 13:42:00,2.155,2.155,2.155,2.155,154
2022-02-17 13:40:00,2.1581,2.1581,2.1581,2.1581,105
2022-02-17 13:39:00,2.155,2.155,2.155,2.155,118
2022-02-17 13:38:00,2.16,2.16,2.155,2.16,562
2022-02-17 13:37:00,2.16,2.16,2.1558,2.158,740
2022-02-17 13:34:00,2.155,2.155,2.15,2.15,796
2022-02-17 13:33:00,2.15,2.15,2.15,2.15,1476
2022-02-17 13:31:00,2.142,2.145,2.14,2.145,3524
2022-02-17 13:30:00,2.139,2.14,2.139,2.14,514
2022-02-17 13:29:00,2.135,2.14,2.135,2.1399,3500
2022-02-17 13:28:00,2.1312,2.1312,2.1312,2.1312,244
2022-02-17 13:26:00,2.132,2.1327,2.132,2.1327,300
2022-02-17 13:24:00,2.1391,2.14,2.13,2.135,5324
2022-02-17 13:23:00,2.15,2.1505,2.14,2.14,12599
2022-02-17 13:22:00,2.165,2.165,2.15,2.15,2363
2022-02-17 13:20:00,2.165,2.165,2.16,2.16,206
2022-02-17 13:19:00,2.165,2.165,2.1607,2.1607,2164
2022-02-17 13:18:00,2.1601,2.1601,2.1601,2.1601,117
2022-02-17 13:17:00,2.155,2.165,2.155,2.16,5817
2022-02-17 13:14:00,2.1579,2.16,2.1579,2.16,323
2022-02-17 13:12:00,2.18,2.18,2.1588,2.17,7683
2022-02-17 13:08:00,2.182,2.182,2.182,2.182,250
2022-02-17 13:07:00,2.18,2.19,2.18,2.19,1475
2022-02-17 13:05:00,2.18,2.185,2.18,2.18,3245
2022-02-17 12:51:00,2.194,2.194,2.194,2.194,1000
2022-02-17 12:50:00,2.18,2.18,2.18,2.18,149
2022-02-17 12:46:00,2.185,2.185,2.185,2.185,170
2022-02-17 12:45:00,2.1916,2.1916,2.1916,2.1916,200
2022-02-17 12:44:00,2.19,2.19,2.18,2.18,1037
2022-02-17 12:43:00,2.1999,2.1999,2.1999,2.1999,205
2022-02-17 12:35:00,2.1898,2.1898,2.1898,2.1898,209
2022-02-17 12:32:00,2.18,2.18,2.18,2.18,266
2022-02-17 12:30:00,2.19,2.19,2.19,2.19,906
2022-02-17 12:29:00,2.19,2.19,2.19,2.19,240
2022-02-17 12:28:00,2.1901,2.1901,2.1901,2.1901,285
2022-02-17 12:25:00,2.19,2.195,2.19,2.195,1013
2022-02-17 12:24:00,2.2,2.2,2.19,2.19,1250
2022-02-17 12:22:00,2.1767,2.2,2.1767,2.2,800
2022-02-17 12:21:00,2.19,2.19,2.17,2.175,9253
2022-02-17 12:20:00,2.2,2.205,2.19,2.195,3963
2022-02-17 12:17:00,2.2,2.2,2.2,2.2,1000
2022-02-17 12:16:00,2.208,2.208,2.208,2.208,155
2022-02-17 12:15:00,2.2008,2.2008,2.2008,2.2008,100
2022-02-17 12:14:00,2.21,2.21,2.21,2.21,591
2022-02-17 12:13:00,2.21,2.21,2.205,2.205,343
2022-02-17 12:12:00,2.2,2.2027,2.2,2.2027,527
2022-02-17 12:11:00,2.21,2.21,2.21,2.21,107
2022-02-17 12:10:00,2.205,2.205,2.205,2.205,2765
2022-02-17 12:09:00,2.2004,2.2004,2.2004,2.2004,2273
2022-02-17 12:08:00,2.2083,2.215,2.2083,2.215,729
2022-02-17 12:05:00,2.205,2.205,2.2005,2.2005,1296
2022-02-17 12:04:00,2.21,2.21,2.21,2.21,108
2022-02-17 12:03:00,2.1909,2.2,2.1901,2.2,2455
2022-02-17 12:01:00,2.1995,2.1995,2.1995,2.1995,4000
2022-02-17 12:00:00,2.21,2.21,2.19,2.19,6364
2022-02-17 11:54:00,2.22,2.22,2.22,2.22,4080
2022-02-17 11:53:00,2.22,2.22,2.22,2.22,1325
2022-02-17 11:50:00,2.23,2.23,2.22,2.22,2234
2022-02-17 11:47:00,2.225,2.225,2.225,2.225,130
2022-02-17 11:45:00,2.225,2.225,2.22,2.225,6401
2022-02-17 11:44:00,2.2282,2.2282,2.225,2.225,905
2022-02-17 11:41:00,2.225,2.225,2.225,2.225,307
