time,open,high,low,close,volume
2022-04-19 19:45:00,1.8401,1.8401,1.8401,1.8401,855
2022-04-19 18:58:00,1.84,1.84,1.84,1.84,1951
2022-04-19 18:09:00,1.82,1.82,1.79,1.82,2011
2022-04-19 17:50:00,1.8208,1.8208,1.8208,1.8208,900
2022-04-19 17:29:00,1.87,1.87,1.87,1.87,500
2022-04-19 17:25:00,1.86,1.86,1.86,1.86,890
2022-04-19 17:18:00,1.85,1.85,1.85,1.85,3000
2022-04-19 17:16:00,1.85,1.85,1.85,1.85,1000
2022-04-19 17:15:00,1.86,1.86,1.86,1.86,1550
2022-04-19 16:48:00,1.8216,1.8216,1.82,1.82,900
2022-04-19 16:47:00,1.82,1.82,1.82,1.82,400
2022-04-19 16:08:00,1.82,1.82,1.82,1.82,500
2022-04-19 16:02:00,1.82,1.82,1.82,1.82,190
2022-04-19 16:00:00,1.8501,1.86,1.85,1.86,9467
2022-04-19 15:59:00,1.85,1.86,1.85,1.86,205
2022-04-19 15:58:00,1.8501,1.86,1.8501,1.86,616
2022-04-19 15:57:00,1.855,1.855,1.851,1.851,4436
2022-04-19 15:55:00,1.86,1.86,1.86,1.86,839
2022-04-19 15:53:00,1.85,1.85,1.85,1.85,100
2022-04-19 15:51:00,1.86,1.87,1.86,1.86,5042
2022-04-19 15:50:00,1.8563,1.86,1.8563,1.86,1151
2022-04-19 15:49:00,1.8408,1.855,1.8408,1.855,2081
2022-04-19 15:48:00,1.855,1.855,1.85,1.85,4216
2022-04-19 15:47:00,1.85,1.855,1.85,1.85,4555
2022-04-19 15:46:00,1.85,1.85,1.8409,1.85,7403
2022-04-19 15:45:00,1.85,1.85,1.85,1.85,3136
2022-04-19 15:44:00,1.85,1.85,1.8402,1.8489,5149
2022-04-19 15:43:00,1.85,1.855,1.845,1.845,2505
2022-04-19 15:38:00,1.8501,1.8501,1.8501,1.8501,208
2022-04-19 15:37:00,1.8573,1.8573,1.8573,1.8573,186
2022-04-19 15:34:00,1.85,1.85,1.85,1.85,111
2022-04-19 15:32:00,1.86,1.86,1.86,1.86,413
2022-04-19 15:24:00,1.85,1.85,1.85,1.85,100
2022-04-19 15:22:00,1.86,1.86,1.86,1.86,2550
2022-04-19 15:21:00,1.8667,1.8684,1.86,1.86,1393
2022-04-19 15:20:00,1.865,1.87,1.865,1.87,3064
2022-04-19 15:18:00,1.87,1.87,1.865,1.865,3375
2022-04-19 15:17:00,1.87,1.88,1.8691,1.875,1993
2022-04-19 15:16:00,1.87,1.87,1.87,1.87,3259
2022-04-19 15:12:00,1.86,1.865,1.859,1.8599,9810
2022-04-19 15:11:00,1.8588,1.8588,1.8588,1.8588,100
2022-04-19 15:10:00,1.86,1.86,1.86,1.86,100
2022-04-19 15:09:00,1.855,1.855,1.855,1.855,376
2022-04-19 15:08:00,1.852,1.852,1.852,1.852,250
2022-04-19 15:05:00,1.855,1.855,1.855,1.855,137
2022-04-19 15:04:00,1.85,1.85,1.85,1.85,156
2022-04-19 15:03:00,1.855,1.855,1.855,1.855,305
2022-04-19 15:02:00,1.8542,1.8542,1.8542,1.8542,500
2022-04-19 15:00:00,1.855,1.86,1.855,1.86,2000
2022-04-19 14:58:00,1.85,1.85,1.85,1.85,100
2022-04-19 14:57:00,1.852,1.855,1.85,1.85,713
2022-04-19 14:55:00,1.86,1.86,1.85,1.85,262
2022-04-19 14:54:00,1.85,1.86,1.85,1.86,6753
2022-04-19 14:51:00,1.855,1.855,1.85,1.85,6394
2022-04-19 14:43:00,1.85,1.85,1.85,1.85,2701
2022-04-19 14:39:00,1.8543,1.8543,1.8543,1.8543,100
2022-04-19 14:36:00,1.855,1.855,1.855,1.855,119
2022-04-19 14:29:00,1.855,1.855,1.855,1.855,450
2022-04-19 14:25:00,1.855,1.855,1.8513,1.8513,1200
2022-04-19 14:23:00,1.85,1.85,1.85,1.85,1100
2022-04-19 14:22:00,1.845,1.845,1.845,1.845,100
2022-04-19 14:20:00,1.845,1.85,1.845,1.85,2323
2022-04-19 14:17:00,1.85,1.85,1.845,1.845,985
2022-04-19 14:16:00,1.84,1.85,1.84,1.85,2761
2022-04-19 14:15:00,1.85,1.85,1.85,1.85,149
2022-04-19 14:14:00,1.845,1.85,1.845,1.85,2395
2022-04-19 14:13:00,1.8489,1.8489,1.845,1.845,773
2022-04-19 14:12:00,1.8439,1.845,1.8439,1.845,576
2022-04-19 14:10:00,1.85,1.85,1.85,1.85,200
2022-04-19 14:08:00,1.85,1.85,1.85,1.85,1500
2022-04-19 14:06:00,1.85,1.85,1.85,1.85,3417
2022-04-19 14:05:00,1.85,1.855,1.85,1.855,1193
2022-04-19 14:02:00,1.85,1.85,1.85,1.85,350
2022-04-19 14:01:00,1.84,1.85,1.84,1.85,2650
2022-04-19 13:59:00,1.85,1.85,1.85,1.85,1347
2022-04-19 13:58:00,1.8491,1.8491,1.8491,1.8491,855
2022-04-19 13:57:00,1.85,1.855,1.85,1.85,3808
2022-04-19 13:56:00,1.85,1.86,1.85,1.86,4690
2022-04-19 13:54:00,1.8401,1.85,1.8401,1.85,1403
2022-04-19 13:53:00,1.84,1.84,1.84,1.84,175
2022-04-19 13:52:00,1.8494,1.85,1.8494,1.85,5555
2022-04-19 13:50:00,1.8501,1.855,1.845,1.845,14699
2022-04-19 13:48:00,1.8501,1.8501,1.8501,1.8501,250
2022-04-19 13:46:00,1.8591,1.8591,1.8591,1.8591,105
2022-04-19 13:45:00,1.85,1.85,1.85,1.85,529
2022-04-19 13:43:00,1.8406,1.8406,1.8406,1.8406,2700
2022-04-19 13:42:00,1.8509,1.8509,1.8491,1.8491,4537
2022-04-19 13:41:00,1.85,1.855,1.85,1.855,223
2022-04-19 13:40:00,1.8508,1.8508,1.8508,1.8508,1459
2022-04-19 13:39:00,1.855,1.855,1.855,1.855,1500
2022-04-19 13:38:00,1.86,1.86,1.86,1.86,2024
2022-04-19 13:37:00,1.86,1.86,1.855,1.855,3916
2022-04-19 13:34:00,1.86,1.86,1.86,1.86,677
2022-04-19 13:32:00,1.85,1.86,1.85,1.86,12633
2022-04-19 13:31:00,1.85,1.85,1.85,1.85,206
2022-04-19 13:30:00,1.8403,1.845,1.84,1.845,12302
2022-04-19 13:29:00,1.845,1.85,1.8412,1.85,2018
2022-04-19 13:26:00,1.845,1.8499,1.845,1.8499,1250
2022-04-19 13:25:00,1.85,1.85,1.85,1.85,525
2022-04-19 13:24:00,1.85,1.85,1.84,1.84,6465
2022-04-19 13:23:00,1.86,1.86,1.855,1.855,3582
2022-04-19 13:14:00,1.865,1.8673,1.865,1.8673,575
2022-04-19 13:13:00,1.8601,1.8601,1.8601,1.8601,200
2022-04-19 13:12:00,1.8699,1.8699,1.8699,1.8699,639
2022-04-19 13:11:00,1.865,1.865,1.865,1.865,1001
2022-04-19 13:09:00,1.8619,1.8619,1.86,1.86,1487
2022-04-19 13:08:00,1.865,1.865,1.865,1.865,167
2022-04-19 13:07:00,1.8612,1.8612,1.8612,1.8612,675
2022-04-19 13:06:00,1.852,1.86,1.852,1.86,3276
2022-04-19 13:05:00,1.855,1.855,1.855,1.855,1004
2022-04-19 13:04:00,1.86,1.86,1.86,1.86,136
2022-04-19 13:02:00,1.8508,1.8508,1.8508,1.8508,1846
2022-04-19 12:58:00,1.8501,1.8596,1.8501,1.8596,420
2022-04-19 12:57:00,1.865,1.865,1.852,1.86,5383
2022-04-19 12:56:00,1.8601,1.8601,1.8601,1.8601,350
2022-04-19 12:55:00,1.8603,1.8603,1.8603,1.8603,522
2022-04-19 12:54:00,1.87,1.87,1.87,1.87,112
2022-04-19 12:53:00,1.87,1.88,1.87,1.87,15026
2022-04-19 12:52:00,1.86,1.87,1.86,1.87,17019
2022-04-19 12:51:00,1.86,1.86,1.86,1.86,3481
2022-04-19 12:50:00,1.84,1.85,1.84,1.85,13242
2022-04-19 12:48:00,1.84,1.845,1.84,1.845,1872
2022-04-19 12:47:00,1.8301,1.8301,1.8301,1.8301,500
2022-04-19 12:46:00,1.835,1.84,1.83,1.84,1513
2022-04-19 12:45:00,1.84,1.845,1.84,1.84,3202
2022-04-19 12:44:00,1.84,1.845,1.84,1.84,4533
2022-04-19 12:43:00,1.8399,1.84,1.8399,1.84,1717
2022-04-19 12:42:00,1.83,1.835,1.83,1.8301,7981
2022-04-19 12:41:00,1.8301,1.8301,1.8301,1.8301,318
2022-04-19 12:40:00,1.8301,1.84,1.8301,1.84,3206
2022-04-19 12:39:00,1.8407,1.8407,1.8394,1.8394,1824
2022-04-19 12:38:00,1.835,1.845,1.83,1.84,8534
2022-04-19 12:37:00,1.835,1.835,1.835,1.835,211
2022-04-19 12:36:00,1.8299,1.8394,1.8299,1.8394,8876
2022-04-19 12:35:00,1.8254,1.84,1.8254,1.835,10974
2022-04-19 12:34:00,1.8201,1.83,1.8201,1.83,2200
2022-04-19 12:32:00,1.82,1.83,1.82,1.83,1125
2022-04-19 12:30:00,1.82,1.82,1.82,1.82,1149
2022-04-19 12:29:00,1.81,1.82,1.81,1.82,1041
2022-04-19 12:28:00,1.81,1.82,1.81,1.82,704
2022-04-19 12:26:00,1.815,1.815,1.81,1.81,6001
2022-04-19 12:25:00,1.815,1.82,1.815,1.82,942
2022-04-19 12:24:00,1.82,1.82,1.82,1.82,520
2022-04-19 12:23:00,1.8096,1.82,1.8096,1.82,6943
2022-04-19 12:22:00,1.81,1.81,1.81,1.81,1312
2022-04-19 12:21:00,1.81,1.81,1.808,1.808,500
2022-04-19 12:20:00,1.81,1.81,1.81,1.81,300
2022-04-19 12:19:00,1.8,1.8,1.8,1.8,5445
2022-04-19 12:18:00,1.8,1.8,1.795,1.8,600
2022-04-19 12:17:00,1.795,1.8,1.795,1.8,200
2022-04-19 12:16:00,1.791,1.791,1.791,1.791,2900
2022-04-19 12:15:00,1.7975,1.7975,1.7975,1.7975,100
2022-04-19 12:14:00,1.7901,1.7901,1.7901,1.7901,8966
2022-04-19 12:13:00,1.798,1.798,1.798,1.798,205
2022-04-19 12:10:00,1.8,1.8,1.795,1.795,3030
2022-04-19 12:09:00,1.7952,1.7952,1.7952,1.7952,332
2022-04-19 12:08:00,1.79,1.79,1.79,1.79,5315
2022-04-19 12:05:00,1.7899,1.7899,1.7899,1.7899,175
2022-04-19 12:03:00,1.79,1.79,1.79,1.79,200
2022-04-19 12:00:00,1.7899,1.7899,1.7899,1.7899,501
2022-04-19 11:58:00,1.79,1.79,1.79,1.79,125
2022-04-19 11:57:00,1.7801,1.7801,1.7801,1.7801,3000
2022-04-19 11:54:00,1.79,1.79,1.79,1.79,210
2022-04-19 11:51:00,1.785,1.785,1.785,1.785,500
2022-04-19 11:47:00,1.785,1.785,1.785,1.785,180
2022-04-19 11:46:00,1.7803,1.7899,1.7803,1.7899,10455
2022-04-19 11:45:00,1.79,1.79,1.79,1.79,200
2022-04-19 11:43:00,1.7825,1.7825,1.7825,1.7825,378
2022-04-19 11:42:00,1.78,1.78,1.78,1.78,416
2022-04-19 11:41:00,1.7822,1.7822,1.7822,1.7822,500
2022-04-19 11:40:00,1.7801,1.7801,1.7801,1.7801,2196
2022-04-19 11:39:00,1.78,1.78,1.78,1.78,4528
2022-04-19 11:37:00,1.78,1.78,1.7799,1.7799,280
2022-04-19 11:35:00,1.7738,1.7738,1.7738,1.7738,500
2022-04-19 11:34:00,1.775,1.775,1.775,1.775,558
2022-04-19 11:30:00,1.775,1.775,1.775,1.775,200
2022-04-19 11:28:00,1.77,1.77,1.77,1.77,302
2022-04-19 11:19:00,1.76,1.76,1.76,1.76,401
2022-04-19 11:18:00,1.76,1.76,1.76,1.76,103
2022-04-19 11:17:00,1.76,1.765,1.76,1.765,1103
2022-04-19 11:14:00,1.7543,1.7543,1.7543,1.7543,203
2022-04-19 11:13:00,1.7538,1.7538,1.7538,1.7538,100
2022-04-19 11:11:00,1.7556,1.7556,1.7556,1.7556,500
2022-04-19 11:10:00,1.755,1.755,1.755,1.755,100
2022-04-19 11:08:00,1.755,1.755,1.755,1.755,256
2022-04-19 11:07:00,1.755,1.755,1.755,1.755,126
2022-04-19 11:06:00,1.75,1.7501,1.75,1.75,13705
2022-04-19 11:03:00,1.7512,1.7599,1.7512,1.7599,650
2022-04-19 11:02:00,1.7654,1.7654,1.76,1.76,400
2022-04-19 11:01:00,1.769,1.769,1.769,1.769,1000
2022-04-19 11:00:00,1.76,1.76,1.7599,1.7599,637
2022-04-19 10:59:00,1.7588,1.7588,1.7588,1.7588,500
