time,open,high,low,close,volume
2022-02-17 16:00:00,1.25,1.25,1.25,1.25,1237
2022-02-17 15:59:00,1.25,1.25,1.24,1.24,741
2022-02-17 15:54:00,1.25,1.25,1.25,1.25,103
2022-02-17 15:46:00,1.245,1.245,1.245,1.245,100
2022-02-17 15:43:00,1.24,1.245,1.24,1.2401,1100
2022-02-17 15:39:00,1.245,1.245,1.245,1.245,107
2022-02-17 15:25:00,1.245,1.245,1.245,1.245,200
2022-02-17 15:17:00,1.2492,1.2492,1.2492,1.2492,500
2022-02-17 15:16:00,1.2427,1.2427,1.2427,1.2427,300
2022-02-17 15:13:00,1.245,1.245,1.245,1.245,150
2022-02-17 15:00:00,1.24,1.24,1.24,1.24,300
2022-02-17 14:12:00,1.251,1.251,1.251,1.251,182
2022-02-17 14:07:00,1.23,1.23,1.2236,1.2236,200
2022-02-17 14:03:00,1.24,1.24,1.24,1.24,200
2022-02-17 13:41:00,1.26,1.26,1.26,1.26,500
2022-02-17 13:25:00,1.2438,1.2438,1.2438,1.2438,167
2022-02-17 13:24:00,1.22,1.22,1.22,1.22,200
2022-02-17 13:23:00,1.24,1.25,1.22,1.22,7784
2022-02-17 13:22:00,1.25,1.25,1.24,1.24,13673
2022-02-17 13:21:00,1.26,1.26,1.26,1.26,3960
2022-02-17 13:10:00,1.26,1.26,1.26,1.26,1027
2022-02-17 12:49:00,1.27,1.27,1.27,1.27,106
2022-02-17 12:28:00,1.26,1.26,1.26,1.26,287
2022-02-17 12:13:00,1.2693,1.2693,1.2693,1.2693,788
2022-02-17 12:07:00,1.2673,1.2673,1.2673,1.2673,470
2022-02-17 12:03:00,1.2609,1.2609,1.2606,1.2606,2443
2022-02-17 12:02:00,1.2619,1.27,1.2619,1.27,617
2022-02-17 11:40:00,1.2654,1.2654,1.2654,1.2654,200
2022-02-17 11:28:00,1.2999,1.2999,1.2999,1.2999,4575
2022-02-17 11:13:00,1.28,1.2863,1.28,1.2863,5147
2022-02-17 11:09:00,1.2927,1.2927,1.26,1.27,2000
2022-02-17 11:08:00,1.265,1.3,1.26,1.3,27717
2022-02-17 11:05:00,1.27,1.27,1.26,1.26,200
2022-02-17 11:04:00,1.2707,1.2707,1.2707,1.2707,500
2022-02-17 11:03:00,1.2708,1.2708,1.2708,1.2708,500
2022-02-17 10:58:00,1.2785,1.2785,1.2785,1.2785,392
2022-02-17 10:57:00,1.2706,1.2706,1.2706,1.2706,1000
2022-02-17 10:56:00,1.28,1.28,1.28,1.28,200
2022-02-17 10:55:00,1.278,1.28,1.278,1.28,900
2022-02-17 10:54:00,1.2799,1.2799,1.2799,1.2799,100
2022-02-17 10:43:00,1.26,1.28,1.26,1.2797,2160
2022-02-17 10:29:00,1.2781,1.2781,1.2781,1.2781,125
2022-02-17 10:23:00,1.26,1.26,1.26,1.26,1000
2022-02-17 10:22:00,1.25,1.25,1.25,1.25,1000
2022-02-17 10:21:00,1.292,1.292,1.26,1.28,1234
2022-02-17 10:07:00,1.2823,1.2823,1.2823,1.2823,2200
2022-02-17 10:03:00,1.2801,1.2801,1.2801,1.2801,129
2022-02-17 10:01:00,1.2983,1.2983,1.2983,1.2983,220
2022-02-17 09:56:00,1.2815,1.2815,1.2815,1.2815,500
2022-02-17 09:53:00,1.305,1.305,1.27,1.2801,1100
2022-02-17 09:52:00,1.32,1.32,1.29,1.29,2801
2022-02-17 09:51:00,1.33,1.33,1.33,1.33,100
2022-02-17 09:45:00,1.3,1.33,1.3,1.33,2200
2022-02-17 09:41:00,1.3232,1.3232,1.3232,1.3232,530
2022-02-17 09:40:00,1.3,1.3003,1.3,1.3,2401
2022-02-17 09:31:00,1.29,1.29,1.29,1.29,1325
2022-02-17 08:57:00,1.37,1.37,1.37,1.37,172
2022-02-16 16:42:00,1.27,1.29,1.27,1.28,1899
2022-02-16 16:39:00,1.28,1.29,1.28,1.28,3653
2022-02-16 16:00:00,1.3,1.3,1.3,1.3,315
2022-02-16 15:59:00,1.3,1.3,1.3,1.3,200
2022-02-16 15:57:00,1.29,1.29,1.29,1.29,197
2022-02-16 15:55:00,1.29,1.3,1.29,1.3,291
2022-02-16 15:52:00,1.28,1.28,1.28,1.28,192
2022-02-16 15:43:00,1.2985,1.2985,1.2985,1.2985,800
2022-02-16 15:15:00,1.2817,1.2817,1.2817,1.2817,300
2022-02-16 15:09:00,1.29,1.29,1.29,1.29,240
2022-02-16 15:07:00,1.295,1.295,1.295,1.295,651
2022-02-16 15:04:00,1.3,1.3,1.3,1.3,100
2022-02-16 14:37:00,1.295,1.295,1.295,1.295,190
2022-02-16 14:32:00,1.305,1.305,1.292,1.305,689
2022-02-16 14:25:00,1.29,1.3,1.29,1.292,3453
2022-02-16 14:21:00,1.3,1.3,1.3,1.3,100
2022-02-16 14:20:00,1.3,1.3,1.3,1.3,200
2022-02-16 14:19:00,1.3,1.3,1.3,1.3,600
2022-02-16 14:17:00,1.3,1.3,1.3,1.3,400
2022-02-16 14:10:00,1.3,1.31,1.3,1.3,3119
2022-02-16 14:09:00,1.32,1.32,1.3,1.3,1300
2022-02-16 14:08:00,1.3,1.3,1.3,1.3,925
2022-02-16 14:07:00,1.31,1.32,1.3,1.3,1006
2022-02-16 14:02:00,1.29,1.29,1.29,1.29,1014
2022-02-16 13:44:00,1.2899,1.2899,1.2899,1.2899,490
2022-02-16 13:30:00,1.2846,1.2846,1.2846,1.2846,500
2022-02-16 13:24:00,1.27,1.27,1.27,1.27,723
2022-02-16 13:03:00,1.2796,1.2796,1.2796,1.2796,510
2022-02-16 12:55:00,1.28,1.28,1.28,1.28,275
2022-02-16 12:40:00,1.29,1.29,1.29,1.29,100
2022-02-16 11:57:00,1.29,1.29,1.29,1.29,100
2022-02-16 11:56:00,1.2903,1.2903,1.29,1.29,960
2022-02-16 11:40:00,1.2939,1.2939,1.2939,1.2939,100
2022-02-16 10:44:00,1.2862,1.2862,1.2862,1.2862,200
2022-02-16 10:36:00,1.27,1.27,1.27,1.27,300
2022-02-16 10:33:00,1.29,1.29,1.29,1.29,104
2022-02-16 10:21:00,1.2897,1.2897,1.26,1.26,243
2022-02-16 10:17:00,1.2869,1.2869,1.2869,1.2869,385
2022-02-16 10:00:00,1.26,1.26,1.26,1.26,198
2022-02-16 09:53:00,1.2831,1.29,1.2831,1.29,600
2022-02-16 09:50:00,1.27,1.27,1.25,1.25,6253
2022-02-16 09:49:00,1.26,1.26,1.26,1.26,100
2022-02-16 09:47:00,1.32,1.32,1.27,1.27,5868
2022-02-16 09:43:00,1.27,1.27,1.27,1.27,200
2022-02-16 09:42:00,1.2792,1.2792,1.27,1.27,701
2022-02-16 09:38:00,1.32,1.32,1.32,1.32,250
2022-02-16 09:36:00,1.27,1.27,1.27,1.27,100
2022-02-16 09:35:00,1.3,1.3,1.3,1.3,6246
2022-02-16 09:34:00,1.3,1.3,1.3,1.3,2900
2022-02-16 09:31:00,1.25,1.25,1.25,1.25,277
2022-02-16 09:13:00,1.27,1.27,1.27,1.27,114
2022-02-16 08:01:00,1.27,1.27,1.27,1.27,147
2022-02-16 07:06:00,1.26,1.26,1.26,1.26,133
2022-02-15 18:23:00,1.26,1.26,1.26,1.26,200
2022-02-15 16:53:00,1.25,1.25,1.25,1.25,2235
2022-02-15 16:00:00,1.27,1.27,1.27,1.27,693
2022-02-15 15:58:00,1.2601,1.2601,1.2601,1.2601,1001
2022-02-15 15:50:00,1.26,1.26,1.26,1.26,200
2022-02-15 15:45:00,1.265,1.265,1.26,1.265,6331
2022-02-15 15:22:00,1.26,1.26,1.26,1.26,102
2022-02-15 15:16:00,1.27,1.27,1.27,1.27,369
2022-02-15 15:14:00,1.2624,1.2624,1.2624,1.2624,303
2022-02-15 15:07:00,1.27,1.27,1.26,1.26,603
2022-02-15 14:52:00,1.25,1.27,1.25,1.27,300
