time,open,high,low,close,volume
2022-02-17 19:52:00,8.3,8.3,8.3,8.3,2763
2022-02-17 18:49:00,8.3,8.3,8.3,8.3,210
2022-02-17 18:23:00,8.3,8.3,8.3,8.3,400
2022-02-17 18:22:00,8.3,8.3,8.3,8.3,112
2022-02-17 18:17:00,8.3,8.3,8.3,8.3,1100
2022-02-17 18:16:00,8.3,8.3,8.3,8.3,345
2022-02-17 18:15:00,8.22,8.22,8.22,8.22,100
2022-02-17 17:57:00,8.3,8.3,8.3,8.3,105
2022-02-17 17:49:00,8.21,8.21,8.21,8.21,100
2022-02-17 17:40:00,8.2,8.2,8.2,8.2,200
2022-02-17 17:31:00,8.2,8.2,8.2,8.2,16046
2022-02-17 17:25:00,8.2,8.2,8.2,8.2,275
2022-02-17 17:18:00,8.2,8.2,8.2,8.2,525
2022-02-17 17:12:00,8.29,8.29,8.29,8.29,200
2022-02-17 16:59:00,8.2,8.2,8.2,8.2,1181
2022-02-17 16:56:00,8.25,8.25,8.25,8.25,2400
2022-02-17 16:49:00,8.2,8.2201,8.2,8.2001,3824
2022-02-17 16:38:00,8.25,8.25,8.25,8.25,122
2022-02-17 16:37:00,8.23,8.23,8.23,8.23,100
2022-02-17 16:36:00,8.23,8.23,8.23,8.23,117
2022-02-17 16:30:00,8.23,8.23,8.23,8.23,140
2022-02-17 16:28:00,8.23,8.23,8.23,8.23,797
2022-02-17 16:23:00,8.24,8.24,8.24,8.24,100
2022-02-17 16:22:00,8.25,8.25,8.24,8.24,262
2022-02-17 16:21:00,8.25,8.25,8.25,8.25,150
2022-02-17 16:15:00,8.25,8.2501,8.25,8.2501,601
2022-02-17 16:13:00,8.27,8.27,8.27,8.27,250
2022-02-17 16:10:00,8.3,8.3,8.3,8.3,1206
2022-02-17 16:04:00,8.3001,8.3001,8.3001,8.3001,100
2022-02-17 16:02:00,8.3,8.3,8.3,8.3,5000
2022-02-17 16:00:00,8.3,8.35,8.28,8.335,13816
2022-02-17 15:59:00,8.32,8.34,8.3,8.3001,15220
2022-02-17 15:58:00,8.32,8.33,8.32,8.33,11174
2022-02-17 15:57:00,8.3094,8.3201,8.2951,8.3201,5476
2022-02-17 15:56:00,8.3204,8.35,8.2854,8.315,12378
2022-02-17 15:55:00,8.28,8.35,8.28,8.33,8861
2022-02-17 15:54:00,8.28,8.3,8.25,8.275,9547
2022-02-17 15:53:00,8.29,8.32,8.28,8.2859,15262
2022-02-17 15:52:00,8.34,8.345,8.281,8.32,29151
2022-02-17 15:51:00,8.38,8.38,8.32,8.3426,6520
2022-02-17 15:50:00,8.35,8.38,8.35,8.38,2732
2022-02-17 15:49:00,8.3399,8.34,8.3399,8.34,2344
2022-02-17 15:48:00,8.34,8.35,8.335,8.335,3418
2022-02-17 15:47:00,8.34,8.35,8.34,8.35,411
2022-02-17 15:46:00,8.328,8.328,8.328,8.328,208
2022-02-17 15:45:00,8.3392,8.34,8.3392,8.34,4484
2022-02-17 15:44:00,8.33,8.33,8.33,8.33,238
2022-02-17 15:43:00,8.33,8.33,8.33,8.33,687
2022-02-17 15:42:00,8.33,8.34,8.32,8.34,4056
2022-02-17 15:41:00,8.32,8.33,8.32,8.33,2195
2022-02-17 15:40:00,8.32,8.32,8.32,8.32,319
2022-02-17 15:39:00,8.3398,8.34,8.3275,8.34,2836
2022-02-17 15:38:00,8.34,8.34,8.32,8.32,727
2022-02-17 15:37:00,8.35,8.35,8.3265,8.3265,691
2022-02-17 15:36:00,8.33,8.34,8.33,8.34,6687
2022-02-17 15:35:00,8.3301,8.3301,8.32,8.3202,4061
2022-02-17 15:34:00,8.33,8.33,8.33,8.33,1793
2022-02-17 15:33:00,8.3309,8.3473,8.32,8.33,4329
2022-02-17 15:32:00,8.35,8.35,8.33,8.33,2025
2022-02-17 15:31:00,8.359,8.36,8.355,8.355,1046
2022-02-17 15:30:00,8.36,8.36,8.35,8.35,377
