time,open,high,low,close,volume
2022-04-19 16:15:00,3.7,3.7,3.7,3.7,200
2022-04-19 16:00:00,3.78,3.8,3.78,3.79,4761
2022-04-19 15:59:00,3.7899,3.7899,3.7899,3.7899,576
2022-04-19 15:58:00,3.78,3.78,3.78,3.78,1056
2022-04-19 15:57:00,3.77,3.78,3.77,3.775,3072
2022-04-19 15:56:00,3.77,3.77,3.77,3.77,3136
2022-04-19 15:54:00,3.77,3.77,3.77,3.77,100
2022-04-19 15:53:00,3.8,3.8,3.77,3.7795,905
2022-04-19 15:52:00,3.8076,3.8076,3.8001,3.8001,1100
2022-04-19 15:50:00,3.8186,3.82,3.8186,3.82,381
2022-04-19 15:45:00,3.85,3.85,3.85,3.85,140
2022-04-19 15:44:00,3.8,3.8,3.8,3.8,100
2022-04-19 15:43:00,3.825,3.825,3.8,3.8,440
2022-04-19 15:32:00,3.825,3.825,3.825,3.825,187
2022-04-19 15:24:00,3.83,3.83,3.83,3.83,360
2022-04-19 15:17:00,3.83,3.83,3.83,3.83,100
2022-04-19 15:15:00,3.831,3.831,3.831,3.831,500
2022-04-19 15:12:00,3.85,3.85,3.85,3.85,400
2022-04-19 15:10:00,3.84,3.84,3.84,3.84,200
2022-04-19 15:05:00,3.82,3.82,3.82,3.82,199
2022-04-19 14:55:00,3.85,3.85,3.835,3.835,327
2022-04-19 14:54:00,3.835,3.835,3.835,3.835,263
2022-04-19 14:51:00,3.8208,3.8208,3.8208,3.8208,5000
2022-04-19 14:44:00,3.82,3.82,3.82,3.82,116
2022-04-19 14:20:00,3.89,3.89,3.86,3.86,243
2022-04-19 14:16:00,3.9099,3.9099,3.9099,3.9099,5000
2022-04-19 14:05:00,3.9,3.91,3.9,3.91,300
2022-04-19 13:49:00,3.91,3.91,3.91,3.91,100
2022-04-19 13:45:00,3.91,3.91,3.91,3.91,525
2022-04-19 13:44:00,3.9,3.91,3.9,3.91,400
2022-04-19 13:43:00,3.88,3.88,3.87,3.87,2316
2022-04-19 13:42:00,3.86,3.88,3.86,3.88,731
2022-04-19 13:41:00,3.9,3.9,3.8801,3.8901,4375
