time,open,high,low,close,volume
2022-03-18 19:36:00,2.01,2.06,2.01,2.06,1000
2022-03-18 19:21:00,2.0,2.0,2.0,2.0,100
2022-03-18 17:59:00,1.97,1.97,1.97,1.97,202
2022-03-18 17:43:00,1.98,1.98,1.98,1.98,9500
2022-03-18 17:24:00,2.01,2.01,2.01,2.01,150
2022-03-18 17:23:00,2.01,2.01,2.01,2.01,200
2022-03-18 17:22:00,2.01,2.01,2.01,2.01,300
2022-03-18 17:21:00,2.01,2.01,2.01,2.01,2000
2022-03-18 17:20:00,2.01,2.01,2.01,2.01,200
2022-03-18 17:19:00,1.96,1.96,1.96,1.96,100
2022-03-18 17:18:00,1.96,1.96,1.96,1.96,100
2022-03-18 16:57:00,1.97,1.97,1.97,1.97,128
2022-03-18 16:52:00,1.96,1.96,1.96,1.96,952
2022-03-18 16:03:00,1.97,2.03,1.97,2.02,2700
2022-03-18 16:01:00,2.04,2.04,2.04,2.04,401
2022-03-18 16:00:00,1.96,1.97,1.96,1.96,3781
2022-03-18 15:59:00,1.965,1.98,1.965,1.965,4332
2022-03-18 15:58:00,1.965,1.9692,1.965,1.9692,1050
2022-03-18 15:57:00,1.9601,1.965,1.9601,1.965,452
2022-03-18 15:56:00,1.9699,1.9699,1.9699,1.9699,1000
2022-03-18 15:55:00,1.965,1.97,1.965,1.97,900
2022-03-18 15:54:00,1.97,1.97,1.96,1.96,1595
2022-03-18 15:53:00,1.97,1.97,1.965,1.97,976
2022-03-18 15:52:00,1.965,1.97,1.965,1.97,500
2022-03-18 15:51:00,1.97,1.97,1.96,1.96,1401
2022-03-18 15:50:00,1.975,1.975,1.975,1.975,390
2022-03-18 15:47:00,1.975,1.98,1.975,1.98,598
2022-03-18 15:46:00,1.98,1.98,1.98,1.98,1191
2022-03-18 15:45:00,1.975,1.975,1.975,1.975,155
2022-03-18 15:43:00,1.9799,1.98,1.97,1.97,557
2022-03-18 15:42:00,1.9791,1.9791,1.9791,1.9791,270
2022-03-18 15:39:00,1.98,1.98,1.98,1.98,1746
2022-03-18 15:38:00,1.9812,1.9812,1.9812,1.9812,547
2022-03-18 15:37:00,1.98,1.9899,1.98,1.9899,570
2022-03-18 15:36:00,1.985,1.985,1.985,1.985,1500
2022-03-18 15:34:00,1.99,1.99,1.99,1.99,999
2022-03-18 15:32:00,2.0047,2.0047,2.0047,2.0047,236
2022-03-18 15:31:00,2.0099,2.0099,2.0099,2.0099,500
2022-03-18 15:28:00,2.01,2.01,2.0,2.0,3148
2022-03-18 15:26:00,2.0075,2.0075,2.0075,2.0075,101
2022-03-18 15:25:00,2.0,2.0,1.98,1.99,13130
2022-03-18 15:24:00,1.99,1.99,1.99,1.99,194
2022-03-18 15:23:00,2.0,2.0,1.98,1.98,1913
2022-03-18 15:19:00,1.9846,1.9846,1.9846,1.9846,2000
2022-03-18 15:15:00,1.98,1.9819,1.98,1.98,5163
2022-03-18 15:14:00,1.99,1.99,1.98,1.98,5443
2022-03-18 15:11:00,1.98,1.99,1.98,1.98,5838
2022-03-18 15:02:00,1.9799,1.9799,1.9799,1.9799,1000
2022-03-18 14:56:00,1.98,1.98,1.98,1.98,801
2022-03-18 14:52:00,1.9711,1.9711,1.9711,1.9711,120
2022-03-18 14:50:00,1.98,1.98,1.98,1.98,499
2022-03-18 14:49:00,1.9899,1.9899,1.98,1.98,477
2022-03-18 14:48:00,1.98,1.98,1.98,1.98,600
2022-03-18 14:45:00,1.9777,1.98,1.9777,1.98,1346
2022-03-18 14:44:00,1.98,1.98,1.98,1.98,154
2022-03-18 14:43:00,1.975,1.975,1.975,1.975,150
2022-03-18 14:42:00,1.975,1.975,1.975,1.975,110
2022-03-18 14:41:00,1.98,1.98,1.98,1.98,150
2022-03-18 14:31:00,1.99,1.99,1.99,1.99,561
2022-03-18 14:30:00,1.9999,2.0,1.9903,1.9988,8817
2022-03-18 14:28:00,2.0,2.0,2.0,2.0,100
2022-03-18 14:27:00,2.0,2.0,2.0,2.0,2376
2022-03-18 14:26:00,1.9601,1.99,1.9601,1.99,3951
2022-03-18 14:25:00,1.975,1.975,1.97,1.97,305
2022-03-18 14:24:00,1.97,1.98,1.97,1.98,2923
2022-03-18 14:18:00,1.9878,1.9878,1.9878,1.9878,300
