time,open,high,low,close,volume
2022-02-18 16:00:00,1.222,1.23,1.22,1.22,8468
2022-02-18 15:56:00,1.23,1.23,1.22,1.22,700
2022-02-18 15:52:00,1.2401,1.2401,1.2401,1.2401,1500
2022-02-18 15:51:00,1.255,1.255,1.25,1.25,1187
2022-02-18 15:45:00,1.245,1.245,1.245,1.245,208
2022-02-18 15:30:00,1.255,1.255,1.2352,1.2352,1000
2022-02-18 15:29:00,1.26,1.26,1.26,1.26,100
2022-02-18 15:27:00,1.26,1.2699,1.26,1.2699,931
2022-02-18 15:26:00,1.255,1.259,1.255,1.259,642
2022-02-18 15:22:00,1.25,1.25,1.25,1.25,1600
2022-02-18 15:18:00,1.26,1.26,1.25,1.25,338
2022-02-18 14:58:00,1.232,1.232,1.232,1.232,2000
2022-02-18 14:34:00,1.28,1.28,1.28,1.28,108
2022-02-18 14:24:00,1.2309,1.2309,1.2309,1.2309,1000
2022-02-18 14:05:00,1.25,1.25,1.25,1.25,389
2022-02-18 13:44:00,1.26,1.26,1.26,1.26,1657
2022-02-18 13:42:00,1.26,1.26,1.26,1.26,108
2022-02-18 13:33:00,1.26,1.26,1.26,1.26,1000
2022-02-18 13:32:00,1.27,1.27,1.27,1.27,108
2022-02-18 13:16:00,1.27,1.27,1.27,1.27,108
2022-02-18 13:08:00,1.2378,1.2378,1.2378,1.2378,100
2022-02-18 13:01:00,1.27,1.27,1.25,1.25,208
2022-02-18 12:46:00,1.27,1.27,1.27,1.27,108
2022-02-18 12:20:00,1.2201,1.2201,1.2201,1.2201,108
2022-02-18 12:12:00,1.202,1.2126,1.2,1.2,5000
2022-02-18 11:59:00,1.25,1.2793,1.21,1.2793,51100
2022-02-18 11:56:00,1.28,1.28,1.27,1.2702,9901
2022-02-18 11:48:00,1.3,1.3,1.3,1.3,1154
2022-02-18 11:46:00,1.3017,1.3017,1.3017,1.3017,400
2022-02-18 11:44:00,1.3,1.3032,1.3,1.3027,1000
2022-02-18 11:43:00,1.33,1.33,1.33,1.33,3436
2022-02-18 11:42:00,1.32,1.32,1.32,1.32,1000
2022-02-18 11:40:00,1.33,1.34,1.33,1.331,6613
2022-02-18 11:38:00,1.33,1.35,1.33,1.33,9609
2022-02-18 11:37:00,1.32,1.32,1.3,1.3,9690
2022-02-18 11:35:00,1.35,1.35,1.35,1.35,1047
2022-02-18 11:34:00,1.312,1.312,1.3101,1.3101,308
2022-02-18 11:33:00,1.325,1.325,1.325,1.325,140
2022-02-18 11:30:00,1.3418,1.3418,1.3418,1.3418,101
2022-02-18 11:29:00,1.31,1.3499,1.3,1.3499,10787
2022-02-18 11:28:00,1.3,1.32,1.29,1.32,24479
2022-02-18 11:27:00,1.27,1.29,1.27,1.29,11821
2022-02-18 11:25:00,1.252,1.252,1.252,1.252,759
2022-02-18 11:23:00,1.26,1.26,1.26,1.26,402
2022-02-18 11:15:00,1.2521,1.2521,1.2521,1.2521,554
2022-02-18 11:14:00,1.25,1.26,1.25,1.26,739
2022-02-18 11:09:00,1.26,1.26,1.255,1.26,1098
2022-02-18 11:08:00,1.26,1.26,1.2509,1.26,4401
2022-02-18 11:07:00,1.2598,1.2598,1.2598,1.2598,2501
2022-02-18 11:04:00,1.25,1.25,1.25,1.25,5018
2022-02-18 10:59:00,1.2335,1.2335,1.2335,1.2335,945
2022-02-18 10:57:00,1.24,1.24,1.24,1.24,100
2022-02-18 10:54:00,1.23,1.23,1.23,1.23,200
2022-02-18 10:50:00,1.26,1.26,1.25,1.25,531
2022-02-18 10:49:00,1.2503,1.2503,1.2503,1.2503,1057
2022-02-18 10:45:00,1.256,1.256,1.256,1.256,1001
2022-02-18 10:43:00,1.25,1.25,1.25,1.25,1149
2022-02-18 10:42:00,1.25,1.25,1.25,1.25,488
2022-02-18 10:39:00,1.25,1.25,1.25,1.25,944
2022-02-18 10:35:00,1.2501,1.26,1.25,1.26,3173
2022-02-18 10:34:00,1.2522,1.2522,1.2522,1.2522,104
2022-02-18 10:33:00,1.25,1.25,1.25,1.25,2702
2022-02-18 10:30:00,1.25,1.25,1.25,1.25,108
2022-02-18 10:26:00,1.24,1.24,1.24,1.24,400
2022-02-18 10:24:00,1.2301,1.2301,1.2301,1.2301,1000
2022-02-18 10:22:00,1.24,1.24,1.24,1.24,351
2022-02-18 10:15:00,1.23,1.24,1.23,1.235,790
2022-02-18 10:09:00,1.245,1.245,1.24,1.24,5300
2022-02-18 10:06:00,1.24,1.24,1.24,1.24,500
2022-02-18 09:56:00,1.25,1.25,1.25,1.25,450
2022-02-18 09:53:00,1.22,1.22,1.22,1.22,2582
2022-02-18 09:51:00,1.223,1.223,1.223,1.223,554
2022-02-18 09:43:00,1.23,1.23,1.23,1.23,172
2022-02-18 09:39:00,1.24,1.24,1.24,1.24,154
2022-02-18 09:35:00,1.23,1.23,1.23,1.23,1312
2022-02-18 09:34:00,1.24,1.24,1.22,1.23,497
2022-02-18 09:33:00,1.24,1.24,1.1901,1.1901,2250
2022-02-18 09:31:00,1.22,1.24,1.22,1.24,4240
2022-02-18 09:25:00,1.18,1.18,1.18,1.18,360
2022-02-18 08:19:00,1.25,1.25,1.25,1.25,221
2022-02-18 08:08:00,1.17,1.18,1.17,1.18,369
2022-02-18 08:06:00,1.17,1.17,1.17,1.17,230
2022-02-18 08:05:00,1.18,1.18,1.18,1.18,500
2022-02-18 07:11:00,1.18,1.18,1.17,1.17,1701
2022-02-18 07:08:00,1.18,1.18,1.18,1.18,162
2022-02-18 06:36:00,1.16,1.17,1.16,1.16,2031
2022-02-18 04:05:00,1.26,1.26,1.26,1.26,100
2022-02-17 18:44:00,1.26,1.28,1.26,1.28,9105
2022-02-17 16:00:00,1.24,1.27,1.24,1.25,1914
2022-02-17 15:59:00,1.25,1.27,1.25,1.27,747
2022-02-17 15:58:00,1.255,1.255,1.255,1.255,200
2022-02-17 15:57:00,1.26,1.26,1.25,1.26,3220
2022-02-17 15:56:00,1.25,1.2596,1.25,1.25,1285
2022-02-17 15:55:00,1.25,1.25,1.25,1.25,100
2022-02-17 15:54:00,1.26,1.26,1.25,1.25,367
2022-02-17 15:53:00,1.255,1.255,1.255,1.255,100
2022-02-17 15:52:00,1.255,1.255,1.255,1.255,514
2022-02-17 15:51:00,1.25,1.25,1.25,1.25,113
2022-02-17 15:49:00,1.25,1.25,1.25,1.25,138
2022-02-17 15:48:00,1.25,1.25,1.25,1.25,100
2022-02-17 15:47:00,1.27,1.27,1.27,1.27,441
2022-02-17 15:46:00,1.26,1.27,1.25,1.25,3017
2022-02-17 15:44:00,1.25,1.25,1.25,1.25,100
2022-02-17 15:41:00,1.25,1.27,1.25,1.27,4641
2022-02-17 15:40:00,1.232,1.26,1.232,1.26,420
2022-02-17 15:39:00,1.2516,1.2516,1.2516,1.2516,700
2022-02-17 15:38:00,1.25,1.25,1.25,1.25,100
2022-02-17 15:36:00,1.25,1.25,1.25,1.25,168
2022-02-17 15:34:00,1.2475,1.2475,1.2475,1.2475,100
2022-02-17 15:30:00,1.23,1.24,1.23,1.24,1204
2022-02-17 15:29:00,1.23,1.23,1.23,1.23,2296
2022-02-17 15:27:00,1.225,1.225,1.225,1.225,100
