time,open,high,low,close,volume
2022-03-18 19:55:00,7.97,7.97,7.97,7.97,500
2022-03-18 19:54:00,7.97,7.97,7.97,7.97,100
2022-03-18 19:43:00,7.97,7.97,7.97,7.97,1801
2022-03-18 19:01:00,7.97,7.97,7.97,7.97,200
2022-03-18 18:36:00,8.01,8.01,8.01,8.01,100
2022-03-18 18:28:00,8.01,8.0199,8.01,8.0199,2000
2022-03-18 18:18:00,7.97,7.97,7.97,7.97,100
2022-03-18 18:09:00,7.97,7.97,7.97,7.97,744
2022-03-18 18:03:00,8.01,8.02,8.01,8.02,400
2022-03-18 17:47:00,8.01,8.02,8.01,8.02,400
2022-03-18 16:53:00,8.02,8.02,7.96,7.96,400
2022-03-18 16:50:00,8.02,8.02,8.02,8.02,1000
2022-03-18 16:33:00,8.02,8.02,8.02,8.02,200
2022-03-18 16:30:00,7.95,7.99,7.95,7.99,500
2022-03-18 16:24:00,7.9,7.9,7.9,7.9,175
2022-03-18 16:23:00,7.87,7.87,7.87,7.87,150
2022-03-18 16:21:00,7.9,7.9,7.9,7.9,155
2022-03-18 16:15:00,7.8999,7.9,7.8999,7.9,800
2022-03-18 16:14:00,7.86,7.86,7.85,7.85,3252
2022-03-18 16:06:00,7.92,7.92,7.92,7.92,300
2022-03-18 16:04:00,7.92,7.92,7.92,7.92,182
2022-03-18 16:03:00,7.92,7.92,7.92,7.92,23288
2022-03-18 16:02:00,7.88,7.92,7.88,7.92,22441
2022-03-18 16:00:00,7.95,7.96,7.91,7.91,42948
2022-03-18 15:59:00,7.91,7.96,7.9,7.94,17564
2022-03-18 15:58:00,7.87,7.91,7.86,7.91,16380
2022-03-18 15:57:00,7.96,7.9747,7.86,7.86,41137
2022-03-18 15:56:00,7.99,8.0098,7.96,7.97,14635
2022-03-18 15:55:00,7.875,7.97,7.86,7.97,17793
2022-03-18 15:54:00,7.85,7.89,7.84,7.86,7719
2022-03-18 15:53:00,7.87,7.89,7.84,7.84,10553
2022-03-18 15:52:00,7.87,7.89,7.87,7.88,6199
2022-03-18 15:51:00,7.81,7.9,7.81,7.885,10420
2022-03-18 15:50:00,7.85,7.86,7.8,7.81,3963
2022-03-18 15:49:00,7.865,7.87,7.85,7.85,6109
2022-03-18 15:48:00,7.865,7.87,7.86,7.86,2825
2022-03-18 15:47:00,7.8616,7.87,7.86,7.86,6755
2022-03-18 15:46:00,7.875,7.875,7.84,7.86,9988
2022-03-18 15:45:00,7.86,7.875,7.86,7.86,1827
2022-03-18 15:44:00,7.865,7.875,7.86,7.86,6253
2022-03-18 15:43:00,7.885,7.885,7.85,7.86,5867
2022-03-18 15:42:00,7.855,7.89,7.855,7.87,3821
2022-03-18 15:41:00,7.84,7.8585,7.84,7.855,5186
2022-03-18 15:40:00,7.83,7.85,7.83,7.84,4274
2022-03-18 15:39:00,7.87,7.88,7.83,7.83,5362
2022-03-18 15:38:00,7.93,7.935,7.87,7.87,10178
2022-03-18 15:37:00,7.92,7.95,7.92,7.94,30801
2022-03-18 15:36:00,7.935,7.935,7.92,7.935,2507
2022-03-18 15:35:00,7.92,7.935,7.92,7.928,15959
2022-03-18 15:34:00,7.9,7.95,7.9,7.92,8060
2022-03-18 15:33:00,7.91,7.93,7.9,7.91,12945
2022-03-18 15:32:00,7.89,7.9,7.88,7.89,3348
2022-03-18 15:31:00,7.84,7.899,7.84,7.89,3740
2022-03-18 15:30:00,7.83,7.84,7.83,7.84,1627
2022-03-18 15:29:00,7.83,7.84,7.82,7.83,3568
2022-03-18 15:28:00,7.81,7.825,7.81,7.825,3862
2022-03-18 15:27:00,7.81,7.83,7.81,7.825,763
2022-03-18 15:26:00,7.83,7.83,7.81,7.83,2043
2022-03-18 15:25:00,7.8,7.85,7.8,7.81,4523
2022-03-18 15:24:00,7.79,7.8088,7.79,7.8,2188
2022-03-18 15:23:00,7.8,7.8,7.79,7.79,1000
2022-03-18 15:22:00,7.805,7.805,7.79,7.79,5342
2022-03-18 15:21:00,7.8,7.805,7.79,7.79,3121
2022-03-18 15:20:00,7.79,7.805,7.79,7.805,1071
2022-03-18 15:19:00,7.8,7.8,7.79,7.79,799
2022-03-18 15:18:00,7.8,7.8,7.79,7.79,841
2022-03-18 15:17:00,7.78,7.8,7.78,7.8,2013
