time,open,high,low,close,volume
2022-03-18 19:51:00,3.0,3.0,3.0,3.0,2765
2022-03-18 19:50:00,2.98,2.98,2.98,2.98,3020
2022-03-18 19:42:00,2.97,2.97,2.97,2.97,428
2022-03-18 19:41:00,2.96,2.96,2.95,2.95,1424
2022-03-18 19:37:00,2.97,2.97,2.97,2.97,2677
2022-03-18 19:23:00,2.96,2.96,2.96,2.96,570
2022-03-18 19:22:00,2.97,2.97,2.97,2.97,100
2022-03-18 19:14:00,2.95,2.95,2.95,2.95,300
2022-03-18 18:57:00,2.95,2.95,2.95,2.95,500
2022-03-18 18:49:00,2.95,2.95,2.95,2.95,100
2022-03-18 18:41:00,2.95,2.95,2.95,2.95,142
2022-03-18 18:30:00,2.91,2.91,2.9,2.9,500
2022-03-18 18:15:00,2.94,2.94,2.94,2.94,5029
2022-03-18 18:13:00,2.94,2.94,2.94,2.94,200
2022-03-18 18:08:00,2.97,2.97,2.97,2.97,100
2022-03-18 18:00:00,2.97,2.97,2.97,2.97,205
2022-03-18 17:58:00,2.97,2.97,2.97,2.97,550
2022-03-18 17:57:00,2.96,2.96,2.96,2.96,154
2022-03-18 17:56:00,2.96,2.96,2.96,2.96,1500
2022-03-18 17:53:00,2.9699,2.9699,2.9699,2.9699,830
2022-03-18 17:49:00,2.97,2.97,2.97,2.97,1500
2022-03-18 17:47:00,2.96,2.96,2.96,2.96,432
2022-03-18 17:37:00,2.98,2.98,2.98,2.98,585
2022-03-18 17:33:00,2.96,2.96,2.96,2.96,400
2022-03-18 17:28:00,2.99,2.99,2.99,2.99,100
2022-03-18 17:22:00,2.94,2.94,2.94,2.94,926
2022-03-18 17:21:00,2.9401,2.9401,2.9401,2.9401,200
2022-03-18 17:16:00,2.94,2.94,2.94,2.94,2500
2022-03-18 17:12:00,2.96,2.96,2.96,2.96,100
2022-03-18 17:09:00,2.9599,2.96,2.9599,2.96,300
2022-03-18 17:06:00,2.94,2.94,2.94,2.94,1030
2022-03-18 17:02:00,2.96,2.96,2.96,2.96,100
2022-03-18 16:52:00,2.96,2.96,2.96,2.96,2500
2022-03-18 16:47:00,2.97,2.97,2.97,2.97,166
2022-03-18 16:46:00,2.97,2.97,2.97,2.97,101
2022-03-18 16:44:00,2.97,2.97,2.97,2.97,111
