time,open,high,low,close,volume
2022-03-18 18:58:00,4.18,4.18,4.18,4.18,1455
2022-03-18 18:57:00,4.11,4.11,4.11,4.11,545
2022-03-18 17:06:00,4.2,4.2,4.2,4.2,6000
2022-03-18 16:57:00,4.02,4.02,4.02,4.02,100
2022-03-18 16:38:00,3.9,3.9,3.9,3.9,400
2022-03-18 16:06:00,4.11,4.11,4.11,4.11,353415
2022-03-18 16:04:00,4.11,4.11,4.11,4.11,100
2022-03-18 16:03:00,4.11,4.11,4.11,4.11,31087
2022-03-18 16:01:00,4.11,4.11,4.11,4.11,456
2022-03-18 16:00:00,4.125,4.14,4.12,4.12,42926
2022-03-18 15:59:00,4.125,4.13,4.12,4.125,28307
2022-03-18 15:58:00,4.135,4.14,4.125,4.13,23243
2022-03-18 15:57:00,4.125,4.135,4.12,4.135,24625
2022-03-18 15:56:00,4.12,4.13,4.115,4.125,18246
2022-03-18 15:55:00,4.15,4.16,4.1,4.125,37726
2022-03-18 15:54:00,4.17,4.175,4.15,4.15,15445
2022-03-18 15:53:00,4.18,4.18,4.17,4.17,16721
2022-03-18 15:52:00,4.195,4.195,4.18,4.18,9377
2022-03-18 15:51:00,4.115,4.2,4.115,4.195,34293
2022-03-18 15:50:00,4.12,4.1297,4.12,4.12,5438
2022-03-18 15:49:00,4.135,4.1389,4.12,4.12,7798
2022-03-18 15:48:00,4.14,4.145,4.13,4.13,7177
2022-03-18 15:47:00,4.145,4.15,4.1416,4.145,1471
2022-03-18 15:46:00,4.12,4.15,4.12,4.15,8067
2022-03-18 15:45:00,4.115,4.13,4.115,4.12,8958
2022-03-18 15:44:00,4.112,4.13,4.11,4.115,8410
2022-03-18 15:43:00,4.08,4.12,4.075,4.12,12621
2022-03-18 15:42:00,4.1,4.12,4.08,4.08,27520
2022-03-18 15:41:00,4.18,4.18,4.1,4.1,30370
2022-03-18 15:40:00,4.1895,4.1895,4.18,4.181,11823
2022-03-18 15:39:00,4.185,4.19,4.1801,4.19,2378
2022-03-18 15:38:00,4.185,4.1886,4.18,4.185,10568
2022-03-18 15:37:00,4.19,4.19,4.19,4.19,103
2022-03-18 15:36:00,4.185,4.19,4.18,4.185,11710
2022-03-18 15:35:00,4.1879,4.19,4.1879,4.19,3519
2022-03-18 15:34:00,4.135,4.19,4.135,4.18,8351
2022-03-18 15:33:00,4.14,4.14,4.13,4.135,8977
2022-03-18 15:32:00,4.14,4.14,4.1346,4.135,1088
2022-03-18 15:31:00,4.155,4.16,4.13,4.135,16060
2022-03-18 15:30:00,4.17,4.17,4.15,4.15,17501
2022-03-18 15:29:00,4.16,4.174,4.16,4.17,7118
2022-03-18 15:28:00,4.185,4.185,4.1642,4.1661,14081
2022-03-18 15:27:00,4.181,4.1999,4.1802,4.19,27454
2022-03-18 15:26:00,4.19,4.2,4.19,4.2,1486
2022-03-18 15:25:00,4.19,4.195,4.185,4.195,3745
2022-03-18 15:24:00,4.1888,4.19,4.1884,4.1884,948
2022-03-18 15:23:00,4.18,4.19,4.18,4.19,2423
2022-03-18 15:22:00,4.17,4.18,4.17,4.18,757
2022-03-18 15:21:00,4.17,4.17,4.17,4.17,2850
2022-03-18 15:20:00,4.1528,4.17,4.15,4.1699,4966
2022-03-18 15:18:00,4.175,4.175,4.15,4.15,6820
2022-03-18 15:17:00,4.1789,4.1789,4.17,4.17,604
2022-03-18 15:16:00,4.17,4.18,4.17,4.18,4182
2022-03-18 15:15:00,4.17,4.17,4.17,4.17,3248
2022-03-18 15:14:00,4.1579,4.16,4.155,4.16,1905
2022-03-18 15:13:00,4.17,4.17,4.15,4.15,8665
2022-03-18 15:12:00,4.164,4.17,4.164,4.17,1642
2022-03-18 15:11:00,4.13,4.16,4.1297,4.16,16903
2022-03-18 15:10:00,4.13,4.13,4.125,4.125,5090
2022-03-18 15:09:00,4.11,4.12,4.11,4.12,4367
2022-03-18 15:08:00,4.11,4.11,4.11,4.11,528
2022-03-18 15:07:00,4.09,4.105,4.09,4.105,7831
2022-03-18 15:06:00,4.1017,4.1017,4.08,4.09,7455
2022-03-18 15:05:00,4.105,4.105,4.105,4.105,843
2022-03-18 15:04:00,4.11,4.11,4.105,4.105,2869
2022-03-18 15:03:00,4.1,4.107,4.1,4.107,1787
2022-03-18 15:02:00,4.08,4.1,4.08,4.1,6677
2022-03-18 15:01:00,4.075,4.08,4.075,4.08,579
2022-03-18 14:58:00,4.0799,4.0799,4.0723,4.0723,454
2022-03-18 14:57:00,4.08,4.08,4.07,4.07,276
2022-03-18 14:56:00,4.08,4.085,4.075,4.08,5356
2022-03-18 14:55:00,4.085,4.09,4.085,4.09,1083
2022-03-18 14:54:00,4.08,4.08,4.08,4.08,1849
2022-03-18 14:53:00,4.1,4.1,4.07,4.08,18118
2022-03-18 14:52:00,4.1,4.1,4.09,4.1,4549
2022-03-18 14:51:00,4.085,4.1,4.085,4.095,26526
2022-03-18 14:50:00,4.0695,4.08,4.0695,4.08,2466
2022-03-18 14:49:00,4.06,4.07,4.06,4.0699,2681
2022-03-18 14:48:00,4.06,4.06,4.06,4.06,2102
2022-03-18 14:47:00,4.05,4.06,4.04,4.06,1238
2022-03-18 14:46:00,4.03,4.05,4.03,4.05,2883
2022-03-18 14:45:00,3.99,4.02,3.99,4.02,6613
2022-03-18 14:44:00,3.99,3.99,3.985,3.985,706
2022-03-18 14:43:00,4.0,4.0,3.98,3.9801,3970
2022-03-18 14:42:00,3.99,3.9998,3.99,3.9998,2413
2022-03-18 14:41:00,3.99,3.99,3.99,3.99,209
2022-03-18 14:40:00,3.99,4.0,3.99,4.0,223
2022-03-18 14:39:00,3.99,3.99,3.98,3.98,1108
2022-03-18 14:38:00,4.0,4.0,3.9983,3.9983,1350
2022-03-18 14:37:00,3.985,3.99,3.985,3.99,3779
2022-03-18 14:36:00,3.99,3.99,3.98,3.98,312
2022-03-18 14:35:00,3.9734,3.9834,3.9734,3.98,411
2022-03-18 14:34:00,3.97,3.97,3.97,3.97,108
2022-03-18 14:33:00,3.99,3.99,3.99,3.99,1503
2022-03-18 14:31:00,4.0,4.0,3.9701,3.9701,9042
2022-03-18 14:30:00,4.0123,4.02,4.0035,4.0035,11008
2022-03-18 14:29:00,4.02,4.02,4.02,4.02,534
2022-03-18 14:28:00,4.005,4.0267,4.005,4.02,15188
2022-03-18 14:27:00,4.04,4.04,4.01,4.01,17850
2022-03-18 14:26:00,4.046,4.046,4.04,4.04,643
