time,open,high,low,close,volume
2022-04-19 16:00:00,1.275,1.275,1.275,1.275,103
2022-04-19 15:27:00,1.265,1.265,1.265,1.265,120
2022-04-19 15:24:00,1.24,1.24,1.24,1.24,100
2022-04-19 15:05:00,1.24,1.24,1.24,1.24,100
2022-04-19 14:55:00,1.225,1.225,1.225,1.225,292
2022-04-19 14:54:00,1.23,1.23,1.21,1.21,1100
2022-04-19 13:54:00,1.25,1.25,1.25,1.25,100
2022-04-19 13:51:00,1.26,1.26,1.25,1.25,1400
2022-04-19 12:54:00,1.2262,1.2262,1.2262,1.2262,1000
2022-04-19 12:42:00,1.23,1.23,1.23,1.23,100
2022-04-19 12:12:00,1.25,1.25,1.25,1.25,377
2022-04-19 11:36:00,1.23,1.23,1.23,1.23,701
2022-04-19 11:30:00,1.25,1.25,1.24,1.24,2100
2022-04-19 11:24:00,1.26,1.26,1.26,1.26,300
2022-04-19 11:08:00,1.23,1.24,1.23,1.24,904
2022-04-19 11:03:00,1.2201,1.2201,1.2201,1.2201,100
2022-04-19 10:51:00,1.22,1.22,1.22,1.22,200
2022-04-19 10:50:00,1.23,1.23,1.23,1.23,113
2022-04-19 10:45:00,1.2242,1.2242,1.2242,1.2242,200
2022-04-19 10:29:00,1.2473,1.2473,1.2473,1.2473,200
2022-04-19 10:27:00,1.21,1.22,1.2,1.22,4809
2022-04-19 10:23:00,1.22,1.22,1.2101,1.2101,2080
2022-04-19 10:13:00,1.228,1.228,1.228,1.228,1000
2022-04-19 09:44:00,1.2676,1.2676,1.2676,1.2676,593
2022-04-19 09:36:00,1.2635,1.2635,1.2635,1.2635,2000
2022-04-19 09:31:00,1.3,1.3,1.3,1.3,500
2022-04-19 08:28:00,1.23,1.23,1.23,1.23,131
2022-04-19 07:05:00,1.19,1.2,1.19,1.2,1116
2022-04-18 16:00:00,1.17,1.2,1.17,1.2,416
2022-04-18 15:59:00,1.18,1.18,1.18,1.18,600
2022-04-18 15:56:00,1.19,1.19,1.185,1.185,301
2022-04-18 15:48:00,1.19,1.19,1.19,1.19,141
2022-04-18 15:44:00,1.19,1.22,1.19,1.21,4251
2022-04-18 15:39:00,1.1849,1.1849,1.1849,1.1849,1039
2022-04-18 15:21:00,1.18,1.18,1.18,1.18,726
2022-04-18 15:20:00,1.18,1.18,1.18,1.18,100
2022-04-18 15:01:00,1.18,1.18,1.18,1.18,200
2022-04-18 14:51:00,1.18,1.19,1.17,1.19,1300
2022-04-18 14:41:00,1.18,1.18,1.18,1.18,426
2022-04-18 13:48:00,1.17,1.17,1.17,1.17,200
2022-04-18 13:24:00,1.1732,1.1732,1.1732,1.1732,101
2022-04-18 13:00:00,1.18,1.18,1.18,1.18,100
2022-04-18 12:45:00,1.17,1.18,1.17,1.18,846
2022-04-18 12:13:00,1.18,1.18,1.18,1.18,604
2022-04-18 12:12:00,1.16,1.16,1.15,1.15,1000
2022-04-18 11:56:00,1.18,1.18,1.18,1.18,100
2022-04-18 11:42:00,1.165,1.18,1.165,1.18,763
2022-04-18 11:39:00,1.1532,1.1532,1.1532,1.1532,334
2022-04-18 11:32:00,1.18,1.18,1.18,1.18,611
2022-04-18 11:28:00,1.155,1.16,1.15,1.15,1000
2022-04-18 11:14:00,1.17,1.17,1.17,1.17,100
2022-04-18 10:59:00,1.17,1.17,1.165,1.17,1234
2022-04-18 10:56:00,1.1606,1.17,1.1606,1.17,200
2022-04-18 10:44:00,1.132,1.14,1.132,1.14,450
2022-04-18 10:40:00,1.1334,1.1334,1.1334,1.1334,665
2022-04-18 10:12:00,1.13,1.13,1.13,1.13,130
2022-04-18 10:11:00,1.1272,1.1272,1.1272,1.1272,2500
2022-04-18 10:07:00,1.14,1.14,1.14,1.14,500
2022-04-18 09:57:00,1.18,1.18,1.18,1.18,150
2022-04-18 09:47:00,1.14,1.15,1.14,1.1407,690
2022-04-18 09:37:00,1.11,1.11,1.11,1.11,3724
2022-04-18 09:36:00,1.11,1.13,1.11,1.11,1076
2022-04-14 15:57:00,1.19,1.19,1.19,1.19,400
2022-04-14 15:56:00,1.195,1.2,1.195,1.2,864
2022-04-14 15:55:00,1.2,1.2,1.2,1.2,841
2022-04-14 15:01:00,1.22,1.22,1.22,1.22,100
2022-04-14 14:45:00,1.1901,1.1901,1.1901,1.1901,515
2022-04-14 14:12:00,1.23,1.23,1.23,1.23,400
2022-04-14 13:20:00,1.2399,1.2399,1.2399,1.2399,500
2022-04-14 13:19:00,1.2399,1.2399,1.2399,1.2399,2500
2022-04-14 12:25:00,1.21,1.2102,1.18,1.18,5530
2022-04-14 11:21:00,1.25,1.25,1.25,1.25,101
2022-04-14 11:13:00,1.2584,1.2584,1.2584,1.2584,102
2022-04-14 10:40:00,1.2237,1.2237,1.2237,1.2237,505
2022-04-14 10:32:00,1.25,1.29,1.25,1.25,7000
2022-04-14 10:31:00,1.2412,1.2412,1.2412,1.2412,5000
2022-04-14 10:30:00,1.2499,1.2499,1.2499,1.2499,3000
2022-04-14 10:29:00,1.2342,1.2342,1.2342,1.2342,5000
2022-04-14 10:21:00,1.21,1.21,1.21,1.21,993
2022-04-14 10:20:00,1.2009,1.2048,1.2009,1.2048,1604
2022-04-14 10:02:00,1.2,1.2,1.2,1.2,1120
2022-04-14 09:41:00,1.2092,1.2092,1.2092,1.2092,170
2022-04-14 09:36:00,1.24,1.24,1.2009,1.2009,1770
2022-04-14 06:21:00,1.28,1.28,1.28,1.28,238
2022-04-13 19:47:00,1.28,1.28,1.28,1.28,220
2022-04-13 19:10:00,1.16,1.16,1.16,1.16,125
2022-04-13 15:33:00,1.24,1.24,1.235,1.235,251
2022-04-13 15:15:00,1.26,1.26,1.26,1.26,141
2022-04-13 14:51:00,1.25,1.25,1.24,1.24,257
2022-04-13 14:50:00,1.26,1.26,1.26,1.26,500
2022-04-13 14:15:00,1.2799,1.2799,1.2799,1.2799,101
2022-04-13 13:50:00,1.27,1.27,1.27,1.27,201
2022-04-13 13:39:00,1.2601,1.2601,1.2601,1.2601,275
2022-04-13 13:21:00,1.28,1.28,1.28,1.28,400
2022-04-13 13:15:00,1.2601,1.2601,1.2601,1.2601,100
2022-04-13 12:45:00,1.2601,1.2601,1.2601,1.2601,1000
2022-04-13 12:09:00,1.26,1.27,1.26,1.27,1451
2022-04-13 11:42:00,1.26,1.26,1.26,1.26,100
2022-04-13 11:23:00,1.2552,1.2552,1.2552,1.2552,140
2022-04-13 11:13:00,1.27,1.27,1.27,1.27,100
2022-04-13 11:04:00,1.28,1.28,1.28,1.28,100
2022-04-13 10:57:00,1.26,1.26,1.26,1.26,2801
2022-04-13 10:34:00,1.26,1.26,1.26,1.26,130
2022-04-13 10:18:00,1.2853,1.2853,1.2853,1.2853,100
2022-04-13 10:04:00,1.2634,1.2634,1.2634,1.2634,2049
2022-04-13 10:02:00,1.2705,1.2705,1.2705,1.2705,145
2022-04-13 09:59:00,1.2601,1.2601,1.2601,1.2601,155
2022-04-13 09:49:00,1.26,1.26,1.26,1.26,150
2022-04-13 09:35:00,1.26,1.261,1.25,1.25,5001
2022-04-13 09:34:00,1.27,1.28,1.26,1.261,11507
2022-04-13 09:31:00,1.25,1.25,1.25,1.25,2284
2022-04-13 09:28:00,1.26,1.26,1.26,1.26,265
2022-04-13 08:49:00,1.27,1.27,1.27,1.27,1241
2022-04-13 08:42:00,1.27,1.27,1.27,1.27,150
2022-04-13 08:41:00,1.23,1.23,1.23,1.23,2046
2022-04-13 08:38:00,1.26,1.26,1.26,1.26,206
2022-04-13 08:01:00,1.21,1.21,1.21,1.21,2659
2022-04-13 07:53:00,1.21,1.21,1.21,1.21,1050
2022-04-13 07:35:00,1.21,1.21,1.21,1.21,310
2022-04-12 15:58:00,1.2366,1.24,1.2366,1.24,1195
2022-04-12 15:43:00,1.25,1.25,1.25,1.25,256
2022-04-12 15:42:00,1.24,1.25,1.24,1.25,251
2022-04-12 15:04:00,1.244,1.244,1.244,1.244,180
2022-04-12 14:52:00,1.2348,1.2348,1.2348,1.2348,251
2022-04-12 14:51:00,1.235,1.25,1.2317,1.2317,8568
2022-04-12 14:50:00,1.23,1.23,1.23,1.23,4882
2022-04-12 14:48:00,1.23,1.23,1.23,1.23,102
2022-04-12 14:47:00,1.23,1.23,1.23,1.23,100
2022-04-12 14:35:00,1.2399,1.2399,1.2399,1.2399,100
2022-04-12 14:30:00,1.23,1.23,1.23,1.23,100
2022-04-12 14:29:00,1.22,1.23,1.22,1.23,1901
2022-04-12 14:22:00,1.24,1.24,1.24,1.24,500
2022-04-12 14:07:00,1.22,1.2227,1.22,1.2227,200
2022-04-12 14:02:00,1.24,1.24,1.24,1.24,176
2022-04-12 13:47:00,1.23,1.23,1.23,1.23,100
2022-04-12 13:14:00,1.23,1.23,1.23,1.23,150
2022-04-12 13:12:00,1.24,1.24,1.24,1.24,1105
2022-04-12 13:11:00,1.24,1.24,1.24,1.24,100
2022-04-12 12:46:00,1.23,1.23,1.23,1.23,500
2022-04-12 12:42:00,1.24,1.24,1.24,1.24,100
2022-04-12 12:04:00,1.2359,1.2359,1.2359,1.2359,2000
2022-04-12 11:44:00,1.22,1.22,1.22,1.22,100
2022-04-12 11:40:00,1.22,1.22,1.22,1.22,100
2022-04-12 11:39:00,1.22,1.22,1.22,1.22,100
2022-04-12 10:55:00,1.23,1.23,1.23,1.23,840
2022-04-12 10:44:00,1.24,1.24,1.23,1.23,939
2022-04-12 10:37:00,1.24,1.24,1.24,1.24,501
2022-04-12 10:20:00,1.2385,1.245,1.2385,1.245,3013
2022-04-12 10:12:00,1.23,1.23,1.23,1.23,101
2022-04-12 10:11:00,1.23,1.23,1.23,1.23,3801
2022-04-12 10:10:00,1.23,1.23,1.23,1.23,5000
2022-04-12 10:08:00,1.23,1.23,1.23,1.23,1000
2022-04-12 09:59:00,1.2291,1.2291,1.2291,1.2291,100
2022-04-12 09:58:00,1.2291,1.2291,1.2291,1.2291,115
2022-04-12 09:57:00,1.22,1.22,1.22,1.22,168
2022-04-12 09:51:00,1.24,1.24,1.24,1.24,2586
2022-04-12 09:43:00,1.2499,1.2499,1.2499,1.2499,200
2022-04-12 09:41:00,1.2401,1.2401,1.2401,1.2401,140
2022-04-12 09:39:00,1.2401,1.2401,1.24,1.24,755
2022-04-12 09:35:00,1.24,1.24,1.24,1.24,100
2022-04-12 09:31:00,1.26,1.26,1.26,1.26,297
2022-04-12 09:21:00,1.27,1.27,1.27,1.27,100
2022-04-12 08:16:00,1.26,1.26,1.26,1.26,300
2022-04-12 07:39:00,1.24,1.24,1.24,1.24,315
2022-04-12 04:50:00,1.23,1.23,1.23,1.23,2429
2022-04-12 04:49:00,1.24,1.24,1.24,1.24,328
2022-04-12 04:31:00,1.3,1.31,1.3,1.31,2040
2022-04-12 04:30:00,1.3,1.31,1.3,1.31,465
2022-04-12 04:28:00,1.31,1.31,1.31,1.31,4600
2022-04-12 04:27:00,1.27,1.28,1.27,1.28,400
2022-04-12 04:26:00,1.19,1.19,1.19,1.19,800
2022-04-12 04:23:00,1.19,1.19,1.18,1.18,3100
2022-04-12 04:18:00,1.21,1.21,1.2,1.2,2100
2022-04-12 04:07:00,1.22,1.22,1.22,1.22,300
2022-04-12 04:06:00,1.22,1.22,1.22,1.22,1101
2022-04-11 19:56:00,1.15,1.15,1.15,1.15,250
2022-04-11 18:00:00,1.15,1.15,1.15,1.15,272
2022-04-11 17:52:00,1.15,1.15,1.15,1.15,138
2022-04-11 17:13:00,1.19,1.19,1.19,1.19,100
2022-04-11 17:12:00,1.19,1.19,1.19,1.19,500
2022-04-11 16:46:00,1.19,1.19,1.19,1.19,100
2022-04-11 16:13:00,1.22,1.22,1.22,1.22,100
2022-04-11 16:00:00,1.24,1.24,1.24,1.24,600
2022-04-11 15:59:00,1.2699,1.2699,1.24,1.24,5933
2022-04-11 15:57:00,1.231,1.231,1.231,1.231,1000
2022-04-11 15:56:00,1.23,1.23,1.225,1.23,6058
2022-04-11 15:47:00,1.23,1.23,1.2244,1.23,1053
2022-04-11 15:46:00,1.225,1.225,1.225,1.225,300
2022-04-11 15:45:00,1.225,1.2299,1.225,1.2299,500
2022-04-11 15:43:00,1.225,1.225,1.225,1.225,600
2022-04-11 15:42:00,1.225,1.225,1.225,1.225,200
2022-04-11 15:41:00,1.225,1.225,1.22,1.225,2300
2022-04-11 15:40:00,1.22,1.225,1.22,1.225,807
2022-04-11 15:35:00,1.225,1.225,1.225,1.225,200
2022-04-11 15:28:00,1.23,1.23,1.23,1.23,314
2022-04-11 15:25:00,1.23,1.23,1.23,1.23,405
2022-04-11 15:24:00,1.22,1.22,1.22,1.22,1200
2022-04-11 15:23:00,1.21,1.24,1.21,1.215,17404
2022-04-11 15:21:00,1.21,1.22,1.21,1.22,6893
2022-04-11 15:20:00,1.21,1.21,1.205,1.205,9800
2022-04-11 15:12:00,1.2024,1.2024,1.2024,1.2024,101
2022-04-11 15:07:00,1.2,1.2,1.19,1.195,800
2022-04-11 15:00:00,1.1702,1.1702,1.1702,1.1702,2222
2022-04-11 14:48:00,1.21,1.21,1.21,1.21,601
2022-04-11 14:47:00,1.18,1.2,1.18,1.2,2309
2022-04-11 14:46:00,1.18,1.18,1.18,1.18,100
2022-04-11 14:35:00,1.18,1.18,1.18,1.18,100
2022-04-11 14:32:00,1.18,1.18,1.18,1.18,418
2022-04-11 14:31:00,1.1752,1.1752,1.1752,1.1752,1000
2022-04-11 14:22:00,1.17,1.18,1.17,1.18,521
2022-04-11 13:21:00,1.1501,1.1501,1.15,1.15,7605
2022-04-11 12:43:00,1.16,1.16,1.15,1.15,1500
2022-04-11 12:37:00,1.1575,1.165,1.1501,1.1501,509
2022-04-11 12:24:00,1.1528,1.1528,1.1528,1.1528,301
2022-04-11 12:13:00,1.1795,1.1795,1.1795,1.1795,100
2022-04-11 12:03:00,1.175,1.185,1.17,1.185,7566
2022-04-11 11:58:00,1.185,1.185,1.185,1.185,500
2022-04-11 11:34:00,1.208,1.208,1.2,1.2,340
2022-04-11 11:29:00,1.2,1.2,1.2,1.2,2000
2022-04-11 11:18:00,1.21,1.21,1.21,1.21,102
2022-04-11 11:09:00,1.21,1.21,1.21,1.21,101
2022-04-11 11:05:00,1.21,1.21,1.21,1.21,2000
2022-04-11 11:03:00,1.19,1.2012,1.19,1.2,2610
2022-04-11 10:59:00,1.17,1.17,1.15,1.15,2344
2022-04-11 10:58:00,1.15,1.15,1.15,1.15,10002
2022-04-11 10:56:00,1.19,1.19,1.15,1.17,41924
2022-04-11 10:54:00,1.21,1.21,1.2,1.21,13030
2022-04-11 10:53:00,1.25,1.2599,1.25,1.2599,2049
2022-04-11 10:52:00,1.23,1.23,1.23,1.23,694
2022-04-11 10:46:00,1.2,1.2,1.2,1.2,4098
2022-04-11 10:44:00,1.2,1.2,1.1999,1.1999,9437
2022-04-11 10:41:00,1.2,1.2,1.2,1.2,300
2022-04-11 10:37:00,1.2,1.2,1.2,1.2,801
2022-04-11 10:34:00,1.2,1.2,1.2,1.2,1000
2022-04-11 10:31:00,1.1901,1.1901,1.1901,1.1901,100
2022-04-11 10:29:00,1.2,1.2,1.2,1.2,712
2022-04-11 10:28:00,1.19,1.19,1.19,1.19,200
2022-04-11 10:25:00,1.1801,1.1801,1.1801,1.1801,4000
2022-04-11 10:24:00,1.2,1.2,1.2,1.2,1111
2022-04-11 10:23:00,1.22,1.22,1.19,1.2,21900
2022-04-11 10:22:00,1.22,1.22,1.21,1.21,10000
2022-04-11 10:19:00,1.2113,1.2195,1.2106,1.2195,2461
2022-04-11 10:18:00,1.22,1.22,1.209,1.22,16406
2022-04-11 10:09:00,1.231,1.231,1.231,1.231,1000
2022-04-11 10:07:00,1.22,1.22,1.21,1.21,2200
2022-04-11 10:06:00,1.2,1.22,1.2,1.22,14400
2022-04-11 10:05:00,1.22,1.25,1.0819,1.25,20790
2022-04-11 10:04:00,1.25,1.25,1.25,1.25,500
2022-04-11 10:01:00,1.235,1.235,1.235,1.235,1000
2022-04-11 09:53:00,1.21,1.21,1.21,1.21,11148
2022-04-11 09:52:00,1.26,1.26,1.25,1.25,11941
2022-04-11 09:51:00,1.25,1.26,1.25,1.26,1657
2022-04-11 09:47:00,1.2587,1.26,1.2587,1.26,1200
2022-04-11 09:46:00,1.26,1.26,1.2501,1.26,9646
2022-04-11 09:45:00,1.2621,1.2621,1.2621,1.2621,500
2022-04-11 09:44:00,1.26,1.26,1.26,1.26,101
2022-04-11 09:43:00,1.28,1.28,1.26,1.26,2400
2022-04-11 09:42:00,1.27,1.27,1.26,1.26,19220
2022-04-11 09:39:00,1.27,1.28,1.27,1.27,19577
2022-04-11 09:38:00,1.28,1.28,1.27,1.27,35714
2022-04-11 09:36:00,1.29,1.29,1.29,1.29,100
2022-04-11 09:34:00,1.2801,1.2801,1.2801,1.2801,100
2022-04-11 09:32:00,1.3,1.3,1.28,1.28,9621
2022-04-11 09:31:00,1.31,1.31,1.31,1.31,153
2022-04-11 09:22:00,1.34,1.34,1.34,1.34,300
2022-04-11 08:58:00,1.29,1.29,1.29,1.29,151
2022-04-11 08:46:00,1.3,1.3,1.29,1.29,2100
2022-04-11 08:39:00,1.3,1.3,1.3,1.3,7800
2022-04-11 08:38:00,1.3,1.3,1.3,1.3,223
2022-04-11 08:35:00,1.3,1.3,1.29,1.3,10100
2022-04-11 08:34:00,1.29,1.3,1.29,1.3,3000
2022-04-11 08:32:00,1.3,1.3,1.29,1.3,11204
2022-04-11 08:25:00,1.3,1.3,1.3,1.3,100
2022-04-11 08:15:00,1.31,1.31,1.31,1.31,2020
2022-04-11 08:13:00,1.31,1.31,1.31,1.31,20000
2022-04-11 08:08:00,1.32,1.32,1.32,1.32,200
2022-04-11 08:04:00,1.33,1.33,1.33,1.33,200
2022-04-11 08:02:00,1.33,1.33,1.33,1.33,12600
2022-04-11 08:01:00,1.3301,1.3399,1.33,1.3399,3202
2022-04-11 07:57:00,1.33,1.33,1.33,1.33,300
2022-04-11 07:56:00,1.34,1.34,1.33,1.33,19799
2022-04-11 07:51:00,1.34,1.34,1.34,1.34,300
2022-04-11 07:46:00,1.34,1.35,1.34,1.35,410
2022-04-11 07:37:00,1.34,1.34,1.34,1.34,1000
2022-04-11 07:18:00,1.35,1.35,1.35,1.35,167
2022-04-11 07:14:00,1.35,1.35,1.35,1.35,105
2022-04-11 06:45:00,1.34,1.34,1.34,1.34,200
2022-04-11 06:34:00,1.34,1.34,1.34,1.34,250
2022-04-11 05:49:00,1.34,1.34,1.34,1.34,209
2022-04-11 05:45:00,1.34,1.34,1.34,1.34,1000
2022-04-11 05:25:00,1.34,1.34,1.34,1.34,100
2022-04-11 05:15:00,1.33,1.33,1.33,1.33,990
2022-04-11 04:49:00,1.34,1.34,1.34,1.34,1220
2022-04-11 04:27:00,1.33,1.33,1.33,1.33,703
2022-04-11 04:19:00,1.32,1.33,1.32,1.32,1006
2022-04-11 04:10:00,1.34,1.35,1.34,1.35,307
2022-04-08 19:23:00,1.2899,1.2899,1.2899,1.2899,2000
2022-04-08 19:18:00,1.2899,1.2899,1.2899,1.2899,3000
2022-04-08 18:11:00,1.2899,1.2899,1.2899,1.2899,5000
2022-04-08 18:04:00,1.2899,1.2899,1.2899,1.2899,500
2022-04-08 17:38:00,1.3,1.3,1.3,1.3,100
2022-04-08 17:15:00,1.31,1.31,1.31,1.31,297
2022-04-08 17:13:00,1.31,1.31,1.31,1.31,500
2022-04-08 16:46:00,1.33,1.33,1.33,1.33,271
2022-04-08 16:00:00,1.31,1.335,1.31,1.335,1115
2022-04-08 15:59:00,1.33,1.33,1.3272,1.33,2551
2022-04-08 15:58:00,1.33,1.33,1.311,1.311,790
2022-04-08 15:57:00,1.33,1.33,1.33,1.33,1317
2022-04-08 15:56:00,1.34,1.34,1.33,1.33,1115
2022-04-08 15:55:00,1.34,1.34,1.34,1.34,501
2022-04-08 15:54:00,1.335,1.34,1.33,1.34,706
2022-04-08 15:53:00,1.335,1.34,1.33,1.34,700
2022-04-08 15:52:00,1.33,1.33,1.33,1.33,206
2022-04-08 15:51:00,1.33,1.33,1.33,1.33,600
2022-04-08 15:50:00,1.33,1.33,1.33,1.33,600
2022-04-08 15:49:00,1.33,1.35,1.33,1.35,611
2022-04-08 15:48:00,1.34,1.34,1.3125,1.33,1200
2022-04-08 15:47:00,1.33,1.33,1.33,1.33,411
2022-04-08 15:46:00,1.31,1.32,1.3,1.32,891
2022-04-08 15:45:00,1.31,1.31,1.3,1.31,800
2022-04-08 15:44:00,1.27,1.325,1.26,1.32,7351
2022-04-08 15:43:00,1.27,1.27,1.27,1.27,2600
2022-04-08 15:42:00,1.32,1.32,1.27,1.27,41302
2022-04-08 15:40:00,1.329,1.329,1.329,1.329,2000
2022-04-08 15:39:00,1.33,1.33,1.33,1.33,2009
2022-04-08 15:38:00,1.31,1.31,1.31,1.31,2046
2022-04-08 15:35:00,1.3,1.3,1.3,1.3,5060
2022-04-08 15:23:00,1.31,1.31,1.3,1.3,1500
2022-04-08 15:18:00,1.3,1.3,1.3,1.3,1783
2022-04-08 15:17:00,1.3,1.3,1.3,1.3,200
2022-04-08 15:16:00,1.3,1.3,1.3,1.3,274
2022-04-08 15:15:00,1.29,1.3,1.27,1.3,7347
2022-04-08 15:14:00,1.3,1.3,1.3,1.3,603
2022-04-08 15:08:00,1.2764,1.2764,1.2764,1.2764,400
2022-04-08 15:07:00,1.27,1.27,1.27,1.27,100
2022-04-08 15:06:00,1.29,1.29,1.26,1.26,918
2022-04-08 15:05:00,1.3,1.3,1.3,1.3,100
2022-04-08 15:04:00,1.31,1.31,1.3,1.31,26301
2022-04-08 14:53:00,1.31,1.31,1.31,1.31,479
2022-04-08 14:49:00,1.33,1.33,1.33,1.33,100
2022-04-08 14:41:00,1.33,1.33,1.33,1.33,101
2022-04-08 14:38:00,1.34,1.35,1.34,1.35,400
2022-04-08 14:36:00,1.29,1.29,1.29,1.29,300
2022-04-08 14:35:00,1.28,1.29,1.28,1.28,700
2022-04-08 14:29:00,1.2625,1.2625,1.2625,1.2625,7000
2022-04-08 14:28:00,1.295,1.295,1.25,1.25,45030
2022-04-08 14:27:00,1.3,1.3,1.3,1.3,100
2022-04-08 14:26:00,1.3,1.3,1.3,1.3,300
2022-04-08 14:24:00,1.2901,1.2901,1.2901,1.2901,2250
2022-04-08 14:16:00,1.3,1.3,1.3,1.3,16988
2022-04-08 14:13:00,1.2999,1.3,1.2957,1.3,5731
2022-04-08 14:12:00,1.3,1.3,1.3,1.3,225
2022-04-08 14:09:00,1.3,1.3,1.3,1.3,100
2022-04-08 14:08:00,1.3,1.3,1.3,1.3,200
2022-04-08 14:07:00,1.3,1.3,1.3,1.3,700
2022-04-08 14:06:00,1.3,1.3,1.3,1.3,100
2022-04-08 14:05:00,1.3,1.3,1.3,1.3,200
2022-04-08 14:04:00,1.3,1.3,1.3,1.3,150
2022-04-08 14:03:00,1.3,1.3,1.3,1.3,801
2022-04-08 14:02:00,1.3,1.3,1.3,1.3,307
2022-04-08 13:57:00,1.295,1.295,1.295,1.295,1550
2022-04-08 13:56:00,1.3,1.3,1.3,1.3,500
2022-04-08 13:52:00,1.3,1.3,1.3,1.3,100
2022-04-08 13:51:00,1.3,1.3,1.2999,1.2999,4000
2022-04-08 13:50:00,1.3,1.3,1.2999,1.2999,2700
2022-04-08 13:49:00,1.3,1.3,1.2982,1.2982,200
2022-04-08 13:47:00,1.3,1.3,1.3,1.3,700
2022-04-08 13:46:00,1.3225,1.335,1.3,1.3,7969
2022-04-08 13:43:00,1.335,1.335,1.335,1.335,747
2022-04-08 13:40:00,1.3475,1.36,1.3475,1.36,2383
2022-04-08 13:32:00,1.32,1.32,1.32,1.32,410
2022-04-08 13:26:00,1.32,1.32,1.32,1.32,110
2022-04-08 13:21:00,1.32,1.32,1.32,1.32,300
2022-04-08 13:17:00,1.3143,1.3143,1.3143,1.3143,163
2022-04-08 13:16:00,1.32,1.32,1.3163,1.3163,300
2022-04-08 13:13:00,1.32,1.32,1.32,1.32,5100
2022-04-08 13:12:00,1.32,1.32,1.32,1.32,500
2022-04-08 13:11:00,1.32,1.32,1.32,1.32,1204
2022-04-08 13:05:00,1.32,1.32,1.32,1.32,100
2022-04-08 13:03:00,1.32,1.32,1.32,1.32,261
2022-04-08 13:02:00,1.35,1.36,1.32,1.32,3661
2022-04-08 12:56:00,1.3418,1.3418,1.3418,1.3418,200
2022-04-08 12:51:00,1.38,1.38,1.36,1.36,17334
2022-04-08 12:49:00,1.38,1.38,1.38,1.38,201
2022-04-08 12:44:00,1.38,1.38,1.38,1.38,200
2022-04-08 12:43:00,1.38,1.38,1.38,1.38,800
2022-04-08 12:42:00,1.38,1.39,1.38,1.39,201
2022-04-08 12:41:00,1.3804,1.3804,1.3804,1.3804,144
2022-04-08 12:39:00,1.36,1.36,1.36,1.36,200
2022-04-08 12:37:00,1.36,1.36,1.36,1.36,800
2022-04-08 12:33:00,1.36,1.36,1.36,1.36,288
2022-04-08 12:30:00,1.3601,1.3601,1.3601,1.3601,400
2022-04-08 12:06:00,1.3675,1.37,1.3675,1.37,300
2022-04-08 12:04:00,1.37,1.37,1.37,1.37,8277
2022-04-08 11:37:00,1.38,1.38,1.38,1.38,822
2022-04-08 11:32:00,1.4138,1.4138,1.4138,1.4138,450
2022-04-08 11:21:00,1.3945,1.3945,1.3945,1.3945,300
2022-04-08 11:15:00,1.3901,1.3901,1.3901,1.3901,280
2022-04-08 11:14:00,1.4,1.4,1.3957,1.3957,500
2022-04-08 11:10:00,1.4,1.4,1.4,1.4,2000
2022-04-08 11:07:00,1.4,1.4,1.4,1.4,300
2022-04-08 11:06:00,1.4,1.4,1.4,1.4,500
2022-04-08 11:05:00,1.4,1.4,1.3936,1.4,6442
2022-04-08 11:04:00,1.43,1.43,1.39,1.4,25701
2022-04-08 11:00:00,1.4301,1.4501,1.4301,1.4501,3320
2022-04-08 10:59:00,1.4318,1.4318,1.4318,1.4318,1000
2022-04-08 10:57:00,1.45,1.45,1.45,1.45,1000
