time,open,high,low,close,volume
2022-04-19 19:55:00,2.23,2.23,2.23,2.23,250
2022-04-19 17:57:00,2.44,2.44,2.44,2.44,9500
2022-04-19 17:50:00,2.44,2.44,2.44,2.44,5000
2022-04-19 16:16:00,2.4,2.4,2.4,2.4,735
2022-04-19 16:00:00,2.43,2.43,2.42,2.42,617
2022-04-19 15:56:00,2.4227,2.4227,2.42,2.42,393
2022-04-19 15:33:00,2.4399,2.44,2.4399,2.44,301
2022-04-19 15:08:00,2.42,2.42,2.42,2.42,1205
2022-04-19 15:06:00,2.43,2.43,2.43,2.43,200
2022-04-19 15:03:00,2.45,2.45,2.43,2.43,1608
2022-04-19 14:16:00,2.4302,2.445,2.4302,2.4302,7500
2022-04-19 14:14:00,2.4284,2.4284,2.4284,2.4284,2500
2022-04-19 14:12:00,2.4114,2.4114,2.4114,2.4114,300
2022-04-19 14:07:00,2.45,2.45,2.45,2.45,180
2022-04-19 13:50:00,2.4173,2.4173,2.4173,2.4173,100
2022-04-19 13:40:00,2.41,2.4378,2.41,2.435,4000
2022-04-19 13:38:00,2.45,2.45,2.45,2.45,1000
2022-04-19 13:17:00,2.4594,2.4594,2.4594,2.4594,100
2022-04-19 13:00:00,2.4,2.4002,2.4,2.4002,308
2022-04-19 12:59:00,2.44,2.444,2.4,2.4,1505
2022-04-19 12:58:00,2.45,2.45,2.42,2.4201,1341
2022-04-19 12:57:00,2.415,2.44,2.415,2.44,682
2022-04-19 12:52:00,2.4111,2.4111,2.4111,2.4111,500
2022-04-19 12:39:00,2.41,2.41,2.41,2.41,100
2022-04-19 12:38:00,2.43,2.4494,2.43,2.44,700
2022-04-19 12:37:00,2.41,2.46,2.41,2.4305,6644
2022-04-19 12:36:00,2.43,2.44,2.42,2.44,360
2022-04-19 12:19:00,2.3759,2.3759,2.3759,2.3759,500
2022-04-19 12:12:00,2.38,2.38,2.38,2.38,100
2022-04-19 12:11:00,2.38,2.42,2.38,2.42,1532
2022-04-19 11:48:00,2.42,2.42,2.39,2.39,3406
2022-04-19 11:34:00,2.3601,2.3601,2.3601,2.3601,1375
2022-04-19 11:31:00,2.42,2.42,2.42,2.42,100
2022-04-19 11:29:00,2.39,2.39,2.36,2.36,2705
2022-04-19 11:23:00,2.37,2.385,2.36,2.385,10423
2022-04-19 11:22:00,2.37,2.37,2.37,2.37,5000
2022-04-19 11:20:00,2.37,2.37,2.37,2.37,100
2022-04-19 11:19:00,2.37,2.37,2.37,2.37,406
2022-04-19 11:18:00,2.395,2.395,2.395,2.395,500
2022-04-19 11:17:00,2.3999,2.3999,2.3999,2.3999,104
2022-04-19 11:11:00,2.42,2.42,2.4,2.4,6379
2022-04-19 10:29:00,2.41,2.41,2.4099,2.4099,200
2022-04-19 10:27:00,2.405,2.405,2.405,2.405,1000
2022-04-19 10:26:00,2.402,2.402,2.402,2.402,100
2022-04-19 10:25:00,2.41,2.41,2.41,2.41,1000
2022-04-19 10:09:00,2.4171,2.4171,2.4171,2.4171,121
2022-04-19 10:08:00,2.42,2.42,2.42,2.42,16000
2022-04-19 10:07:00,2.4001,2.4001,2.4001,2.4001,250
2022-04-19 10:06:00,2.404,2.404,2.4,2.4,375
2022-04-19 09:57:00,2.43,2.43,2.4,2.4,2516
2022-04-19 09:55:00,2.4399,2.4399,2.4399,2.4399,3000
2022-04-19 09:41:00,2.424,2.424,2.42,2.42,10046
2022-04-19 09:40:00,2.42,2.42,2.42,2.42,5000
2022-04-19 09:33:00,2.4501,2.4501,2.4501,2.4501,851
2022-04-19 09:32:00,2.4599,2.4599,2.4599,2.4599,1800
2022-04-19 09:31:00,2.46,2.46,2.46,2.46,374
2022-04-19 08:01:00,2.4,2.4,2.4,2.4,198
2022-04-18 18:37:00,2.49,2.49,2.49,2.49,100
2022-04-18 17:28:00,2.4701,2.4701,2.4701,2.4701,500
2022-04-18 17:24:00,2.47,2.47,2.47,2.47,139
2022-04-18 16:58:00,2.47,2.47,2.47,2.47,100
2022-04-18 16:51:00,2.47,2.47,2.47,2.47,620
2022-04-18 16:25:00,2.47,2.47,2.47,2.47,1000
2022-04-18 16:09:00,2.47,2.47,2.47,2.47,1000
2022-04-18 16:02:00,2.47,2.47,2.47,2.47,2487
2022-04-18 16:00:00,2.44,2.44,2.44,2.44,234
2022-04-18 15:57:00,2.45,2.45,2.45,2.45,1030
2022-04-18 15:53:00,2.455,2.455,2.455,2.455,400
2022-04-18 15:51:00,2.48,2.48,2.4376,2.4376,1000
2022-04-18 15:48:00,2.48,2.49,2.46,2.47,1484
2022-04-18 15:47:00,2.4899,2.4899,2.4899,2.4899,1000
2022-04-18 15:46:00,2.475,2.4899,2.47,2.4899,18209
2022-04-18 15:45:00,2.48,2.48,2.47,2.48,2326
2022-04-18 15:44:00,2.4799,2.4799,2.4799,2.4799,1000
2022-04-18 15:43:00,2.45,2.48,2.44,2.48,4633
2022-04-18 15:39:00,2.44,2.44,2.44,2.44,100
2022-04-18 15:33:00,2.4499,2.4499,2.4499,2.4499,100
2022-04-18 15:24:00,2.44,2.445,2.44,2.44,5262
2022-04-18 15:21:00,2.4499,2.4499,2.445,2.445,200
2022-04-18 15:20:00,2.4499,2.4499,2.4499,2.4499,1200
2022-04-18 15:19:00,2.445,2.449,2.445,2.449,350
2022-04-18 15:18:00,2.44,2.44,2.44,2.44,100
2022-04-18 15:15:00,2.44,2.44,2.44,2.44,1201
2022-04-18 15:13:00,2.44,2.44,2.44,2.44,500
2022-04-18 15:11:00,2.45,2.45,2.43,2.43,1230
2022-04-18 15:10:00,2.44,2.44,2.44,2.44,200
2022-04-18 15:09:00,2.43,2.43,2.43,2.43,100
2022-04-18 15:08:00,2.44,2.44,2.44,2.44,870
2022-04-18 15:06:00,2.445,2.47,2.44,2.4653,5350
2022-04-18 15:05:00,2.4499,2.4499,2.4491,2.4491,250
2022-04-18 15:02:00,2.45,2.45,2.4499,2.4499,300
2022-04-18 15:01:00,2.4472,2.4472,2.44,2.44,400
2022-04-18 15:00:00,2.448,2.4499,2.448,2.4499,300
2022-04-18 14:59:00,2.4499,2.4499,2.44,2.44,450
2022-04-18 14:57:00,2.4499,2.45,2.4499,2.45,237
2022-04-18 14:56:00,2.44,2.44,2.44,2.44,272
2022-04-18 14:47:00,2.43,2.43,2.43,2.43,100
2022-04-18 14:40:00,2.455,2.455,2.455,2.455,4000
2022-04-18 14:38:00,2.45,2.45,2.43,2.43,5455
2022-04-18 14:37:00,2.44,2.45,2.44,2.45,1370
2022-04-18 14:36:00,2.44,2.44,2.44,2.44,250
2022-04-18 14:33:00,2.445,2.445,2.445,2.445,300
2022-04-18 14:30:00,2.4573,2.4573,2.4573,2.4573,1000
2022-04-18 14:29:00,2.45,2.4751,2.45,2.4751,1041
2022-04-18 14:27:00,2.5,2.5,2.4,2.465,22993
2022-04-18 14:24:00,2.5397,2.5397,2.5397,2.5397,2160
2022-04-18 14:17:00,2.52,2.52,2.52,2.52,200
2022-04-18 14:16:00,2.52,2.52,2.52,2.52,750
2022-04-18 14:11:00,2.53,2.53,2.525,2.525,4250
2022-04-18 13:58:00,2.5114,2.5114,2.5114,2.5114,1000
2022-04-18 13:57:00,2.53,2.53,2.53,2.53,550
2022-04-18 13:51:00,2.5299,2.5299,2.5299,2.5299,500
2022-04-18 13:48:00,2.515,2.515,2.515,2.515,515
2022-04-18 13:40:00,2.503,2.503,2.503,2.503,500
2022-04-18 13:39:00,2.5249,2.5249,2.5249,2.5249,250
2022-04-18 13:34:00,2.5017,2.5017,2.5017,2.5017,1150
2022-04-18 13:33:00,2.503,2.503,2.503,2.503,545
2022-04-18 13:28:00,2.5299,2.5299,2.5299,2.5299,100
2022-04-18 13:25:00,2.5002,2.5002,2.5002,2.5002,5520
2022-04-18 13:21:00,2.5003,2.53,2.5003,2.53,751
2022-04-18 13:19:00,2.51,2.51,2.51,2.51,200
2022-04-18 13:17:00,2.53,2.53,2.53,2.53,500
2022-04-18 13:16:00,2.5001,2.53,2.5001,2.53,12000
2022-04-18 13:15:00,2.5337,2.5337,2.5003,2.5003,5000
2022-04-18 13:13:00,2.5499,2.55,2.535,2.535,12050
2022-04-18 13:12:00,2.543,2.543,2.543,2.543,100
2022-04-18 13:09:00,2.525,2.525,2.525,2.525,520
2022-04-18 13:08:00,2.4955,2.4955,2.4955,2.4955,790
2022-04-18 13:07:00,2.5262,2.5799,2.5262,2.5799,1875
2022-04-18 13:06:00,2.5155,2.57,2.505,2.57,4184
2022-04-18 13:05:00,2.4909,2.4909,2.4909,2.4909,375
2022-04-18 13:04:00,2.505,2.505,2.505,2.505,3000
2022-04-18 13:03:00,2.5066,2.5066,2.505,2.505,2700
2022-04-18 13:02:00,2.5198,2.5198,2.5198,2.5198,2500
2022-04-18 12:58:00,2.5275,2.5275,2.51,2.51,540
2022-04-18 12:49:00,2.5299,2.5299,2.5299,2.5299,100
2022-04-18 12:48:00,2.495,2.495,2.4501,2.4501,12002
2022-04-18 12:45:00,2.5132,2.5227,2.51,2.5227,1150
2022-04-18 12:43:00,2.4584,2.49,2.4584,2.49,645
2022-04-18 12:41:00,2.5,2.5,2.49,2.49,1805
2022-04-18 12:39:00,2.5,2.5,2.5,2.5,188
2022-04-18 12:38:00,2.52,2.5399,2.5002,2.5002,7000
2022-04-18 12:37:00,2.5399,2.54,2.5183,2.54,6750
2022-04-18 12:36:00,2.5353,2.5353,2.5353,2.5353,300
2022-04-18 12:35:00,2.52,2.52,2.52,2.52,500
2022-04-18 12:33:00,2.5399,2.5399,2.5399,2.5399,300
2022-04-18 12:31:00,2.489,2.53,2.48,2.4997,5020
2022-04-18 12:29:00,2.449,2.48,2.449,2.48,1029
2022-04-18 12:27:00,2.45,2.46,2.425,2.4499,13001
2022-04-18 12:26:00,2.46,2.46,2.435,2.443,10128
2022-04-18 12:22:00,2.462,2.462,2.462,2.462,250
2022-04-18 12:20:00,2.44,2.44,2.4,2.4,1634
2022-04-18 12:06:00,2.44,2.44,2.44,2.44,351
2022-04-18 12:00:00,2.42,2.42,2.42,2.42,100
2022-04-18 11:47:00,2.429,2.429,2.429,2.429,200
2022-04-18 11:38:00,2.4001,2.4001,2.4001,2.4001,5399
2022-04-18 11:37:00,2.5,2.5,2.47,2.47,5631
2022-04-18 11:36:00,2.51,2.51,2.5013,2.5013,1026
2022-04-18 11:32:00,2.52,2.52,2.52,2.52,1001
2022-04-18 11:26:00,2.528,2.528,2.512,2.512,944
2022-04-18 11:15:00,2.503,2.503,2.503,2.503,500
2022-04-18 11:02:00,2.53,2.53,2.53,2.53,400
2022-04-18 10:54:00,2.5223,2.5223,2.5223,2.5223,1002
2022-04-18 10:38:00,2.563,2.563,2.563,2.563,200
2022-04-18 10:37:00,2.5439,2.5439,2.5439,2.5439,300
2022-04-18 10:31:00,2.5285,2.5285,2.5285,2.5285,200
2022-04-18 10:28:00,2.555,2.555,2.555,2.555,100
2022-04-18 10:27:00,2.52,2.52,2.52,2.52,208
2022-04-18 10:25:00,2.5438,2.5438,2.5438,2.5438,2500
