time,open,high,low,close,volume
2022-02-17 19:58:00,3.51,3.51,3.51,3.51,465
2022-02-17 19:40:00,3.55,3.55,3.55,3.55,10025
2022-02-17 19:38:00,3.55,3.55,3.55,3.55,800
2022-02-17 19:37:00,3.55,3.55,3.55,3.55,1000
2022-02-17 18:51:00,3.51,3.51,3.5,3.5,2600
2022-02-17 18:50:00,3.5,3.5,3.5,3.5,7440
2022-02-17 18:46:00,3.55,3.55,3.55,3.55,300
2022-02-17 18:32:00,3.55,3.55,3.55,3.55,460
2022-02-17 18:31:00,3.55,3.55,3.55,3.55,5000
2022-02-17 18:14:00,3.59,3.59,3.59,3.59,10000
2022-02-17 18:11:00,3.55,3.56,3.55,3.55,3760
2022-02-17 18:09:00,3.54,3.55,3.54,3.54,2816
2022-02-17 18:02:00,3.58,3.61,3.58,3.6,400
2022-02-17 18:00:00,3.6,3.6,3.6,3.6,1000
2022-02-17 17:54:00,3.65,3.65,3.64,3.6401,3403
2022-02-17 17:52:00,3.65,3.65,3.65,3.65,200
2022-02-17 17:47:00,3.69,3.69,3.69,3.69,1000
2022-02-17 17:33:00,3.69,3.69,3.69,3.69,100
2022-02-17 17:30:00,3.7,3.7,3.7,3.7,100
2022-02-17 17:29:00,3.7,3.7,3.7,3.7,1100
2022-02-17 17:20:00,3.69,3.69,3.69,3.69,200
2022-02-17 17:15:00,3.71,3.71,3.68,3.68,1271
2022-02-17 17:08:00,3.71,3.72,3.71,3.71,9100
2022-02-17 17:07:00,3.74,3.74,3.73,3.73,200
2022-02-17 17:06:00,3.73,3.76,3.73,3.76,3761
2022-02-17 17:05:00,3.73,3.75,3.73,3.75,1100
2022-02-17 17:04:00,3.72,3.76,3.72,3.73,11550
2022-02-17 17:01:00,3.73,3.73,3.73,3.73,775
2022-02-17 17:00:00,3.73,3.73,3.73,3.73,125
2022-02-17 16:59:00,3.7399,3.7399,3.7399,3.7399,102
2022-02-17 16:57:00,3.74,3.74,3.74,3.74,105
2022-02-17 16:56:00,3.74,3.74,3.74,3.74,130
2022-02-17 16:55:00,3.74,3.75,3.74,3.75,800
2022-02-17 16:52:00,3.72,3.73,3.72,3.72,1251
2022-02-17 16:51:00,3.72,3.72,3.72,3.72,500
2022-02-17 16:50:00,3.76,3.76,3.76,3.76,1762
2022-02-17 16:48:00,3.75,3.75,3.75,3.75,1303
2022-02-17 16:47:00,3.75,3.76,3.75,3.76,800
2022-02-17 16:46:00,3.75,3.77,3.75,3.75,5605
2022-02-17 16:45:00,3.66,3.72,3.65,3.72,7799
2022-02-17 16:44:00,3.65,3.65,3.65,3.65,425
2022-02-17 16:42:00,3.63,3.63,3.63,3.63,1000
2022-02-17 16:38:00,3.68,3.68,3.68,3.68,200
2022-02-17 16:37:00,3.65,3.65,3.65,3.65,500
2022-02-17 16:35:00,3.64,3.65,3.63,3.65,8677
2022-02-17 16:34:00,3.63,3.63,3.62,3.62,290
2022-02-17 16:33:00,3.63,3.63,3.63,3.63,140
2022-02-17 16:31:00,3.65,3.65,3.65,3.65,919
2022-02-17 16:25:00,3.6499,3.6499,3.6499,3.6499,100
2022-02-17 16:23:00,3.61,3.63,3.61,3.63,3550
2022-02-17 16:20:00,3.61,3.61,3.61,3.61,200
2022-02-17 16:16:00,3.62,3.62,3.61,3.61,1500
2022-02-17 16:15:00,3.61,3.62,3.61,3.62,600
2022-02-17 16:00:00,3.56,3.56,3.535,3.54,14065
2022-02-17 15:59:00,3.54,3.55,3.53,3.55,5152
2022-02-17 15:58:00,3.5395,3.5399,3.5329,3.5329,550
2022-02-17 15:57:00,3.51,3.51,3.5083,3.5083,5000
2022-02-17 15:56:00,3.5,3.5099,3.4999,3.4999,4961
2022-02-17 15:54:00,3.52,3.52,3.51,3.52,4335
2022-02-17 15:53:00,3.5087,3.5087,3.48,3.495,13879
2022-02-17 15:52:00,3.49,3.49,3.49,3.49,4000
2022-02-17 15:50:00,3.5,3.55,3.44,3.55,25237
2022-02-17 15:48:00,3.51,3.51,3.48,3.5,5414
2022-02-17 15:47:00,3.501,3.51,3.49,3.51,3556
2022-02-17 15:44:00,3.4902,3.4902,3.4901,3.4901,1040
2022-02-17 15:43:00,3.4959,3.4959,3.4959,3.4959,175
2022-02-17 15:42:00,3.525,3.525,3.525,3.525,100
2022-02-17 15:36:00,3.49,3.52,3.4686,3.4884,21536
2022-02-17 15:35:00,3.5074,3.5499,3.5,3.5,3066
2022-02-17 15:28:00,3.4936,3.4936,3.4936,3.4936,2600
2022-02-17 15:25:00,3.56,3.56,3.56,3.56,555
2022-02-17 15:24:00,3.55,3.56,3.55,3.56,1108
2022-02-17 15:23:00,3.5497,3.55,3.5497,3.55,3608
2022-02-17 15:22:00,3.54,3.5499,3.54,3.5499,3170
2022-02-17 15:21:00,3.54,3.55,3.52,3.5499,4314
2022-02-17 15:20:00,3.5467,3.55,3.54,3.55,1925
2022-02-17 15:19:00,3.5046,3.5046,3.5046,3.5046,500
2022-02-17 15:16:00,3.4597,3.5099,3.4597,3.5031,2060
2022-02-17 15:15:00,3.5,3.5,3.45,3.4528,1751
2022-02-17 15:13:00,3.52,3.52,3.51,3.51,1101
2022-02-17 15:12:00,3.49,3.5,3.49,3.5,976
2022-02-17 15:10:00,3.505,3.505,3.505,3.505,2442
2022-02-17 15:08:00,3.5334,3.5334,3.48,3.48,5614
2022-02-17 15:05:00,3.525,3.525,3.525,3.525,175
2022-02-17 15:04:00,3.5527,3.5527,3.55,3.55,325
2022-02-17 15:02:00,3.51,3.55,3.5001,3.5001,1658
2022-02-17 15:01:00,3.56,3.56,3.56,3.56,3000
2022-02-17 14:58:00,3.4801,3.5618,3.4801,3.4806,1328
2022-02-17 14:57:00,3.46,3.53,3.46,3.525,4235
2022-02-17 14:56:00,3.501,3.501,3.45,3.4699,23679
2022-02-17 14:55:00,3.545,3.545,3.501,3.52,514
2022-02-17 14:54:00,3.5517,3.5517,3.51,3.51,3026
2022-02-17 14:53:00,3.59,3.59,3.56,3.56,8100
2022-02-17 14:52:00,3.6199,3.6199,3.59,3.6,3067
2022-02-17 14:51:00,3.59,3.59,3.59,3.59,141
