time,open,high,low,close,volume
2022-01-18 19:59:00,1.16,1.16,1.16,1.16,145
2022-01-18 19:56:00,1.16,1.16,1.16,1.16,399
2022-01-18 19:53:00,1.16,1.16,1.16,1.16,200
2022-01-18 19:49:00,1.18,1.18,1.18,1.18,295
2022-01-18 19:45:00,1.18,1.18,1.18,1.18,185
2022-01-18 19:26:00,1.18,1.18,1.18,1.18,600
2022-01-18 19:25:00,1.16,1.16,1.16,1.16,214
2022-01-18 19:19:00,1.16,1.16,1.16,1.16,15301
2022-01-18 19:07:00,1.2,1.2,1.2,1.2,248
2022-01-18 19:03:00,1.18,1.2,1.18,1.2,499
2022-01-18 18:54:00,1.1501,1.1501,1.1501,1.1501,125
2022-01-18 18:53:00,1.15,1.15,1.15,1.15,1235
2022-01-18 18:51:00,1.16,1.16,1.16,1.16,1006
2022-01-18 18:33:00,1.15,1.15,1.15,1.15,700
2022-01-18 17:59:00,1.15,1.15,1.15,1.15,125
2022-01-18 17:57:00,1.15,1.15,1.15,1.15,100
2022-01-18 17:55:00,1.15,1.15,1.15,1.15,609
2022-01-18 17:53:00,1.15,1.15,1.15,1.15,200
2022-01-18 17:52:00,1.15,1.15,1.15,1.15,500
2022-01-18 17:49:00,1.17,1.17,1.17,1.17,222
2022-01-18 17:46:00,1.17,1.17,1.17,1.17,150
2022-01-18 17:45:00,1.17,1.17,1.17,1.17,400
2022-01-18 17:43:00,1.17,1.17,1.17,1.17,500
2022-01-18 17:33:00,1.15,1.15,1.15,1.15,363
2022-01-18 17:31:00,1.15,1.15,1.15,1.15,1000
2022-01-18 17:29:00,1.15,1.15,1.15,1.15,2000
2022-01-18 17:27:00,1.15,1.15,1.15,1.15,250
2022-01-18 17:25:00,1.16,1.17,1.16,1.17,10013
2022-01-18 17:20:00,1.17,1.17,1.17,1.17,110
2022-01-18 17:19:00,1.17,1.17,1.17,1.17,5217
2022-01-18 17:18:00,1.17,1.17,1.17,1.17,483
2022-01-18 17:17:00,1.15,1.15,1.15,1.15,150
2022-01-18 17:15:00,1.17,1.17,1.17,1.17,1000
2022-01-18 17:01:00,1.17,1.17,1.17,1.17,600
2022-01-18 17:00:00,1.17,1.17,1.17,1.17,2450
2022-01-18 16:59:00,1.2,1.2,1.2,1.2,6800
2022-01-18 16:53:00,1.18,1.2,1.18,1.2,413
2022-01-18 16:52:00,1.17,1.17,1.17,1.17,307
2022-01-18 16:51:00,1.17,1.17,1.16,1.16,625
2022-01-18 16:50:00,1.21,1.21,1.21,1.21,3250
2022-01-18 16:47:00,1.2,1.2,1.2,1.2,100
2022-01-18 16:45:00,1.21,1.22,1.21,1.22,812
2022-01-18 16:43:00,1.17,1.17,1.17,1.17,105
2022-01-18 16:34:00,1.21,1.21,1.17,1.17,1016
2022-01-18 16:33:00,1.17,1.2,1.17,1.19,2928
2022-01-18 16:27:00,1.14,1.14,1.14,1.14,100
2022-01-18 16:18:00,1.18,1.18,1.14,1.14,45607
2022-01-18 16:17:00,1.19,1.19,1.19,1.19,22864
2022-01-18 16:16:00,1.19,1.19,1.19,1.19,4500
2022-01-18 16:14:00,1.19,1.19,1.19,1.19,2652
2022-01-18 16:13:00,1.19,1.19,1.19,1.19,4346
2022-01-18 16:11:00,1.19,1.19,1.19,1.19,3391
2022-01-18 16:10:00,1.19,1.2,1.19,1.2,3500
2022-01-18 16:08:00,1.19,1.19,1.19,1.19,2013
2022-01-18 16:07:00,1.19,1.19,1.19,1.19,4900
2022-01-18 16:05:00,1.19,1.19,1.19,1.19,250
2022-01-18 16:04:00,1.2,1.2,1.19,1.19,5205
2022-01-18 16:03:00,1.2,1.2,1.15,1.19,45023
2022-01-18 16:02:00,1.15,1.19,1.15,1.19,65549
2022-01-18 16:01:00,1.15,1.15,1.15,1.15,1861
2022-01-18 16:00:00,1.155,1.16,1.14,1.14,50357
2022-01-18 15:59:00,1.145,1.16,1.145,1.155,84136
2022-01-18 15:58:00,1.145,1.15,1.1401,1.145,13397
2022-01-18 15:57:00,1.145,1.15,1.145,1.145,6961
2022-01-18 15:56:00,1.142,1.15,1.14,1.142,6341
2022-01-18 15:55:00,1.14,1.145,1.1381,1.145,21643
2022-01-18 15:54:00,1.135,1.15,1.1308,1.15,20606
2022-01-18 15:53:00,1.125,1.14,1.125,1.14,8242
2022-01-18 15:52:00,1.145,1.145,1.12,1.1299,18312
2022-01-18 15:51:00,1.145,1.15,1.14,1.145,3332
2022-01-18 15:50:00,1.145,1.15,1.14,1.15,4121
2022-01-18 15:49:00,1.145,1.15,1.14,1.15,6208
2022-01-18 15:48:00,1.145,1.1499,1.14,1.1499,11533
2022-01-18 15:47:00,1.14,1.15,1.135,1.1499,1644
2022-01-18 15:46:00,1.14,1.15,1.14,1.14,20356
2022-01-18 15:45:00,1.13,1.1455,1.13,1.14,42785
2022-01-18 15:44:00,1.13,1.13,1.1295,1.13,4042
2022-01-18 15:43:00,1.125,1.13,1.125,1.125,12274
2022-01-18 15:42:00,1.125,1.13,1.12,1.125,9110
2022-01-18 15:41:00,1.135,1.15,1.12,1.1205,61509
2022-01-18 15:40:00,1.1304,1.14,1.13,1.13,27916
2022-01-18 15:39:00,1.14,1.14,1.12,1.135,56215
2022-01-18 15:38:00,1.155,1.155,1.14,1.145,48739
2022-01-18 15:37:00,1.1597,1.1597,1.155,1.155,2820
2022-01-18 15:36:00,1.195,1.2,1.15,1.1599,50794
2022-01-18 15:35:00,1.2,1.2,1.1901,1.195,12105
2022-01-18 15:34:00,1.19,1.2,1.185,1.195,79377
2022-01-18 15:33:00,1.17,1.19,1.16,1.185,131385
2022-01-18 15:32:00,1.155,1.165,1.155,1.165,8920
2022-01-18 15:31:00,1.165,1.165,1.151,1.155,27957
2022-01-18 15:30:00,1.175,1.175,1.165,1.165,10378
2022-01-18 15:29:00,1.175,1.18,1.175,1.18,2900
2022-01-18 15:28:00,1.17,1.175,1.17,1.175,2246
2022-01-18 15:27:00,1.17,1.17,1.17,1.17,550
2022-01-18 15:26:00,1.17,1.17,1.165,1.165,1200
2022-01-18 15:25:00,1.1617,1.17,1.1617,1.17,1887
2022-01-18 15:24:00,1.17,1.17,1.165,1.17,499
2022-01-18 15:23:00,1.165,1.17,1.164,1.17,2834
2022-01-18 15:22:00,1.17,1.17,1.165,1.17,2570
2022-01-18 15:21:00,1.175,1.175,1.16,1.16,11990
2022-01-18 15:20:00,1.175,1.18,1.17,1.175,19826
2022-01-18 15:19:00,1.165,1.18,1.165,1.175,2265
2022-01-18 15:18:00,1.17,1.175,1.165,1.165,27657
2022-01-18 15:17:00,1.1675,1.17,1.165,1.165,2535
2022-01-18 15:16:00,1.165,1.17,1.165,1.17,2323
2022-01-18 15:15:00,1.165,1.17,1.165,1.165,2925
2022-01-18 15:14:00,1.1601,1.17,1.1601,1.17,4247
