time,open,high,low,close,volume
2022-02-17 16:00:00,3.265,3.27,3.255,3.27,3873
2022-02-17 15:59:00,3.2505,3.2592,3.2505,3.2592,533
2022-02-17 15:58:00,3.265,3.269,3.255,3.255,1346
2022-02-17 15:57:00,3.26,3.26,3.26,3.26,370
2022-02-17 15:56:00,3.27,3.27,3.265,3.265,729
2022-02-17 15:55:00,3.2599,3.2599,3.25,3.25,1078
2022-02-17 15:54:00,3.245,3.255,3.245,3.255,808
2022-02-17 15:52:00,3.26,3.26,3.245,3.245,461
2022-02-17 15:51:00,3.26,3.27,3.26,3.27,419
2022-02-17 15:48:00,3.25,3.25,3.2491,3.25,605
2022-02-17 15:46:00,3.25,3.25,3.2477,3.2477,1656
2022-02-17 15:45:00,3.25,3.25,3.245,3.245,905
2022-02-17 15:44:00,3.235,3.24,3.235,3.24,660
2022-02-17 15:42:00,3.24,3.24,3.24,3.24,348
2022-02-17 15:40:00,3.23,3.23,3.23,3.23,319
2022-02-17 15:38:00,3.21,3.21,3.21,3.21,191
2022-02-17 15:37:00,3.25,3.25,3.22,3.22,2454
2022-02-17 15:36:00,3.23,3.27,3.23,3.265,4710
2022-02-17 15:35:00,3.21,3.23,3.21,3.23,2657
2022-02-17 15:31:00,3.24,3.24,3.23,3.23,2200
2022-02-17 15:30:00,3.2417,3.2417,3.24,3.24,786
2022-02-17 15:27:00,3.2798,3.2798,3.24,3.24,3420
2022-02-17 15:24:00,3.26,3.26,3.26,3.26,939
2022-02-17 15:23:00,3.25,3.27,3.2467,3.255,3800
2022-02-17 15:22:00,3.25,3.25,3.25,3.25,860
2022-02-17 15:19:00,3.2219,3.2219,3.2219,3.2219,540
2022-02-17 15:17:00,3.23,3.23,3.2288,3.2288,1050
2022-02-17 15:13:00,3.22,3.22,3.22,3.22,215
2022-02-17 15:11:00,3.23,3.23,3.22,3.22,402
2022-02-17 15:09:00,3.23,3.23,3.22,3.22,300
2022-02-17 15:08:00,3.235,3.2393,3.235,3.2393,500
2022-02-17 15:07:00,3.26,3.26,3.222,3.23,8373
2022-02-17 15:06:00,3.2601,3.2601,3.2601,3.2601,500
2022-02-17 15:05:00,3.2695,3.2695,3.2695,3.2695,100
2022-02-17 15:02:00,3.2666,3.2666,3.2666,3.2666,140
2022-02-17 15:00:00,3.27,3.27,3.27,3.27,394
2022-02-17 14:59:00,3.2699,3.2699,3.2699,3.2699,1005
2022-02-17 14:56:00,3.27,3.27,3.27,3.27,116
2022-02-17 14:55:00,3.2681,3.2681,3.2681,3.2681,200
2022-02-17 14:54:00,3.26,3.26,3.26,3.26,300
2022-02-17 14:49:00,3.27,3.27,3.27,3.27,1018
2022-02-17 14:48:00,3.26,3.26,3.26,3.26,104
2022-02-17 14:47:00,3.26,3.26,3.25,3.25,600
2022-02-17 14:46:00,3.28,3.28,3.27,3.28,607
