time,open,high,low,close,volume
2022-04-19 19:54:00,5.2499,5.2499,5.2499,5.2499,2500
2022-04-19 18:35:00,5.0,5.0,5.0,5.0,300
2022-04-19 18:29:00,5.01,5.01,5.01,5.01,100
2022-04-19 18:10:00,5.08,5.08,5.08,5.08,400
2022-04-19 18:07:00,5.08,5.08,5.08,5.08,250
2022-04-19 18:04:00,5.08,5.08,5.08,5.08,201
2022-04-19 18:03:00,5.1,5.1,5.1,5.1,500
2022-04-19 17:42:00,5.23,5.23,5.23,5.23,100
2022-04-19 17:06:00,5.1,5.1,5.1,5.1,1000
2022-04-19 16:53:00,5.08,5.08,5.08,5.08,320
2022-04-19 16:41:00,5.0,5.0,5.0,5.0,1000
2022-04-19 16:30:00,5.0005,5.0005,5.0005,5.0005,499
2022-04-19 16:15:00,5.08,5.08,5.08,5.08,200
2022-04-19 16:00:00,5.03,5.07,5.03,5.065,20684
2022-04-19 15:59:00,5.035,5.05,5.01,5.03,14069
2022-04-19 15:58:00,5.035,5.0384,5.03,5.0384,1598
2022-04-19 15:57:00,5.06,5.06,5.03,5.0301,10477
2022-04-19 15:56:00,5.07,5.07,5.06,5.06,17739
2022-04-19 15:55:00,5.06,5.08,5.05,5.08,7301
2022-04-19 15:54:00,5.065,5.08,5.05,5.08,5974
2022-04-19 15:53:00,5.08,5.0877,5.06,5.0727,4515
2022-04-19 15:52:00,5.0999,5.0999,5.06,5.08,8161
2022-04-19 15:51:00,5.12,5.12,5.0701,5.0701,3364
2022-04-19 15:50:00,5.11,5.11,5.11,5.11,234
2022-04-19 15:49:00,5.1,5.12,5.1,5.1,2550
2022-04-19 15:48:00,5.11,5.11,5.095,5.1,7327
2022-04-19 15:47:00,5.11,5.12,5.1,5.11,9113
2022-04-19 15:46:00,5.07,5.11,5.07,5.1005,10665
2022-04-19 15:45:00,5.05,5.06,5.05,5.06,3084
2022-04-19 15:44:00,5.07,5.07,5.07,5.07,500
2022-04-19 15:43:00,5.06,5.06,5.06,5.06,1000
2022-04-19 15:42:00,5.0515,5.07,5.0515,5.06,1877
2022-04-19 15:41:00,5.06,5.06,5.06,5.06,1027
2022-04-19 15:40:00,5.045,5.07,5.045,5.07,1189
2022-04-19 15:39:00,5.045,5.045,5.045,5.045,100
2022-04-19 15:38:00,5.05,5.06,5.04,5.05,2400
2022-04-19 15:37:00,5.0409,5.0409,5.0409,5.0409,404
2022-04-19 15:36:00,5.0353,5.0526,5.03,5.0526,7308
2022-04-19 15:35:00,5.04,5.04,5.03,5.03,791
2022-04-19 15:34:00,5.03,5.045,5.03,5.03,1214
2022-04-19 15:33:00,5.0699,5.0699,5.02,5.03,7735
2022-04-19 15:32:00,5.05,5.06,5.05,5.05,1501
2022-04-19 15:31:00,5.035,5.06,5.035,5.055,5125
2022-04-19 15:30:00,5.02,5.05,5.01,5.05,1963
2022-04-19 15:29:00,5.0563,5.0563,5.035,5.035,3441
2022-04-19 15:28:00,5.06,5.06,5.0445,5.0445,2613
2022-04-19 15:27:00,5.0716,5.09,5.06,5.06,12521
2022-04-19 15:26:00,5.08,5.08,5.08,5.08,1300
2022-04-19 15:25:00,5.1,5.1,5.06,5.08,13212
2022-04-19 15:24:00,5.08,5.1,5.0701,5.085,8370
2022-04-19 15:23:00,5.13,5.13,5.07,5.08,6796
2022-04-19 15:22:00,5.0758,5.11,5.0747,5.11,5090
2022-04-19 15:21:00,5.06,5.08,5.0455,5.08,6419
2022-04-19 15:20:00,5.0801,5.0847,5.055,5.075,8051
2022-04-19 15:19:00,5.085,5.0885,5.07,5.0801,1995
2022-04-19 15:18:00,5.11,5.1119,5.08,5.09,22108
2022-04-19 15:17:00,5.12,5.125,5.11,5.1103,4849
