time,open,high,low,close,volume
2022-02-18 20:00:00,2.7,2.71,2.69,2.71,20063
2022-02-18 19:59:00,2.69,2.7,2.69,2.69,2737
2022-02-18 19:58:00,2.69,2.7,2.69,2.69,18786
2022-02-18 19:57:00,2.68,2.69,2.68,2.68,5245
2022-02-18 19:56:00,2.69,2.69,2.68,2.68,2607
2022-02-18 19:55:00,2.69,2.69,2.69,2.69,216
2022-02-18 19:54:00,2.69,2.69,2.69,2.69,555
2022-02-18 19:53:00,2.69,2.69,2.68,2.68,3483
2022-02-18 19:52:00,2.65,2.69,2.65,2.69,24456
2022-02-18 19:51:00,2.66,2.66,2.65,2.65,1025
2022-02-18 19:50:00,2.66,2.66,2.66,2.66,1950
2022-02-18 19:49:00,2.66,2.66,2.66,2.66,2832
2022-02-18 19:47:00,2.6601,2.6601,2.66,2.66,1453
2022-02-18 19:45:00,2.66,2.68,2.66,2.68,684
2022-02-18 19:44:00,2.67,2.67,2.67,2.67,816
2022-02-18 19:43:00,2.66,2.67,2.66,2.67,1759
2022-02-18 19:42:00,2.66,2.66,2.66,2.66,1816
2022-02-18 19:41:00,2.65,2.66,2.65,2.66,1392
2022-02-18 19:40:00,2.64,2.66,2.64,2.66,2334
2022-02-18 19:39:00,2.6399,2.6399,2.62,2.62,1666
2022-02-18 19:38:00,2.62,2.63,2.62,2.6201,11406
2022-02-18 19:37:00,2.62,2.63,2.62,2.63,666
2022-02-18 19:36:00,2.63,2.64,2.63,2.63,1940
2022-02-18 19:35:00,2.63,2.63,2.63,2.63,1005
2022-02-18 19:34:00,2.64,2.64,2.64,2.64,268
2022-02-18 19:33:00,2.63,2.6301,2.63,2.63,13692
2022-02-18 19:32:00,2.65,2.65,2.63,2.64,14273
2022-02-18 19:31:00,2.66,2.66,2.65,2.65,1310
2022-02-18 19:29:00,2.66,2.66,2.66,2.66,1225
2022-02-18 19:28:00,2.6601,2.6601,2.6601,2.6601,1000
2022-02-18 19:27:00,2.66,2.66,2.66,2.66,411
2022-02-18 19:25:00,2.67,2.67,2.67,2.67,290
2022-02-18 19:24:00,2.68,2.68,2.68,2.68,1830
2022-02-18 19:23:00,2.67,2.68,2.67,2.67,1768
2022-02-18 19:22:00,2.67,2.67,2.67,2.67,100
2022-02-18 19:19:00,2.68,2.68,2.67,2.67,1535
2022-02-18 19:18:00,2.68,2.69,2.68,2.68,1866
2022-02-18 19:17:00,2.68,2.68,2.68,2.68,500
2022-02-18 19:15:00,2.67,2.7,2.67,2.69,23500
2022-02-18 19:14:00,2.67,2.67,2.67,2.67,621
2022-02-18 19:13:00,2.68,2.68,2.67,2.67,6044
2022-02-18 19:12:00,2.6801,2.7,2.6801,2.69,2943
2022-02-18 19:11:00,2.68,2.7,2.67,2.68,31407
2022-02-18 19:10:00,2.69,2.69,2.69,2.69,160
2022-02-18 19:09:00,2.68,2.69,2.68,2.69,19944
2022-02-18 19:08:00,2.68,2.68,2.68,2.68,1087
2022-02-18 19:07:00,2.67,2.68,2.67,2.68,787
2022-02-18 19:06:00,2.66,2.68,2.66,2.68,6453
2022-02-18 19:05:00,2.65,2.65,2.65,2.65,500
2022-02-18 19:04:00,2.64,2.65,2.64,2.65,1163
2022-02-18 19:03:00,2.6499,2.6499,2.645,2.645,2150
2022-02-18 19:02:00,2.64,2.645,2.64,2.645,1904
2022-02-18 19:01:00,2.66,2.66,2.64,2.64,384
2022-02-18 19:00:00,2.65,2.6601,2.65,2.66,7565
2022-02-18 18:59:00,2.64,2.65,2.64,2.65,3583
2022-02-18 18:58:00,2.63,2.63,2.63,2.63,1500
2022-02-18 18:55:00,2.62,2.62,2.62,2.62,200
2022-02-18 18:54:00,2.62,2.6399,2.62,2.6399,3166
2022-02-18 18:53:00,2.64,2.65,2.64,2.65,3723
2022-02-18 18:52:00,2.65,2.65,2.65,2.65,1486
2022-02-18 18:51:00,2.63,2.65,2.63,2.65,704
2022-02-18 18:50:00,2.63,2.63,2.63,2.63,100
2022-02-18 18:49:00,2.62,2.65,2.62,2.64,1680
2022-02-18 18:48:00,2.62,2.62,2.62,2.62,350
2022-02-18 18:45:00,2.62,2.62,2.62,2.62,391
2022-02-18 18:43:00,2.62,2.62,2.62,2.62,1928
2022-02-18 18:40:00,2.62,2.62,2.62,2.62,114
2022-02-18 18:39:00,2.63,2.63,2.61,2.61,1804
2022-02-18 18:38:00,2.63,2.63,2.63,2.63,1100
2022-02-18 18:37:00,2.63,2.63,2.63,2.63,131
2022-02-18 18:36:00,2.63,2.63,2.63,2.63,300
2022-02-18 18:35:00,2.64,2.64,2.63,2.64,2670
2022-02-18 18:34:00,2.64,2.64,2.64,2.64,2046
2022-02-18 18:33:00,2.63,2.63,2.63,2.63,1700
2022-02-18 18:32:00,2.61,2.63,2.61,2.63,12645
2022-02-18 18:30:00,2.6,2.6,2.6,2.6,200
2022-02-18 18:29:00,2.61,2.61,2.61,2.61,1400
2022-02-18 18:27:00,2.61,2.61,2.61,2.61,358
2022-02-18 18:26:00,2.61,2.61,2.61,2.61,115
2022-02-18 18:25:00,2.58,2.58,2.58,2.58,850
2022-02-18 18:24:00,2.58,2.6,2.57,2.6,10395
2022-02-18 18:23:00,2.6,2.6,2.58,2.6,2784
2022-02-18 18:22:00,2.6,2.6,2.6,2.6,500
2022-02-18 18:21:00,2.61,2.6199,2.6,2.6,2935
2022-02-18 18:20:00,2.6,2.6,2.6,2.6,200
2022-02-18 18:18:00,2.64,2.64,2.6,2.6,8324
2022-02-18 18:17:00,2.64,2.64,2.63,2.6399,15410
2022-02-18 18:16:00,2.63,2.63,2.63,2.63,769
2022-02-18 18:15:00,2.63,2.63,2.62,2.62,1108
2022-02-18 18:14:00,2.63,2.63,2.63,2.63,580
2022-02-18 18:13:00,2.63,2.63,2.62,2.62,709
2022-02-18 18:12:00,2.63,2.63,2.63,2.63,1958
2022-02-18 18:11:00,2.63,2.63,2.62,2.62,11201
2022-02-18 18:10:00,2.64,2.64,2.64,2.64,310
2022-02-18 18:09:00,2.63,2.6301,2.63,2.6301,790
2022-02-18 18:08:00,2.63,2.63,2.63,2.63,650
2022-02-18 18:07:00,2.64,2.64,2.64,2.64,100
2022-02-18 18:06:00,2.61,2.64,2.61,2.64,1754
2022-02-18 18:05:00,2.61,2.61,2.61,2.61,2030
2022-02-18 18:04:00,2.6,2.64,2.6,2.64,6653
2022-02-18 18:03:00,2.6,2.64,2.6,2.63,3753
2022-02-18 18:02:00,2.59,2.6,2.59,2.59,5860
2022-02-18 18:01:00,2.6,2.6,2.6,2.6,3010
2022-02-18 18:00:00,2.6,2.6,2.58,2.58,1525
2022-02-18 17:59:00,2.61,2.61,2.6,2.6,306
2022-02-18 17:58:00,2.61,2.61,2.6,2.6,2600
2022-02-18 17:57:00,2.6,2.61,2.6,2.61,682
2022-02-18 17:56:00,2.6,2.61,2.6,2.61,6776
2022-02-18 17:55:00,2.6,2.61,2.6,2.6,33091
2022-02-18 17:54:00,2.6,2.6,2.59,2.59,5027
2022-02-18 17:53:00,2.58,2.6,2.58,2.6,7809
2022-02-18 17:52:00,2.59,2.59,2.59,2.59,2160
2022-02-18 17:51:00,2.58,2.59,2.58,2.59,2187
2022-02-18 17:50:00,2.6,2.6,2.58,2.58,2571
2022-02-18 17:49:00,2.6,2.6,2.6,2.6,4422
2022-02-18 17:48:00,2.59,2.6,2.59,2.6,7623
2022-02-18 17:47:00,2.58,2.58,2.57,2.57,1025
2022-02-18 17:46:00,2.57,2.59,2.57,2.59,8530
2022-02-18 17:45:00,2.58,2.58,2.58,2.58,1565
2022-02-18 17:44:00,2.58,2.62,2.58,2.59,11171
2022-02-18 17:43:00,2.55,2.57,2.55,2.57,5920
2022-02-18 17:42:00,2.55,2.55,2.55,2.55,1881
2022-02-18 17:41:00,2.55,2.55,2.55,2.55,3359
2022-02-18 17:40:00,2.55,2.55,2.54,2.54,640
2022-02-18 17:39:00,2.53,2.5401,2.53,2.54,4734
2022-02-18 17:38:00,2.54,2.55,2.53,2.53,7655
2022-02-18 17:37:00,2.52,2.54,2.52,2.54,15934
2022-02-18 17:36:00,2.5,2.52,2.5,2.52,12544
2022-02-18 17:35:00,2.5,2.51,2.49,2.49,4589
2022-02-18 17:34:00,2.49,2.51,2.49,2.51,4308
2022-02-18 17:33:00,2.48,2.51,2.48,2.5,19085
2022-02-18 17:32:00,2.49,2.49,2.48,2.48,1561
2022-02-18 17:31:00,2.48,2.48,2.47,2.47,8750
2022-02-18 17:30:00,2.48,2.49,2.47,2.49,7045
2022-02-18 17:29:00,2.48,2.48,2.47,2.47,1998
2022-02-18 17:28:00,2.48,2.48,2.48,2.48,8998
2022-02-18 17:27:00,2.49,2.49,2.48,2.49,17615
2022-02-18 17:26:00,2.47,2.49,2.46,2.4799,36361
2022-02-18 17:25:00,2.47,2.47,2.45,2.47,14999
2022-02-18 17:24:00,2.48,2.49,2.45,2.47,34837
2022-02-18 17:23:00,2.49,2.49,2.47,2.47,36178
2022-02-18 17:22:00,2.51,2.51,2.49,2.49,60185
2022-02-18 17:21:00,2.52,2.52,2.5,2.5,23823
2022-02-18 17:20:00,2.54,2.54,2.52,2.5201,11629
2022-02-18 17:19:00,2.54,2.54,2.53,2.53,7462
2022-02-18 17:18:00,2.53,2.55,2.53,2.54,13492
2022-02-18 17:17:00,2.52,2.53,2.52,2.53,3348
2022-02-18 17:16:00,2.54,2.54,2.52,2.52,22077
2022-02-18 17:15:00,2.54,2.54,2.53,2.54,1320
2022-02-18 17:14:00,2.55,2.55,2.53,2.53,20963
2022-02-18 17:13:00,2.57,2.57,2.54,2.54,13182
2022-02-18 17:12:00,2.59,2.59,2.56,2.57,41486
2022-02-18 17:11:00,2.59,2.6,2.59,2.6,4412
2022-02-18 17:10:00,2.6,2.6,2.6,2.6,1510
2022-02-18 17:09:00,2.61,2.61,2.6,2.6,8023
2022-02-18 17:08:00,2.6,2.6,2.6,2.6,29032
2022-02-18 17:07:00,2.59,2.6,2.59,2.6,4010
2022-02-18 17:06:00,2.6,2.6,2.59,2.6,2775
2022-02-18 17:04:00,2.59,2.59,2.59,2.59,196
2022-02-18 17:03:00,2.58,2.59,2.58,2.59,8286
2022-02-18 17:02:00,2.6,2.6,2.58,2.58,11827
2022-02-18 17:01:00,2.59,2.6,2.59,2.59,1217
2022-02-18 17:00:00,2.61,2.61,2.59,2.6,11938
2022-02-18 16:59:00,2.6,2.61,2.59,2.61,6067
2022-02-18 16:58:00,2.6,2.61,2.6,2.61,7294
2022-02-18 16:57:00,2.59,2.6001,2.59,2.6001,10491
2022-02-18 16:56:00,2.6,2.6,2.59,2.6,6466
2022-02-18 16:55:00,2.59,2.6,2.59,2.59,7239
2022-02-18 16:54:00,2.58,2.61,2.58,2.6,44029
2022-02-18 16:53:00,2.58,2.59,2.57,2.59,26260
2022-02-18 16:52:00,2.61,2.62,2.57,2.57,50334
2022-02-18 16:51:00,2.64,2.64,2.61,2.61,29042
2022-02-18 16:50:00,2.64,2.65,2.64,2.64,6843
2022-02-18 16:49:00,2.65,2.66,2.64,2.64,32003
2022-02-18 16:48:00,2.655,2.66,2.64,2.65,12094
2022-02-18 16:47:00,2.65,2.66,2.64,2.65,20827
2022-02-18 16:46:00,2.65,2.65,2.63,2.65,40362
2022-02-18 16:45:00,2.66,2.66,2.65,2.65,6912
2022-02-18 16:44:00,2.65,2.65,2.65,2.65,2171
2022-02-18 16:43:00,2.65,2.65,2.65,2.65,16191
2022-02-18 16:42:00,2.66,2.67,2.64,2.65,22189
2022-02-18 16:41:00,2.65,2.67,2.65,2.65,24766
2022-02-18 16:40:00,2.655,2.66,2.65,2.65,3193
2022-02-18 16:39:00,2.67,2.67,2.65,2.65,13090
2022-02-18 16:38:00,2.67,2.67,2.66,2.67,22002
2022-02-18 16:37:00,2.65,2.68,2.65,2.67,23355
2022-02-18 16:36:00,2.65,2.69,2.65,2.66,69843
2022-02-18 16:35:00,2.66,2.66,2.63,2.64,99262
2022-02-18 16:34:00,2.68,2.68,2.66,2.66,17271
2022-02-18 16:33:00,2.6801,2.6801,2.65,2.67,79601
2022-02-18 16:32:00,2.7,2.72,2.68,2.68,66217
2022-02-18 16:31:00,2.7,2.71,2.7,2.71,38805
2022-02-18 16:30:00,2.68,2.7,2.68,2.69,21510
2022-02-18 16:29:00,2.68,2.71,2.68,2.68,31338
2022-02-18 16:28:00,2.7,2.71,2.67,2.68,69223
2022-02-18 16:27:00,2.7,2.72,2.7,2.7,54862
2022-02-18 16:26:00,2.72,2.72,2.69,2.71,49996
2022-02-18 16:25:00,2.72,2.72,2.69,2.72,57337
2022-02-18 16:24:00,2.69,2.72,2.66,2.72,76923
2022-02-18 16:23:00,2.71,2.72,2.67,2.69,64634
2022-02-18 16:22:00,2.68,2.72,2.67,2.71,100590
2022-02-18 16:21:00,2.69,2.7,2.66,2.67,121179
2022-02-18 16:20:00,2.61,2.69,2.6,2.69,134032
2022-02-18 16:19:00,2.57,2.62,2.56,2.62,43710
