time,open,high,low,close,volume
2022-04-19 16:02:00,18.97,18.97,18.97,18.97,1088
2022-04-19 16:01:00,18.97,18.97,18.97,18.97,2167
2022-04-19 16:00:00,19.03,19.04,18.96,18.99,9519
2022-04-19 15:59:00,18.99,19.01,18.99,19.01,2841
2022-04-19 15:58:00,18.99,18.99,18.95,18.99,6140
2022-04-19 15:57:00,18.97,19.0,18.97,18.98,3426
2022-04-19 15:56:00,19.0,19.0,18.95,18.95,1683
2022-04-19 15:54:00,19.115,19.12,19.04,19.04,1799
2022-04-19 15:53:00,19.08,19.115,19.07,19.115,1804
2022-04-19 15:52:00,19.065,19.09,19.065,19.08,1754
2022-04-19 15:51:00,19.09,19.09,19.09,19.09,304
2022-04-19 15:50:00,19.07,19.07,19.01,19.04,2830
2022-04-19 15:49:00,19.03,19.05,19.015,19.02,2165
2022-04-19 15:48:00,18.99,19.0,18.99,19.0,426
2022-04-19 15:46:00,19.02,19.04,18.97,18.97,2435
2022-04-19 15:45:00,18.99,19.01,18.99,19.01,531
2022-04-19 15:44:00,19.01,19.01,19.01,19.01,639
2022-04-19 15:43:00,19.025,19.05,19.025,19.05,832
2022-04-19 15:42:00,19.03,19.03,19.03,19.03,448
2022-04-19 15:39:00,19.07,19.07,19.05,19.05,916
2022-04-19 15:38:00,19.05,19.05,19.05,19.05,575
2022-04-19 15:37:00,19.08,19.08,19.04,19.05,2001
2022-04-19 15:35:00,19.1,19.1,19.06,19.06,1298
2022-04-19 15:34:00,19.08,19.1,19.08,19.1,839
2022-04-19 15:33:00,19.07,19.08,19.07,19.08,708
2022-04-19 15:32:00,19.15,19.15,19.11,19.15,520
2022-04-19 15:31:00,19.06,19.11,19.06,19.11,667
2022-04-19 15:30:00,19.06,19.06,19.06,19.06,100
2022-04-19 15:29:00,19.06,19.06,19.06,19.06,212
2022-04-19 15:28:00,19.055,19.055,19.055,19.055,227
2022-04-19 15:27:00,19.21,19.21,19.0,19.0,19165
2022-04-19 15:26:00,19.25,19.27,19.235,19.235,1939
2022-04-19 15:23:00,19.23,19.23,19.23,19.23,318
2022-04-19 15:22:00,19.17,19.19,19.17,19.19,565
2022-04-19 15:21:00,19.18,19.18,19.16,19.17,1116
2022-04-19 15:19:00,19.25,19.25,19.25,19.25,141
2022-04-19 15:18:00,19.25,19.25,19.25,19.25,100
2022-04-19 15:16:00,19.21,19.21,19.21,19.21,233
2022-04-19 15:15:00,19.22,19.22,19.2,19.2,420
2022-04-19 15:14:00,19.21,19.21,19.21,19.21,349
2022-04-19 15:12:00,19.1475,19.19,19.145,19.145,1555
2022-04-19 15:11:00,19.17,19.17,19.17,19.17,107
2022-04-19 15:09:00,19.08,19.14,19.08,19.14,2406
2022-04-19 15:08:00,19.08,19.08,19.08,19.08,662
2022-04-19 15:07:00,19.03,19.03,19.03,19.03,755
2022-04-19 15:03:00,19.07,19.07,19.04,19.04,801
2022-04-19 15:02:00,19.09,19.105,19.08,19.08,1036
2022-04-19 15:01:00,19.065,19.065,19.065,19.065,419
2022-04-19 15:00:00,19.04,19.08,19.04,19.065,1891
2022-04-19 14:59:00,19.07,19.07,19.07,19.07,997
2022-04-19 14:56:00,19.105,19.105,19.105,19.105,101
2022-04-19 14:51:00,19.07,19.07,19.07,19.07,100
2022-04-19 14:50:00,19.17,19.17,19.13,19.13,655
2022-04-19 14:49:00,19.23,19.23,19.19,19.21,735
2022-04-19 14:48:00,19.26,19.26,19.26,19.26,117
2022-04-19 14:40:00,19.23,19.24,19.23,19.24,507
2022-04-19 14:38:00,19.195,19.195,19.195,19.195,109
2022-04-19 14:36:00,19.22,19.22,19.15,19.15,2031
2022-04-19 14:35:00,19.265,19.265,19.265,19.265,110
2022-04-19 14:33:00,19.29,19.29,19.28,19.28,477
2022-04-19 14:30:00,19.31,19.31,19.31,19.31,429
2022-04-19 14:29:00,19.27,19.27,19.27,19.27,461
2022-04-19 14:28:00,19.23,19.26,19.23,19.26,652
2022-04-19 14:24:00,19.2431,19.2431,19.2431,19.2431,307
2022-04-19 14:22:00,19.26,19.28,19.25,19.25,717
2022-04-19 14:19:00,19.24,19.24,19.24,19.24,147
2022-04-19 14:18:00,19.1612,19.1612,19.1612,19.1612,128
