time,open,high,low,close,volume
2022-02-17 19:41:00,2.73,2.73,2.73,2.73,1964
2022-02-17 16:46:00,2.7,2.7,2.7,2.7,310
2022-02-17 16:01:00,2.71,2.71,2.71,2.71,100
2022-02-17 16:00:00,2.7,2.705,2.68,2.68,9038
2022-02-17 15:59:00,2.695,2.695,2.695,2.695,124
2022-02-17 15:58:00,2.7184,2.7184,2.69,2.69,18005
2022-02-17 15:56:00,2.71,2.71,2.71,2.71,408
2022-02-17 15:55:00,2.705,2.71,2.705,2.71,1102
2022-02-17 15:54:00,2.705,2.71,2.7008,2.71,2200
2022-02-17 15:51:00,2.71,2.71,2.705,2.71,2040
2022-02-17 15:44:00,2.7126,2.7126,2.7126,2.7126,200
2022-02-17 15:41:00,2.72,2.72,2.7187,2.7187,712
2022-02-17 15:37:00,2.73,2.73,2.73,2.73,2020
2022-02-17 15:36:00,2.725,2.725,2.72,2.72,2565
2022-02-17 15:18:00,2.729,2.729,2.729,2.729,215
2022-02-17 15:16:00,2.71,2.71,2.71,2.71,300
2022-02-17 15:09:00,2.73,2.73,2.73,2.73,1000
2022-02-17 15:07:00,2.72,2.72,2.71,2.71,4000
2022-02-17 15:06:00,2.74,2.74,2.72,2.72,7819
2022-02-17 15:00:00,2.745,2.745,2.745,2.745,2000
2022-02-17 14:59:00,2.74,2.74,2.74,2.74,500
2022-02-17 14:58:00,2.74,2.74,2.74,2.74,1600
2022-02-17 14:56:00,2.76,2.76,2.76,2.76,500
2022-02-17 14:55:00,2.7586,2.7586,2.7586,2.7586,1000
2022-02-17 14:43:00,2.74,2.74,2.74,2.74,100
2022-02-17 14:42:00,2.74,2.74,2.74,2.74,101
2022-02-17 14:40:00,2.7393,2.7393,2.7393,2.7393,1022
2022-02-17 14:32:00,2.74,2.74,2.74,2.74,300
2022-02-17 14:29:00,2.7396,2.7396,2.7396,2.7396,500
2022-02-17 14:24:00,2.74,2.74,2.74,2.74,200
2022-02-17 14:23:00,2.73,2.73,2.73,2.73,102
2022-02-17 14:20:00,2.73,2.73,2.73,2.73,100
2022-02-17 14:15:00,2.73,2.7323,2.73,2.7323,3100
2022-02-17 14:12:00,2.7232,2.7232,2.7232,2.7232,792
2022-02-17 14:10:00,2.7381,2.74,2.7381,2.74,905
2022-02-17 14:09:00,2.77,2.779,2.72,2.72,7317
2022-02-17 14:02:00,2.77,2.77,2.77,2.77,240
2022-02-17 14:01:00,2.77,2.77,2.77,2.77,1000
2022-02-17 14:00:00,2.76,2.76,2.76,2.76,999
2022-02-17 13:58:00,2.76,2.76,2.76,2.76,302
2022-02-17 13:56:00,2.76,2.76,2.76,2.76,1000
2022-02-17 13:53:00,2.7502,2.7502,2.7502,2.7502,1000
2022-02-17 13:52:00,2.76,2.76,2.76,2.76,205
2022-02-17 13:50:00,2.76,2.76,2.7501,2.7501,3075
2022-02-17 13:47:00,2.76,2.76,2.76,2.76,100
2022-02-17 13:46:00,2.76,2.76,2.75,2.75,510
2022-02-17 13:42:00,2.77,2.77,2.76,2.76,651
2022-02-17 13:35:00,2.7714,2.7714,2.7714,2.7714,900
2022-02-17 13:34:00,2.78,2.78,2.78,2.78,100
2022-02-17 13:30:00,2.7998,2.7998,2.7998,2.7998,1000
2022-02-17 13:29:00,2.78,2.78,2.78,2.78,1000
2022-02-17 13:28:00,2.77,2.77,2.77,2.77,510
2022-02-17 13:27:00,2.77,2.77,2.77,2.77,500
2022-02-17 13:22:00,2.7899,2.7899,2.78,2.78,210
2022-02-17 13:17:00,2.79,2.79,2.79,2.79,120
2022-02-17 13:15:00,2.77,2.77,2.77,2.77,5891
2022-02-17 13:14:00,2.81,2.81,2.79,2.79,1036
2022-02-17 12:57:00,2.81,2.81,2.81,2.81,1001
2022-02-17 12:54:00,2.81,2.81,2.81,2.81,1115
2022-02-17 12:53:00,2.8199,2.8199,2.8199,2.8199,610
2022-02-17 12:48:00,2.8199,2.82,2.815,2.82,8384
2022-02-17 12:45:00,2.815,2.815,2.815,2.815,120
2022-02-17 12:44:00,2.82,2.82,2.815,2.82,1400
2022-02-17 12:42:00,2.825,2.825,2.825,2.825,202
2022-02-17 12:33:00,2.83,2.83,2.83,2.83,201
2022-02-17 12:15:00,2.83,2.83,2.83,2.83,100
2022-02-17 12:12:00,2.83,2.83,2.83,2.83,1000
2022-02-17 12:10:00,2.84,2.85,2.84,2.84,11292
2022-02-17 12:08:00,2.84,2.8402,2.84,2.84,399
2022-02-17 12:05:00,2.8415,2.85,2.8415,2.85,581
2022-02-17 11:58:00,2.84,2.85,2.84,2.85,9011
2022-02-17 11:50:00,2.85,2.85,2.85,2.85,6055
2022-02-17 11:48:00,2.8303,2.8316,2.8303,2.8316,1400
