time,open,high,low,close,volume
2022-03-18 19:34:00,3.09,3.09,3.09,3.09,300
2022-03-18 19:16:00,3.09,3.09,3.09,3.09,100
2022-03-18 18:58:00,3.09,3.09,3.09,3.09,200
2022-03-18 18:37:00,3.11,3.11,3.11,3.11,345
2022-03-18 16:01:00,3.1,3.1,3.1,3.1,4097
2022-03-18 16:00:00,3.09,3.09,3.06,3.06,2869
2022-03-18 15:59:00,3.06,3.08,3.05,3.06,2343
2022-03-18 15:58:00,3.1,3.1,3.05,3.06,2424
2022-03-18 15:57:00,3.1,3.1,3.1,3.1,200
2022-03-18 15:56:00,3.07,3.1,3.03,3.1,1299
2022-03-18 15:55:00,3.06,3.105,3.06,3.105,1053
2022-03-18 15:54:00,3.02,3.14,3.02,3.14,7290
2022-03-18 15:53:00,3.01,3.04,3.0,3.04,3052
2022-03-18 15:52:00,3.0,3.0,3.0,3.0,1600
2022-03-18 15:51:00,3.01,3.09,3.0,3.07,27258
2022-03-18 15:50:00,3.0,3.0,2.99,2.99,2200
2022-03-18 15:49:00,3.0,3.0073,3.0,3.0,3955
2022-03-18 15:48:00,3.005,3.005,3.0,3.005,1405
2022-03-18 15:46:00,3.01,3.01,3.0,3.0,1348
2022-03-18 15:45:00,3.005,3.01,3.0,3.01,2774
2022-03-18 15:42:00,3.0,3.01,2.995,3.01,8201
2022-03-18 15:41:00,3.02,3.02,3.02,3.02,140
2022-03-18 15:40:00,3.012,3.012,3.012,3.012,530
2022-03-18 15:38:00,3.01,3.01,3.01,3.01,338
2022-03-18 15:37:00,3.0116,3.015,3.01,3.01,965
2022-03-18 15:36:00,3.025,3.025,3.015,3.015,2378
2022-03-18 15:35:00,3.03,3.03,3.03,3.03,338
2022-03-18 15:32:00,3.03,3.03,3.03,3.03,420
2022-03-18 15:31:00,3.03,3.03,3.03,3.03,300
2022-03-18 15:29:00,3.03,3.04,3.03,3.04,573
2022-03-18 15:28:00,3.02,3.03,3.02,3.03,345
2022-03-18 15:27:00,3.02,3.02,3.02,3.02,208
2022-03-18 15:26:00,3.03,3.03,3.03,3.03,178
2022-03-18 15:25:00,3.02,3.0333,3.02,3.02,504
2022-03-18 15:24:00,3.03,3.0377,3.03,3.0377,466
2022-03-18 15:23:00,3.02,3.02,3.02,3.02,407
2022-03-18 15:22:00,3.02,3.02,3.02,3.02,234
2022-03-18 15:21:00,3.02,3.02,3.02,3.02,507
2022-03-18 15:20:00,3.03,3.03,3.02,3.03,739
2022-03-18 15:19:00,3.03,3.03,3.03,3.03,508
2022-03-18 15:17:00,3.04,3.04,3.04,3.04,100
2022-03-18 15:16:00,3.04,3.04,3.04,3.04,403
2022-03-18 15:12:00,3.06,3.06,3.05,3.0595,625
2022-03-18 15:11:00,3.05,3.065,3.05,3.05,988
2022-03-18 15:09:00,3.06,3.06,3.06,3.06,369
2022-03-18 15:08:00,3.05,3.05,3.05,3.05,1194
2022-03-18 15:07:00,3.02,3.04,3.02,3.04,2878
2022-03-18 15:05:00,3.02,3.02,3.02,3.02,400
2022-03-18 15:04:00,3.02,3.02,3.02,3.02,100
2022-03-18 15:03:00,3.02,3.02,3.02,3.02,435
2022-03-18 15:02:00,3.0118,3.0118,3.0118,3.0118,200
2022-03-18 15:01:00,3.02,3.02,3.02,3.02,100
2022-03-18 15:00:00,3.02,3.02,3.02,3.02,704
2022-03-18 14:56:00,3.03,3.03,3.03,3.03,100
2022-03-18 14:54:00,3.03,3.03,3.0299,3.0299,3203
2022-03-18 14:52:00,3.03,3.03,3.03,3.03,100
2022-03-18 14:51:00,3.03,3.03,3.015,3.015,818
2022-03-18 14:50:00,3.03,3.03,3.03,3.03,1200
2022-03-18 14:48:00,3.0229,3.0229,3.0229,3.0229,1001
2022-03-18 14:45:00,3.01,3.05,3.0099,3.05,10574
2022-03-18 14:43:00,3.0,3.0,3.0,3.0,100
2022-03-18 14:41:00,3.001,3.001,3.001,3.001,800
2022-03-18 14:31:00,3.01,3.01,2.995,2.995,1829
2022-03-18 14:22:00,2.98,2.98,2.98,2.98,2130
2022-03-18 14:21:00,3.01,3.01,3.01,3.01,222
2022-03-18 14:19:00,3.01,3.01,3.01,3.01,254
2022-03-18 14:16:00,2.99,2.99,2.99,2.99,500
2022-03-18 14:15:00,3.005,3.005,2.9801,2.9801,999
2022-03-18 14:13:00,2.9916,2.9916,2.9916,2.9916,750
2022-03-18 14:12:00,3.005,3.005,3.005,3.005,100
