time,open,high,low,close,volume
2022-02-17 19:48:00,3.82,3.82,3.82,3.82,250
2022-02-17 18:51:00,3.82,3.82,3.82,3.82,501
2022-02-17 18:29:00,3.8,3.8,3.8,3.8,150
2022-02-17 18:10:00,3.75,3.75,3.75,3.75,200
2022-02-17 18:00:00,3.85,3.85,3.85,3.85,213
2022-02-17 16:54:00,3.75,3.75,3.75,3.75,300
2022-02-17 16:47:00,3.75,3.75,3.75,3.75,1400
2022-02-17 16:45:00,3.75,3.75,3.75,3.75,490
2022-02-17 16:23:00,3.72,3.72,3.72,3.72,348
2022-02-17 16:15:00,3.81,3.81,3.81,3.81,633
2022-02-17 16:00:00,3.84,3.87,3.83,3.83,1472
2022-02-17 15:54:00,3.836,3.836,3.836,3.836,360
2022-02-17 15:53:00,3.8491,3.8491,3.8491,3.8491,120
2022-02-17 15:51:00,3.84,3.84,3.84,3.84,1050
2022-02-17 15:50:00,3.85,3.85,3.82,3.82,550
2022-02-17 15:48:00,3.81,3.81,3.81,3.81,597
2022-02-17 15:45:00,3.83,3.8314,3.83,3.8314,310
2022-02-17 15:44:00,3.81,3.81,3.81,3.81,230
2022-02-17 15:41:00,3.83,3.8688,3.83,3.8688,486
2022-02-17 15:40:00,3.82,3.82,3.81,3.81,344
2022-02-17 15:37:00,3.855,3.855,3.82,3.82,1670
2022-02-17 15:34:00,3.82,3.82,3.82,3.82,228
2022-02-17 15:30:00,3.83,3.83,3.79,3.83,430
2022-02-17 15:28:00,3.7801,3.7801,3.7801,3.7801,422
2022-02-17 15:27:00,3.82,3.87,3.8,3.835,6974
2022-02-17 15:26:00,3.79,3.79,3.79,3.79,329
2022-02-17 15:24:00,3.8,3.85,3.8,3.85,2854
2022-02-17 15:23:00,3.78,3.7962,3.78,3.78,400
2022-02-17 15:22:00,3.78,3.78,3.78,3.78,154
2022-02-17 15:21:00,3.78,3.78,3.78,3.78,135
2022-02-17 15:19:00,3.8098,3.8098,3.77,3.77,6670
2022-02-17 15:17:00,3.8,3.8,3.8,3.8,269
2022-02-17 15:16:00,3.76,3.81,3.76,3.81,1200
2022-02-17 15:13:00,3.7986,3.7986,3.7986,3.7986,104
2022-02-17 15:12:00,3.76,3.76,3.76,3.76,100
2022-02-17 15:09:00,3.755,3.76,3.755,3.76,213
2022-02-17 15:03:00,3.78,3.78,3.78,3.78,249
2022-02-17 15:02:00,3.7809,3.7809,3.7809,3.7809,356
2022-02-17 15:01:00,3.75,3.75,3.75,3.75,142
2022-02-17 15:00:00,3.7501,3.7501,3.75,3.75,237
2022-02-17 14:58:00,3.7575,3.7575,3.75,3.75,4130
2022-02-17 14:57:00,3.75,3.75,3.75,3.75,103
2022-02-17 14:56:00,3.7997,3.7997,3.7997,3.7997,150
2022-02-17 14:55:00,3.7718,3.7718,3.7718,3.7718,220
