time,open,high,low,close,volume
2022-03-18 19:59:00,31.9,31.9,31.9,31.9,431
2022-03-18 19:57:00,31.9,31.9,31.9,31.9,815
2022-03-18 19:55:00,31.9,31.9,31.9,31.9,150
2022-03-18 19:47:00,31.21,31.21,31.21,31.21,350
2022-03-18 19:32:00,31.95,31.95,31.95,31.95,160
2022-03-18 19:27:00,31.97,31.98,31.97,31.98,1894
2022-03-18 19:24:00,31.97,31.97,31.97,31.97,200
2022-03-18 19:22:00,31.98,31.98,31.98,31.98,226
2022-03-18 19:21:00,31.69,31.7,31.69,31.7,569
2022-03-18 19:15:00,31.5,31.5,31.5,31.5,621
2022-03-18 19:12:00,31.5,31.5,31.5,31.5,222
2022-03-18 19:10:00,31.75,31.75,31.75,31.75,100
2022-03-18 19:06:00,31.75,31.75,31.75,31.75,100
2022-03-18 18:34:00,31.21,31.75,31.21,31.75,466
2022-03-18 18:09:00,31.21,31.21,31.21,31.21,800
2022-03-18 17:45:00,31.5,31.5,31.5,31.5,150
2022-03-18 17:43:00,31.5878,31.5878,31.5878,31.5878,178
2022-03-18 17:42:00,31.27,31.27,31.25,31.25,1051
2022-03-18 17:38:00,31.25,31.25,31.25,31.25,141
2022-03-18 17:17:00,31.2591,31.2591,31.2591,31.2591,501
2022-03-18 17:08:00,31.63,31.63,31.63,31.63,775
2022-03-18 17:04:00,31.83,31.83,31.83,31.83,658
2022-03-18 16:48:00,31.23,31.23,31.21,31.21,1289
2022-03-18 16:47:00,32.0,32.0,31.5,31.5,410
2022-03-18 16:45:00,31.3081,31.3081,31.3,31.3,1289
2022-03-18 16:42:00,31.51,31.51,31.5,31.5,612
2022-03-18 16:41:00,31.52,31.52,31.51,31.51,680
2022-03-18 16:39:00,31.68,31.68,31.68,31.68,211
2022-03-18 16:32:00,31.68,31.69,31.56,31.69,2963
2022-03-18 16:31:00,31.5,31.5,31.5,31.5,230
2022-03-18 16:30:00,31.5,31.55,31.5,31.55,1452
2022-03-18 16:29:00,31.52,31.5201,31.52,31.52,400
2022-03-18 16:26:00,31.54,31.5401,31.54,31.5401,201
2022-03-18 16:24:00,31.55,31.55,31.55,31.55,100
2022-03-18 16:16:00,31.69,31.69,31.69,31.69,925
2022-03-18 16:14:00,31.55,31.55,31.44,31.44,760
2022-03-18 16:13:00,31.55,31.55,31.55,31.55,100
2022-03-18 16:00:00,31.5,31.69,31.37,31.65,12849
2022-03-18 15:59:00,31.6862,31.6862,31.36,31.4851,3355
2022-03-18 15:58:00,31.62,31.6748,31.26,31.2801,12924
2022-03-18 15:57:00,31.5573,31.75,31.5115,31.7,4220
2022-03-18 15:56:00,31.619,31.7,31.619,31.63,3936
2022-03-18 15:55:00,31.6,31.7,31.59,31.7,951
2022-03-18 15:54:00,31.6,31.6,31.42,31.4783,1565
2022-03-18 15:53:00,31.515,31.515,31.42,31.4963,1355
2022-03-18 15:52:00,31.44,31.51,31.42,31.42,1161
2022-03-18 15:51:00,31.61,31.61,31.45,31.45,2378
2022-03-18 15:50:00,31.535,31.535,31.42,31.422,1669
2022-03-18 15:49:00,31.55,31.65,31.4296,31.535,2670
2022-03-18 15:48:00,31.4677,31.475,31.4677,31.475,796
2022-03-18 15:47:00,31.3916,31.54,31.3916,31.54,355
2022-03-18 15:46:00,31.6,31.6,31.3718,31.3718,1622
2022-03-18 15:44:00,31.439,31.485,31.42,31.485,2729
2022-03-18 15:43:00,31.545,31.5977,31.3884,31.5977,1898
2022-03-18 15:42:00,31.55,31.6,31.49,31.6,2266
2022-03-18 15:41:00,31.49,31.55,31.49,31.55,927
2022-03-18 15:40:00,31.4,31.4,31.4,31.4,190
2022-03-18 15:39:00,31.5,31.5,31.41,31.41,1882
2022-03-18 15:38:00,31.44,31.4914,31.44,31.4914,1389
2022-03-18 15:36:00,31.38,31.38,31.38,31.38,237
2022-03-18 15:35:00,31.38,31.5,31.38,31.3847,374
2022-03-18 15:34:00,31.29,31.4282,31.26,31.4282,1620
2022-03-18 15:33:00,31.3101,31.3101,31.3101,31.3101,174
2022-03-18 15:32:00,31.45,31.52,31.45,31.52,688
2022-03-18 15:31:00,31.3884,31.52,31.3884,31.5,531
2022-03-18 15:30:00,31.615,31.73,31.5,31.5,5065
2022-03-18 15:29:00,31.6116,31.6116,31.55,31.55,664
2022-03-18 15:28:00,31.5191,31.5854,31.5191,31.5854,1221
