time,open,high,low,close,volume
2022-02-18 19:56:00,3.68,3.68,3.68,3.68,6353
2022-02-18 19:53:00,3.67,3.67,3.67,3.67,200
2022-02-18 19:47:00,3.67,3.67,3.67,3.67,555
2022-02-18 19:11:00,3.68,3.68,3.64,3.64,2500
2022-02-18 18:59:00,3.68,3.68,3.68,3.68,6381
2022-02-18 18:55:00,3.68,3.68,3.68,3.68,4903
2022-02-18 18:54:00,3.67,3.67,3.67,3.67,250
2022-02-18 18:53:00,3.67,3.67,3.67,3.67,150
2022-02-18 18:52:00,3.66,3.66,3.66,3.66,1000
2022-02-18 18:45:00,3.66,3.66,3.66,3.66,305
2022-02-18 18:05:00,3.68,3.68,3.68,3.68,134
2022-02-18 17:40:00,3.68,3.68,3.68,3.68,950
2022-02-18 17:21:00,3.7,3.7,3.7,3.7,300
2022-02-18 17:20:00,3.7,3.7,3.7,3.7,100
2022-02-18 17:11:00,3.69,3.69,3.69,3.69,200
2022-02-18 17:06:00,3.7,3.7,3.7,3.7,4458
2022-02-18 16:37:00,3.84,3.84,3.84,3.84,100
2022-02-18 16:11:00,3.68,3.68,3.68,3.68,700
2022-02-18 16:10:00,3.68,3.68,3.68,3.68,600
2022-02-18 16:09:00,3.68,3.68,3.68,3.68,301
2022-02-18 16:04:00,3.72,3.72,3.72,3.72,202
2022-02-18 16:00:00,3.7,3.705,3.68,3.685,31764
2022-02-18 15:59:00,3.7,3.7098,3.7,3.705,6673
2022-02-18 15:58:00,3.69,3.71,3.6894,3.71,7487
2022-02-18 15:57:00,3.69,3.69,3.685,3.69,5375
2022-02-18 15:56:00,3.69,3.7,3.69,3.695,6727
2022-02-18 15:55:00,3.7,3.7,3.68,3.68,2483
2022-02-18 15:54:00,3.7,3.7,3.7,3.7,885
2022-02-18 15:53:00,3.69,3.71,3.68,3.71,18158
2022-02-18 15:52:00,3.7,3.7,3.68,3.69,5357
2022-02-18 15:51:00,3.72,3.72,3.71,3.71,930
2022-02-18 15:50:00,3.735,3.7399,3.72,3.73,2581
2022-02-18 15:49:00,3.73,3.7352,3.73,3.7352,1374
2022-02-18 15:48:00,3.73,3.7301,3.73,3.7301,467
2022-02-18 15:47:00,3.73,3.7399,3.73,3.7399,2715
2022-02-18 15:46:00,3.735,3.75,3.7313,3.735,10375
2022-02-18 15:45:00,3.74,3.74,3.7313,3.735,1525
2022-02-18 15:44:00,3.7499,3.7499,3.74,3.74,595
2022-02-18 15:43:00,3.755,3.755,3.74,3.75,16272
2022-02-18 15:42:00,3.725,3.76,3.7212,3.7599,14407
2022-02-18 15:41:00,3.73,3.73,3.725,3.725,6318
2022-02-18 15:40:00,3.7213,3.725,3.7201,3.725,1338
2022-02-18 15:39:00,3.725,3.725,3.725,3.725,332
2022-02-18 15:38:00,3.725,3.725,3.7214,3.7236,1058
2022-02-18 15:37:00,3.7345,3.7345,3.7345,3.7345,4014
2022-02-18 15:36:00,3.73,3.7302,3.73,3.7302,2380
2022-02-18 15:35:00,3.725,3.735,3.72,3.73,6121
2022-02-18 15:34:00,3.735,3.74,3.725,3.725,10036
2022-02-18 15:33:00,3.7312,3.735,3.73,3.73,1538
2022-02-18 15:32:00,3.75,3.75,3.731,3.735,1997
2022-02-18 15:31:00,3.77,3.77,3.75,3.755,2743
2022-02-18 15:30:00,3.78,3.78,3.78,3.78,426
2022-02-18 15:29:00,3.7814,3.7814,3.7814,3.7814,530
2022-02-18 15:28:00,3.79,3.7901,3.785,3.7867,5475
2022-02-18 15:27:00,3.81,3.81,3.81,3.81,363
2022-02-18 15:26:00,3.81,3.81,3.81,3.81,1321
2022-02-18 15:24:00,3.805,3.805,3.8,3.8006,501
2022-02-18 15:23:00,3.81,3.81,3.805,3.81,2850
2022-02-18 15:22:00,3.815,3.82,3.815,3.82,2216
2022-02-18 15:21:00,3.8,3.82,3.79,3.82,9110
2022-02-18 15:20:00,3.81,3.81,3.8,3.8,6307
2022-02-18 15:19:00,3.82,3.82,3.805,3.81,9261
2022-02-18 15:18:00,3.83,3.83,3.83,3.83,575
2022-02-18 15:17:00,3.8399,3.8399,3.83,3.835,2174
2022-02-18 15:16:00,3.8301,3.8301,3.83,3.83,1492
2022-02-18 15:15:00,3.83,3.84,3.82,3.84,16421
2022-02-18 15:14:00,3.8302,3.84,3.83,3.83,5190
2022-02-18 15:13:00,3.85,3.85,3.85,3.85,400
2022-02-18 15:12:00,3.85,3.85,3.85,3.85,400
2022-02-18 15:11:00,3.84,3.84,3.84,3.84,964
2022-02-18 15:09:00,3.85,3.8577,3.8401,3.8401,767
2022-02-18 15:07:00,3.8672,3.8672,3.8496,3.8496,3800
2022-02-18 15:06:00,3.87,3.87,3.85,3.87,3210
2022-02-18 15:05:00,3.88,3.88,3.8624,3.8774,867
2022-02-18 15:04:00,3.895,3.895,3.89,3.89,5300
2022-02-18 15:03:00,3.89,3.9,3.885,3.895,3000
2022-02-18 15:01:00,3.88,3.89,3.8703,3.885,13270
2022-02-18 15:00:00,3.85,3.87,3.85,3.87,7614
2022-02-18 14:59:00,3.87,3.87,3.85,3.85,1010
2022-02-18 14:58:00,3.86,3.86,3.86,3.86,593
2022-02-18 14:57:00,3.865,3.879,3.86,3.87,14998
2022-02-18 14:56:00,3.85,3.87,3.85,3.8696,21531
2022-02-18 14:55:00,3.81,3.85,3.81,3.85,3605
2022-02-18 14:54:00,3.81,3.81,3.8028,3.8028,7500
2022-02-18 14:53:00,3.8018,3.81,3.8018,3.81,1748
2022-02-18 14:52:00,3.81,3.81,3.81,3.81,421
2022-02-18 14:51:00,3.83,3.83,3.805,3.805,7843
2022-02-18 14:50:00,3.82,3.82,3.82,3.82,110
2022-02-18 14:49:00,3.825,3.825,3.825,3.825,225
2022-02-18 14:48:00,3.835,3.84,3.83,3.83,11113
2022-02-18 14:47:00,3.8286,3.835,3.8286,3.831,2345
2022-02-18 14:45:00,3.83,3.84,3.8296,3.8296,1730
2022-02-18 14:44:00,3.83,3.83,3.8284,3.83,5315
2022-02-18 14:43:00,3.82,3.85,3.82,3.84,7254
2022-02-18 14:42:00,3.8394,3.84,3.83,3.84,2933
2022-02-18 14:41:00,3.83,3.8396,3.82,3.8394,6007
2022-02-18 14:40:00,3.85,3.85,3.8117,3.82,22033
2022-02-18 14:39:00,3.8501,3.86,3.8401,3.85,13695
2022-02-18 14:38:00,3.86,3.87,3.85,3.87,2685
2022-02-18 14:37:00,3.88,3.89,3.8727,3.8727,4255
2022-02-18 14:36:00,3.88,3.88,3.87,3.875,6141
2022-02-18 14:35:00,3.8988,3.8988,3.87,3.88,10470
2022-02-18 14:34:00,3.8999,3.8999,3.8901,3.895,6944
2022-02-18 14:33:00,3.9,3.9,3.895,3.8991,3421
2022-02-18 14:32:00,3.8801,3.9,3.8801,3.8801,2460
2022-02-18 14:31:00,3.885,3.9,3.885,3.9,1893
2022-02-18 14:30:00,3.8722,3.88,3.8722,3.88,983
2022-02-18 14:29:00,3.87,3.89,3.87,3.884,6773
2022-02-18 14:28:00,3.85,3.87,3.85,3.869,2942
2022-02-18 14:27:00,3.87,3.87,3.85,3.85,1722
2022-02-18 14:26:00,3.849,3.87,3.849,3.87,24517
2022-02-18 14:25:00,3.825,3.85,3.825,3.845,6666
2022-02-18 14:24:00,3.8113,3.83,3.8113,3.83,2363
2022-02-18 14:23:00,3.81,3.8199,3.81,3.8199,5509
2022-02-18 14:22:00,3.785,3.8182,3.785,3.8182,7019
2022-02-18 14:20:00,3.7801,3.7801,3.7801,3.7801,1009
2022-02-18 14:19:00,3.781,3.785,3.781,3.785,2679
2022-02-18 14:18:00,3.78,3.78,3.78,3.78,123
2022-02-18 14:17:00,3.77,3.7889,3.77,3.7889,3453
2022-02-18 14:16:00,3.76,3.76,3.75,3.76,2582
2022-02-18 14:15:00,3.77,3.77,3.77,3.77,121
2022-02-18 14:14:00,3.7601,3.77,3.7601,3.77,5812
2022-02-18 14:13:00,3.7614,3.7614,3.7614,3.7614,106
2022-02-18 14:12:00,3.7644,3.7644,3.7644,3.7644,100
2022-02-18 14:11:00,3.77,3.77,3.77,3.77,900
2022-02-18 14:10:00,3.7522,3.77,3.7522,3.7698,1550
2022-02-18 14:09:00,3.77,3.77,3.76,3.76,396
2022-02-18 14:08:00,3.778,3.78,3.77,3.77,1246
2022-02-18 14:07:00,3.8014,3.8014,3.7788,3.7788,2106
2022-02-18 14:06:00,3.77,3.8002,3.77,3.8002,13338
2022-02-18 14:05:00,3.7746,3.7746,3.7601,3.77,14551
2022-02-18 14:04:00,3.78,3.78,3.7701,3.7701,5470
2022-02-18 14:03:00,3.755,3.78,3.7512,3.78,11615
2022-02-18 14:02:00,3.76,3.76,3.76,3.76,277
2022-02-18 14:01:00,3.755,3.755,3.75,3.755,7371
2022-02-18 14:00:00,3.75,3.75,3.75,3.75,356
2022-02-18 13:58:00,3.74,3.75,3.74,3.75,1915
2022-02-18 13:57:00,3.73,3.73,3.7201,3.73,5120
2022-02-18 13:56:00,3.725,3.73,3.7201,3.73,6268
2022-02-18 13:55:00,3.73,3.73,3.73,3.73,2560
2022-02-18 13:53:00,3.7301,3.7301,3.725,3.73,3002
2022-02-18 13:52:00,3.74,3.74,3.7312,3.7352,4235
2022-02-18 13:51:00,3.72,3.75,3.72,3.75,16461
2022-02-18 13:50:00,3.705,3.72,3.69,3.72,7744
2022-02-18 13:49:00,3.71,3.71,3.7012,3.7012,1117
2022-02-18 13:48:00,3.705,3.705,3.705,3.705,237
2022-02-18 13:47:00,3.704,3.704,3.704,3.704,1022
2022-02-18 13:46:00,3.7068,3.7068,3.7068,3.7068,233
2022-02-18 13:45:00,3.71,3.71,3.71,3.71,1000
2022-02-18 13:44:00,3.7088,3.7088,3.7088,3.7088,272
2022-02-18 13:43:00,3.68,3.71,3.68,3.7001,3211
2022-02-18 13:42:00,3.675,3.675,3.6712,3.6712,462
2022-02-18 13:41:00,3.68,3.68,3.67,3.675,2385
2022-02-18 13:40:00,3.635,3.67,3.635,3.67,23852
2022-02-18 13:39:00,3.635,3.64,3.635,3.635,1480
2022-02-18 13:38:00,3.64,3.64,3.635,3.635,7048
2022-02-18 13:37:00,3.6342,3.645,3.6342,3.64,12214
2022-02-18 13:36:00,3.6387,3.6387,3.635,3.6356,1040
2022-02-18 13:35:00,3.638,3.638,3.638,3.638,101
2022-02-18 13:34:00,3.64,3.64,3.63,3.63,1137
2022-02-18 13:33:00,3.63,3.64,3.625,3.64,5566
2022-02-18 13:32:00,3.6201,3.6286,3.6201,3.625,856
2022-02-18 13:31:00,3.62,3.63,3.6124,3.6124,4088
2022-02-18 13:30:00,3.617,3.62,3.615,3.62,6300
2022-02-18 13:29:00,3.61,3.62,3.605,3.62,8794
2022-02-18 13:28:00,3.605,3.61,3.6035,3.61,900
2022-02-18 13:27:00,3.6,3.6085,3.6,3.6085,841
2022-02-18 13:26:00,3.6071,3.6071,3.5931,3.607,5555
2022-02-18 13:25:00,3.6,3.61,3.6,3.6,1155
2022-02-18 13:24:00,3.5913,3.5914,3.5911,3.5914,849
2022-02-18 13:23:00,3.5975,3.5975,3.5975,3.5975,214
2022-02-18 13:22:00,3.59,3.59,3.59,3.59,345
2022-02-18 13:21:00,3.59,3.59,3.59,3.59,437
2022-02-18 13:20:00,3.5995,3.5995,3.59,3.59,861
2022-02-18 13:19:00,3.5895,3.595,3.5895,3.595,6372
2022-02-18 13:18:00,3.59,3.59,3.5886,3.5891,1690
