time,open,high,low,close,volume
2022-04-19 19:40:00,6.5,6.5,6.5,6.5,160
2022-04-19 19:05:00,6.3,6.3,6.3,6.3,100
2022-04-19 18:12:00,6.31,6.31,6.31,6.31,100
2022-04-19 17:12:00,6.28,6.28,6.28,6.28,664
2022-04-19 17:03:00,6.25,6.25,6.25,6.25,750
2022-04-19 16:47:00,6.5,6.5,6.5,6.5,350
2022-04-19 16:44:00,6.5,6.5,6.5,6.5,1014
2022-04-19 16:34:00,6.5952,6.5952,6.5952,6.5952,195
2022-04-19 16:32:00,6.45,6.45,6.2,6.32,6816
2022-04-19 16:00:00,6.51,6.52,6.45,6.51,5104
2022-04-19 15:59:00,6.47,6.47,6.46,6.47,1203
2022-04-19 15:58:00,6.47,6.49,6.46,6.46,1410
2022-04-19 15:57:00,6.525,6.525,6.51,6.51,694
2022-04-19 15:56:00,6.54,6.54,6.54,6.54,202
2022-04-19 15:55:00,6.5452,6.55,6.52,6.52,5770
2022-04-19 15:54:00,6.54,6.56,6.53,6.545,2668
2022-04-19 15:53:00,6.5442,6.5442,6.54,6.54,480
2022-04-19 15:52:00,6.53,6.56,6.52,6.56,2299
2022-04-19 15:51:00,6.5412,6.55,6.54,6.54,4492
2022-04-19 15:50:00,6.52,6.54,6.52,6.53,3425
2022-04-19 15:49:00,6.4929,6.52,6.4929,6.52,1204
2022-04-19 15:48:00,6.5,6.5,6.49,6.49,330
2022-04-19 15:47:00,6.47,6.5,6.47,6.5,630
2022-04-19 15:46:00,6.5097,6.5097,6.47,6.47,2443
2022-04-19 15:45:00,6.48,6.52,6.48,6.52,5067
2022-04-19 15:44:00,6.49,6.49,6.49,6.49,143
2022-04-19 15:43:00,6.43,6.5,6.43,6.47,4619
2022-04-19 15:41:00,6.4213,6.45,6.4213,6.43,1918
2022-04-19 15:39:00,6.44,6.44,6.44,6.44,1312
2022-04-19 15:38:00,6.44,6.47,6.44,6.44,800
2022-04-19 15:37:00,6.45,6.455,6.44,6.45,1472
2022-04-19 15:36:00,6.455,6.455,6.455,6.455,264
2022-04-19 15:35:00,6.45,6.4569,6.45,6.4569,647
2022-04-19 15:34:00,6.45,6.4501,6.45,6.4501,291
2022-04-19 15:33:00,6.455,6.4581,6.455,6.4581,220
2022-04-19 15:30:00,6.46,6.46,6.445,6.445,2008
2022-04-19 15:29:00,6.445,6.445,6.445,6.445,600
2022-04-19 15:27:00,6.45,6.46,6.44,6.46,4064
2022-04-19 15:26:00,6.45,6.45,6.44,6.44,200
2022-04-19 15:24:00,6.44,6.44,6.44,6.44,100
2022-04-19 15:23:00,6.45,6.45,6.45,6.45,210
2022-04-19 15:22:00,6.44,6.45,6.44,6.44,739
2022-04-19 15:21:00,6.44,6.44,6.44,6.44,220
2022-04-19 15:20:00,6.44,6.44,6.44,6.44,100
2022-04-19 15:19:00,6.44,6.44,6.44,6.44,102
2022-04-19 15:17:00,6.45,6.4599,6.45,6.4599,1105
