time,open,high,low,close,volume
2022-04-19 18:09:00,2.43,2.43,2.43,2.43,500
2022-04-19 17:46:00,2.44,2.44,2.44,2.44,567
2022-04-19 17:40:00,2.44,2.44,2.44,2.44,2500
2022-04-19 17:39:00,2.44,2.44,2.44,2.44,500
2022-04-19 16:58:00,2.41,2.41,2.41,2.41,3610
2022-04-19 16:57:00,2.41,2.41,2.41,2.41,5000
2022-04-19 16:53:00,2.46,2.46,2.46,2.46,290
2022-04-19 16:38:00,2.52,2.52,2.52,2.52,165
2022-04-19 16:15:00,2.5,2.5,2.5,2.5,100
2022-04-19 16:00:00,2.52,2.52,2.51,2.52,2438
2022-04-19 15:59:00,2.535,2.535,2.52,2.52,1100
2022-04-19 15:58:00,2.51,2.51,2.51,2.51,1585
2022-04-19 15:57:00,2.51,2.51,2.51,2.51,360
2022-04-19 15:56:00,2.5,2.5003,2.5,2.5002,5000
2022-04-19 15:54:00,2.51,2.51,2.51,2.51,1424
2022-04-19 15:51:00,2.51,2.51,2.51,2.51,1268
2022-04-19 15:49:00,2.48,2.48,2.48,2.48,138
2022-04-19 15:48:00,2.5,2.5,2.47,2.47,362
2022-04-19 15:47:00,2.4501,2.4501,2.4501,2.4501,318
2022-04-19 15:44:00,2.52,2.52,2.5134,2.5134,207
2022-04-19 15:43:00,2.53,2.5301,2.5208,2.5208,2357
2022-04-19 15:42:00,2.54,2.54,2.54,2.54,393
2022-04-19 15:40:00,2.5301,2.5301,2.53,2.5301,4089
2022-04-19 15:39:00,2.532,2.54,2.53,2.54,1000
2022-04-19 15:38:00,2.5501,2.5516,2.55,2.5501,3239
2022-04-19 15:37:00,2.58,2.58,2.5564,2.5564,3000
2022-04-19 15:36:00,2.55,2.55,2.55,2.55,1038
2022-04-19 15:35:00,2.54,2.55,2.54,2.55,5300
2022-04-19 15:34:00,2.5391,2.5392,2.53,2.5392,4340
2022-04-19 15:32:00,2.54,2.547,2.53,2.5468,526
2022-04-19 15:31:00,2.545,2.545,2.545,2.545,240
2022-04-19 15:30:00,2.54,2.54,2.54,2.54,625
2022-04-19 15:29:00,2.5403,2.5403,2.54,2.54,200
2022-04-19 15:28:00,2.55,2.55,2.53,2.53,7561
2022-04-19 15:27:00,2.505,2.5495,2.5003,2.5495,22999
2022-04-19 15:25:00,2.53,2.53,2.53,2.53,4085
2022-04-19 15:23:00,2.51,2.51,2.5,2.5001,476
2022-04-19 15:22:00,2.475,2.5254,2.475,2.5254,13217
2022-04-19 15:17:00,2.4802,2.4802,2.4802,2.4802,425
2022-04-19 15:16:00,2.48,2.48,2.48,2.48,987
2022-04-19 15:15:00,2.47,2.47,2.47,2.47,100
2022-04-19 15:08:00,2.4614,2.4614,2.4614,2.4614,300
2022-04-19 15:07:00,2.46,2.46,2.46,2.46,212
2022-04-19 15:06:00,2.455,2.4663,2.455,2.46,2268
2022-04-19 15:02:00,2.46,2.46,2.46,2.46,201
2022-04-19 14:56:00,2.4501,2.4501,2.4501,2.4501,837
2022-04-19 14:48:00,2.465,2.465,2.465,2.465,1100
2022-04-19 14:46:00,2.455,2.46,2.455,2.46,352
2022-04-19 14:44:00,2.45,2.465,2.45,2.465,2500
2022-04-19 14:43:00,2.45,2.45,2.45,2.45,1903
2022-04-19 14:42:00,2.44,2.44,2.44,2.44,5137
2022-04-19 14:41:00,2.44,2.44,2.44,2.44,1055
2022-04-19 14:32:00,2.42,2.45,2.42,2.4455,19191
2022-04-19 14:31:00,2.425,2.425,2.425,2.425,2262
2022-04-19 14:30:00,2.41,2.41,2.41,2.41,2200
2022-04-19 14:24:00,2.4,2.41,2.4,2.41,4894
2022-04-19 14:22:00,2.4,2.4007,2.4,2.4007,1100
2022-04-19 14:19:00,2.4008,2.4008,2.4008,2.4008,457
2022-04-19 14:17:00,2.405,2.41,2.405,2.41,400
2022-04-19 14:16:00,2.4018,2.4018,2.4018,2.4018,265
2022-04-19 14:15:00,2.4,2.41,2.4,2.4,9734
2022-04-19 14:12:00,2.42,2.42,2.42,2.42,201
2022-04-19 14:09:00,2.42,2.42,2.41,2.41,2898
2022-04-19 14:05:00,2.4209,2.4209,2.4209,2.4209,209
2022-04-19 14:01:00,2.43,2.43,2.43,2.43,156
2022-04-19 13:59:00,2.43,2.43,2.43,2.43,111
2022-04-19 13:58:00,2.43,2.43,2.43,2.43,1500
2022-04-19 13:53:00,2.4382,2.4382,2.4382,2.4382,211
2022-04-19 13:52:00,2.42,2.42,2.42,2.42,500
2022-04-19 13:48:00,2.4399,2.44,2.4,2.42,21800
2022-04-19 13:47:00,2.4016,2.4016,2.4016,2.4016,414
2022-04-19 13:42:00,2.434,2.44,2.43,2.43,400
2022-04-19 13:41:00,2.41,2.41,2.4,2.4,1300
2022-04-19 13:40:00,2.4136,2.4136,2.4136,2.4136,252
2022-04-19 13:37:00,2.42,2.42,2.42,2.42,5700
2022-04-19 13:36:00,2.4285,2.43,2.42,2.42,1483
2022-04-19 13:35:00,2.4298,2.4298,2.4298,2.4298,500
2022-04-19 13:34:00,2.4241,2.4241,2.4241,2.4241,500
2022-04-19 13:32:00,2.41,2.42,2.41,2.42,3144
2022-04-19 13:30:00,2.41,2.4101,2.41,2.4101,200
2022-04-19 13:26:00,2.41,2.41,2.41,2.41,173
2022-04-19 13:24:00,2.41,2.4101,2.41,2.4101,250
2022-04-19 13:23:00,2.402,2.41,2.402,2.41,315
2022-04-19 13:12:00,2.4001,2.4001,2.4001,2.4001,2075
2022-04-19 13:11:00,2.4,2.4,2.4,2.4,206
2022-04-19 13:06:00,2.42,2.42,2.4,2.4,1134
2022-04-19 13:04:00,2.42,2.42,2.42,2.42,100
2022-04-19 13:03:00,2.42,2.42,2.42,2.42,492
2022-04-19 13:01:00,2.4201,2.4201,2.4201,2.4201,920
2022-04-19 12:54:00,2.42,2.42,2.42,2.42,570
2022-04-19 12:51:00,2.41,2.41,2.41,2.41,155
2022-04-19 12:47:00,2.42,2.42,2.41,2.41,427
2022-04-19 12:45:00,2.412,2.412,2.412,2.412,161
2022-04-19 12:44:00,2.42,2.42,2.42,2.42,402
2022-04-19 12:39:00,2.42,2.42,2.41,2.415,3696
2022-04-19 12:38:00,2.41,2.41,2.4,2.4,3032
2022-04-19 12:37:00,2.4,2.4,2.4,2.4,850
2022-04-19 12:35:00,2.4019,2.4019,2.4019,2.4019,275
2022-04-19 12:26:00,2.4011,2.4011,2.4011,2.4011,100
2022-04-19 12:22:00,2.405,2.405,2.405,2.405,500
2022-04-19 12:19:00,2.4001,2.4001,2.4001,2.4001,800
2022-04-19 12:14:00,2.4,2.4,2.4,2.4,1561
2022-04-19 12:11:00,2.4185,2.4185,2.4185,2.4185,602
2022-04-19 12:10:00,2.4185,2.4185,2.4185,2.4185,700
2022-04-19 12:04:00,2.4001,2.4001,2.4001,2.4001,276
2022-04-19 12:01:00,2.4,2.4,2.4,2.4,1196
2022-04-19 12:00:00,2.413,2.413,2.413,2.413,3000
2022-04-19 11:59:00,2.41,2.41,2.4,2.4,769
2022-04-19 11:57:00,2.42,2.42,2.405,2.405,3115
2022-04-19 11:56:00,2.4227,2.4227,2.4227,2.4227,235
2022-04-19 11:51:00,2.42,2.4294,2.42,2.4294,3004
2022-04-19 11:50:00,2.4176,2.4176,2.4176,2.4176,3010
2022-04-19 11:49:00,2.4101,2.43,2.41,2.41,1744
2022-04-19 11:48:00,2.44,2.44,2.44,2.44,100
2022-04-19 11:46:00,2.435,2.435,2.435,2.435,144
2022-04-19 11:41:00,2.44,2.45,2.4,2.45,302
2022-04-19 11:40:00,2.4302,2.45,2.4302,2.45,400
2022-04-19 11:39:00,2.431,2.431,2.431,2.431,200
2022-04-19 11:38:00,2.43,2.43,2.43,2.43,208
2022-04-19 11:37:00,2.402,2.41,2.402,2.41,3812
2022-04-19 11:35:00,2.4,2.4015,2.4,2.4015,4423
2022-04-19 11:34:00,2.38,2.4,2.38,2.4,1624
2022-04-19 11:32:00,2.36,2.36,2.36,2.36,207
2022-04-19 11:29:00,2.33,2.34,2.33,2.34,1828
