time,open,high,low,close,volume
2022-04-19 19:46:00,1.32,1.33,1.32,1.33,4000
2022-04-19 17:37:00,1.28,1.28,1.28,1.28,200
2022-04-19 17:22:00,1.31,1.31,1.31,1.31,100
2022-04-19 17:03:00,1.2512,1.2512,1.25,1.25,770
2022-04-19 16:04:00,1.3,1.3,1.3,1.3,1000
2022-04-19 16:00:00,1.28,1.29,1.27,1.28,11840
2022-04-19 15:59:00,1.275,1.285,1.2701,1.28,5307
2022-04-19 15:58:00,1.275,1.28,1.27,1.28,3208
2022-04-19 15:57:00,1.28,1.28,1.2701,1.2799,1817
2022-04-19 15:56:00,1.28,1.28,1.275,1.2794,2199
2022-04-19 15:55:00,1.28,1.2801,1.28,1.2801,435
2022-04-19 15:54:00,1.28,1.28,1.28,1.28,781
2022-04-19 15:52:00,1.28,1.28,1.28,1.28,195
2022-04-19 15:50:00,1.275,1.28,1.275,1.28,1574
2022-04-19 15:49:00,1.28,1.28,1.28,1.28,1286
2022-04-19 15:48:00,1.285,1.285,1.28,1.28,403
2022-04-19 15:47:00,1.28,1.28,1.28,1.28,100
2022-04-19 15:46:00,1.28,1.28,1.28,1.28,831
2022-04-19 15:44:00,1.28,1.29,1.28,1.29,1228
2022-04-19 15:43:00,1.28,1.285,1.28,1.285,210
2022-04-19 15:41:00,1.28,1.28,1.28,1.28,582
2022-04-19 15:40:00,1.285,1.29,1.285,1.29,1202
2022-04-19 15:38:00,1.28,1.285,1.2794,1.28,2523
2022-04-19 15:34:00,1.285,1.285,1.285,1.285,312
2022-04-19 15:33:00,1.29,1.29,1.29,1.29,6514
2022-04-19 15:32:00,1.2876,1.29,1.2876,1.29,1302
2022-04-19 15:31:00,1.29,1.29,1.29,1.29,100
2022-04-19 15:30:00,1.29,1.29,1.29,1.29,1249
2022-04-19 15:29:00,1.3,1.3,1.28,1.29,12456
2022-04-19 15:28:00,1.3,1.3,1.3,1.3,1287
2022-04-19 15:25:00,1.3,1.3,1.3,1.3,124
2022-04-19 15:24:00,1.3,1.3,1.3,1.3,1327
2022-04-19 15:23:00,1.3,1.3,1.3,1.3,531
2022-04-19 15:22:00,1.29,1.29,1.29,1.29,962
2022-04-19 15:18:00,1.3,1.3,1.3,1.3,1337
2022-04-19 15:17:00,1.3,1.3,1.295,1.295,2593
2022-04-19 15:16:00,1.3,1.3,1.3,1.3,2916
2022-04-19 15:13:00,1.2915,1.3,1.2915,1.3,4454
2022-04-19 15:11:00,1.29,1.3,1.29,1.3,336
2022-04-19 15:04:00,1.295,1.295,1.295,1.295,200
2022-04-19 15:03:00,1.29,1.29,1.29,1.29,938
2022-04-19 15:02:00,1.29,1.29,1.29,1.29,3659
2022-04-19 15:01:00,1.29,1.29,1.29,1.29,416
2022-04-19 15:00:00,1.285,1.285,1.285,1.285,360
2022-04-19 14:57:00,1.28,1.28,1.28,1.28,100
2022-04-19 14:50:00,1.29,1.29,1.29,1.29,100
2022-04-19 14:49:00,1.29,1.29,1.29,1.29,745
2022-04-19 14:48:00,1.285,1.29,1.285,1.29,2154
2022-04-19 14:44:00,1.28,1.28,1.28,1.28,102
2022-04-19 14:41:00,1.285,1.285,1.285,1.285,105
2022-04-19 14:40:00,1.285,1.285,1.285,1.285,344
2022-04-19 14:39:00,1.28,1.28,1.28,1.28,100
2022-04-19 14:36:00,1.28,1.28,1.28,1.28,102
2022-04-19 14:30:00,1.28,1.28,1.28,1.28,108
2022-04-19 14:28:00,1.285,1.289,1.2801,1.2817,560
2022-04-19 14:27:00,1.28,1.28,1.2776,1.2776,1280
2022-04-19 14:26:00,1.28,1.29,1.2778,1.29,5402
2022-04-19 14:25:00,1.2706,1.2706,1.2706,1.2706,722
2022-04-19 14:24:00,1.28,1.28,1.28,1.28,1000
2022-04-19 14:23:00,1.28,1.29,1.28,1.29,4583
