time,open,high,low,close,volume
2022-03-18 20:00:00,1.82,1.82,1.82,1.82,349
2022-03-18 19:57:00,1.82,1.82,1.82,1.82,205
2022-03-18 19:51:00,1.82,1.82,1.82,1.82,701
2022-03-18 19:14:00,1.83,1.83,1.83,1.83,1099
2022-03-18 18:39:00,1.83,1.83,1.83,1.83,100
2022-03-18 18:30:00,1.8,1.8,1.8,1.8,200
2022-03-18 18:08:00,1.8,1.8,1.8,1.8,210
2022-03-18 17:55:00,1.8,1.8,1.8,1.8,200
2022-03-18 17:05:00,1.83,1.83,1.83,1.83,500
2022-03-18 16:55:00,1.8,1.8,1.77,1.7701,13319
2022-03-18 16:42:00,1.8,1.8,1.8,1.8,150
2022-03-18 16:40:00,1.8,1.8,1.8,1.8,480
2022-03-18 16:36:00,1.83,1.83,1.83,1.83,500
2022-03-18 16:25:00,1.8,1.8,1.8,1.8,2282
2022-03-18 16:19:00,1.8003,1.8003,1.8,1.8,7000
2022-03-18 16:18:00,1.8,1.8,1.8,1.8,100
2022-03-18 16:14:00,1.85,1.85,1.85,1.85,1601
2022-03-18 16:12:00,1.85,1.85,1.8,1.85,16696
2022-03-18 16:08:00,1.85,1.85,1.85,1.85,3670
2022-03-18 16:06:00,1.85,1.85,1.85,1.85,500
2022-03-18 16:03:00,1.82,1.82,1.82,1.82,245
2022-03-18 16:02:00,1.82,1.82,1.82,1.82,915
2022-03-18 16:00:00,1.8,1.81,1.8,1.8,2882
2022-03-18 15:59:00,1.805,1.805,1.8,1.805,9229
2022-03-18 15:58:00,1.805,1.8092,1.8,1.805,2264
2022-03-18 15:57:00,1.81,1.82,1.81,1.8112,5300
2022-03-18 15:56:00,1.82,1.82,1.82,1.82,469
2022-03-18 15:55:00,1.82,1.82,1.81,1.8189,1984
2022-03-18 15:54:00,1.7989,1.82,1.79,1.82,22828
2022-03-18 15:52:00,1.7901,1.7999,1.79,1.79,5150
2022-03-18 15:51:00,1.795,1.795,1.7901,1.795,1401
2022-03-18 15:50:00,1.79,1.795,1.79,1.795,1300
2022-03-18 15:49:00,1.79,1.7997,1.79,1.795,2615
2022-03-18 15:48:00,1.785,1.7902,1.785,1.79,7120
2022-03-18 15:47:00,1.79,1.8001,1.79,1.7901,16156
2022-03-18 15:46:00,1.815,1.82,1.81,1.82,10802
2022-03-18 15:45:00,1.8101,1.8101,1.8101,1.8101,102
2022-03-18 15:43:00,1.815,1.815,1.8141,1.815,1004
2022-03-18 15:42:00,1.8119,1.82,1.8119,1.82,4942
2022-03-18 15:41:00,1.8101,1.8101,1.8101,1.8101,220
2022-03-18 15:39:00,1.83,1.83,1.81,1.81,3516
2022-03-18 15:38:00,1.8307,1.8307,1.8307,1.8307,400
2022-03-18 15:37:00,1.839,1.839,1.835,1.835,2257
2022-03-18 15:36:00,1.84,1.84,1.84,1.84,300
2022-03-18 15:35:00,1.8311,1.8311,1.8311,1.8311,125
2022-03-18 15:33:00,1.8411,1.85,1.835,1.835,1615
2022-03-18 15:32:00,1.84,1.8411,1.84,1.8411,300
2022-03-18 15:30:00,1.84,1.84,1.8301,1.8315,3800
2022-03-18 15:28:00,1.84,1.8492,1.8325,1.8325,12544
2022-03-18 15:27:00,1.8308,1.84,1.8308,1.84,1450
2022-03-18 15:24:00,1.8397,1.8397,1.8397,1.8397,500
2022-03-18 15:22:00,1.8399,1.8399,1.8399,1.8399,1051
2022-03-18 15:21:00,1.83,1.835,1.83,1.835,1625
2022-03-18 15:20:00,1.835,1.835,1.835,1.835,2000
2022-03-18 15:19:00,1.84,1.84,1.84,1.84,1002
2022-03-18 15:18:00,1.8312,1.8312,1.83,1.83,2311
2022-03-18 15:16:00,1.8233,1.8233,1.8233,1.8233,779
2022-03-18 15:15:00,1.85,1.85,1.85,1.85,467
2022-03-18 15:14:00,1.829,1.829,1.82,1.8247,13024
2022-03-18 15:13:00,1.8401,1.8401,1.82,1.84,37121
2022-03-18 15:12:00,1.8401,1.8401,1.8401,1.8401,8030
2022-03-18 15:11:00,1.845,1.845,1.845,1.845,100
2022-03-18 15:10:00,1.845,1.85,1.845,1.845,5316
2022-03-18 15:09:00,1.8405,1.85,1.8405,1.845,3283
2022-03-18 15:08:00,1.84,1.8418,1.83,1.84,3634
2022-03-18 15:07:00,1.875,1.875,1.84,1.86,51190
2022-03-18 15:06:00,1.875,1.875,1.87,1.8715,12962
2022-03-18 15:05:00,1.865,1.88,1.865,1.875,11776
2022-03-18 15:04:00,1.865,1.87,1.86,1.865,3956
2022-03-18 15:03:00,1.86,1.87,1.86,1.861,29510
