time,open,high,low,close,volume
2022-02-17 19:57:00,8.5,8.5,8.5,8.5,298
2022-02-17 19:55:00,8.5,8.5,8.5,8.5,308
2022-02-17 19:40:00,8.55,8.55,8.5,8.5,4101
2022-02-17 19:39:00,8.55,8.55,8.55,8.55,300
2022-02-17 19:37:00,8.55,8.55,8.55,8.55,1000
2022-02-17 19:35:00,8.55,8.55,8.55,8.55,11000
2022-02-17 19:26:00,8.5,8.5,8.5,8.5,550
2022-02-17 19:22:00,8.5,8.5,8.5,8.5,373
2022-02-17 19:20:00,8.52,8.52,8.52,8.52,302
2022-02-17 19:14:00,8.65,8.65,8.65,8.65,500
2022-02-17 18:56:00,8.52,8.52,8.51,8.51,500
2022-02-17 18:53:00,8.5,8.5,8.5,8.5,1000
2022-02-17 18:48:00,8.5,8.5,8.5,8.5,974
2022-02-17 18:43:00,8.46,8.46,8.46,8.46,339
2022-02-17 18:41:00,8.45,8.45,8.45,8.45,3666
2022-02-17 18:40:00,8.55,8.55,8.55,8.55,2334
2022-02-17 18:29:00,8.74,8.74,8.7399,8.7399,200
2022-02-17 18:23:00,8.74,8.74,8.74,8.74,3056
2022-02-17 18:22:00,8.74,8.74,8.74,8.74,3025
2022-02-17 18:21:00,8.7,8.7,8.7,8.7,603
2022-02-17 18:18:00,8.6,8.6,8.6,8.6,1700
2022-02-17 18:17:00,8.55,8.55,8.55,8.55,2278
2022-02-17 18:14:00,8.6,8.6,8.6,8.6,1000
2022-02-17 18:13:00,8.58,8.58,8.58,8.58,500
2022-02-17 18:10:00,8.55,8.55,8.55,8.55,839
2022-02-17 18:07:00,8.6,8.6,8.6,8.6,1000
2022-02-17 17:56:00,8.55,8.55,8.55,8.55,3299
2022-02-17 17:52:00,8.6,8.6,8.6,8.6,473
2022-02-17 17:51:00,8.6,8.6,8.6,8.6,155
2022-02-17 17:49:00,8.6,8.6,8.6,8.6,2001
2022-02-17 17:42:00,8.59,8.59,8.59,8.59,112
2022-02-17 17:41:00,8.59,8.59,8.59,8.59,343
2022-02-17 17:38:00,8.55,8.64,8.55,8.64,3400
2022-02-17 17:37:00,8.52,8.52,8.52,8.52,250
2022-02-17 17:36:00,8.5,8.5,8.5,8.5,500
2022-02-17 17:33:00,8.55,8.55,8.55,8.55,100
2022-02-17 17:27:00,8.45,8.45,8.45,8.45,176
2022-02-17 16:56:00,8.45,8.45,8.45,8.45,500
2022-02-17 16:55:00,8.4,8.4,8.4,8.4,660
2022-02-17 16:43:00,8.58,8.58,8.58,8.58,285
2022-02-17 16:38:00,8.51,8.51,8.51,8.51,106
2022-02-17 16:34:00,8.45,8.45,8.45,8.45,160
2022-02-17 16:29:00,8.49,8.49,8.49,8.49,140
2022-02-17 16:26:00,8.59,8.59,8.4,8.4,1100
2022-02-17 16:25:00,8.58,8.58,8.58,8.58,100
2022-02-17 16:22:00,8.59,8.59,8.59,8.59,288
2022-02-17 16:11:00,8.48,8.48,8.48,8.48,200
2022-02-17 16:07:00,8.6,8.6,8.6,8.6,181
2022-02-17 16:06:00,8.6,8.6,8.6,8.6,250
2022-02-17 16:05:00,8.6,8.6,8.6,8.6,1002
2022-02-17 16:02:00,8.6,8.6,8.6,8.6,106
2022-02-17 16:00:00,8.53,8.6,8.53,8.58,8567
2022-02-17 15:59:00,8.55,8.58,8.53,8.579,6776
2022-02-17 15:58:00,8.57,8.6,8.5593,8.575,7393
2022-02-17 15:57:00,8.59,8.59,8.57,8.5701,7905
