time,open,high,low,close,volume
2022-04-19 16:00:00,4.9,4.96,4.89,4.96,866
2022-04-19 15:58:00,4.96,4.96,4.96,4.96,152
2022-04-19 15:55:00,4.95,4.95,4.95,4.95,100
2022-04-19 15:51:00,4.92,4.92,4.92,4.92,249
2022-04-19 15:49:00,4.94,4.94,4.94,4.94,700
2022-04-19 15:44:00,4.96,4.96,4.96,4.96,1453
2022-04-19 15:41:00,4.95,4.96,4.89,4.89,789
2022-04-19 15:38:00,4.96,4.96,4.925,4.925,1097
2022-04-19 15:32:00,4.89,4.89,4.89,4.89,100
2022-04-19 15:27:00,4.89,4.89,4.89,4.89,200
2022-04-19 15:21:00,4.925,4.925,4.89,4.925,2651
2022-04-19 15:14:00,4.89,4.89,4.89,4.89,100
2022-04-19 14:55:00,4.95,4.9655,4.95,4.9655,201
2022-04-19 14:54:00,4.905,4.92,4.89,4.89,547
2022-04-19 14:39:00,4.92,4.92,4.92,4.92,120
2022-04-19 14:31:00,4.91,4.91,4.91,4.91,600
2022-04-19 14:30:00,4.9001,4.9001,4.9001,4.9001,105
2022-04-19 14:13:00,4.908,4.908,4.908,4.908,500
2022-04-19 14:04:00,4.91,4.91,4.91,4.91,200
2022-04-19 14:02:00,4.905,4.905,4.905,4.905,100
2022-04-19 13:48:00,4.91,4.9207,4.9,4.9,1373
2022-04-19 13:46:00,4.925,4.925,4.925,4.925,108
2022-04-19 13:39:00,4.9,4.9,4.9,4.9,100
2022-04-19 13:30:00,4.91,4.91,4.9,4.9,431
2022-04-19 13:29:00,4.9503,4.9503,4.9503,4.9503,100
2022-04-19 13:25:00,4.9501,4.9501,4.95,4.95,3300
2022-04-19 13:24:00,4.97,4.97,4.95,4.95,353
2022-04-19 13:04:00,4.9672,4.9672,4.9672,4.9672,248
2022-04-19 12:35:00,4.988,4.988,4.988,4.988,472
2022-04-19 12:29:00,5.0,5.0,5.0,5.0,2058
2022-04-19 12:01:00,5.09,5.09,5.09,5.09,521
2022-04-19 11:51:00,5.0717,5.0717,5.0631,5.0631,1660
2022-04-19 11:49:00,5.0135,5.0135,5.0135,5.0135,100
2022-04-19 11:47:00,5.0,5.0,5.0,5.0,1440
2022-04-19 11:38:00,5.0249,5.0249,5.0249,5.0249,550
2022-04-19 11:35:00,4.995,4.995,4.995,4.995,100
2022-04-19 11:33:00,5.0725,5.0725,4.995,4.995,600
2022-04-19 11:30:00,4.95,4.95,4.95,4.95,1040
2022-04-19 11:28:00,4.97,4.98,4.96,4.96,1440
2022-04-19 11:16:00,5.09,5.09,5.09,5.09,1001
2022-04-19 11:14:00,5.0,5.0994,5.0,5.0994,2446
2022-04-19 11:13:00,4.95,5.0,4.95,4.972,3715
2022-04-19 11:12:00,4.925,4.9498,4.925,4.9463,3402
2022-04-19 11:11:00,4.942,4.942,4.942,4.942,303
2022-04-19 11:10:00,4.9198,4.92,4.91,4.92,3369
2022-04-19 11:09:00,4.92,4.9202,4.91,4.9202,5250
