time,open,high,low,close,volume
2022-04-19 19:49:00,4.02,4.02,4.02,4.02,122
2022-04-19 19:27:00,3.97,3.97,3.97,3.97,138
2022-04-19 19:25:00,4.0,4.0,4.0,4.0,862
2022-04-19 19:24:00,4.0,4.0,4.0,4.0,1000
2022-04-19 19:19:00,4.0,4.0,4.0,4.0,138
2022-04-19 18:19:00,3.96,3.96,3.96,3.96,1000
2022-04-19 18:02:00,3.95,3.95,3.95,3.95,1000
2022-04-19 17:58:00,3.96,3.96,3.96,3.96,1000
2022-04-19 17:49:00,3.96,3.96,3.96,3.96,450
2022-04-19 17:02:00,3.95,3.95,3.95,3.95,200
2022-04-19 16:55:00,3.95,3.95,3.95,3.95,200
2022-04-19 16:53:00,4.0,4.0,4.0,4.0,1900
2022-04-19 16:52:00,4.0,4.0,4.0,4.0,575
2022-04-19 16:48:00,4.0,4.0,4.0,4.0,151
2022-04-19 16:41:00,4.0,4.0,4.0,4.0,145
2022-04-19 16:33:00,4.0,4.0,4.0,4.0,100
2022-04-19 16:25:00,4.06,4.06,4.06,4.06,500
2022-04-19 16:10:00,4.0,4.0,4.0,4.0,1000
2022-04-19 16:00:00,4.1208,4.1275,4.08,4.08,17422
2022-04-19 15:59:00,4.12,4.135,4.1101,4.1253,3394
2022-04-19 15:58:00,4.11,4.14,4.09,4.1101,6824
2022-04-19 15:57:00,4.045,4.11,4.045,4.1,22247
2022-04-19 15:56:00,4.06,4.06,4.05,4.05,320
2022-04-19 15:55:00,4.06,4.06,4.06,4.06,987
2022-04-19 15:54:00,4.07,4.07,4.05,4.05,2298
2022-04-19 15:53:00,4.06,4.07,4.05,4.07,5613
2022-04-19 15:52:00,4.04,4.07,4.04,4.0504,2367
2022-04-19 15:51:00,4.03,4.03,4.01,4.03,3862
2022-04-19 15:50:00,4.0109,4.03,4.0109,4.02,1874
2022-04-19 15:49:00,4.03,4.03,4.03,4.03,613
2022-04-19 15:48:00,4.02,4.03,4.0127,4.03,2813
2022-04-19 15:47:00,4.0194,4.02,4.0,4.02,1246
2022-04-19 15:46:00,4.01,4.02,4.01,4.02,1306
2022-04-19 15:45:00,4.02,4.03,4.02,4.03,513
2022-04-19 15:44:00,4.03,4.03,4.03,4.03,200
2022-04-19 15:43:00,3.9844,4.03,3.9844,4.0,900
2022-04-19 15:42:00,4.0,4.0,4.0,4.0,305
2022-04-19 15:41:00,4.0,4.0,4.0,4.0,400
2022-04-19 15:40:00,4.0,4.0,4.0,4.0,200
2022-04-19 15:39:00,3.99,4.0,3.99,4.0,502
2022-04-19 15:38:00,3.9947,3.9947,3.99,3.99,571
2022-04-19 15:37:00,4.0,4.0,3.975,3.9804,621
2022-04-19 15:36:00,4.0,4.01,4.0,4.0,3601
2022-04-19 15:35:00,4.01,4.01,4.0001,4.0001,250
2022-04-19 15:33:00,4.0299,4.0299,4.0,4.0199,7185
2022-04-19 15:32:00,4.02,4.035,4.02,4.03,7163
2022-04-19 15:31:00,4.02,4.02,3.96,4.02,13731
2022-04-19 15:30:00,3.99,4.0444,3.99,4.02,16971
2022-04-19 15:29:00,3.99,3.99,3.9899,3.9899,5225
2022-04-19 15:28:00,3.96,3.99,3.955,3.99,4279
2022-04-19 15:26:00,3.96,3.96,3.94,3.96,5753
2022-04-19 15:25:00,3.915,3.965,3.915,3.9556,7449
2022-04-19 15:24:00,3.915,3.915,3.915,3.915,492
2022-04-19 15:23:00,3.93,3.93,3.9,3.9,747
2022-04-19 15:22:00,3.95,3.95,3.9346,3.9346,5600
2022-04-19 15:21:00,3.96,3.96,3.92,3.9211,2733
2022-04-19 15:20:00,3.96,3.96,3.92,3.92,500
2022-04-19 15:19:00,3.96,3.96,3.96,3.96,200
2022-04-19 15:18:00,3.97,3.97,3.97,3.97,210
2022-04-19 15:17:00,3.935,3.935,3.935,3.935,1200
2022-04-19 15:16:00,3.9182,3.9182,3.9182,3.9182,524
2022-04-19 15:15:00,3.92,3.93,3.902,3.9131,1738
2022-04-19 15:14:00,3.97,3.9799,3.9604,3.9799,439
2022-04-19 15:13:00,3.96,3.985,3.92,3.9704,2755
2022-04-19 15:12:00,4.0,4.01,3.98,3.98,5430
2022-04-19 15:11:00,3.9899,3.9899,3.97,3.9701,1700
2022-04-19 15:10:00,3.96,3.9811,3.96,3.9701,943
2022-04-19 15:09:00,4.0,4.005,3.95,3.9553,5154
2022-04-19 15:08:00,3.97,4.035,3.97,4.0,6778
2022-04-19 15:07:00,3.979,3.99,3.9638,3.9705,7676
2022-04-19 15:06:00,4.0397,4.074,3.9201,4.01,40225
2022-04-19 15:05:00,4.05,4.0959,4.0001,4.0399,28916
2022-04-19 15:04:00,4.085,4.17,4.0,4.05,122340
2022-04-19 15:03:00,4.11,4.14,4.0063,4.0999,66801
2022-04-19 15:02:00,4.0367,4.1999,4.0,4.1295,123915
2022-04-19 15:01:00,4.01,4.03,3.9601,4.02,20122
2022-04-19 15:00:00,3.9,4.01,3.8999,3.94,31528
2022-04-19 14:59:00,3.898,3.9,3.8801,3.9,12522
2022-04-19 14:58:00,3.895,3.895,3.8804,3.8888,304
2022-04-19 14:57:00,3.895,3.895,3.8804,3.8804,400
2022-04-19 14:56:00,3.88,3.88,3.83,3.83,5134
2022-04-19 14:55:00,3.86,3.89,3.85,3.87,2095
2022-04-19 14:48:00,3.9175,3.9175,3.9175,3.9175,100
2022-04-19 14:47:00,3.9175,3.9175,3.9175,3.9175,128
2022-04-19 14:46:00,3.9175,3.9175,3.9175,3.9175,300
2022-04-19 14:44:00,3.9175,3.9175,3.9175,3.9175,200
2022-04-19 14:42:00,3.9175,3.9175,3.9175,3.9175,180
2022-04-19 14:41:00,3.935,3.94,3.9204,3.94,475
2022-04-19 14:40:00,3.86,3.94,3.86,3.89,3435
2022-04-19 14:39:00,3.81,3.81,3.8002,3.8002,703
2022-04-19 14:36:00,3.84,3.895,3.84,3.8804,1830
2022-04-19 14:34:00,3.875,3.875,3.8077,3.8077,444
2022-04-19 14:33:00,3.85,3.875,3.85,3.8604,300
2022-04-19 14:32:00,3.86,3.86,3.86,3.86,100
2022-04-19 14:31:00,3.88,3.885,3.81,3.8704,6147
2022-04-19 14:30:00,3.9,3.9,3.9,3.9,300
2022-04-19 14:29:00,3.9,3.9,3.9,3.9,402
2022-04-19 14:28:00,3.8501,3.89,3.8501,3.86,1700
2022-04-19 14:26:00,3.89,3.89,3.885,3.885,200
2022-04-19 14:25:00,3.8392,3.88,3.8392,3.88,4987
2022-04-19 14:24:00,3.83,3.83,3.83,3.83,548
2022-04-19 14:23:00,3.83,3.83,3.83,3.83,1230
2022-04-19 14:22:00,3.83,3.83,3.83,3.83,886
2022-04-19 14:21:00,3.845,3.85,3.83,3.83,1460
2022-04-19 14:20:00,3.87,3.88,3.85,3.85,2396
2022-04-19 14:19:00,3.865,3.88,3.865,3.88,200
2022-04-19 14:18:00,3.86,3.87,3.86,3.87,753
2022-04-19 14:17:00,3.88,3.88,3.88,3.88,188
2022-04-19 14:16:00,3.88,3.88,3.87,3.88,835
2022-04-19 14:14:00,3.875,3.875,3.8604,3.8604,250
2022-04-19 14:12:00,3.87,3.875,3.8604,3.8604,400
2022-04-19 14:11:00,3.895,3.895,3.8804,3.8804,200
2022-04-19 14:10:00,3.9,3.91,3.88,3.88,10842
2022-04-19 14:09:00,3.86,3.92,3.85,3.92,10534
