time,open,high,low,close,volume
2022-03-18 19:57:00,7.26,7.26,7.26,7.26,200
2022-03-18 19:56:00,7.26,7.26,7.26,7.26,100
2022-03-18 19:53:00,7.0799,7.08,7.0799,7.08,800
2022-03-18 19:52:00,7.08,7.08,7.08,7.08,500
2022-03-18 19:49:00,6.99,6.99,6.99,6.99,300
2022-03-18 19:38:00,6.95,6.95,6.95,6.95,2173
2022-03-18 19:36:00,6.95,6.95,6.95,6.95,119
2022-03-18 19:33:00,6.98,6.98,6.95,6.95,1951
2022-03-18 19:28:00,7.0,7.0,7.0,7.0,500
2022-03-18 19:08:00,7.03,7.03,7.03,7.03,500
2022-03-18 18:38:00,7.0,7.0,7.0,7.0,100
2022-03-18 18:36:00,7.0,7.0,7.0,7.0,200
2022-03-18 18:34:00,7.0,7.0,7.0,7.0,450
2022-03-18 18:33:00,7.0,7.0,7.0,7.0,400
2022-03-18 18:30:00,7.02,7.02,7.0,7.0,1100
2022-03-18 18:27:00,7.08,7.08,7.08,7.08,207
2022-03-18 17:48:00,7.1499,7.1499,7.1499,7.1499,5409
2022-03-18 17:46:00,7.1499,7.1499,7.1499,7.1499,100
2022-03-18 17:45:00,7.15,7.15,7.15,7.15,100
2022-03-18 17:29:00,7.2,7.2,7.2,7.2,123
2022-03-18 17:26:00,7.2,7.2,7.2,7.2,100
2022-03-18 17:13:00,7.0,7.0,7.0,7.0,100
2022-03-18 17:11:00,6.91,6.91,6.91,6.91,2390
2022-03-18 17:10:00,6.92,6.92,6.91,6.91,656
2022-03-18 17:08:00,6.92,6.92,6.91,6.91,1783
2022-03-18 17:07:00,6.91,6.91,6.91,6.91,204
2022-03-18 17:01:00,6.93,6.93,6.92,6.92,237
2022-03-18 16:59:00,7.18,7.18,6.93,6.94,2561
2022-03-18 16:07:00,7.2,7.2,7.2,7.2,205
2022-03-18 16:06:00,7.2,7.2,7.2,7.2,100
2022-03-18 16:05:00,7.2,7.2,7.2,7.2,3155
2022-03-18 16:00:00,6.89,6.89,6.87,6.87,2156
2022-03-18 15:59:00,6.8794,6.9186,6.86,6.8965,1065
2022-03-18 15:58:00,6.91,6.91,6.88,6.88,2501
2022-03-18 15:57:00,6.9103,6.9391,6.9,6.9,3712
2022-03-18 15:56:00,6.91,6.936,6.91,6.936,1403
2022-03-18 15:55:00,6.94,6.94,6.91,6.91,1576
2022-03-18 15:54:00,6.91,6.91,6.9,6.91,3273
2022-03-18 15:53:00,6.89,6.89,6.89,6.89,1634
2022-03-18 15:52:00,6.9,6.9,6.89,6.89,1024
2022-03-18 15:51:00,6.93,6.95,6.8901,6.8901,1852
2022-03-18 15:50:00,6.98,7.0058,6.97,6.97,1006
2022-03-18 15:49:00,7.015,7.015,6.995,6.995,2032
2022-03-18 15:48:00,7.03,7.03,7.03,7.03,127
2022-03-18 15:46:00,7.02,7.03,7.02,7.03,872
2022-03-18 15:45:00,7.05,7.05,7.0237,7.05,3105
2022-03-18 15:44:00,7.0499,7.0499,7.0266,7.0266,658
2022-03-18 15:43:00,6.9579,7.0,6.955,7.0,873
2022-03-18 15:42:00,6.95,6.95,6.95,6.95,350
2022-03-18 15:41:00,6.945,6.945,6.945,6.945,158
2022-03-18 15:40:00,6.92,6.9999,6.92,6.94,1678
2022-03-18 15:39:00,6.9,6.93,6.8796,6.92,5887
2022-03-18 15:38:00,6.94,6.9499,6.9,6.9072,6096
2022-03-18 15:37:00,6.945,6.945,6.945,6.945,240
2022-03-18 15:36:00,7.0,7.0,6.94,6.95,6194
2022-03-18 15:35:00,7.0189,7.0189,7.0004,7.0004,587
2022-03-18 15:34:00,7.02,7.02,7.02,7.02,399
2022-03-18 15:33:00,7.0596,7.06,7.05,7.05,1740
2022-03-18 15:32:00,7.0301,7.0301,7.0301,7.0301,2190
2022-03-18 15:31:00,7.03,7.0375,7.03,7.0375,470
2022-03-18 15:29:00,7.025,7.025,7.025,7.025,164
2022-03-18 15:28:00,7.05,7.05,7.01,7.0117,2332
2022-03-18 15:27:00,7.09,7.105,7.07,7.07,2701
2022-03-18 15:26:00,7.0972,7.1,7.09,7.1,2682
2022-03-18 15:24:00,7.0999,7.0999,7.0999,7.0999,511
2022-03-18 15:23:00,7.085,7.085,7.085,7.085,1112
2022-03-18 15:22:00,7.1,7.1,7.1,7.1,151
2022-03-18 15:21:00,7.1,7.1,7.085,7.085,900
2022-03-18 15:20:00,7.06,7.1,7.06,7.1,617
2022-03-18 15:19:00,7.04,7.06,7.03,7.06,1653
2022-03-18 15:18:00,7.06,7.06,7.035,7.035,1637
2022-03-18 15:17:00,7.1,7.1,7.07,7.07,1414
2022-03-18 15:16:00,7.125,7.125,7.1095,7.1235,1161
2022-03-18 15:15:00,7.11,7.11,7.11,7.11,1037
2022-03-18 15:14:00,7.1155,7.1155,7.11,7.11,238
2022-03-18 15:13:00,7.165,7.17,7.13,7.13,3020
2022-03-18 15:12:00,7.1585,7.165,7.13,7.13,2502
2022-03-18 15:10:00,7.2119,7.2119,7.1714,7.1714,2860
2022-03-18 15:08:00,7.24,7.24,7.2244,7.2244,307
2022-03-18 15:06:00,7.25,7.27,7.23,7.27,839
2022-03-18 15:04:00,7.25,7.25,7.25,7.25,508
2022-03-18 15:02:00,7.2699,7.2699,7.23,7.23,286
