time,open,high,low,close,volume
2022-04-19 20:00:00,1.36,1.36,1.36,1.36,201
2022-04-19 18:44:00,1.36,1.36,1.36,1.36,2006
2022-04-19 18:42:00,1.36,1.36,1.36,1.36,100
2022-04-19 18:39:00,1.35,1.35,1.35,1.35,1067
2022-04-19 18:08:00,1.33,1.33,1.33,1.33,2503
2022-04-19 18:07:00,1.35,1.35,1.35,1.35,2000
2022-04-19 17:27:00,1.35,1.35,1.35,1.35,603
2022-04-19 17:17:00,1.35,1.35,1.35,1.35,500
2022-04-19 16:54:00,1.35,1.35,1.35,1.35,100
2022-04-19 16:53:00,1.36,1.36,1.36,1.36,100
2022-04-19 16:43:00,1.35,1.35,1.35,1.35,166
2022-04-19 16:37:00,1.34,1.34,1.34,1.34,1100
2022-04-19 16:36:00,1.34,1.34,1.34,1.34,2000
2022-04-19 16:27:00,1.34,1.34,1.34,1.34,400
2022-04-19 16:18:00,1.34,1.34,1.34,1.34,3020
2022-04-19 16:14:00,1.34,1.34,1.34,1.34,305
2022-04-19 16:04:00,1.34,1.34,1.34,1.34,2700
2022-04-19 16:03:00,1.35,1.35,1.34,1.34,670
2022-04-19 16:00:00,1.34,1.3489,1.34,1.345,19414
2022-04-19 15:59:00,1.3335,1.35,1.3335,1.3495,7321
2022-04-19 15:58:00,1.355,1.36,1.31,1.335,157181
2022-04-19 15:57:00,1.3501,1.36,1.3501,1.36,3826
2022-04-19 15:55:00,1.35,1.36,1.33,1.3555,28359
2022-04-19 15:54:00,1.3501,1.3501,1.3501,1.3501,791
2022-04-19 15:52:00,1.355,1.355,1.35,1.3501,3852
2022-04-19 15:51:00,1.355,1.36,1.3507,1.3507,1941
2022-04-19 15:50:00,1.3599,1.3599,1.3599,1.3599,2000
2022-04-19 15:49:00,1.355,1.36,1.3539,1.36,2710
2022-04-19 15:47:00,1.35,1.36,1.35,1.355,8714
2022-04-19 15:46:00,1.355,1.355,1.3507,1.355,675
2022-04-19 15:45:00,1.3501,1.3501,1.3501,1.3501,1100
2022-04-19 15:43:00,1.3507,1.3527,1.35,1.3527,3175
2022-04-19 15:42:00,1.3541,1.3541,1.3541,1.3541,1010
2022-04-19 15:40:00,1.355,1.36,1.354,1.354,9805
2022-04-19 15:39:00,1.355,1.36,1.35,1.3507,6501
2022-04-19 15:38:00,1.355,1.36,1.355,1.355,8310
2022-04-19 15:37:00,1.352,1.352,1.352,1.352,424
2022-04-19 15:36:00,1.355,1.36,1.355,1.358,11001
2022-04-19 15:35:00,1.3599,1.36,1.35,1.355,8916
2022-04-19 15:34:00,1.355,1.355,1.355,1.355,107
2022-04-19 15:33:00,1.355,1.355,1.355,1.355,300
2022-04-19 15:32:00,1.355,1.36,1.35,1.36,19005
2022-04-19 15:31:00,1.355,1.355,1.3501,1.3501,576
2022-04-19 15:30:00,1.355,1.355,1.355,1.355,303
2022-04-19 15:29:00,1.36,1.36,1.3501,1.3501,6678
2022-04-19 15:28:00,1.35,1.35,1.35,1.35,2005
2022-04-19 15:27:00,1.36,1.36,1.36,1.36,1058
2022-04-19 15:26:00,1.36,1.36,1.36,1.36,275
2022-04-19 15:25:00,1.3507,1.36,1.35,1.355,3963
2022-04-19 15:24:00,1.3586,1.3586,1.3501,1.355,4135
2022-04-19 15:23:00,1.35,1.36,1.35,1.355,23161
2022-04-19 15:22:00,1.3595,1.36,1.3595,1.36,1646
2022-04-19 15:21:00,1.36,1.36,1.355,1.36,9849
2022-04-19 15:19:00,1.3493,1.36,1.3493,1.355,6115
2022-04-19 15:18:00,1.3492,1.3492,1.345,1.345,4416
2022-04-19 15:17:00,1.3493,1.3493,1.3401,1.345,5891
2022-04-19 15:16:00,1.3497,1.3497,1.34,1.34,2000
2022-04-19 15:15:00,1.35,1.354,1.34,1.35,4400
2022-04-19 15:14:00,1.3595,1.3595,1.34,1.34,1510
2022-04-19 15:13:00,1.3542,1.3594,1.3542,1.3586,2107
2022-04-19 15:12:00,1.335,1.345,1.33,1.345,1174
2022-04-19 15:11:00,1.34,1.34,1.335,1.335,1204
2022-04-19 15:10:00,1.32,1.37,1.3101,1.335,57456
2022-04-19 15:09:00,1.3192,1.3192,1.31,1.31,2851
2022-04-19 15:08:00,1.3101,1.3138,1.31,1.3101,1800
2022-04-19 15:07:00,1.319,1.319,1.319,1.319,176
2022-04-19 15:06:00,1.3198,1.3198,1.3198,1.3198,427
2022-04-19 15:04:00,1.3198,1.3198,1.3198,1.3198,120
2022-04-19 15:03:00,1.31,1.3101,1.31,1.31,9027
