time,open,high,low,close,volume
2022-03-18 16:31:00,12.91,12.91,12.91,12.91,100
2022-03-18 16:15:00,12.77,12.77,12.77,12.77,228
2022-03-18 16:00:00,12.7101,12.81,12.71,12.81,1792
2022-03-18 15:59:00,12.7001,12.71,12.7001,12.71,1063
2022-03-18 15:58:00,12.7001,12.7001,12.7,12.7001,1127
2022-03-18 15:57:00,12.81,12.85,12.7001,12.7001,3435
2022-03-18 15:56:00,12.91,12.91,12.87,12.88,713
2022-03-18 15:55:00,12.81,12.905,12.81,12.905,353
2022-03-18 15:54:00,12.905,12.98,12.905,12.905,500
2022-03-18 15:53:00,12.88,12.88,12.87,12.87,1039
2022-03-18 15:52:00,12.9,12.9,12.9,12.9,100
2022-03-18 15:51:00,12.9869,12.9869,12.9869,12.9869,210
2022-03-18 15:49:00,12.8,12.8,12.8,12.8,400
2022-03-18 15:46:00,12.69,12.83,12.69,12.83,811
2022-03-18 15:45:00,12.68,12.75,12.68,12.75,502
2022-03-18 15:44:00,12.805,12.805,12.78,12.78,258
2022-03-18 15:43:00,12.9,12.9,12.75,12.75,866
2022-03-18 15:42:00,12.71,12.8999,12.71,12.8999,2242
2022-03-18 15:41:00,12.74,12.74,12.74,12.74,2254
2022-03-18 15:40:00,12.5601,12.5601,12.5601,12.5601,536
2022-03-18 15:32:00,12.5001,12.5001,12.5001,12.5001,1870
2022-03-18 15:28:00,12.6,12.83,12.55,12.55,980
2022-03-18 15:27:00,12.7001,12.75,12.58,12.615,1742
2022-03-18 15:16:00,12.8,12.8,12.8,12.8,447
2022-03-18 15:15:00,12.8,12.8,12.8,12.8,203
2022-03-18 15:13:00,12.3701,12.3701,12.3701,12.3701,5540
2022-03-18 15:10:00,12.75,12.75,12.75,12.75,100
2022-03-18 15:09:00,12.75,12.75,12.75,12.75,100
2022-03-18 15:08:00,12.75,12.75,12.75,12.75,100
2022-03-18 15:07:00,12.951,12.951,12.951,12.951,223
2022-03-18 15:06:00,12.74,13.0,12.7,13.0,700
2022-03-18 15:05:00,12.5,12.5,12.5,12.5,3398
2022-03-18 15:04:00,12.64,12.65,12.5,12.5002,3890
2022-03-18 15:03:00,12.61,12.61,12.55,12.55,884
2022-03-18 15:02:00,12.88,13.0,12.64,12.65,3432
2022-03-18 15:01:00,12.79,12.79,12.62,12.66,2368
2022-03-18 15:00:00,12.8,13.02,12.73,12.75,1905
2022-03-18 14:59:00,13.04,13.07,12.73,12.73,1050
2022-03-18 14:58:00,12.54,13.02,12.435,12.99,6779
2022-03-18 14:57:00,12.655,12.655,12.555,12.555,2112
2022-03-18 14:56:00,13.0,13.0,12.4,12.51,6296
2022-03-18 14:53:00,12.9301,12.9301,12.9301,12.9301,145
2022-03-18 14:50:00,12.9301,12.9301,12.9301,12.9301,200
2022-03-18 14:46:00,13.49,13.49,13.49,13.49,165
2022-03-18 14:42:00,12.9,12.95,12.9,12.95,1500
2022-03-18 14:41:00,12.95,12.95,12.95,12.95,108
2022-03-18 14:37:00,13.03,13.04,13.0,13.0,981
2022-03-18 14:35:00,13.2982,13.2982,13.2982,13.2982,186
2022-03-18 14:34:00,13.3,13.3,13.3,13.3,200
2022-03-18 14:33:00,13.3,13.3,13.3,13.3,151
2022-03-18 14:32:00,13.6556,13.6556,13.6556,13.6556,100
2022-03-18 14:27:00,13.02,13.02,13.02,13.02,295
2022-03-18 14:26:00,13.2,13.2,13.2,13.2,294
2022-03-18 14:22:00,12.95,12.95,12.95,12.95,922
2022-03-18 14:21:00,12.9077,12.9077,12.9077,12.9077,206
2022-03-18 14:20:00,13.45,13.45,13.45,13.45,681
2022-03-18 14:15:00,12.98,12.98,12.91,12.91,418
2022-03-18 14:14:00,13.06,13.06,12.95,12.95,521
2022-03-18 14:13:00,13.22,13.22,13.22,13.22,539
2022-03-18 14:12:00,13.15,13.15,13.15,13.15,421
2022-03-18 14:11:00,13.21,13.74,13.19,13.19,4059
2022-03-18 14:10:00,13.2099,13.2099,13.2,13.2,305
2022-03-18 13:59:00,13.74,13.74,13.1658,13.2114,3440
2022-03-18 13:58:00,13.31,13.33,13.31,13.33,378
2022-03-18 13:57:00,13.19,13.31,13.13,13.31,1181
2022-03-18 13:56:00,13.29,13.32,13.29,13.32,350
2022-03-18 13:55:00,13.16,13.33,13.11,13.3,1123
2022-03-18 13:52:00,13.25,13.25,13.1,13.1,1446
2022-03-18 13:51:00,13.07,13.07,12.989,13.05,5877
2022-03-18 13:50:00,13.19,13.19,13.02,13.17,1059
2022-03-18 13:48:00,13.25,13.25,13.25,13.25,100
2022-03-18 13:40:00,13.25,13.25,13.25,13.25,2400
2022-03-18 13:39:00,13.25,13.25,13.25,13.25,100
2022-03-18 13:36:00,13.32,13.32,13.25,13.25,300
2022-03-18 13:33:00,13.21,13.35,13.2,13.3,1090
2022-03-18 13:30:00,13.34,13.4,13.29,13.29,627
2022-03-18 13:29:00,13.24,13.24,13.23,13.23,250
2022-03-18 13:28:00,13.29,13.29,13.23,13.245,1797
2022-03-18 13:26:00,13.35,13.35,13.35,13.35,131
2022-03-18 13:25:00,13.4,13.4,13.4,13.4,472
2022-03-18 13:20:00,13.12,13.415,13.12,13.415,400
2022-03-18 13:19:00,13.5064,13.5064,13.5064,13.5064,100
2022-03-18 13:18:00,13.0,13.0,13.0,13.0,150
2022-03-18 13:13:00,12.8001,13.195,12.8001,13.195,1100
2022-03-18 13:12:00,13.29,13.29,13.29,13.29,100
2022-03-18 13:09:00,12.8651,12.9445,12.8651,12.9445,469
2022-03-18 13:08:00,12.91,12.91,12.91,12.91,200
2022-03-18 13:07:00,12.95,12.97,12.8,12.8,2047
2022-03-18 13:06:00,12.97,12.97,12.97,12.97,819
2022-03-18 13:04:00,13.15,13.15,13.06,13.06,548
2022-03-18 13:03:00,12.98,13.04,12.98,13.04,565
2022-03-18 12:59:00,12.88,12.88,12.88,12.88,447
