time,open,high,low,close,volume
2022-04-19 19:31:00,1.96,1.96,1.96,1.96,20000
2022-04-19 17:44:00,1.98,1.98,1.98,1.98,100
2022-04-19 16:00:00,1.94,1.94,1.94,1.94,408
2022-04-19 15:55:00,1.98,1.98,1.98,1.98,150
2022-04-19 15:52:00,1.9799,1.9799,1.9799,1.9799,200
2022-04-19 15:36:00,1.96,1.96,1.96,1.96,983
2022-04-19 15:30:00,1.97,1.97,1.97,1.97,200
2022-04-19 15:19:00,1.97,1.97,1.97,1.97,150
2022-04-19 15:16:00,1.9601,1.9601,1.9601,1.9601,500
2022-04-19 15:15:00,1.96,1.96,1.96,1.96,3381
2022-04-19 15:11:00,1.9597,1.9597,1.955,1.955,2000
2022-04-19 14:54:00,1.955,1.955,1.955,1.955,142
2022-04-19 14:52:00,1.9504,1.9504,1.95,1.95,858
2022-04-19 14:48:00,1.95,1.95,1.95,1.95,800
2022-04-19 14:44:00,1.95,1.95,1.95,1.95,567
2022-04-19 14:42:00,1.96,1.96,1.96,1.96,400
2022-04-19 14:41:00,1.96,1.96,1.96,1.96,400
2022-04-19 14:40:00,1.96,1.97,1.96,1.965,733
2022-04-19 14:37:00,1.97,1.97,1.96,1.96,300
2022-04-19 14:34:00,1.97,1.97,1.97,1.97,100
2022-04-19 14:29:00,1.97,1.9899,1.97,1.9899,5200
2022-04-19 14:22:00,1.9657,1.9657,1.9657,1.9657,100
2022-04-19 14:21:00,1.958,1.96,1.9573,1.96,1400
2022-04-19 14:11:00,1.95,1.95,1.95,1.95,600
2022-04-19 14:05:00,1.95,1.95,1.94,1.94,468
2022-04-19 13:52:00,1.95,1.95,1.95,1.95,100
2022-04-19 13:42:00,1.95,1.95,1.95,1.95,100
2022-04-19 13:41:00,1.96,1.96,1.96,1.96,100
2022-04-19 13:34:00,1.9586,1.9586,1.9586,1.9586,200
2022-04-19 13:28:00,1.95,1.95,1.95,1.95,250
2022-04-19 13:18:00,1.93,1.93,1.93,1.93,1867
2022-04-19 13:17:00,1.9464,1.9464,1.9464,1.9464,100
2022-04-19 13:09:00,1.9301,1.9301,1.9301,1.9301,400
2022-04-19 12:44:00,1.9399,1.94,1.93,1.93,2861
2022-04-19 12:42:00,1.9337,1.9337,1.9337,1.9337,200
2022-04-19 12:32:00,1.9301,1.9301,1.9301,1.9301,1001
2022-04-19 12:25:00,1.94,1.94,1.94,1.94,412
2022-04-19 11:57:00,1.96,1.96,1.96,1.96,100
2022-04-19 11:49:00,1.94,1.945,1.94,1.945,620
2022-04-19 11:44:00,1.94,1.94,1.94,1.94,100
2022-04-19 11:43:00,1.92,1.93,1.92,1.93,483
2022-04-19 11:42:00,1.91,1.91,1.91,1.91,200
2022-04-19 11:41:00,1.9,1.92,1.9,1.92,5779
2022-04-19 11:40:00,1.8801,1.8801,1.8801,1.8801,247
2022-04-19 11:30:00,1.89,1.89,1.89,1.89,397
2022-04-19 11:26:00,1.89,1.89,1.89,1.89,909
2022-04-19 11:18:00,1.9099,1.9099,1.9099,1.9099,2820
2022-04-19 11:16:00,1.88,1.89,1.88,1.89,1357
2022-04-19 11:15:00,1.88,1.88,1.88,1.88,705
2022-04-19 11:14:00,1.8801,1.8801,1.8801,1.8801,755
2022-04-19 11:04:00,1.91,1.91,1.91,1.91,270
