time,open,high,low,close,volume
2022-03-18 20:00:00,2.24,2.24,2.24,2.24,838
2022-03-18 19:46:00,2.17,2.17,2.17,2.17,191
2022-03-18 19:42:00,2.24,2.24,2.24,2.24,300
2022-03-18 18:56:00,2.24,2.24,2.24,2.24,100
2022-03-18 17:55:00,2.24,2.24,2.24,2.24,148
2022-03-18 17:52:00,2.24,2.24,2.24,2.24,200
2022-03-18 16:17:00,2.17,2.17,2.17,2.17,1086
2022-03-18 16:16:00,2.17,2.17,2.17,2.17,400
2022-03-18 16:05:00,2.17,2.17,2.17,2.17,200
2022-03-18 16:00:00,2.1789,2.1799,2.17,2.17,22202
2022-03-18 15:59:00,2.175,2.175,2.175,2.175,500
2022-03-18 15:58:00,2.18,2.18,2.18,2.18,2754
2022-03-18 15:57:00,2.1795,2.1795,2.1795,2.1795,4001
2022-03-18 15:55:00,2.175,2.175,2.175,2.175,154
2022-03-18 15:53:00,2.175,2.18,2.175,2.18,1619
2022-03-18 15:52:00,2.18,2.18,2.18,2.18,846
2022-03-18 15:51:00,2.175,2.18,2.1701,2.1701,10711
2022-03-18 15:50:00,2.2499,2.25,2.1701,2.2416,52110
2022-03-18 15:49:00,2.23,2.23,2.23,2.23,2903
2022-03-18 15:46:00,2.2498,2.2498,2.2498,2.2498,1000
2022-03-18 15:45:00,2.2301,2.2301,2.2301,2.2301,484
2022-03-18 15:44:00,2.23,2.26,2.23,2.23,2256
2022-03-18 15:43:00,2.24,2.24,2.24,2.24,500
2022-03-18 15:42:00,2.26,2.26,2.26,2.26,130
2022-03-18 15:41:00,2.25,2.25,2.25,2.25,126
2022-03-18 15:40:00,2.26,2.26,2.26,2.26,365
2022-03-18 15:39:00,2.26,2.26,2.24,2.2402,5621
2022-03-18 15:37:00,2.27,2.27,2.27,2.27,100
2022-03-18 15:35:00,2.2592,2.2592,2.2592,2.2592,630
2022-03-18 15:30:00,2.26,2.26,2.26,2.26,200
2022-03-18 15:27:00,2.27,2.27,2.27,2.27,304
2022-03-18 15:26:00,2.265,2.265,2.265,2.265,499
2022-03-18 15:14:00,2.25,2.25,2.25,2.25,151
2022-03-18 15:13:00,2.26,2.26,2.25,2.25,2276
2022-03-18 15:12:00,2.26,2.26,2.25,2.25,222
2022-03-18 15:11:00,2.2608,2.27,2.2608,2.27,589
2022-03-18 15:10:00,2.2605,2.2605,2.2605,2.2605,100
2022-03-18 15:09:00,2.27,2.27,2.2642,2.2642,2454
2022-03-18 15:08:00,2.27,2.27,2.27,2.27,100
2022-03-18 15:06:00,2.28,2.28,2.27,2.27,900
2022-03-18 15:01:00,2.246,2.246,2.246,2.246,152
2022-03-18 14:59:00,2.26,2.28,2.26,2.28,2338
2022-03-18 14:58:00,2.26,2.26,2.26,2.26,910
2022-03-18 14:57:00,2.25,2.25,2.25,2.25,100
2022-03-18 14:56:00,2.245,2.245,2.245,2.245,1000
2022-03-18 14:55:00,2.242,2.2424,2.24,2.24,2697
2022-03-18 14:54:00,2.2599,2.26,2.25,2.25,2395
2022-03-18 14:53:00,2.25,2.25,2.25,2.25,300
2022-03-18 14:52:00,2.2599,2.2599,2.2599,2.2599,200
2022-03-18 14:50:00,2.2491,2.25,2.2491,2.25,700
2022-03-18 14:48:00,2.2499,2.25,2.2499,2.25,351
2022-03-18 14:47:00,2.2499,2.25,2.2499,2.25,1003
2022-03-18 14:46:00,2.25,2.25,2.25,2.25,100
2022-03-18 14:44:00,2.26,2.26,2.25,2.25,1617
2022-03-18 14:43:00,2.26,2.26,2.24,2.24,3812
2022-03-18 14:35:00,2.28,2.28,2.2719,2.2719,400
2022-03-18 14:34:00,2.2701,2.2701,2.2701,2.2701,881
2022-03-18 14:28:00,2.2864,2.2864,2.2864,2.2864,160
2022-03-18 14:26:00,2.2601,2.264,2.2601,2.264,419
2022-03-18 14:25:00,2.28,2.28,2.28,2.28,246
2022-03-18 14:24:00,2.2899,2.2899,2.2899,2.2899,100
2022-03-18 14:20:00,2.28,2.28,2.28,2.28,200
2022-03-18 14:16:00,2.28,2.28,2.28,2.28,225
2022-03-18 14:15:00,2.29,2.29,2.285,2.285,668
2022-03-18 14:03:00,2.26,2.26,2.26,2.26,140
2022-03-18 14:02:00,2.27,2.2852,2.27,2.2852,288
2022-03-18 14:01:00,2.2673,2.2673,2.2673,2.2673,164
2022-03-18 13:57:00,2.2699,2.2699,2.2699,2.2699,1645
2022-03-18 13:54:00,2.26,2.26,2.26,2.26,172
2022-03-18 13:53:00,2.2644,2.2644,2.2502,2.2502,4183
2022-03-18 13:51:00,2.26,2.2627,2.26,2.26,534
2022-03-18 13:46:00,2.26,2.26,2.26,2.26,160
2022-03-18 13:45:00,2.2629,2.2629,2.2629,2.2629,1000
2022-03-18 13:44:00,2.2603,2.2603,2.2603,2.2603,3000
2022-03-18 13:38:00,2.275,2.275,2.2601,2.2601,2107
2022-03-18 13:37:00,2.2899,2.2899,2.28,2.28,788
2022-03-18 13:36:00,2.2833,2.2833,2.2833,2.2833,207
2022-03-18 13:33:00,2.29,2.29,2.29,2.29,150
2022-03-18 13:31:00,2.2838,2.29,2.2838,2.29,786
2022-03-18 13:29:00,2.2801,2.2801,2.2801,2.2801,2500
2022-03-18 13:25:00,2.2887,2.29,2.2887,2.29,1173
2022-03-18 13:23:00,2.29,2.29,2.29,2.29,228
2022-03-18 13:22:00,2.2991,2.2991,2.2991,2.2991,176
2022-03-18 13:19:00,2.3,2.3,2.3,2.3,345
2022-03-18 13:17:00,2.2901,2.2901,2.2901,2.2901,100
2022-03-18 13:16:00,2.2908,2.2908,2.2908,2.2908,254
2022-03-18 13:15:00,2.3,2.3,2.3,2.3,276
2022-03-18 13:14:00,2.3,2.3,2.3,2.3,767
