time,open,high,low,close,volume
2022-04-19 16:41:00,1.4,1.4,1.4,1.4,100
2022-04-19 16:00:00,1.37,1.37,1.33,1.33,2460
2022-04-19 15:59:00,1.34,1.39,1.33,1.38,4212
2022-04-19 15:58:00,1.345,1.36,1.34,1.34,2691
2022-04-19 15:56:00,1.36,1.36,1.35,1.35,300
2022-04-19 15:55:00,1.3581,1.3581,1.3581,1.3581,100
2022-04-19 15:54:00,1.355,1.355,1.355,1.355,100
2022-04-19 15:52:00,1.355,1.355,1.355,1.355,100
2022-04-19 15:51:00,1.34,1.34,1.34,1.34,151
2022-04-19 15:49:00,1.345,1.345,1.345,1.345,100
2022-04-19 15:46:00,1.345,1.345,1.345,1.345,100
2022-04-19 15:41:00,1.365,1.365,1.365,1.365,100
2022-04-19 15:37:00,1.345,1.345,1.345,1.345,100
2022-04-19 15:29:00,1.3446,1.3446,1.3446,1.3446,500
2022-04-19 15:26:00,1.355,1.355,1.355,1.355,100
2022-04-19 15:25:00,1.36,1.36,1.36,1.36,100
2022-04-19 15:24:00,1.37,1.37,1.37,1.37,1000
2022-04-19 15:13:00,1.375,1.375,1.375,1.375,450
2022-04-19 15:11:00,1.36,1.36,1.36,1.36,100
2022-04-19 15:09:00,1.37,1.37,1.37,1.37,100
2022-04-19 15:05:00,1.37,1.37,1.36,1.36,200
2022-04-19 15:04:00,1.37,1.37,1.37,1.37,400
2022-04-19 15:03:00,1.37,1.37,1.37,1.37,100
2022-04-19 14:58:00,1.36,1.36,1.36,1.36,100
2022-04-19 14:35:00,1.36,1.36,1.36,1.36,200
2022-04-19 14:34:00,1.38,1.39,1.36,1.39,3519
2022-04-19 14:29:00,1.355,1.38,1.34,1.34,4500
2022-04-19 14:27:00,1.371,1.371,1.371,1.371,164
2022-04-19 14:26:00,1.36,1.36,1.36,1.36,167
2022-04-19 14:23:00,1.3789,1.3791,1.36,1.3791,430
2022-04-19 14:06:00,1.35,1.35,1.35,1.35,100
2022-04-19 14:04:00,1.37,1.39,1.33,1.3816,5660
2022-04-19 14:03:00,1.3773,1.38,1.365,1.37,1114
2022-04-19 14:02:00,1.35,1.38,1.35,1.38,200
2022-04-19 14:00:00,1.365,1.365,1.365,1.365,500
2022-04-19 13:55:00,1.35,1.35,1.35,1.35,100
2022-04-19 13:41:00,1.32,1.32,1.32,1.32,100
2022-04-19 13:40:00,1.3245,1.35,1.3245,1.35,1121
2022-04-19 13:38:00,1.34,1.34,1.34,1.34,100
2022-04-19 13:29:00,1.33,1.38,1.33,1.37,505
2022-04-19 13:19:00,1.33,1.33,1.33,1.33,100
2022-04-19 13:10:00,1.33,1.37,1.32,1.33,1776
2022-04-19 13:01:00,1.32,1.32,1.32,1.32,100
2022-04-19 12:51:00,1.32,1.32,1.32,1.32,295
2022-04-19 12:47:00,1.32,1.32,1.32,1.32,100
2022-04-19 12:43:00,1.312,1.312,1.312,1.312,1600
2022-04-19 12:42:00,1.33,1.33,1.33,1.33,400
2022-04-19 12:28:00,1.34,1.36,1.34,1.36,2500
2022-04-19 12:27:00,1.3354,1.34,1.325,1.3396,1500
2022-04-19 12:26:00,1.325,1.34,1.325,1.3397,3000
2022-04-19 12:25:00,1.32,1.34,1.31,1.325,3705
2022-04-19 12:24:00,1.32,1.33,1.3117,1.33,2461
2022-04-19 12:05:00,1.34,1.34,1.325,1.325,600
2022-04-19 12:03:00,1.35,1.35,1.34,1.34,5500
2022-04-19 11:59:00,1.3401,1.3401,1.3401,1.3401,100
2022-04-19 11:58:00,1.34,1.34,1.34,1.34,100
2022-04-19 11:41:00,1.34,1.34,1.34,1.34,105
2022-04-19 11:36:00,1.34,1.36,1.34,1.36,1711
2022-04-19 11:34:00,1.35,1.36,1.35,1.35,6565
2022-04-19 11:22:00,1.35,1.35,1.35,1.35,500
2022-04-19 11:19:00,1.36,1.36,1.36,1.36,101
2022-04-19 11:16:00,1.36,1.38,1.36,1.36,1890
2022-04-19 11:13:00,1.34,1.34,1.34,1.34,100
2022-04-19 11:07:00,1.34,1.34,1.34,1.34,100
2022-04-19 11:01:00,1.34,1.34,1.34,1.34,109
2022-04-19 10:55:00,1.34,1.34,1.34,1.34,105
2022-04-19 10:33:00,1.3822,1.3822,1.3822,1.3822,100
2022-04-19 10:16:00,1.37,1.39,1.37,1.39,704
2022-04-19 10:08:00,1.37,1.37,1.37,1.37,138
2022-04-19 10:03:00,1.35,1.35,1.35,1.35,100
2022-04-19 10:02:00,1.3364,1.3364,1.3364,1.3364,200
2022-04-19 10:00:00,1.32,1.326,1.32,1.32,700
2022-04-19 09:53:00,1.34,1.39,1.31,1.37,1125
2022-04-19 09:49:00,1.365,1.365,1.365,1.365,301
2022-04-19 09:42:00,1.365,1.365,1.365,1.365,100
2022-04-19 09:35:00,1.41,1.41,1.41,1.41,1200
2022-04-19 09:34:00,1.3972,1.41,1.3972,1.41,1050
2022-04-19 09:33:00,1.41,1.41,1.41,1.41,500
2022-04-19 09:32:00,1.47,1.47,1.4,1.4,2400
2022-04-19 09:31:00,1.35,1.35,1.35,1.35,766
2022-04-19 09:16:00,1.32,1.32,1.32,1.32,2500
2022-04-18 18:58:00,1.33,1.33,1.33,1.33,107
2022-04-18 18:43:00,1.32,1.32,1.32,1.32,100
2022-04-18 18:21:00,1.32,1.32,1.32,1.32,300
2022-04-18 16:00:00,1.33,1.36,1.33,1.34,2332
2022-04-18 15:59:00,1.32,1.36,1.32,1.36,2485
2022-04-18 15:48:00,1.34,1.34,1.33,1.33,326
2022-04-18 15:45:00,1.32,1.35,1.32,1.34,1100
2022-04-18 15:39:00,1.32,1.34,1.32,1.34,2126
2022-04-18 15:38:00,1.32,1.32,1.32,1.32,100
2022-04-18 15:37:00,1.32,1.32,1.32,1.32,505
2022-04-18 15:32:00,1.3122,1.3122,1.3122,1.3122,2300
2022-04-18 15:30:00,1.33,1.33,1.33,1.33,100
2022-04-18 15:29:00,1.3184,1.3184,1.3184,1.3184,100
2022-04-18 15:26:00,1.312,1.312,1.312,1.312,1000
2022-04-18 15:21:00,1.32,1.35,1.32,1.35,2701
2022-04-18 15:19:00,1.32,1.34,1.32,1.3288,502
2022-04-18 15:18:00,1.32,1.34,1.31,1.34,3432
2022-04-18 15:17:00,1.32,1.32,1.32,1.32,400
2022-04-18 15:16:00,1.32,1.32,1.32,1.32,100
2022-04-18 15:13:00,1.33,1.33,1.32,1.33,1600
2022-04-18 15:10:00,1.34,1.34,1.32,1.32,227
2022-04-18 15:09:00,1.33,1.33,1.32,1.33,600
2022-04-18 15:06:00,1.32,1.32,1.32,1.32,201
2022-04-18 14:40:00,1.35,1.35,1.35,1.35,111
2022-04-18 14:37:00,1.3435,1.3435,1.3435,1.3435,100
2022-04-18 14:30:00,1.31,1.35,1.31,1.35,1810
2022-04-18 14:04:00,1.32,1.32,1.32,1.32,126
2022-04-18 14:03:00,1.33,1.33,1.33,1.33,100
2022-04-18 13:46:00,1.35,1.36,1.35,1.36,700
2022-04-18 13:45:00,1.3585,1.3585,1.3585,1.3585,1001
2022-04-18 13:30:00,1.35,1.35,1.35,1.35,309
2022-04-18 13:18:00,1.32,1.35,1.32,1.34,900
2022-04-18 13:16:00,1.32,1.32,1.32,1.32,500
2022-04-18 13:13:00,1.32,1.36,1.32,1.36,700
2022-04-18 13:12:00,1.32,1.36,1.32,1.36,800
2022-04-18 13:11:00,1.322,1.322,1.322,1.322,400
2022-04-18 13:08:00,1.34,1.34,1.34,1.34,190
2022-04-18 13:00:00,1.36,1.36,1.36,1.36,300
2022-04-18 12:58:00,1.3695,1.3695,1.3695,1.3695,400
2022-04-18 12:57:00,1.36,1.36,1.36,1.36,1000
2022-04-18 12:56:00,1.35,1.35,1.35,1.35,100
2022-04-18 12:53:00,1.3301,1.34,1.31,1.3193,5925
2022-04-18 12:46:00,1.3781,1.38,1.37,1.38,2009
2022-04-18 12:44:00,1.38,1.38,1.36,1.38,2857
