time,open,high,low,close,volume
2022-02-18 20:00:00,3.63,3.63,3.63,3.63,150
2022-02-18 19:58:00,3.55,3.55,3.55,3.55,2025
2022-02-18 19:53:00,3.58,3.58,3.58,3.58,3650
2022-02-18 19:43:00,3.55,3.55,3.55,3.55,148
2022-02-18 19:42:00,3.5401,3.5401,3.5401,3.5401,550
2022-02-18 19:08:00,3.6001,3.6001,3.6001,3.6001,358
2022-02-18 19:07:00,3.63,3.63,3.63,3.63,526
2022-02-18 19:01:00,3.55,3.55,3.55,3.55,100
2022-02-18 18:55:00,3.57,3.57,3.56,3.56,995
2022-02-18 18:21:00,3.63,3.63,3.63,3.63,801
2022-02-18 18:14:00,3.63,3.63,3.63,3.63,1352
2022-02-18 18:10:00,3.6,3.6,3.6,3.6,110
2022-02-18 18:06:00,3.52,3.52,3.52,3.52,1339
2022-02-18 18:00:00,3.6,3.6,3.6,3.6,509
2022-02-18 17:55:00,3.52,3.52,3.52,3.52,600
2022-02-18 17:52:00,3.52,3.52,3.52,3.52,281
2022-02-18 17:47:00,3.52,3.52,3.52,3.52,442
2022-02-18 17:46:00,3.52,3.52,3.51,3.51,1208
2022-02-18 17:45:00,3.51,3.51,3.51,3.51,335
2022-02-18 17:40:00,3.61,3.61,3.61,3.61,345
2022-02-18 17:36:00,3.5,3.5,3.5,3.5,800
2022-02-18 17:31:00,3.56,3.56,3.56,3.56,678
2022-02-18 17:30:00,3.6,3.6,3.56,3.56,1199
2022-02-18 17:29:00,3.6,3.6,3.6,3.6,450
2022-02-18 17:28:00,3.58,3.58,3.58,3.58,126
2022-02-18 17:27:00,3.61,3.61,3.61,3.61,2205
2022-02-18 17:24:00,3.61,3.61,3.61,3.61,1702
2022-02-18 17:19:00,3.61,3.61,3.61,3.61,373
2022-02-18 17:16:00,3.66,3.66,3.66,3.66,455
2022-02-18 17:13:00,3.67,3.67,3.67,3.67,175
2022-02-18 17:12:00,3.67,3.67,3.67,3.67,100
2022-02-18 17:06:00,3.68,3.68,3.68,3.68,835
2022-02-18 17:03:00,3.68,3.68,3.68,3.68,200
2022-02-18 17:02:00,3.6901,3.6901,3.69,3.69,1246
2022-02-18 17:01:00,3.7,3.7,3.7,3.7,1227
2022-02-18 16:53:00,3.69,3.69,3.69,3.69,338
2022-02-18 16:48:00,3.71,3.71,3.71,3.71,250
2022-02-18 16:44:00,3.71,3.71,3.71,3.71,220
2022-02-18 16:37:00,3.7,3.7,3.7,3.7,300
2022-02-18 16:35:00,3.7,3.7,3.7,3.7,450
2022-02-18 16:33:00,3.7,3.7,3.69,3.69,1027
2022-02-18 16:31:00,3.7,3.7,3.7,3.7,1107
2022-02-18 16:28:00,3.7,3.7,3.7,3.7,163
2022-02-18 16:26:00,3.69,3.69,3.69,3.69,164
2022-02-18 16:21:00,3.7199,3.7199,3.7,3.7,444
2022-02-18 16:20:00,3.7,3.7,3.7,3.7,194
2022-02-18 16:14:00,3.7,3.7,3.7,3.7,253
2022-02-18 16:13:00,3.7,3.7,3.7,3.7,200
2022-02-18 16:12:00,3.7,3.7,3.7,3.7,251
2022-02-18 16:10:00,3.71,3.71,3.7,3.7,882
2022-02-18 16:09:00,3.71,3.71,3.71,3.71,122
2022-02-18 16:08:00,3.71,3.71,3.7,3.7,572
2022-02-18 16:07:00,3.74,3.74,3.74,3.74,4037
2022-02-18 16:06:00,3.73,3.74,3.73,3.74,900
2022-02-18 16:05:00,3.75,3.75,3.75,3.75,439
2022-02-18 16:04:00,3.77,3.77,3.77,3.77,853
2022-02-18 16:03:00,3.76,3.76,3.75,3.75,793
